Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,86032;0,86032;0,86032;0,86032;0
01.01.2009 02:00:00;0,86037;0,86037;0,86037;0,86037;0,12412
01.01.2009 03:00:00;0,86037;0,86037;0,86037;0,86037;0
01.01.2009 04:00:00;0,86037;0,8604;0,86033;0,86033;18,36196
01.01.2009 05:00:00;0,86037;0,8604;0,86033;0,86037;21,12535
01.01.2009 06:00:00;0,86037;0,8604;0,86033;0,86033;17,62839
01.01.2009 07:00:00;0,86037;0,8604;0,86033;0,86037;38,82406
01.01.2009 08:00:00;0,86037;0,8604;0,86033;0,86033;25,26484
01.01.2009 09:00:00;0,86037;0,86037;0,86033;0,86037;6,0764
01.01.2009 10:00:00;0,86037;0,8604;0,86033;0,86037;27,80691
01.01.2009 11:00:00;0,86033;0,8604;0,86033;0,86037;19,99927
01.01.2009 12:00:00;0,86037;0,8604;0,86033;0,86033;26,79831
01.01.2009 13:00:00;0,86037;0,8604;0,86033;0,8604;28,92976
01.01.2009 14:00:00;0,86033;0,8604;0,86033;0,86037;28,56864
01.01.2009 15:00:00;0,86037;0,86037;0,86037;0,86037;0
01.01.2009 16:00:00;0,86033;0,8604;0,86033;0,8604;7,17263
01.01.2009 17:00:00;0,8604;0,8604;0,8604;0,8604;0
01.01.2009 18:00:00;0,86037;0,8604;0,86033;0,8604;11,00596
01.01.2009 19:00:00;0,86037;0,8604;0,86033;0,86033;7,5425
01.01.2009 20:00:00;0,86037;0,8604;0,86033;0,86033;33,01817
01.01.2009 21:00:00;0,8604;0,8604;0,86033;0,86037;28,52989
01.01.2009 22:00:00;0,86037;0,8604;0,86033;0,8604;28,27931
01.01.2009 23:00:00;0,86037;0,8604;0,86033;0,8604;25,61254
02.01.2009 00:00:00;0,86037;0,8604;0,85894;0,85972;620,4513
02.01.2009 01:00:00;0,85968;0,86092;0,85898;0,86092;615,48126
02.01.2009 02:00:00;0,86057;0,86083;0,85831;0,85831;625,09717
02.01.2009 03:00:00;0,85824;0,85824;0,85245;0,85341;569,6129
02.01.2009 04:00:00;0,85338;0,8535;0,84803;0,85162;678,0933
02.01.2009 05:00:00;0,85161;0,85161;0,8465;0,84906;721,4302
02.01.2009 06:00:00;0,84911;0,8513;0,84697;0,85059;624,18774
02.01.2009 07:00:00;0,85082;0,85133;0,84807;0,84883;578,9131
02.01.2009 08:00:00;0,84874;0,85083;0,84823;0,84957;875,78796
02.01.2009 09:00:00;0,84959;0,85091;0,84576;0,85061;824,044
02.01.2009 10:00:00;0,85048;0,85247;0,84869;0,85114;961,10944
02.01.2009 11:00:00;0,851;0,85187;0,84758;0,84784;889,5489
02.01.2009 12:00:00;0,84787;0,84877;0,84346;0,84728;769,8773
02.01.2009 13:00:00;0,84733;0,84832;0,8457;0,8468;818,34973
02.01.2009 14:00:00;0,84705;0,85187;0,84705;0,85036;806,4801
02.01.2009 15:00:00;0,85013;0,85342;0,84846;0,85174;716,2569
02.01.2009 16:00:00;0,85165;0,85491;0,85076;0,85458;787,67633
02.01.2009 17:00:00;0,85457;0,85688;0,85203;0,85688;764,49585
02.01.2009 18:00:00;0,85707;0,85895;0,85543;0,85672;750,9311
02.01.2009 19:00:00;0,85676;0,8572;0,85173;0,85223;849,95844
02.01.2009 20:00:00;0,85215;0,85688;0,85073;0,85541;687,1224
02.01.2009 21:00:00;0,85539;0,8616;0,85485;0,86156;634,8821
02.01.2009 22:00:00;0,86154;0,86271;0,85945;0,86119;785,10596
02.01.2009 23:00:00;0,86115;0,86208;0,85696;0,85696;708,15424
05.01.2009 00:00:00;0,85706;0,86125;0,85643;0,86015;617,0435
05.01.2009 01:00:00;0,86011;0,8645;0,86001;0,8638;776,7964
05.01.2009 02:00:00;0,86384;0,86454;0,86155;0,86318;791,98364
05.01.2009 03:00:00;0,86324;0,86429;0,86049;0,86209;858,36365
05.01.2009 04:00:00;0,86206;0,86234;0,85986;0,86186;725,52606
05.01.2009 05:00:00;0,8619;0,863;0,85764;0,86283;794,93353
05.01.2009 06:00:00;0,86279;0,86279;0,86103;0,86194;626,1082
05.01.2009 07:00:00;0,86193;0,86465;0,86143;0,86403;705,6368
05.01.2009 08:00:00;0,86402;0,8675;0,86249;0,86311;824,984
05.01.2009 09:00:00;0,86334;0,86425;0,85846;0,85946;769,6142
05.01.2009 10:00:00;0,85944;0,86679;0,85925;0,86679;761,00214
05.01.2009 11:00:00;0,86702;0,86795;0,86291;0,86374;788,65186
05.01.2009 12:00:00;0,86383;0,86593;0,86187;0,86373;759,91754
05.01.2009 13:00:00;0,86381;0,86421;0,85752;0,8628;846,98517
05.01.2009 14:00:00;0,86288;0,86349;0,85491;0,85491;887,5479
05.01.2009 15:00:00;0,85494;0,86084;0,85494;0,85994;807,153
05.01.2009 16:00:00;0,85987;0,86151;0,85613;0,85849;977,0396
05.01.2009 17:00:00;0,85846;0,85994;0,84994;0,84994;1006,3906
05.01.2009 18:00:00;0,84972;0,85124;0,84877;0,85109;872,9429
05.01.2009 19:00:00;0,85105;0,8519;0,84951;0,85075;935,90533
05.01.2009 20:00:00;0,85072;0,85207;0,85006;0,85057;644,8079
05.01.2009 21:00:00;0,85061;0,85304;0,8481;0,85002;614,5891
05.01.2009 22:00:00;0,85003;0,85134;0,8486;0,85046;750,0239
05.01.2009 23:00:00;0,85038;0,85401;0,85008;0,85207;725,7164
06.01.2009 00:00:00;0,8521;0,85213;0,84885;0,85;628,8007
06.01.2009 01:00:00;0,84987;0,85123;0,84725;0,84735;717,5377
06.01.2009 02:00:00;0,84776;0,84827;0,84598;0,84665;729,2219
06.01.2009 03:00:00;0,84677;0,84802;0,84605;0,84802;624,59766
06.01.2009 04:00:00;0,84805;0,85032;0,84793;0,85003;717,4143
06.01.2009 05:00:00;0,84996;0,85267;0,84966;0,85145;726,6004
06.01.2009 06:00:00;0,85111;0,85166;0,84875;0,85003;625,3384
06.01.2009 07:00:00;0,84998;0,85187;0,84888;0,85073;688,7101
06.01.2009 08:00:00;0,8507;0,85313;0,85055;0,85137;917,7918
06.01.2009 09:00:00;0,85145;0,85186;0,84419;0,84573;857,4118
06.01.2009 10:00:00;0,84564;0,84671;0,84188;0,84671;1004,5451
06.01.2009 11:00:00;0,84678;0,84748;0,84379;0,84454;984,90375
06.01.2009 12:00:00;0,84425;0,84839;0,84291;0,84838;822,0642
06.01.2009 13:00:00;0,84837;0,8484;0,84362;0,84679;878,5244
06.01.2009 14:00:00;0,84659;0,8474;0,84415;0,84691;866,6786
06.01.2009 15:00:00;0,8469;0,84692;0,84207;0,84675;768,18854
06.01.2009 16:00:00;0,84673;0,84832;0,84237;0,84607;790,7927
06.01.2009 17:00:00;0,84595;0,84631;0,84131;0,8416;777,3507
