Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,75178;0,75178;0,75178;0,75178;0
01.01.2009 02:00:00;0,75235;0,75248;0,7514;0,75223;232,94957
01.01.2009 03:00:00;0,75238;0,75248;0,75223;0,75242;296,26105
01.01.2009 04:00:00;0,75242;0,75248;0,7515;0,75243;450,6149
01.01.2009 05:00:00;0,75241;0,75249;0,75192;0,75242;429,21793
01.01.2009 06:00:00;0,75247;0,7525;0,75223;0,75243;266,57343
01.01.2009 07:00:00;0,75239;0,75249;0,7518;0,75244;507,0321
01.01.2009 08:00:00;0,75246;0,75249;0,75224;0,75248;463,68234
01.01.2009 09:00:00;0,75244;0,7525;0,75142;0,75244;970,98376
01.01.2009 10:00:00;0,75247;0,7525;0,75149;0,75248;2060,9395
01.01.2009 11:00:00;0,7525;0,75251;0,7521;0,75248;1153,2649
01.01.2009 12:00:00;0,75251;0,75252;0,75234;0,75247;983,3565
01.01.2009 13:00:00;0,75244;0,75251;0,75143;0,75248;2544,3796
01.01.2009 14:00:00;0,75248;0,75251;0,75225;0,75251;2627,3271
01.01.2009 15:00:00;0,75251;0,75251;0,75243;0,75245;830,9539
01.01.2009 16:00:00;0,75245;0,75245;0,75245;0,75245;0
01.01.2009 17:00:00;0,75245;0,75245;0,75245;0,75245;0
01.01.2009 18:00:00;0,75246;0,75248;0,75238;0,75238;130,21896
01.01.2009 19:00:00;0,75145;0,75251;0,75143;0,75243;2364,7463
01.01.2009 20:00:00;0,75243;0,75251;0,75231;0,75238;897,69995
01.01.2009 21:00:00;0,75236;0,75251;0,75192;0,75233;897,98376
01.01.2009 22:00:00;0,75245;0,75252;0,75148;0,75242;1181,1195
01.01.2009 23:00:00;0,75247;0,75252;0,75144;0,75238;731,6053
02.01.2009 00:00:00;0,75238;0,75251;0,75143;0,75239;1123,7922
02.01.2009 01:00:00;0,75241;0,75251;0,75224;0,75241;1357,2854
