Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,01022;1,01022;1,01022;1,01022;0
01.01.2009 02:00:00;1,01022;1,01022;1,01022;1,01022;0
01.01.2009 03:00:00;1,01022;1,01022;1,01022;1,01022;0
01.01.2009 04:00:00;1,01022;1,01022;1,01022;1,01022;0
01.01.2009 05:00:00;1,01347;1,0135;1,01331;1,01349;7
01.01.2009 06:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 07:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 08:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 09:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 10:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 11:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 12:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 13:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 14:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 15:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 16:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 17:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 18:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 19:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 20:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 21:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 22:00:00;1,01349;1,01349;1,01349;1,01349;0
01.01.2009 23:00:00;1,01349;1,01349;1,01349;1,01349;0
02.01.2009 00:00:00;1,01122;1,01378;1,00968;1,01148;484
02.01.2009 01:00:00;1,01148;1,01503;1,00884;1,01186;455
02.01.2009 02:00:00;1,01098;1,01348;1,0097;1,01241;472
02.01.2009 03:00:00;1,01249;1,01482;1,00839;1,00997;485
02.01.2009 04:00:00;1,00955;1,01226;1,00656;1,01088;517
02.01.2009 05:00:00;1,01126;1,01141;1,00692;1,00887;500
02.01.2009 06:00:00;1,00858;1,01292;1,00684;1,0116;595
02.01.2009 07:00:00;1,0119;1,01434;1,00918;1,00959;573
02.01.2009 08:00:00;1,00995;1,01271;1,00943;1,01057;559
02.01.2009 09:00:00;1,01105;1,01105;1,00498;1,00713;502
02.01.2009 10:00:00;1,00702;1,01149;1,00652;1,01051;522
02.01.2009 11:00:00;1,01062;1,01225;1,005;1,00958;657
02.01.2009 12:00:00;1,00671;1,01233;1,00291;1,00958;577
02.01.2009 13:00:00;1,0096;1,01187;1,00479;1,01102;463
02.01.2009 14:00:00;1,01175;1,01576;1,01118;1,01576;526
02.01.2009 15:00:00;1,01592;1,01946;1,0135;1,01946;523
02.01.2009 16:00:00;1,01837;1,0226;1,01646;1,02208;502
02.01.2009 17:00:00;1,02201;1,02438;1,01592;1,02251;524
02.01.2009 18:00:00;1,02412;1,02746;1,02153;1,02611;527
02.01.2009 19:00:00;1,02713;1,02839;1,02269;1,02417;558
02.01.2009 20:00:00;1,02417;1,03207;1,02187;1,02841;606
02.01.2009 21:00:00;1,02953;1,03604;1,02524;1,03604;491
02.01.2009 22:00:00;1,03551;1,0363;1,03062;1,03387;492
02.01.2009 23:00:00;1,0359;1,03904;1,03574;1,03646;400
05.01.2009 00:00:00;1,03275;1,03926;1,03251;1,03768;438
05.01.2009 01:00:00;1,03772;1,0408;1,03722;1,03988;496
05.01.2009 02:00:00;1,0398;1,0398;1,03474;1,03562;530
05.01.2009 03:00:00;1,03557;1,03996;1,03391;1,03977;539
05.01.2009 04:00:00;1,03983;1,04035;1,0363;1,03879;530
05.01.2009 05:00:00;1,03846;1,04065;1,03344;1,03876;530
05.01.2009 06:00:00;1,0389;1,04158;1,03654;1,03982;587
05.01.2009 07:00:00;1,03946;1,04465;1,03884;1,04351;585
05.01.2009 08:00:00;1,04389;1,04708;1,04174;1,04352;566
05.01.2009 09:00:00;1,04384;1,04484;1,0392;1,04003;531
