Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,70362;0,7038;0,70335;0,70362;2666,0796
01.01.2009 02:00:00;0,7036;0,70372;0,70337;0,70357;2740,1934
01.01.2009 03:00:00;0,70369;0,70372;0,70338;0,70357;2832,705
01.01.2009 04:00:00;0,70354;0,70372;0,70312;0,70359;2732,7114
01.01.2009 05:00:00;0,70359;0,70372;0,70329;0,70341;2616,4304
01.01.2009 06:00:00;0,70358;0,70371;0,70326;0,70364;2390,9778
01.01.2009 07:00:00;0,70369;0,70372;0,70325;0,70346;2292,8406
01.01.2009 08:00:00;0,70346;0,70372;0,70329;0,7036;2453,6694
01.01.2009 09:00:00;0,7035;0,70368;0,70338;0,70367;3037,2751
01.01.2009 10:00:00;0,7036;0,70368;0,70334;0,70352;2534,8918
01.01.2009 11:00:00;0,70348;0,70368;0,70333;0,70352;3347,2175
01.01.2009 12:00:00;0,70345;0,70368;0,7032;0,70354;3237,6611
01.01.2009 13:00:00;0,70353;0,70365;0,70331;0,70357;2146,4792
01.01.2009 14:00:00;0,70362;0,70365;0,70322;0,70357;3220,2778
01.01.2009 15:00:00;0,70357;0,70365;0,70326;0,70347;3971,7415
01.01.2009 16:00:00;0,70347;0,70365;0,70325;0,70352;4150,2812
01.01.2009 17:00:00;0,70352;0,70365;0,70321;0,70359;5954,4917
01.01.2009 18:00:00;0,70354;0,70365;0,70332;0,70353;4098,1177
01.01.2009 19:00:00;0,70355;0,70365;0,70326;0,70347;2830,1475
01.01.2009 20:00:00;0,70337;0,70368;0,70333;0,70356;2811,8286
01.01.2009 21:00:00;0,70358;0,70372;0,70335;0,70363;2585,3706
01.01.2009 22:00:00;0,70367;0,70371;0,70335;0,70352;1967,6978
01.01.2009 23:00:00;0,70355;0,70373;0,70336;0,70356;2431,1003
02.01.2009 00:00:00;0,70358;0,70362;0,7028;0,70346;2087,8022
02.01.2009 01:00:00;0,70351;0,70368;0,7029;0,70341;1574,2533
02.01.2009 02:00:00;0,70449;0,70453;0,70232;0,70325;2715,3767
02.01.2009 03:00:00;0,70338;0,70347;0,6985;0,69924;2851,029
02.01.2009 04:00:00;0,69923;0,69932;0,69466;0,69758;2918,1345
02.01.2009 05:00:00;0,69755;0,69755;0,6942;0,69554;2092,179
02.01.2009 06:00:00;0,69553;0,69666;0,69389;0,69666;2284,2258
02.01.2009 07:00:00;0,69674;0,69772;0,69446;0,69555;2262,0698
02.01.2009 08:00:00;0,69554;0,69685;0,69458;0,69567;1979,4065
02.01.2009 09:00:00;0,69576;0,69593;0,6917;0,6935;2683,024
02.01.2009 10:00:00;0,6935;0,69665;0,69307;0,69657;2822,9204
02.01.2009 11:00:00;0,69661;0,6975;0,69468;0,69565;3138,9
02.01.2009 12:00:00;0,69565;0,69659;0,69357;0,69509;2849,729
02.01.2009 13:00:00;0,69515;0,69558;0,6943;0,69511;1892,5941
02.01.2009 14:00:00;0,69514;0,69801;0,69498;0,69575;2040,5293
02.01.2009 15:00:00;0,6957;0,69903;0,69464;0,69829;4392,2803
02.01.2009 16:00:00;0,6983;0,70217;0,69803;0,70154;3848,2393
02.01.2009 17:00:00;0,70148;0,70556;0,70138;0,7053;5387,874
02.01.2009 18:00:00;0,70543;0,70813;0,70449;0,70804;3159,7559
02.01.2009 19:00:00;0,70814;0,70825;0,70544;0,70567;2335,8933
02.01.2009 20:00:00;0,7057;0,70866;0,70437;0,70673;2444,0522
02.01.2009 21:00:00;0,7068;0,71038;0,70478;0,71038;1681,1826
02.01.2009 22:00:00;0,71035;0,71056;0,70741;0,70878;1751,8818
02.01.2009 23:00:00;0,70879;0,71154;0,70856;0,71069;1712,984
05.01.2009 00:00:00;0,7113;0,71503;0,71085;0,7138;1465,129
05.01.2009 01:00:00;0,71378;0,716;0,71375;0,71535;2847,0618
05.01.2009 02:00:00;0,71535;0,7154;0,7133;0,714;1659,21
05.01.2009 03:00:00;0,71405;0,7144;0,712;0,71345;1349,49
05.01.2009 04:00:00;0,71345;0,71345;0,7098;0,7113;2042,43
05.01.2009 05:00:00;0,71135;0,71305;0,70795;0,71175;1853,33
05.01.2009 06:00:00;0,71175;0,71195;0,71045;0,7109;1057,31
05.01.2009 07:00:00;0,7109;0,71375;0,71033;0,7133;1536,76
05.01.2009 08:00:00;0,7133;0,71665;0,71275;0,7137;1922,28
05.01.2009 09:00:00;0,71365;0,71485;0,7112;0,71165;2750,53
05.01.2009 10:00:00;0,71165;0,7125;0,7075;0,71;3779,57
05.01.2009 11:00:00;0,71005;0,71275;0,7094;0,70975;2884,81
05.01.2009 12:00:00;0,70975;0,7128;0,7092;0,71005;2610,02
05.01.2009 13:00:00;0,7101;0,7109;0,70615;0,7095;2301,68
05.01.2009 14:00:00;0,7095;0,7098;0,70615;0,70645;1982,74
05.01.2009 15:00:00;0,7065;0,7084;0,70635;0,70765;2115,8
05.01.2009 16:00:00;0,70785;0,71475;0,70765;0,71365;3636,72
05.01.2009 17:00:00;0,7137;0,7177;0,71195;0,7157;3204,67
05.01.2009 18:00:00;0,7157;0,71595;0,7124;0,71455;3725,33
05.01.2009 19:00:00;0,71435;0,71575;0,7138;0,71425;1595,4
05.01.2009 20:00:00;0,71425;0,7165;0,7141;0,7159;1053,41
05.01.2009 21:00:00;0,71605;0,71805;0,7137;0,715;1605,17
05.01.2009 22:00:00;0,715;0,7158;0,71428;0,715;1091,12
05.01.2009 23:00:00;0,715;0,72025;0,715;0,71698;1990,3
06.01.2009 00:00:00;0,71695;0,7172;0,71265;0,71355;930,26
06.01.2009 01:00:00;0,7136;0,71585;0,71315;0,7142;1311,8
06.01.2009 02:00:00;0,71427;0,71462;0,71125;0,7117;1713,47
06.01.2009 03:00:00;0,71175;0,7122;0,7104;0,7122;1343,37
06.01.2009 04:00:00;0,71205;0,7142;0,7119;0,71355;1170,46
06.01.2009 05:00:00;0,71345;0,7158;0,71315;0,71545;1129,8
06.01.2009 06:00:00;0,7155;0,716;0,7112;0,7123;2417,25
06.01.2009 07:00:00;0,7123;0,7126;0,71022;0,7118;2292,12
06.01.2009 08:00:00;0,71195;0,71445;0,7116;0,71355;1891,08
06.01.2009 09:00:00;0,71365;0,71425;0,70545;0,70635;4165,18
06.01.2009 10:00:00;0,70635;0,7083;0,7031;0,70775;3902,96
06.01.2009 11:00:00;0,70775;0,71065;0,70765;0,71047;2892,4
06.01.2009 12:00:00;0,71042;0,71475;0,7089;0,7119;3806,79
06.01.2009 13:00:00;0,71195;0,7127;0,7097;0,71095;2641,03
06.01.2009 14:00:00;0,71095;0,71385;0,7101;0,71195;2596,07
06.01.2009 15:00:00;0,712;0,71575;0,7101;0,71465;3039,75
06.01.2009 16:00:00;0,71465;0,72025;0,7137;0,7194;4099,76
06.01.2009 17:00:00;0,7192;0,7199;0,7117;0,7143;4014,84
06.01.2009 18:00:00;0,7142;0,7196;0,7139;0,71845;3104,47
06.01.2009 19:00:00;0,7184;0,7217;0,71782;0,72145;2470,14
06.01.2009 20:00:00;0,7216;0,7231;0,71975;0,7215;1922,48
06.01.2009 21:00:00;0,72155;0,7251;0,72145;0,7251;2279,36
06.01.2009 22:00:00;0,7251;0,7266;0,7225;0,72315;1948,08
06.01.2009 23:00:00;0,72315;0,7235;0,7225;0,72315;1017,75
07.01.2009 00:00:00;0,72305;0,72305;0,7195;0,7196;995,42
07.01.2009 01:00:00;0,7196;0,72115;0,71945;0,7199;1389,7
07.01.2009 02:00:00;0,7199;0,72265;0,71855;0,7212;2585,19
07.01.2009 03:00:00;0,72115;0,7217;0,71965;0,7215;1620,14
07.01.2009 04:00:00;0,72145;0,72225;0,7207;0,72205;1191,95
07.01.2009 05:00:00;0,722;0,7228;0,72095;0,72195;1859,24
07.01.2009 06:00:00;0,7219;0,7231;0,7216;0,72215;1101,66
07.01.2009 07:00:00;0,72215;0,72235;0,72035;0,722;1625,13
07.01.2009 08:00:00;0,722;0,7232;0,71765;0,71851;1983,51
07.01.2009 09:00:00;0,71849;0,7233;0,71785;0,7222;3306,08
07.01.2009 10:00:00;0,72215;0,72285;0,7184;0,7195;3229,5
07.01.2009 11:00:00;0,7195;0,72215;0,7195;0,72165;2524,67
07.01.2009 12:00:00;0,72165;0,7217;0,7185;0,7205;2312,58
