Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;6,32977;6,32977;6,32977;6,32977;0
01.01.2009 02:00:00;6,32977;6,32977;6,32977;6,32977;0
01.01.2009 03:00:00;6,32977;6,32977;6,32977;6,32977;0
01.01.2009 04:00:00;6,36784;6,36806;6,36712;6,3677;25
01.01.2009 05:00:00;6,36788;6,36806;6,36759;6,36798;49
01.01.2009 06:00:00;6,36714;6,36736;6,3669;6,36715;34
01.01.2009 07:00:00;6,36669;6,3668;6,36664;6,36664;25
01.01.2009 08:00:00;6,3665;6,36736;6,36635;6,36718;27
01.01.2009 09:00:00;6,36635;6,36716;6,36616;6,36695;52
01.01.2009 10:00:00;6,36775;6,36805;6,3659;6,36805;54
01.01.2009 11:00:00;6,36787;6,36826;6,36664;6,36764;60
01.01.2009 12:00:00;6,36765;6,36875;6,36694;6,36857;50
01.01.2009 13:00:00;6,36816;6,36816;6,36694;6,36769;47
01.01.2009 14:00:00;6,36664;6,36796;6,35672;6,35738;59
01.01.2009 15:00:00;6,35738;6,35738;6,35738;6,35738;0
01.01.2009 16:00:00;6,35699;6,35715;6,35694;6,35697;18
01.01.2009 17:00:00;6,35698;6,35699;6,35694;6,35698;11
01.01.2009 18:00:00;6,35484;6,35735;6,3547;6,35705;27
01.01.2009 19:00:00;6,35734;6,3575;6,3513;6,35159;29
01.01.2009 20:00:00;6,34934;6,3536;6,33634;6,35344;50
01.01.2009 21:00:00;6,35604;6,3562;6,34834;6,35344;48
01.01.2009 22:00:00;6,35344;6,35366;6,34923;6,35366;61
01.01.2009 23:00:00;6,34824;6,3505;6,34684;6,34684;41
02.01.2009 00:00:00;6,34764;6,35286;6,33855;6,35268;146
02.01.2009 01:00:00;6,35228;6,35245;6,3335;6,33675;185
02.01.2009 02:00:00;6,32649;6,34596;6,32309;6,34596;287
02.01.2009 03:00:00;6,34913;6,34915;6,33589;6,34745;292
02.01.2009 04:00:00;6,34541;6,34811;6,33322;6,33434;345
02.01.2009 05:00:00;6,33974;6,35351;6,32934;6,34403;379
02.01.2009 06:00:00;6,34483;6,3451;6,32134;6,33948;356
02.01.2009 07:00:00;6,34025;6,34941;6,32559;6,34385;303
02.01.2009 08:00:00;6,33505;6,34354;6,33059;6,34035;261
02.01.2009 09:00:00;6,34069;6,34069;6,30442;6,31498;462
02.01.2009 10:00:00;6,316;6,34312;6,3083;6,32906;478
02.01.2009 11:00:00;6,33376;6,35386;6,32566;6,35266;526
02.01.2009 12:00:00;6,35301;6,37083;6,34593;6,36033;521
02.01.2009 13:00:00;6,35996;6,36375;6,33662;6,35423;484
02.01.2009 14:00:00;6,35534;6,35682;6,32378;6,33196;451
02.01.2009 15:00:00;6,33097;6,34824;6,32396;6,34824;502
02.01.2009 16:00:00;6,34602;6,36609;6,34242;6,35685;544
02.01.2009 17:00:00;6,35486;6,39347;6,34582;6,37452;514
02.01.2009 18:00:00;6,37152;6,40124;6,35753;6,40124;540
02.01.2009 19:00:00;6,40126;6,4195;6,39171;6,41235;547
02.01.2009 20:00:00;6,41215;6,41273;6,39259;6,39737;452
02.01.2009 21:00:00;6,39792;6,39903;6,38027;6,3821;518
02.01.2009 22:00:00;6,38279;6,38379;6,36083;6,37404;456
02.01.2009 23:00:00;6,37364;6,42852;6,37362;6,42647;435
05.01.2009 00:00:00;6,42414;6,42996;6,41834;6,42482;196
05.01.2009 01:00:00;6,42547;6,42877;6,39834;6,41354;395
05.01.2009 02:00:00;6,40924;6,41547;6,3921;6,40347;386
05.01.2009 03:00:00;6,40143;6,41277;6,39173;6,40792;370
05.01.2009 04:00:00;6,40803;6,40803;6,38268;6,39057;439
05.01.2009 05:00:00;6,39118;6,39876;6,38238;6,38727;424
05.01.2009 06:00:00;6,38861;6,39176;6,37912;6,38595;410
05.01.2009 07:00:00;6,38616;6,39835;6,37037;6,38571;473
05.01.2009 08:00:00;6,393;6,40549;6,38085;6,40504;416
05.01.2009 09:00:00;6,40413;6,42135;6,39794;6,41328;529
05.01.2009 10:00:00;6,41327;6,41327;6,34112;6,34466;550
05.01.2009 11:00:00;6,34469;6,38756;6,33575;6,36598;544
05.01.2009 12:00:00;6,36388;6,40322;6,35952;6,36735;536
05.01.2009 13:00:00;6,36723;6,3856;6,35594;6,37018;504
05.01.2009 14:00:00;6,37032;6,38356;6,35686;6,38335;266
05.01.2009 15:00:00;6,40292;6,40292;6,36284;6,37742;366
05.01.2009 16:00:00;6,37802;6,44716;6,36382;6,43924;544
05.01.2009 17:00:00;6,43938;6,52598;6,42754;6,52598;514
05.01.2009 18:00:00;6,52682;6,52969;6,48607;6,50142;527
05.01.2009 19:00:00;6,50147;6,51213;6,49072;6,50142;564
05.01.2009 20:00:00;6,49937;6,52084;6,49707;6,51993;472
05.01.2009 21:00:00;6,51987;6,52486;6,51057;6,51416;518
05.01.2009 22:00:00;6,51402;6,52073;6,50077;6,51067;565
05.01.2009 23:00:00;6,51133;6,52808;6,51005;6,51778;467
06.01.2009 00:00:00;6,51766;6,51774;6,4994;6,50472;348
06.01.2009 01:00:00;6,5059;6,52469;6,50584;6,52464;310
06.01.2009 02:00:00;6,52138;6,5235;6,49734;6,50323;418
06.01.2009 03:00:00;6,51081;6,51081;6,49684;6,50377;316
06.01.2009 04:00:00;6,50383;6,5087;6,49485;6,50025;464
06.01.2009 05:00:00;6,50022;6,51285;6,49055;6,51285;383
06.01.2009 06:00:00;6,51104;6,51602;6,48059;6,48838;393
06.01.2009 07:00:00;6,49059;6,49059;6,47068;6,48026;380
06.01.2009 08:00:00;6,47808;6,49521;6,47135;6,49312;419
06.01.2009 09:00:00;6,49162;6,50563;6,46659;6,46874;531
06.01.2009 10:00:00;6,46683;6,48274;6,45462;6,47271;550
