Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,33988;1,33988;1,33979;1,33984;8
01.01.2009 02:00:00;1,33984;1,33984;1,33984;1,33984;0
01.01.2009 03:00:00;1,33984;1,33984;1,33984;1,33984;0
01.01.2009 04:00:00;1,33984;1,33984;1,33984;1,33984;0
01.01.2009 05:00:00;1,33984;1,33984;1,33984;1,33984;0
01.01.2009 06:00:00;1,34213;1,34249;1,34163;1,34223;46
01.01.2009 07:00:00;1,33771;1,33779;1,33714;1,33751;55
01.01.2009 08:00:00;1,33751;1,33751;1,33751;1,33751;0
01.01.2009 09:00:00;1,33794;1,33938;1,33756;1,33909;60
01.01.2009 10:00:00;1,33819;1,33976;1,33699;1,33936;101
01.01.2009 11:00:00;1,33983;1,33989;1,33725;1,33816;109
01.01.2009 12:00:00;1,33783;1,33968;1,33714;1,33798;127
01.01.2009 13:00:00;1,33965;1,34008;1,33724;1,33953;106
01.01.2009 14:00:00;1,33812;1,33979;1,33732;1,33953;108
01.01.2009 15:00:00;1,33923;1,33938;1,33857;1,33921;63
01.01.2009 16:00:00;1,33921;1,33921;1,33921;1,33921;0
01.01.2009 17:00:00;1,33921;1,33921;1,33921;1,33921;0
01.01.2009 18:00:00;1,33921;1,33921;1,33921;1,33921;0
01.01.2009 19:00:00;1,33965;1,34008;1,33934;1,33955;16
01.01.2009 20:00:00;1,33985;1,34594;1,33907;1,34293;105
01.01.2009 21:00:00;1,33889;1,34614;1,3384;1,34584;140
01.01.2009 22:00:00;1,34843;1,34843;1,34327;1,34654;101
01.01.2009 23:00:00;1,34649;1,35089;1,34376;1,35083;109
02.01.2009 00:00:00;1,35079;1,35175;1,34561;1,34642;479
02.01.2009 01:00:00;1,34569;1,34928;1,3441;1,34819;463
02.01.2009 02:00:00;1,34843;1,3546;1,34843;1,35357;464
02.01.2009 03:00:00;1,35322;1,35578;1,35184;1,35334;469
02.01.2009 04:00:00;1,35332;1,36049;1,35332;1,35748;485
