Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,9806;1,9815;1,97988;1,98052;3524,4
01.01.2009 02:00:00;1,98087;1,98123;1,97192;1,97278;1613,6
01.01.2009 03:00:00;1,97223;1,9733;1,97215;1,9723;967,2
01.01.2009 04:00:00;1,973;1,97335;1,97237;1,97237;909,5
01.01.2009 05:00:00;1,9728;1,9733;1,97257;1,97283;1152,6
01.01.2009 06:00:00;1,97294;1,97417;1,9723;1,9729;1119,4
01.01.2009 07:00:00;1,97277;1,98725;1,97197;1,97268;1312
01.01.2009 08:00:00;1,97263;1,97315;1,9723;1,97255;2238
01.01.2009 09:00:00;1,97311;1,9879;1,97311;1,9872;4338
01.01.2009 10:00:00;1,9865;1,99023;1,9865;1,98966;6059,2
01.01.2009 11:00:00;1,98994;1,99308;1,987;1,99225;6410,6
01.01.2009 12:00:00;1,9923;1,99484;1,9871;1,99441;6342,4
01.01.2009 13:00:00;1,99478;1,99708;1,98712;1,99655;6572,4
01.01.2009 14:00:00;1,99707;2,00162;1,98788;2,0014;5580
01.01.2009 15:00:00;2,00102;2,00195;2,00092;2,00165;1415,6
01.01.2009 16:00:00;1,99917;1,99917;1,98103;1,98117;830
01.01.2009 17:00:00;1,98107;1,98175;1,9808;1,98125;4217,2
01.01.2009 18:00:00;1,98103;1,98175;1,98077;1,9812;5374,9
01.01.2009 19:00:00;1,9812;1,9883;1,97962;1,98815;3680,4
01.01.2009 20:00:00;1,9886;1,9934;1,98595;1,99063;3165
01.01.2009 21:00:00;1,98962;1,99358;1,98657;1,98876;3328,6
01.01.2009 22:00:00;1,99053;1,995;1,99014;1,99345;1665,8
01.01.2009 23:00:00;1,99063;1,99265;1,98085;1,98962;3556,3
02.01.2009 00:00:00;1,99016;1,99148;1,98205;1,98335;1798,2
02.01.2009 01:00:00;1,9841;1,98695;1,9805;1,98595;2084,6
02.01.2009 02:00:00;1,9863;1,99495;1,9849;1,9914;5936,6
02.01.2009 03:00:00;1,9914;1,9989;1,9888;1,9949;8402,2
02.01.2009 04:00:00;1,99465;2,00425;1,99325;1,9934;5069,5
02.01.2009 05:00:00;1,9934;1,99855;1,9921;1,9951;6001,6
02.01.2009 06:00:00;1,99515;1,9979;1,98895;1,98925;4764,6
02.01.2009 07:00:00;1,9894;1,9957;1,98675;1,9957;4083
02.01.2009 08:00:00;1,9955;1,99625;1,9862;1,9873;4682,6
02.01.2009 09:00:00;1,9872;2,0036;1,98715;2,00265;4612
02.01.2009 10:00:00;2,00255;2,0058;1,9984;2,00305;4838,8
02.01.2009 11:00:00;2,0031;2,0074;1,99855;2,0036;4406,2
02.01.2009 12:00:00;2,0035;2,0095;2,00075;2,0029;3300,9
02.01.2009 13:00:00;2,0028;2,00655;2,00225;2,00395;3240,4
02.01.2009 14:00:00;2,00385;2,00385;1,99145;1,99185;6361
02.01.2009 15:00:00;1,99275;1,99705;1,98475;1,9876;6908,4
02.01.2009 16:00:00;1,9876;1,9914;1,98105;1,9817;7279,5
02.01.2009 17:00:00;1,98185;1,98875;1,9725;1,9748;7484,8
02.01.2009 18:00:00;1,9736;1,9764;1,96825;1,96845;3869,5
02.01.2009 19:00:00;1,96865;1,9703;1,9647;1,96685;4058,9
02.01.2009 20:00:00;1,9668;1,97035;1,95655;1,95945;4844,6
