Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,70412;1,70412;1,70412;1,70412;0
01.01.2009 02:00:00;1,70412;1,70412;1,70412;1,70412;0
01.01.2009 03:00:00;1,70412;1,70412;1,70412;1,70412;0
01.01.2009 04:00:00;1,70412;1,70412;1,70412;1,70412;0
01.01.2009 05:00:00;1,70412;1,70412;1,70412;1,70412;0
01.01.2009 06:00:00;1,69915;1,70012;1,69903;1,69977;1567,4
01.01.2009 07:00:00;1,69982;1,69992;1,6988;1,6996;1348,2
01.01.2009 08:00:00;1,6995;1,70005;1,69902;1,6998;2961,2
01.01.2009 09:00:00;1,69997;1,70015;1,69875;1,69992;4760,6
01.01.2009 10:00:00;1,69953;1,702;1,69909;1,70145;6651,8
01.01.2009 11:00:00;1,70174;1,70404;1,70126;1,70361;7025,64
01.01.2009 12:00:00;1,70406;1,7061;1,70305;1,70555;6231,52
01.01.2009 13:00:00;1,7056;1,70776;1,70475;1,70693;5725,44
01.01.2009 14:00:00;1,70766;1,71121;1,70668;1,71084;4510,8
01.01.2009 15:00:00;1,71101;1,71162;1,71049;1,71105;789
01.01.2009 16:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 17:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 18:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 19:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 20:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 21:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 22:00:00;1,71105;1,71105;1,71105;1,71105;0
01.01.2009 23:00:00;1,71048;1,71256;1,70999;1,71256;372,2
02.01.2009 00:00:00;1,71331;1,7148;1,7071;1,7074;1006,4
02.01.2009 01:00:00;1,7075;1,7119;1,70335;1,71095;1595,6
02.01.2009 02:00:00;1,711;1,7155;1,70945;1,7095;2608,2
02.01.2009 03:00:00;1,7102;1,711;1,7021;1,70235;2832,8
02.01.2009 04:00:00;1,7024;1,70525;1,6976;1,6996;2510,2
02.01.2009 05:00:00;1,69955;1,6996;1,6916;1,69545;3626,8
02.01.2009 06:00:00;1,69505;1,6975;1,6926;1,6948;1659,8
02.01.2009 07:00:00;1,6948;1,6948;1,68985;1,6927;2302,6
02.01.2009 08:00:00;1,69265;1,69545;1,69035;1,69035;2159,3
02.01.2009 09:00:00;1,6903;1,70565;1,69025;1,7049;3374,2
02.01.2009 10:00:00;1,7049;1,7096;1,7002;1,7059;4633,7
02.01.2009 11:00:00;1,70595;1,7079;1,7;1,7006;3899,2
02.01.2009 12:00:00;1,7003;1,7007;1,69525;1,696;2998,7
02.01.2009 13:00:00;1,697;1,7011;1,69625;1,6987;5019,9
02.01.2009 14:00:00;1,69865;1,7013;1,6954;1,69575;5803,44
02.01.2009 15:00:00;1,69585;1,698;1,69275;1,69435;8392,9
02.01.2009 16:00:00;1,69435;1,69695;1,69235;1,6957;6667,1
02.01.2009 17:00:00;1,6957;1,69795;1,69145;1,6937;8499,3
02.01.2009 18:00:00;1,6936;1,69625;1,68715;1,68745;7494,44
02.01.2009 19:00:00;1,6875;1,6887;1,6767;1,67755;4565,2
02.01.2009 20:00:00;1,6775;1,68155;1,675;1,6774;4395,6
02.01.2009 21:00:00;1,6774;1,6822;1,67725;1,68135;3529,5
02.01.2009 22:00:00;1,6814;1,68725;1,68025;1,68285;2559,7
02.01.2009 23:00:00;1,6828;1,6841;1,67535;1,67535;2949,2
05.01.2009 00:00:00;1,6756;1,67643;1,6723;1,67325;1342,4
05.01.2009 01:00:00;1,67325;1,6865;1,6728;1,6849;3072,7
05.01.2009 02:00:00;1,6849;1,6898;1,6826;1,6861;3725,24
05.01.2009 03:00:00;1,68615;1,68845;1,681;1,6833;3640,7
05.01.2009 04:00:00;1,683;1,6838;1,6778;1,67935;5119,9
05.01.2009 05:00:00;1,67935;1,6835;1,6771;1,68285;3480,8
05.01.2009 06:00:00;1,68285;1,6853;1,6814;1,68365;3183,2
05.01.2009 07:00:00;1,6836;1,6879;1,6805;1,6833;3334,84
05.01.2009 08:00:00;1,6833;1,6878;1,68295;1,68495;3576,3
05.01.2009 09:00:00;1,68443;1,6856;1,67845;1,6829;4584,7
05.01.2009 10:00:00;1,6825;1,6837;1,66315;1,6703;8700
05.01.2009 11:00:00;1,671;1,6716;1,65925;1,6644;7855,7
05.01.2009 12:00:00;1,6644;1,66705;1,6552;1,66335;7771,4
05.01.2009 13:00:00;1,6635;1,66785;1,65765;1,65935;6254,6
05.01.2009 14:00:00;1,6594;1,66165;1,6392;1,64105;8268,4
05.01.2009 15:00:00;1,64105;1,6543;1,6408;1,6502;8401,1
05.01.2009 16:00:00;1,65025;1,65495;1,6387;1,6408;10476,94
05.01.2009 17:00:00;1,6409;1,6417;1,6181;1,6186;10812,62
05.01.2009 18:00:00;1,61885;1,62235;1,61525;1,618;11625,8
05.01.2009 19:00:00;1,61815;1,6188;1,6135;1,61795;6822,8
05.01.2009 20:00:00;1,61825;1,6199;1,6146;1,61615;4879,6
05.01.2009 21:00:00;1,61625;1,61975;1,6151;1,6175;5644
05.01.2009 22:00:00;1,61745;1,61795;1,61145;1,6151;5184
05.01.2009 23:00:00;1,615;1,622;1,6122;1,6205;4023,9
06.01.2009 00:00:00;1,6204;1,6251;1,62;1,62335;1944,6
06.01.2009 01:00:00;1,6235;1,62385;1,61885;1,6197;2622,6
06.01.2009 02:00:00;1,6197;1,62155;1,61615;1,6174;6167
06.01.2009 03:00:00;1,6174;1,61795;1,61485;1,6177;4340,9
06.01.2009 04:00:00;1,6177;1,6215;1,6174;1,61975;3880,4
06.01.2009 05:00:00;1,61975;1,62185;1,6181;1,6181;1936
06.01.2009 06:00:00;1,61805;1,6209;1,6154;1,61835;4586,64
06.01.2009 07:00:00;1,6183;1,6187;1,61445;1,6167;5081,4
06.01.2009 08:00:00;1,6167;1,6191;1,6135;1,6158;4196,8
06.01.2009 09:00:00;1,6158;1,6196;1,6069;1,61265;6702,7
06.01.2009 10:00:00;1,61265;1,613;1,60345;1,6066;8839,6
06.01.2009 11:00:00;1,60685;1,60765;1,5976;1,59775;7575,6
06.01.2009 12:00:00;1,59775;1,59775;1,58605;1,5954;7325
06.01.2009 13:00:00;1,59535;1,59625;1,58645;1,5883;6342,6
06.01.2009 14:00:00;1,5883;1,5889;1,5821;1,58635;9383,4
06.01.2009 15:00:00;1,5863;1,58855;1,57925;1,58595;9549,54
06.01.2009 16:00:00;1,58595;1,58875;1,57515;1,5779;11045
06.01.2009 17:00:00;1,5779;1,5858;1,57575;1,57665;11584,68
06.01.2009 18:00:00;1,5769;1,59115;1,5767;1,5896;11658,7
06.01.2009 19:00:00;1,5896;1,59485;1,58835;1,593;8528,4
06.01.2009 20:00:00;1,593;1,5954;1,59085;1,5932;5031,4
06.01.2009 21:00:00;1,593;1,5991;1,5927;1,5945;7390,8
06.01.2009 22:00:00;1,5946;1,6004;1,59355;1,59925;4795,6
06.01.2009 23:00:00;1,5987;1,60455;1,59605;1,6025;3413,6
07.01.2009 00:00:00;1,6022;1,6026;1,5958;1,5986;1489,1
07.01.2009 01:00:00;1,5986;1,60025;1,5978;1,5992;4317
07.01.2009 02:00:00;1,5992;1,6021;1,59645;1,5979;4890,6
07.01.2009 03:00:00;1,5979;1,5981;1,59245;1,598;5035
07.01.2009 04:00:00;1,59805;1,60045;1,59625;1,59865;3521,4
07.01.2009 05:00:00;1,59865;1,6027;1,5977;1,6014;6283,42
07.01.2009 06:00:00;1,6015;1,6019;1,5987;1,6002;5530,2
07.01.2009 07:00:00;1,59995;1,6013;1,5975;1,59975;3829,2
07.01.2009 08:00:00;1,5998;1,6005;1,59625;1,5968;4859,7
07.01.2009 09:00:00;1,59675;1,60745;1,59465;1,6051;8846,24
07.01.2009 10:00:00;1,60515;1,6105;1,60125;1,6082;9356,8
07.01.2009 11:00:00;1,60825;1,6091;1,60345;1,60515;8154,8
07.01.2009 12:00:00;1,60515;1,6121;1,6043;1,61195;8184,8
07.01.2009 13:00:00;1,61195;1,61535;1,61005;1,6121;8248,5
07.01.2009 14:00:00;1,6121;1,6138;1,6058;1,6067;8665
07.01.2009 15:00:00;1,60655;1,6212;1,60495;1,61885;10752,4
07.01.2009 16:00:00;1,61885;1,6222;1,6141;1,62065;9450,5
07.01.2009 17:00:00;1,6207;1,63045;1,6165;1,62175;11488,8
07.01.2009 18:00:00;1,62165;1,62835;1,6171;1,6256;10361,3
07.01.2009 19:00:00;1,6256;1,6256;1,62175;1,6239;5479,2
07.01.2009 20:00:00;1,6239;1,62735;1,6211;1,62475;5410
07.01.2009 21:00:00;1,62465;1,6329;1,62385;1,62875;6766,4
07.01.2009 22:00:00;1,62875;1,63305;1,6264;1,6308;6122,8
07.01.2009 23:00:00;1,6308;1,6318;1,6159;1,62845;3239,1
08.01.2009 00:00:00;1,62845;1,6309;1,6283;1,6293;2179,2
08.01.2009 01:00:00;1,6292;1,63035;1,6274;1,62825;3043,6
08.01.2009 02:00:00;1,62845;1,62905;1,62365;1,62655;3966,8
08.01.2009 03:00:00;1,62665;1,62915;1,62605;1,62625;3753,4
08.01.2009 04:00:00;1,62625;1,6297;1,625;1,6287;2543,7
08.01.2009 05:00:00;1,6287;1,62915;1,62675;1,6274;3145,5
08.01.2009 06:00:00;1,62735;1,63045;1,62615;1,62955;3853,9
08.01.2009 07:00:00;1,62955;1,6302;1,626;1,62705;3714,4
08.01.2009 08:00:00;1,6271;1,6325;1,62655;1,6318;6104
08.01.2009 09:00:00;1,63175;1,6359;1,62795;1,6332;9628,4
08.01.2009 10:00:00;1,6335;1,6363;1,63025;1,6339;9712,24
08.01.2009 11:00:00;1,63365;1,63585;1,6268;1,6322;8362,2
08.01.2009 12:00:00;1,63215;1,63655;1,6295;1,6357;9440,6
08.01.2009 13:00:00;1,63565;1,63575;1,629;1,6305;7941
08.01.2009 14:00:00;1,6305;1,63675;1,6259;1,63265;11937,9
08.01.2009 15:00:00;1,63265;1,64175;1,6309;1,6376;14035,24
08.01.2009 16:00:00;1,63755;1,64355;1,62665;1,63005;11086,3
