Time (EET);Open;High;Low;Close;Volume 
02.01.2017 02:00:00;27,0053;27,0198;26,9289;26,9397;3540,3
02.01.2017 03:00:00;26,9494;27,0187;26,9289;26,9707;1119,6
02.01.2017 04:00:00;27,0054;27,0212;26,9289;26,9742;393,08
02.01.2017 05:00:00;26,9601;27,0185;26,9289;26,9405;413,18
02.01.2017 06:00:00;26,996;27,0189;26,8769;26,9407;428,27
02.01.2017 07:00:00;26,9477;27,0171;26,879;26,9562;598,35
02.01.2017 08:00:00;26,9577;27,0208;26,9504;27,0124;2456,4
02.01.2017 09:00:00;27,0145;27,0191;26,9527;27,0116;2228,29
02.01.2017 10:00:00;27,0136;27,0232;26,9761;27,0155;2095,34
02.01.2017 11:00:00;27,0135;27,0188;26,9824;27,0128;910,992
02.01.2017 12:00:00;27,012;27,0186;26,9934;27,015;759,871
02.01.2017 13:00:00;27,0099;27,0188;26,9957;27,0156;2021,87
02.01.2017 14:00:00;27,0165;27,0187;26,9987;27,0163;2873,27
02.01.2017 15:00:00;27,0156;27,0214;26,9938;27,0155;3028,26
02.01.2017 16:00:00;27,0153;27,022;26,9933;27,0175;1639,12
02.01.2017 17:00:00;27,0186;27,0197;26,9851;27,0091;1108,3
02.01.2017 18:00:00;26,9996;27,0215;26,9758;27,0145;426,284
02.01.2017 19:00:00;27,0148;27,022;26,9796;27,0168;503,42
02.01.2017 20:00:00;27,0135;27,0217;26,985;27,0164;775,299
02.01.2017 21:00:00;27,0132;27,0202;26,9851;27,016;469,17
02.01.2017 22:00:00;27,017;27,0209;26,9562;27,0153;1007,886
02.01.2017 23:00:00;27,0155;27,0218;26,971;27,015;247,324
03.01.2017 00:00:00;27,0149;27,0282;26,9139;27,0149;643,138
03.01.2017 01:00:00;26,9612;27,0201;26,9314;27,0164;478,448
03.01.2017 02:00:00;27,014;27,0219;26,9304;27,0061;983,7
03.01.2017 03:00:00;26,9909;27,0244;26,929;27,014;1127,6
03.01.2017 04:00:00;27,0111;27,0217;26,9815;27,0151;764,87
03.01.2017 05:00:00;27,0152;27,0192;26,9812;27,0135;508,18
03.01.2017 06:00:00;27,0077;27,0187;26,9815;26,9989;578,77
03.01.2017 07:00:00;26,999;27,0199;26,9753;27,0047;1029,96
03.01.2017 08:00:00;27,0079;27,0197;26,9926;27,015;5305
03.01.2017 09:00:00;27,0151;27,0196;26,9938;27,0149;4313,33
03.01.2017 10:00:00;27,0126;27,0197;27,0094;27,0186;2778,43
03.01.2017 11:00:00;27,0173;27,0197;27,0096;27,0147;2360,76
03.01.2017 12:00:00;27,0164;27,0195;27,0097;27,0114;1932,43
03.01.2017 13:00:00;27,0127;27,0188;27,01;27,0151;3470,27
03.01.2017 14:00:00;27,0147;27,019;27,0079;27,0163;4776,42
03.01.2017 15:00:00;27,0146;27,0195;27,0084;27,0155;4626,42
03.01.2017 16:00:00;27,0174;27,0194;27,0103;27,0151;5786,02
03.01.2017 17:00:00;27,0129;27,0195;27,0108;27,0151;2761,67
03.01.2017 18:00:00;27,0163;27,0205;27,0043;27,0175;2417,68
03.01.2017 19:00:00;27,0163;27,0216;27,0043;27,0173;1099,19
03.01.2017 20:00:00;27,0162;27,0204;27,0042;27,0166;1503,88
03.01.2017 21:00:00;27,0073;27,0192;27,0051;27,0146;889,62
03.01.2017 22:00:00;27,0165;27,0188;26,9992;27,0139;1780,98
03.01.2017 23:00:00;27,016;27,0197;26,9988;27,0145;179,315
04.01.2017 00:00:00;27,0149;27,0216;26,9843;27,0128;284,946
04.01.2017 01:00:00;27,0133;27,0201;26,9817;27,0065;233,459
04.01.2017 02:00:00;27,0003;27,0201;26,9821;27,0147;957,84
