Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;7,447;7,447;7,447;7,447;0
01.01.2009 02:00:00;7,447;7,447;7,447;7,447;0
01.01.2009 03:00:00;7,447;7,447;7,447;7,447;0
01.01.2009 04:00:00;7,447;7,447;7,447;7,447;0
01.01.2009 05:00:00;7,44907;7,44939;7,44882;7,44939;73,1
01.01.2009 06:00:00;7,44935;7,44973;7,44813;7,44823;236
01.01.2009 07:00:00;7,4412;7,4412;7,43833;7,43875;277,8
01.01.2009 08:00:00;7,44297;7,45492;7,44297;7,45489;120,4
01.01.2009 09:00:00;7,45453;7,45491;7,44892;7,4494;935,7
01.01.2009 10:00:00;7,44903;7,44937;7,44063;7,4439;1526,8
01.01.2009 11:00:00;7,44452;7,4473;7,44452;7,44727;221,8
01.01.2009 12:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 13:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 14:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 15:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 16:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 17:00:00;7,44727;7,44727;7,44727;7,44727;0
01.01.2009 18:00:00;7,4442;7,44473;7,44407;7,44407;227,1
01.01.2009 19:00:00;7,44497;7,4599;7,44234;7,4439;176,8
01.01.2009 20:00:00;7,44435;7,45272;7,4359;7,44603;403,3
01.01.2009 21:00:00;7,44698;7,45018;7,43263;7,43308;351,1
01.01.2009 22:00:00;7,43647;7,45709;7,4361;7,45709;328,3
01.01.2009 23:00:00;7,45707;7,45713;7,43976;7,44633;288,8
02.01.2009 00:00:00;7,44914;7,45286;7,43618;7,4472;347,6
02.01.2009 01:00:00;7,45276;7,45276;7,43683;7,44605;363,1
02.01.2009 02:00:00;7,44602;7,44863;7,44362;7,44798;363,1
02.01.2009 03:00:00;7,44696;7,44832;7,44262;7,4463;413,8
02.01.2009 04:00:00;7,44723;7,45105;7,44516;7,44617;445,9
02.01.2009 05:00:00;7,44697;7,44826;7,44416;7,44542;585,1
02.01.2009 06:00:00;7,447;7,44851;7,44099;7,44726;388,4
02.01.2009 07:00:00;7,4469;7,44992;7,44581;7,4467;540,1
02.01.2009 08:00:00;7,4475;7,4509;7,44561;7,44836;1513,8
02.01.2009 09:00:00;7,4481;7,45054;7,44677;7,44871;2534,5
02.01.2009 10:00:00;7,44854;7,45111;7,44666;7,449;3047,6
02.01.2009 11:00:00;7,44856;7,45111;7,4464;7,44974;2874
02.01.2009 12:00:00;7,44969;7,45093;7,44728;7,44907;3122,5
02.01.2009 13:00:00;7,44929;7,4507;7,44737;7,44865;3025
02.01.2009 14:00:00;7,44907;7,44973;7,44715;7,44835;2869,4
02.01.2009 15:00:00;7,44823;7,45055;7,4459;7,44775;2616,7
02.01.2009 16:00:00;7,4491;7,44923;7,44528;7,44778;2992,5
02.01.2009 17:00:00;7,44749;7,44877;7,44515;7,44865;3065,5
02.01.2009 18:00:00;7,44946;7,4504;7,44563;7,44645;2245,4
02.01.2009 19:00:00;7,44652;7,44766;7,44446;7,44684;1096,1
02.01.2009 20:00:00;7,44644;7,44755;7,44533;7,4463;596,1
02.01.2009 21:00:00;7,44764;7,4484;7,44603;7,44671;785,4
02.01.2009 22:00:00;7,4471;7,44786;7,44561;7,44622;613,1
02.01.2009 23:00:00;7,44617;7,44759;7,44562;7,44612;482,5
05.01.2009 00:00:00;7,44715;7,44857;7,44302;7,44693;438,2
05.01.2009 01:00:00;7,44727;7,44784;7,44613;7,4477;381,6
05.01.2009 02:00:00;7,44706;7,44755;7,44606;7,44682;471,3
05.01.2009 03:00:00;7,44716;7,4473;7,44263;7,443;380,4
05.01.2009 04:00:00;7,44673;7,44906;7,44572;7,44735;575,7
05.01.2009 05:00:00;7,4471;7,44915;7,44392;7,44692;485,8
05.01.2009 06:00:00;7,4468;7,44746;7,44537;7,44599;464,7
05.01.2009 07:00:00;7,44717;7,4479;7,44382;7,4473;723,4
05.01.2009 08:00:00;7,4462;7,44727;7,44531;7,44692;1721,3
05.01.2009 09:00:00;7,44663;7,44783;7,44415;7,44667;2587,4
05.01.2009 10:00:00;7,44604;7,451;7,43979;7,45097;2963
05.01.2009 11:00:00;7,44779;7,45197;7,44422;7,45197;2430,9
05.01.2009 12:00:00;7,44716;7,4514;7,44531;7,44764;2685,3
05.01.2009 13:00:00;7,44749;7,44876;7,44523;7,44875;2910,7
05.01.2009 14:00:00;7,44732;7,44887;7,4454;7,44766;2800
05.01.2009 15:00:00;7,44686;7,44944;7,44576;7,44659;2818,4
05.01.2009 16:00:00;7,44699;7,44964;7,44549;7,44747;3138,2
05.01.2009 17:00:00;7,44748;7,45001;7,44493;7,44751;3065
05.01.2009 18:00:00;7,44818;7,44995;7,44495;7,44728;2599
05.01.2009 19:00:00;7,44752;7,44947;7,44712;7,44777;1205
05.01.2009 20:00:00;7,44811;7,44922;7,44702;7,44773;829,3
05.01.2009 21:00:00;7,44785;7,44926;7,44663;7,44743;940,1
05.01.2009 22:00:00;7,44692;7,44905;7,44692;7,44814;852,7
05.01.2009 23:00:00;7,44829;7,44913;7,44701;7,44741;915,5
06.01.2009 00:00:00;7,44794;7,44901;7,4462;7,44719;687,3
06.01.2009 01:00:00;7,4475;7,44863;7,4463;7,44701;459,4
