Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,95747;0,95801;0,95335;0,9538;5601,8
01.01.2009 02:00:00;0,95365;0,95501;0,95335;0,95467;2466,8936
01.01.2009 03:00:00;0,9547;0,95501;0,95454;0,95485;1826,9
01.01.2009 04:00:00;0,95495;0,95495;0,95359;0,95385;3305,5
01.01.2009 05:00:00;0,95386;0,9541;0,95354;0,95383;5638,1
01.01.2009 06:00:00;0,95391;0,95418;0,9535;0,95373;7236,9
01.01.2009 07:00:00;0,95388;0,95625;0,95371;0,95602;6958
01.01.2009 08:00:00;0,95605;0,95667;0,95584;0,95616;8195,4
01.01.2009 09:00:00;0,95603;0,95627;0,95497;0,95509;11464,6
01.01.2009 10:00:00;0,95499;0,95732;0,95499;0,95685;10099,1
01.01.2009 11:00:00;0,95732;0,95841;0,95692;0,95813;10786,394
01.01.2009 12:00:00;0,95845;0,95968;0,95683;0,95968;11820
01.01.2009 13:00:00;0,95942;0,96063;0,95899;0,96018;9339,2
01.01.2009 14:00:00;0,96056;0,9627;0,96033;0,96265;9426,394
01.01.2009 15:00:00;0,96267;0,96284;0,96238;0,96277;9007,2
01.01.2009 16:00:00;0,96281;0,96288;0,96248;0,96264;11434,5
01.01.2009 17:00:00;0,96258;0,96284;0,96247;0,96264;10023,5
01.01.2009 18:00:00;0,96259;0,96283;0,96243;0,96256;9200,5
01.01.2009 19:00:00;0,96255;0,96367;0,95571;0,95846;7524,1
01.01.2009 20:00:00;0,95576;0,95762;0,95486;0,95637;2629,4
01.01.2009 21:00:00;0,95585;0,95805;0,9543;0,956;2512,8
01.01.2009 22:00:00;0,95615;0,95886;0,95402;0,95803;3047,2
01.01.2009 23:00:00;0,95776;0,95859;0,95506;0,95615;4165
02.01.2009 00:00:00;0,95568;0,95644;0,94575;0,9496;3163,4
02.01.2009 01:00:00;0,9497;0,95095;0,94815;0,95015;2238
02.01.2009 02:00:00;0,9501;0,9512;0,9487;0,94985;4565,4
02.01.2009 03:00:00;0,94985;0,95065;0,94855;0,9501;21307,4
02.01.2009 04:00:00;0,9501;0,95315;0,9481;0,949;4847,5
02.01.2009 05:00:00;0,949;0,949;0,945;0,948;5786,7
02.01.2009 06:00:00;0,948;0,9484;0,94555;0,9474;6616,6
02.01.2009 07:00:00;0,94715;0,94835;0,94345;0,9446;4438,8
02.01.2009 08:00:00;0,9446;0,9476;0,9441;0,9476;5122,7
02.01.2009 09:00:00;0,9476;0,9544;0,94505;0,95305;8142,9
02.01.2009 10:00:00;0,95305;0,9576;0,95245;0,95575;9160,5
02.01.2009 11:00:00;0,9557;0,96;0,9544;0,9573;7935,5
02.01.2009 12:00:00;0,95745;0,96085;0,9569;0,95995;5655,3
02.01.2009 13:00:00;0,95995;0,96475;0,95995;0,9614;7713,1
02.01.2009 14:00:00;0,9614;0,9646;0,95895;0,96295;11323,2
02.01.2009 15:00:00;0,96315;0,96395;0,9589;0,9617;11158,8
