Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 02:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 03:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 04:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 05:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 06:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 07:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 08:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 09:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 10:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 11:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 12:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 13:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 14:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 15:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 16:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 17:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 18:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 19:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 20:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 21:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 22:00:00;262,773;262,773;262,773;262,773;0
01.01.2009 23:00:00;265,098;265,276;264,953;264,953;8,7
02.01.2009 00:00:00;264,938;265,366;264,523;265,043;37
02.01.2009 01:00:00;265,258;265,466;264,715;264,803;55,9
02.01.2009 02:00:00;265,208;265,416;265,043;265,043;26,1
02.01.2009 03:00:00;265,228;265,426;265,073;265,073;34,5
02.01.2009 04:00:00;265,238;265,426;265,063;265,063;34,6
02.01.2009 05:00:00;265,168;265,436;265,023;265,103;34,8
02.01.2009 06:00:00;265,228;265,416;265,073;265,083;35,1
02.01.2009 07:00:00;265,228;265,406;265,053;265,251;37,1
02.01.2009 08:00:00;264,948;265,49;264,324;264,843;90,63
02.01.2009 09:00:00;264,828;265,031;262,838;263,713;251,45
02.01.2009 10:00:00;264,123;264,324;262,643;263,775;323,16
02.01.2009 11:00:00;263,88;265,251;262,922;264,589;430,63
02.01.2009 12:00:00;264,297;264,771;263,851;264,413;249,91
02.01.2009 13:00:00;264,578;266,051;263,367;264,894;386,07
02.01.2009 14:00:00;264,925;265,51;263,969;264,544;397,4
02.01.2009 15:00:00;264,806;265,92;263,933;265,538;466,09
02.01.2009 16:00:00;265,715;266,607;264,935;266,295;389,66
02.01.2009 17:00:00;266,315;266,466;264,847;265,978;366,79
02.01.2009 18:00:00;265,982;266,017;265,164;265,427;280,59
02.01.2009 19:00:00;265,9;266,066;264,999;265,613;103,85
02.01.2009 20:00:00;265,613;266,006;265,277;265,389;186,45
02.01.2009 21:00:00;265,818;265,996;265,215;265,389;126,8
02.01.2009 22:00:00;265,603;265,986;265,123;265,463;113,5
02.01.2009 23:00:00;265,628;265,806;265,17;265,332;74,5
05.01.2009 00:00:00;265,428;265,934;265,164;265,771;120,9
05.01.2009 01:00:00;265,698;266,505;265,402;265,523;135,1
05.01.2009 02:00:00;265,463;265,856;265,463;265,738;26,1
05.01.2009 03:00:00;265,533;265,856;265,495;265,648;43,2
05.01.2009 04:00:00;265,728;265,917;265,37;265,646;69,88
05.01.2009 05:00:00;265,473;265,901;265,305;265,861;43,4
05.01.2009 06:00:00;265,513;265,851;265,3;265,718;36,8
05.01.2009 07:00:00;265,533;265,861;265,463;265,798;41,1
05.01.2009 08:00:00;265,648;266,066;264,982;265,472;125,03
05.01.2009 09:00:00;265,381;265,981;264,322;265,349;420,48
05.01.2009 10:00:00;265,633;265,758;264,189;265,492;575,24
05.01.2009 11:00:00;265,657;266,184;264,57;265,785;551,94
05.01.2009 12:00:00;265,606;267,239;264,969;266,787;554,19
05.01.2009 13:00:00;266,673;267,246;265,763;266,27;438,66
05.01.2009 14:00:00;266,565;266,924;265,595;266,655;538,09
05.01.2009 15:00:00;266,436;267,825;265,829;267,226;532,72
05.01.2009 16:00:00;267,222;267,553;266,35;266,617;604,32
05.01.2009 17:00:00;266,438;266,852;265,316;265,925;455,53
05.01.2009 18:00:00;265,948;266,869;265,59;266,146;418,5
05.01.2009 19:00:00;266,172;266,82;265,45;265,766;217,46
05.01.2009 20:00:00;265,855;266,255;265,369;265,928;81,96
05.01.2009 21:00:00;265,793;266,116;265,275;265,695;176,24
05.01.2009 22:00:00;265,783;266,21;264,903;265,612;206,2
05.01.2009 23:00:00;265,553;266,469;265,039;266,197;168,9
06.01.2009 00:00:00;266,183;266,509;265,844;266,268;96,7
06.01.2009 01:00:00;266,103;266,503;266,088;266,248;42,9
06.01.2009 02:00:00;266,092;266,551;266,004;266,181;97,2
06.01.2009 03:00:00;266,103;266,535;265,783;266,123;113,7
06.01.2009 04:00:00;266,368;266,51;265,95;266,308;77,88
06.01.2009 05:00:00;266,063;266,501;265,945;266,501;52,3
06.01.2009 06:00:00;266,093;266,684;265,843;266,288;107,5
06.01.2009 07:00:00;266,123;266,629;265,833;265,833;95,95
06.01.2009 08:00:00;266,218;266,488;265,571;265,655;189,9
06.01.2009 09:00:00;265,66;266,816;264,867;266,816;481,53
06.01.2009 10:00:00;266,958;267,184;265,474;266,749;566,24
06.01.2009 11:00:00;266,77;267,376;266,157;266,99;525,6
06.01.2009 12:00:00;267,015;267,256;266,063;266,612;534,03
06.01.2009 13:00:00;266,325;266,936;265,449;266,268;521,56
06.01.2009 14:00:00;266,512;266,736;265,555;266,253;437,86
06.01.2009 15:00:00;265,998;266,705;265,362;266,06;540,5
