Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;9,69145;9,69145;9,69145;9,69145;1,6
01.01.2009 02:00:00;9,7101;9,7101;9,69145;9,69145;3,2
01.01.2009 03:00:00;9,69145;9,69145;9,69145;9,69145;0
01.01.2009 04:00:00;9,69145;9,69145;9,69145;9,69145;1,6
01.01.2009 05:00:00;9,70635;9,70635;9,70297;9,703;14,4
01.01.2009 06:00:00;9,70505;9,72498;9,70405;9,7134;145,4
01.01.2009 07:00:00;9,71145;9,71777;9,687;9,69055;257,2
01.01.2009 08:00:00;9,7095;9,7108;9,69145;9,69145;39,2
01.01.2009 09:00:00;9,69145;9,70862;9,69145;9,70862;3,2
01.01.2009 10:00:00;9,70915;9,73317;9,69862;9,71158;900,2
01.01.2009 11:00:00;9,73443;9,74806;9,70182;9,74454;809,7
01.01.2009 12:00:00;9,74551;9,75644;9,69871;9,7081;1486
01.01.2009 13:00:00;9,74615;9,7677;9,6958;9,70986;765,7
01.01.2009 14:00:00;9,76573;9,77985;9,69971;9,70912;847,9
01.01.2009 15:00:00;9,7077;9,71298;9,70339;9,70898;1057,6
01.01.2009 16:00:00;9,70832;9,71511;9,70213;9,7091;660,8
01.01.2009 17:00:00;9,70912;9,71779;9,68964;9,7084;633,6
01.01.2009 18:00:00;9,70805;9,71567;9,68828;9,70626;858,3
01.01.2009 19:00:00;9,70605;9,72836;9,60745;9,72758;583,5
01.01.2009 20:00:00;9,71725;9,73595;9,66408;9,71702;268,4
01.01.2009 21:00:00;9,71355;9,7316;9,6989;9,7255;191
01.01.2009 22:00:00;9,73;9,73;9,69875;9,71285;168,2
01.01.2009 23:00:00;9,69939;9,73635;9,69117;9,73432;246,6
02.01.2009 00:00:00;9,71866;9,73229;9,6315;9,64223;408,4
02.01.2009 01:00:00;9,66588;9,70977;9,62162;9,70231;458,8
02.01.2009 02:00:00;9,6988;9,7164;9,66669;9,69722;585,8
02.01.2009 03:00:00;9,71408;9,7171;9,675;9,70413;601,8
02.01.2009 04:00:00;9,70353;9,71842;9,67778;9,6941;542
02.01.2009 05:00:00;9,708;9,71;9,68428;9,69702;615,6
02.01.2009 06:00:00;9,69396;9,73106;9,69122;9,7122;675,4
02.01.2009 07:00:00;9,70952;9,72325;9,70247;9,71874;845
