Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,41677;2,41677;2,41677;2,41677;0
01.01.2009 02:00:00;2,39055;2,3913;2,39043;2,3912;323
01.01.2009 03:00:00;2,3912;2,3912;2,3893;2,39118;254
01.01.2009 04:00:00;2,39105;2,3939;2,3879;2,39253;316
01.01.2009 05:00:00;2,39245;2,3935;2,39102;2,39107;438
01.01.2009 06:00:00;2,39115;2,3913;2,39082;2,39115;336
01.01.2009 07:00:00;2,39115;2,3936;2,39025;2,39158;427
01.01.2009 08:00:00;2,39153;2,3927;2,39075;2,39105;814
01.01.2009 09:00:00;2,3911;2,3911;2,39065;2,39088;1119
01.01.2009 10:00:00;2,3909;2,39338;2,39084;2,39338;2194
01.01.2009 11:00:00;2,39239;2,39654;2,39239;2,39647;2288
01.01.2009 12:00:00;2,39521;2,3989;2,39337;2,39888;1615
01.01.2009 13:00:00;2,39768;2,40177;2,39745;2,40177;1292
01.01.2009 14:00:00;2,40017;2,4054;2,40008;2,40535;611
01.01.2009 15:00:00;2,4054;2,4054;2,4035;2,4054;168
01.01.2009 16:00:00;2,4054;2,4054;2,4054;2,4054;0
01.01.2009 17:00:00;2,4054;2,4054;2,4054;2,4054;0
01.01.2009 18:00:00;2,4054;2,4054;2,4054;2,4054;0
01.01.2009 19:00:00;2,38923;2,3893;2,3892;2,38923;15
01.01.2009 20:00:00;2,38923;2,38923;2,38923;2,38923;0
01.01.2009 21:00:00;2,40878;2,41355;2,40765;2,41107;220
01.01.2009 22:00:00;2,40967;2,4112;2,40655;2,4087;268
01.01.2009 23:00:00;2,40875;2,4092;2,40248;2,4075;241
02.01.2009 00:00:00;2,41242;2,41495;2,38162;2,40081;497
02.01.2009 01:00:00;2,40122;2,40515;2,39534;2,39652;497
02.01.2009 02:00:00;2,39845;2,40729;2,39845;2,40534;607
02.01.2009 03:00:00;2,40755;2,40801;2,39905;2,40712;550
02.01.2009 04:00:00;2,40721;2,4149;2,39946;2,40156;613
02.01.2009 05:00:00;2,4007;2,4007;2,39086;2,39712;815
02.01.2009 06:00:00;2,39715;2,39896;2,39469;2,39706;687
02.01.2009 07:00:00;2,39461;2,39929;2,39261;2,39916;880
02.01.2009 08:00:00;2,39945;2,40059;2,39311;2,39428;1634
02.01.2009 09:00:00;2,39427;2,40742;2,39355;2,40632;2269
02.01.2009 10:00:00;2,4059;2,41108;2,40064;2,40755;2473
02.01.2009 11:00:00;2,40786;2,4128;2,39872;2,40072;2332
02.01.2009 12:00:00;2,40049;2,4063;2,40049;2,40148;1777
02.01.2009 13:00:00;2,40174;2,40508;2,3993;2,40175;1550
02.01.2009 14:00:00;2,4026;2,40478;2,3917;2,3917;870
02.01.2009 15:00:00;2,39379;2,40039;2,39224;2,39309;500
02.01.2009 16:00:00;2,39194;2,39661;2,38315;2,38608;517
02.01.2009 17:00:00;2,38652;2,39283;2,38067;2,38067;489
02.01.2009 18:00:00;2,37872;2,39026;2,37823;2,38299;514
02.01.2009 19:00:00;2,38317;2,38384;2,37393;2,37429;493
02.01.2009 20:00:00;2,3741;2,37641;2,36348;2,36606;500
02.01.2009 21:00:00;2,36609;2,37137;2,35863;2,35999;491
02.01.2009 22:00:00;2,36279;2,36554;2,36097;2,36444;480
02.01.2009 23:00:00;2,36452;2,37156;2,36438;2,3709;496
05.01.2009 00:00:00;2,37093;2,37093;2,35402;2,35607;504
05.01.2009 01:00:00;2,35594;2,36163;2,35097;2,36163;497
05.01.2009 02:00:00;2,36147;2,36562;2,36012;2,36012;605
05.01.2009 03:00:00;2,36015;2,36229;2,35704;2,35815;547
05.01.2009 04:00:00;2,35807;2,35815;2,34866;2,34941;607
05.01.2009 05:00:00;2,3496;2,35686;2,34919;2,35137;815
05.01.2009 06:00:00;2,35108;2,35814;2,34946;2,35316;687
05.01.2009 07:00:00;2,3531;2,35529;2,34904;2,35012;880
05.01.2009 08:00:00;2,3504;2,35996;2,34943;2,35788;1634
05.01.2009 09:00:00;2,35894;2,38468;2,35753;2,38432;2269
05.01.2009 10:00:00;2,38409;2,38409;2,33425;2,33511;2473
05.01.2009 11:00:00;2,33444;2,34256;2,33345;2,34256;2332
05.01.2009 12:00:00;2,3435;2,34753;2,33459;2,33865;1777
05.01.2009 13:00:00;2,33876;2,35187;2,33687;2,34061;1550
05.01.2009 14:00:00;2,34047;2,34051;2,32905;2,3301;870
05.01.2009 15:00:00;2,33079;2,33376;2,32663;2,32741;500
05.01.2009 16:00:00;2,32791;2,32882;2,30291;2,31128;517
05.01.2009 17:00:00;2,3113;2,31303;2,30202;2,30793;489
05.01.2009 18:00:00;2,30671;2,31429;2,30348;2,31007;514
05.01.2009 19:00:00;2,31003;2,31321;2,3018;2,30544;493
05.01.2009 20:00:00;2,30611;2,31302;2,3025;2,30653;500
05.01.2009 21:00:00;2,30621;2,31226;2,30279;2,30815;491
05.01.2009 22:00:00;2,30791;2,31046;2,30173;2,30515;485
05.01.2009 23:00:00;2,30512;2,30838;2,29987;2,30838;496
06.01.2009 00:00:00;2,3093;2,3147;2,30674;2,31178;504
06.01.2009 01:00:00;2,31165;2,316;2,30925;2,31563;497
06.01.2009 02:00:00;2,31516;2,3152;2,30932;2,31146;606
06.01.2009 03:00:00;2,31121;2,31138;2,30576;2,30676;547
06.01.2009 04:00:00;2,30574;2,31141;2,3057;2,30756;611
06.01.2009 05:00:00;2,30788;2,31257;2,30716;2,31187;815
06.01.2009 06:00:00;2,31205;2,32039;2,31205;2,31591;687
06.01.2009 07:00:00;2,31571;2,31571;2,30438;2,3049;880
06.01.2009 08:00:00;2,30479;2,30963;2,30145;2,30865;1634
06.01.2009 09:00:00;2,30841;2,3166;2,3043;2,30973;2269
06.01.2009 10:00:00;2,30946;2,30946;2,29366;2,29429;2473
06.01.2009 11:00:00;2,29436;2,29847;2,29002;2,2924;2332
06.01.2009 12:00:00;2,29224;2,29224;2,2738;2,27847;1777
06.01.2009 13:00:00;2,27852;2,2808;2,27078;2,27119;1550
06.01.2009 14:00:00;2,27096;2,27371;2,26503;2,26804;870
06.01.2009 15:00:00;2,26841;2,27354;2,26164;2,26704;500
06.01.2009 16:00:00;2,26693;2,2715;2,24917;2,25267;517
06.01.2009 17:00:00;2,25266;2,26717;2,25229;2,26165;489
06.01.2009 18:00:00;2,26241;2,26778;2,25648;2,26099;514
06.01.2009 19:00:00;2,26052;2,26628;2,25794;2,26492;493
06.01.2009 20:00:00;2,26502;2,26502;2,25913;2,26057;500
06.01.2009 21:00:00;2,26036;2,26618;2,25321;2,25852;491
06.01.2009 22:00:00;2,25905;2,2633;2,25482;2,26276;480
06.01.2009 23:00:00;2,26276;2,26452;2,25694;2,2593;496
07.01.2009 00:00:00;2,25892;2,26317;2,25426;2,25721;504
07.01.2009 01:00:00;2,25717;2,26648;2,25616;2,26321;497
07.01.2009 02:00:00;2,26249;2,26594;2,25417;2,25702;610
07.01.2009 03:00:00;2,25707;2,25709;2,24777;2,25491;547
07.01.2009 04:00:00;2,25557;2,25913;2,25428;2,25685;607
07.01.2009 05:00:00;2,25682;2,26548;2,25652;2,26525;815
07.01.2009 06:00:00;2,26426;2,26636;2,26014;2,26043;687
07.01.2009 07:00:00;2,26009;2,27075;2,25885;2,26703;880
07.01.2009 08:00:00;2,26724;2,27111;2,26109;2,26792;1634
07.01.2009 09:00:00;2,26809;2,27914;2,26286;2,27854;2269
07.01.2009 10:00:00;2,27784;2,28601;2,27301;2,28082;2473
07.01.2009 11:00:00;2,28056;2,28056;2,26983;2,27519;2332
07.01.2009 12:00:00;2,27517;2,28345;2,27212;2,28345;1777
07.01.2009 13:00:00;2,28325;2,28711;2,28011;2,28282;1550
07.01.2009 14:00:00;2,2826;2,28325;2,27302;2,27381;870
07.01.2009 15:00:00;2,2739;2,28308;2,26982;2,28269;500
07.01.2009 16:00:00;2,28333;2,28404;2,2736;2,2764;517
07.01.2009 17:00:00;2,27638;2,29411;2,2738;2,28801;489
07.01.2009 18:00:00;2,28709;2,28933;2,27786;2,28231;514
07.01.2009 19:00:00;2,28274;2,28775;2,27827;2,27984;493
07.01.2009 20:00:00;2,28176;2,29625;2,28079;2,29624;500
07.01.2009 21:00:00;2,29535;2,29834;2,29105;2,29763;491
07.01.2009 22:00:00;2,29747;2,30869;2,29522;2,30737;480
07.01.2009 23:00:00;2,30678;2,30789;2,30156;2,30509;500
08.01.2009 00:00:00;2,3051;2,30785;2,30398;2,30717;504
08.01.2009 01:00:00;2,30739;2,31221;2,30594;2,31139;503
08.01.2009 02:00:00;2,31113;2,31288;2,30462;2,31288;605
08.01.2009 03:00:00;2,31285;2,3145;2,31072;2,31072;547
08.01.2009 04:00:00;2,31048;2,32221;2,31014;2,3191;611
08.01.2009 05:00:00;2,31924;2,32534;2,316;2,32083;815
08.01.2009 06:00:00;2,32017;2,32555;2,31971;2,32313;687
08.01.2009 07:00:00;2,32307;2,32418;2,31831;2,32097;880
08.01.2009 08:00:00;2,3204;2,32801;2,31792;2,32279;1634
08.01.2009 09:00:00;2,32294;2,32715;2,31469;2,32713;2269
08.01.2009 10:00:00;2,32735;2,33415;2,31232;2,31697;2473
08.01.2009 11:00:00;2,31677;2,31711;2,30711;2,30731;2332
08.01.2009 12:00:00;2,30671;2,30846;2,3014;2,30767;1777
08.01.2009 13:00:00;2,30608;2,31189;2,30341;2,30455;1550
08.01.2009 14:00:00;2,30486;2,30849;2,29717;2,30811;870
08.01.2009 15:00:00;2,30827;2,31872;2,30431;2,30723;500
08.01.2009 16:00:00;2,30879;2,32349;2,30879;2,31809;517
08.01.2009 17:00:00;2,31737;2,32179;2,30646;2,30757;489
08.01.2009 18:00:00;2,30782;2,31827;2,30782;2,3126;514
08.01.2009 19:00:00;2,31346;2,3144;2,29984;2,30236;493
08.01.2009 20:00:00;2,30275;2,30822;2,30254;2,30705;500
08.01.2009 21:00:00;2,30703;2,30965;2,30394;2,30673;491
08.01.2009 22:00:00;2,30657;2,30788;2,29979;2,29979;480
08.01.2009 23:00:00;2,30018;2,30126;2,29407;2,29574;496
09.01.2009 00:00:00;2,29528;2,30541;2,29312;2,3051;504
09.01.2009 01:00:00;2,30488;2,3061;2,29857;2,30307;497
09.01.2009 02:00:00;2,303;2,305;2,2981;2,30162;605
09.01.2009 03:00:00;2,30185;2,31049;2,30135;2,30742;547
09.01.2009 04:00:00;2,30771;2,30809;2,30036;2,30375;607
09.01.2009 05:00:00;2,30373;2,3069;2,30004;2,3039;815
09.01.2009 06:00:00;2,30374;2,30508;2,29848;2,303;687
09.01.2009 07:00:00;2,30285;2,3063;2,2999;2,30212;880
09.01.2009 08:00:00;2,30228;2,30727;2,30072;2,30235;1634
09.01.2009 09:00:00;2,30302;2,30628;2,29865;2,30317;2269
09.01.2009 10:00:00;2,30332;2,30597;2,29714;2,30098;2473
09.01.2009 11:00:00;2,30123;2,31824;2,2981;2,31447;2332
09.01.2009 12:00:00;2,31538;2,32;2,31417;2,3146;1777
09.01.2009 13:00:00;2,31403;2,32042;2,30906;2,31658;1550
09.01.2009 14:00:00;2,31645;2,31645;2,30664;2,31112;870
09.01.2009 15:00:00;2,3111;2,31599;2,29907;2,29907;500
09.01.2009 16:00:00;2,29865;2,30044;2,28105;2,29089;517
09.01.2009 17:00:00;2,29126;2,29272;2,27369;2,27781;489
09.01.2009 18:00:00;2,27872;2,28023;2,26961;2,27156;514
09.01.2009 19:00:00;2,2718;2,27638;2,26385;2,2672;493
09.01.2009 20:00:00;2,26699;2,27078;2,2664;2,26933;500
09.01.2009 21:00:00;2,26936;2,26988;2,26147;2,26909;491
09.01.2009 22:00:00;2,26822;2,27314;2,26491;2,27306;480
09.01.2009 23:00:00;2,27333;2,27634;2,26706;2,26966;496
12.01.2009 00:00:00;2,27136;2,28953;2,27136;2,28219;504
12.01.2009 01:00:00;2,28277;2,283;2,27624;2,27915;500
12.01.2009 02:00:00;2,28005;2,2821;2,27466;2,28003;497
12.01.2009 03:00:00;2,27983;2,28465;2,27779;2,27922;504
12.01.2009 04:00:00;2,27845;2,28249;2,27712;2,27986;496
12.01.2009 05:00:00;2,27966;2,28664;2,27871;2,28218;480
12.01.2009 06:00:00;2,28194;2,28931;2,27985;2,28539;491
12.01.2009 07:00:00;2,28529;2,28688;2,28104;2,2826;500
12.01.2009 08:00:00;2,28248;2,29172;2,28207;2,28972;493
12.01.2009 09:00:00;2,28933;2,2917;2,27881;2,27881;514
