Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 02:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 03:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 04:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 05:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 06:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 07:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 08:00:00;4,12002;4,12002;4,12002;4,12002;0
01.01.2009 09:00:00;4,11721;4,1187;4,10658;4,10842;20,65
01.01.2009 10:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 11:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 12:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 13:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 14:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 15:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 16:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 17:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 18:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 19:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 20:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 21:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 22:00:00;4,10842;4,10842;4,10842;4,10842;0
01.01.2009 23:00:00;4,10842;4,10842;4,10842;4,10842;0
02.01.2009 00:00:00;4,10842;4,10842;4,10842;4,10842;0
02.01.2009 01:00:00;4,10842;4,10842;4,10842;4,10842;0
02.01.2009 02:00:00;4,10842;4,10842;4,10842;4,10842;0
02.01.2009 03:00:00;4,13467;4,13721;4,12208;4,13065;43,5
02.01.2009 04:00:00;4,13652;4,13712;4,12712;4,13065;24
02.01.2009 05:00:00;4,13642;4,13732;4,12702;4,13035;24
02.01.2009 06:00:00;4,13702;4,13702;4,12682;4,12975;25,13
02.01.2009 07:00:00;4,13632;4,13731;4,12692;4,13492;54
02.01.2009 08:00:00;4,1199;4,13054;4,10523;4,12222;62,25
02.01.2009 09:00:00;4,10641;4,13486;4,1048;4,13235;212,1
02.01.2009 10:00:00;4,12826;4,16429;4,11925;4,15713;431,22
02.01.2009 11:00:00;4,16083;4,16899;4,13038;4,16146;376,03
02.01.2009 12:00:00;4,16209;4,18232;4,15773;4,17342;388,75
02.01.2009 13:00:00;4,16742;4,18558;4,14667;4,16467;381,99
02.01.2009 14:00:00;4,16684;4,16899;4,14648;4,15708;306,7
02.01.2009 15:00:00;4,15825;4,16736;4,14045;4,15752;407,53
02.01.2009 16:00:00;4,16527;4,16527;4,139;4,1608;433,52
02.01.2009 17:00:00;4,16373;4,17331;4,15073;4,16815;361,04
02.01.2009 18:00:00;4,1719;4,1719;4,15035;4,16465;268,05
02.01.2009 19:00:00;4,16107;4,16597;4,14566;4,16542;108,03
02.01.2009 20:00:00;4,16285;4,16854;4,15073;4,16001;133,13
02.01.2009 21:00:00;4,16932;4,16932;4,15163;4,15648;114,79
02.01.2009 22:00:00;4,16449;4,16612;4,15191;4,15673;85,5
02.01.2009 23:00:00;4,16612;4,16709;4,15602;4,16183;29,26
05.01.2009 00:00:00;4,16408;4,16521;4,15059;4,15626;70,53
05.01.2009 01:00:00;4,16502;4,1659;4,14808;4,15381;104,64
05.01.2009 02:00:00;4,15973;4,16492;4,14485;4,15458;50,64
05.01.2009 03:00:00;4,15097;4,15632;4,145;4,15384;73,91
05.01.2009 04:00:00;4,14953;4,15556;4,14452;4,15097;30,39
05.01.2009 05:00:00;4,14865;4,15512;4,14522;4,15472;30
05.01.2009 06:00:00;4,14825;4,15521;4,14033;4,15139;58,54
05.01.2009 07:00:00;4,14953;4,15524;4,13924;4,15107;45,03
05.01.2009 08:00:00;4,14954;4,15586;4,13863;4,14888;193,95
05.01.2009 09:00:00;4,15316;4,15658;4,12708;4,13732;367,85
05.01.2009 10:00:00;4,13628;4,1471;4,11942;4,13114;431,95
05.01.2009 11:00:00;4,12958;4,12958;4,08716;4,11162;431,64
05.01.2009 12:00:00;4,10541;4,12763;4,09707;4,12596;436,86
05.01.2009 13:00:00;4,12386;4,12862;4,10907;4,11745;401,59
05.01.2009 14:00:00;4,11374;4,12902;4,1105;4,1181;445,37
05.01.2009 15:00:00;4,12904;4,15849;4,11626;4,14531;462,68
05.01.2009 16:00:00;4,14965;4,14965;4,12067;4,12647;428,49
05.01.2009 17:00:00;4,12546;4,1319;4,09257;4,10573;466,91
05.01.2009 18:00:00;4,10999;4,1141;4,08871;4,10189;351,68
05.01.2009 19:00:00;4,10282;4,10347;4,07492;4,08831;208,93
05.01.2009 20:00:00;4,08864;4,09216;4,07748;4,08733;130,52
05.01.2009 21:00:00;4,08275;4,08986;4,07073;4,08232;94,9
05.01.2009 22:00:00;4,08478;4,08552;4,0731;4,08422;50,66
05.01.2009 23:00:00;4,07755;4,08614;4,07021;4,08414;106,5
06.01.2009 00:00:00;4,08045;4,09464;4,07575;4,07977;99,75
06.01.2009 01:00:00;4,08793;4,08847;4,07762;4,08732;30,75
06.01.2009 02:00:00;4,08009;4,08772;4,07072;4,0819;89,25
06.01.2009 03:00:00;4,07755;4,08402;4,07142;4,07863;129,46
06.01.2009 04:00:00;4,07893;4,08465;4,06992;4,07789;61,17
06.01.2009 05:00:00;4,07455;4,08372;4,06922;4,08002;32,25
06.01.2009 06:00:00;4,07715;4,08885;4,07172;4,08552;106,22
06.01.2009 07:00:00;4,07988;4,08597;4,07012;4,07261;126,07
06.01.2009 08:00:00;4,07814;4,08568;4,07048;4,07678;139,57
06.01.2009 09:00:00;4,08527;4,10231;4,07493;4,10043;365,5
06.01.2009 10:00:00;4,10382;4,10428;4,03028;4,04477;421,44
06.01.2009 11:00:00;4,04326;4,06563;4,035;4,05759;452,32
06.01.2009 12:00:00;4,05119;4,06588;4,03674;4,04842;421,05
06.01.2009 13:00:00;4,04892;4,05878;4,03599;4,05316;427,78
06.01.2009 14:00:00;4,04635;4,05742;4,00754;4,01771;426,33
06.01.2009 15:00:00;4,02939;4,03061;3,99983;4,02483;460,26
06.01.2009 16:00:00;4,0275;4,0295;4,00136;4,00914;422,86
06.01.2009 17:00:00;4,00915;4,01329;3,96194;3,96782;482,92
06.01.2009 18:00:00;3,96905;3,97657;3,92155;3,93134;393,75
06.01.2009 19:00:00;3,93608;3,97073;3,92968;3,9615;288,46
06.01.2009 20:00:00;3,9586;3,97064;3,93388;3,96158;338,68
06.01.2009 21:00:00;3,96166;3,96635;3,94974;3,95384;134,29
06.01.2009 22:00:00;3,95605;3,96292;3,94957;3,95363;60,75
06.01.2009 23:00:00;3,95368;3,96364;3,94432;3,95324;369,93
07.01.2009 00:00:00;3,95805;3,97;3,94603;3,96483;95,63
07.01.2009 01:00:00;3,96742;3,96865;3,95832;3,96729;41,25
07.01.2009 02:00:00;3,96273;3,96826;3,94168;3,94742;67,51
07.01.2009 03:00:00;3,95444;3,96382;3,9425;3,96251;96,75
07.01.2009 04:00:00;3,95783;3,96492;3,94553;3,95348;61,9
07.01.2009 05:00:00;3,94652;3,96012;3,94185;3,95095;267,09
07.01.2009 06:00:00;3,95608;3,96331;3,93446;3,96168;230,33
07.01.2009 07:00:00;3,95753;3,96324;3,93615;3,94704;124,2
07.01.2009 08:00:00;3,94914;3,95471;3,93409;3,94631;162,82
07.01.2009 09:00:00;3,94899;3,95438;3,88738;3,89322;391,05
07.01.2009 10:00:00;3,89512;3,94569;3,86784;3,93997;425,24
07.01.2009 11:00:00;3,93951;3,94234;3,90163;3,91166;454,83
07.01.2009 12:00:00;3,90728;3,958;3,90624;3,95284;449,59
07.01.2009 13:00:00;3,95358;3,97186;3,94238;3,96437;411,3
07.01.2009 14:00:00;3,95548;3,99935;3,95548;3,97296;429,74
07.01.2009 15:00:00;3,98356;3,98912;3,95787;3,97722;465,98
07.01.2009 16:00:00;3,98146;4,03076;3,97476;4,00751;432,16
07.01.2009 17:00:00;4,00303;4,02105;3,98697;4,01164;488,44
07.01.2009 18:00:00;4,01652;4,02231;3,99449;4,00099;318,7
07.01.2009 19:00:00;4,00397;4,00823;3,99132;4,00654;161,28
07.01.2009 20:00:00;4,00095;4,0147;3,99672;4,00611;90,01
07.01.2009 21:00:00;4,0021;4,03035;3,9946;4,02275;198,05
07.01.2009 22:00:00;4,02533;4,03117;4,00685;4,02427;146,68
07.01.2009 23:00:00;4,01963;4,02719;4,01542;4,02624;49,52
08.01.2009 00:00:00;4,01895;4,02542;4,00142;4,01762;57,76
08.01.2009 01:00:00;4,01503;4,0188;3,99814;4,00954;95,63
08.01.2009 02:00:00;3,9999;4,01529;3,99248;3,99913;366,5
08.01.2009 03:00:00;4,00357;4,01497;3,99278;3,99816;517,76
08.01.2009 04:00:00;4,00514;4,01158;3,99198;4,00579;522,65
08.01.2009 05:00:00;4,00755;4,0145;3,99152;4,0023;362,74
08.01.2009 06:00:00;4,01183;4,01791;3,99988;4,01409;57,43
08.01.2009 07:00:00;4,01165;4,01762;3,99929;4,01146;88,91
08.01.2009 08:00:00;4,00714;4,03036;3,99977;4,02085;139,19
08.01.2009 09:00:00;4,0269;4,06332;4,01102;4,04217;358,76
08.01.2009 10:00:00;4,03965;4,05537;4,01736;4,02905;426,65
08.01.2009 11:00:00;4,02912;4,03626;3,99232;4,01195;417,27
08.01.2009 12:00:00;4,00773;4,03219;4,00136;4,01648;431,5
08.01.2009 13:00:00;4,0181;4,02991;4,0028;4,02667;383,45
08.01.2009 14:00:00;4,02102;4,03294;4,0138;4,02072;452,14
08.01.2009 15:00:00;4,0318;4,08598;4,01122;4,06916;465,62
08.01.2009 16:00:00;4,0727;4,07843;4,03692;4,05976;417,95
08.01.2009 17:00:00;4,0544;4,06326;4,02238;4,04245;479,85
08.01.2009 18:00:00;4,04499;4,04923;4,02047;4,03226;349,84
08.01.2009 19:00:00;4,03107;4,0362;4,01509;4,03279;143,7
08.01.2009 20:00:00;4,03251;4,05176;4,01595;4,03762;216,8
08.01.2009 21:00:00;4,03156;4,03816;4,02123;4,03008;114,39
08.01.2009 22:00:00;4,0305;4,04472;4,01874;4,02367;185,3
08.01.2009 23:00:00;4,02905;4,03806;4,01853;4,02947;112,91
09.01.2009 00:00:00;4,02862;4,03826;4,01893;4,02246;92,64
09.01.2009 01:00:00;4,03493;4,037;4,02511;4,03632;35,25
09.01.2009 02:00:00;4,03183;4,03772;4,02337;4,03595;39
09.01.2009 03:00:00;4,03035;4,03702;4,02524;4,03702;36
09.01.2009 04:00:00;4,03153;4,03751;4,02623;4,03612;33,76
09.01.2009 05:00:00;4,03045;4,03692;4,02402;4,03423;70,14
09.01.2009 06:00:00;4,02995;4,03831;4,02562;4,03449;54,81
09.01.2009 07:00:00;4,03153;4,03724;4,02337;4,03512;54,4
09.01.2009 08:00:00;4,03274;4,03897;4,02454;4,03331;70,93
09.01.2009 09:00:00;4,03495;4,05745;4,02188;4,04736;307,7
09.01.2009 10:00:00;4,04952;4,07624;4,03749;4,047;431,96
09.01.2009 11:00:00;4,04801;4,06395;4,03457;4,04359;457,14
09.01.2009 12:00:00;4,03939;4,05064;4,02793;4,0442;421,41
09.01.2009 13:00:00;4,04389;4,05506;4,03059;4,0523;413,11
09.01.2009 14:00:00;4,04394;4,06067;4,03578;4,0386;428,9
09.01.2009 15:00:00;4,04802;4,05413;4,00756;4,0097;467,85
09.01.2009 16:00:00;4,01104;4,0525;4,00338;4,04203;418,7
09.01.2009 17:00:00;4,04247;4,05573;4,01956;4,02416;479,92
09.01.2009 18:00:00;4,02468;4,0372;4,00388;4,02054;367,75
09.01.2009 19:00:00;4,02236;4,03235;4,01166;4,02752;231,47
09.01.2009 20:00:00;4,02911;4,03292;4,01829;4,02959;141,01
09.01.2009 21:00:00;4,02775;4,03422;4,01572;4,02974;82,5
09.01.2009 22:00:00;4,02393;4,03075;4,01079;4,0215;114,75
09.01.2009 23:00:00;4,01715;4,02852;4,01272;4,02592;44,25
12.01.2009 00:00:00;4,01515;4,02268;4,01146;4,02023;18,75
12.01.2009 01:00:00;4,02253;4,02253;4,00824;4,01955;67,5
12.01.2009 02:00:00;4,00941;4,02331;4,00941;4,01947;120,01
12.01.2009 03:00:00;4,01452;4,02251;4,01212;4,01877;102,39
12.01.2009 04:00:00;4,01572;4,02473;4,00776;4,02028;138,81
12.01.2009 05:00:00;4,01372;4,02193;4,00674;4,01804;121,15
12.01.2009 06:00:00;4,01675;4,03083;4,01026;4,01856;76,13
12.01.2009 07:00:00;4,02542;4,02665;4,01312;4,02083;75
12.01.2009 08:00:00;4,02592;4,02592;4,0117;4,01642;93,76
12.01.2009 09:00:00;4,02243;4,0454;4,00909;4,0203;337,07
12.01.2009 10:00:00;4,01966;4,04133;4,00634;4,02861;481,42
12.01.2009 11:00:00;4,03125;4,04025;4,01591;4,03075;425,04
12.01.2009 12:00:00;4,02754;4,05811;4,02673;4,03859;463,29
12.01.2009 13:00:00;4,03313;4,04633;4,02025;4,02025;433,11
12.01.2009 14:00:00;4,03148;4,04078;4,01728;4,03158;452,17
12.01.2009 15:00:00;4,0331;4,05394;4,01626;4,02152;448,8
12.01.2009 16:00:00;4,02856;4,08785;4,01862;4,0822;460,5
12.01.2009 17:00:00;4,0812;4,10459;4,06321;4,08871;433,42
12.01.2009 18:00:00;4,08786;4,1347;4,0739;4,13344;401,91
12.01.2009 19:00:00;4,13432;4,15279;4,11765;4,14151;358,66
12.01.2009 20:00:00;4,14777;4,14777;4,11937;4,12508;267,5
12.01.2009 21:00:00;4,12889;4,14322;4,11958;4,13474;254,78
12.01.2009 22:00:00;4,13818;4,14686;4,12943;4,14146;166,93
12.01.2009 23:00:00;4,14589;4,14631;4,12127;4,12851;165,45
13.01.2009 00:00:00;4,12822;4,13697;4,12282;4,13442;154,57
13.01.2009 01:00:00;4,12923;4,13602;4,12207;4,12737;57
13.01.2009 02:00:00;4,12872;4,13775;4,12066;4,13243;158,67
13.01.2009 03:00:00;4,12902;4,13851;4,12014;4,12361;126,77
13.01.2009 04:00:00;4,12932;4,13851;4,12224;4,13448;121,14
13.01.2009 05:00:00;4,12682;4,14575;4,12442;4,14482;123,76
13.01.2009 06:00:00;4,14116;4,14726;4,12765;4,12986;116,25
13.01.2009 07:00:00;4,14612;4,14651;4,12915;4,1371;76,13
13.01.2009 08:00:00;4,14133;4,14472;4,12804;4,13755;124,53
13.01.2009 09:00:00;4,13982;4,14898;4,1167;4,12906;407,55
13.01.2009 10:00:00;4,12466;4,14565;4,10675;4,14115;470,97
13.01.2009 11:00:00;4,14349;4,16607;4,12625;4,13286;426,26
13.01.2009 12:00:00;4,13132;4,15117;4,11182;4,14083;475,43
13.01.2009 13:00:00;4,13664;4,16607;4,13482;4,14986;447,62
13.01.2009 14:00:00;4,14797;4,16018;4,11655;4,14211;481,72
