Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,00514;2,00514;2,00514;2,00514;0
01.01.2009 02:00:00;1,99257;1,99263;1,9921;1,99262;7
01.01.2009 03:00:00;1,99262;1,99262;1,99262;1,99262;0
01.01.2009 04:00:00;1,99262;1,99262;1,99262;1,99262;0
01.01.2009 05:00:00;1,99507;2,00548;1,99496;2,00541;22
01.01.2009 06:00:00;2,00546;2,00584;2,0048;2,00491;147
01.01.2009 07:00:00;1,99889;1,99903;1,99758;1,99786;406
01.01.2009 08:00:00;1,99786;1,99786;1,99786;1,99786;0
01.01.2009 09:00:00;1,99949;2,00124;1,99858;2,00083;903
01.01.2009 10:00:00;1,999;2,00334;1,99864;2,00112;2786
01.01.2009 11:00:00;2,00349;2,00463;2,00137;2,00377;2425
01.01.2009 12:00:00;2,00334;2,00781;2,003;2,00553;2513
01.01.2009 13:00:00;2,00815;2,01032;1,99325;2,00811;1635
01.01.2009 14:00:00;2,0082;2,01489;2,00803;2,01487;2112
01.01.2009 15:00:00;2,01234;2,01495;2,00347;2,01492;257
01.01.2009 16:00:00;2,01492;2,01492;2,01492;2,01492;0
01.01.2009 17:00:00;2,01492;2,01492;2,01492;2,01492;0
01.01.2009 18:00:00;2,01492;2,01492;2,01492;2,01492;0
01.01.2009 19:00:00;1,99818;1,99934;1,99763;1,99887;55
01.01.2009 20:00:00;1,99874;2,00739;1,9932;1,99955;350
01.01.2009 21:00:00;2,00003;2,01084;1,99958;2,00788;329
01.01.2009 22:00:00;2,00828;2,01344;2,0034;2,01084;285
01.01.2009 23:00:00;2,01085;2,01203;2,00213;2,01016;378
02.01.2009 00:00:00;2,01292;2,01585;2,00644;2,00704;503
02.01.2009 01:00:00;2,0087;2,01234;2,00449;2,0092;518
02.01.2009 02:00:00;2,00975;2,01926;2,00975;2,01731;636
02.01.2009 03:00:00;2,01763;2,02058;2,01312;2,01527;500
02.01.2009 04:00:00;2,01514;2,02322;2,015;2,01875;554
02.01.2009 05:00:00;2,01841;2,01841;2,01135;2,0162;934
02.01.2009 06:00:00;2,01613;2,01818;2,01247;2,01491;930
02.01.2009 07:00:00;2,01576;2,01762;2,01219;2,01477;1466
