Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,15275;2,15276;2,15264;2,15272;18
01.01.2009 02:00:00;2,15266;2,15277;2,13832;2,15254;42
01.01.2009 03:00:00;2,15263;2,15267;2,15241;2,15253;26
01.01.2009 04:00:00;2,15265;2,15267;2,13832;2,15266;49
01.01.2009 05:00:00;2,15254;2,15267;2,1522;2,15241;38
01.01.2009 06:00:00;2,15266;2,15276;2,13863;2,15222;46
01.01.2009 07:00:00;2,15266;2,15267;2,1517;2,15186;32
01.01.2009 08:00:00;2,15245;2,15246;2,13833;2,15225;43
01.01.2009 09:00:00;2,15226;2,15236;2,15193;2,15203;32
01.01.2009 10:00:00;2,15224;2,15447;2,14011;2,15446;34
01.01.2009 11:00:00;2,15516;2,15687;2,15483;2,15686;33
01.01.2009 12:00:00;2,15766;2,15967;2,13961;2,15953;41
01.01.2009 13:00:00;2,15981;2,16215;2,15963;2,16203;36
01.01.2009 14:00:00;2,16235;2,16717;2,13863;2,16716;52
01.01.2009 15:00:00;2,16695;2,16706;2,16681;2,16694;20
01.01.2009 16:00:00;2,13877;2,13877;2,13863;2,13875;11
01.01.2009 17:00:00;2,13875;2,13875;2,13875;2,13875;0
01.01.2009 18:00:00;2,13863;2,13875;2,13863;2,13875;8
01.01.2009 19:00:00;2,15266;2,15266;2,15233;2,15266;11
01.01.2009 20:00:00;2,15204;2,15216;2,13863;2,14772;70
01.01.2009 21:00:00;2,14666;2,14977;2,14653;2,14946;48
01.01.2009 22:00:00;2,15074;2,15147;2,13863;2,15114;69
01.01.2009 23:00:00;2,15082;2,15156;2,15045;2,15075;26
02.01.2009 00:00:00;2,15903;2,15948;2,14886;2,14929;484
02.01.2009 01:00:00;2,15344;2,15344;2,13903;2,14262;456
02.01.2009 02:00:00;2,14425;2,14981;2,14133;2,14407;557
02.01.2009 03:00:00;2,15055;2,15057;2,13559;2,13687;511
02.01.2009 04:00:00;2,14097;2,14193;2,12984;2,13104;483
02.01.2009 05:00:00;2,13335;2,13335;2,12511;2,12897;513
02.01.2009 06:00:00;2,13299;2,13299;2,12483;2,12605;483
02.01.2009 07:00:00;2,12949;2,13225;2,12146;2,12631;506
02.01.2009 08:00:00;2,12573;2,12789;2,1177;2,12118;539
02.01.2009 09:00:00;2,11818;2,13799;2,11723;2,13681;520
02.01.2009 10:00:00;2,13527;2,14774;2,12893;2,14774;525
02.01.2009 11:00:00;2,14689;2,1472;2,14134;2,1427;520
02.01.2009 12:00:00;2,14208;2,1428;2,13587;2,13967;536
02.01.2009 13:00:00;2,13987;2,14179;2,13696;2,14059;535
02.01.2009 14:00:00;2,14019;2,14479;2,13659;2,13682;535
02.01.2009 15:00:00;2,13691;2,14146;2,13435;2,13871;528
02.01.2009 16:00:00;2,13837;2,14309;2,13571;2,14205;537
02.01.2009 17:00:00;2,14191;2,15;2,14097;2,143;530
02.01.2009 18:00:00;2,14267;2,14711;2,14006;2,14569;504
02.01.2009 19:00:00;2,14504;2,14588;2,13502;2,13542;626
02.01.2009 20:00:00;2,13457;2,14101;2,12433;2,12603;873
02.01.2009 21:00:00;2,12781;2,13003;2,12051;2,12585;525
02.01.2009 22:00:00;2,12631;2,12673;2,12103;2,1222;706
02.01.2009 23:00:00;2,12595;2,13808;2,12265;2,13808;517
05.01.2009 00:00:00;2,13056;2,13156;2,12228;2,12774;459
05.01.2009 01:00:00;2,13048;2,13748;2,12504;2,13748;495
05.01.2009 02:00:00;2,13826;2,1441;2,13432;2,13675;502
05.01.2009 03:00:00;2,14007;2,14007;2,13317;2,13419;514
05.01.2009 04:00:00;2,13852;2,13855;2,12137;2,12327;517
05.01.2009 05:00:00;2,12672;2,13079;2,12183;2,12691;704
05.01.2009 06:00:00;2,13091;2,13112;2,12554;2,12719;521
05.01.2009 07:00:00;2,12737;2,13297;2,11932;2,12432;825
05.01.2009 08:00:00;2,12399;2,1284;2,12157;2,12382;626
05.01.2009 09:00:00;2,12591;2,12714;2,10257;2,12158;504
05.01.2009 10:00:00;2,1245;2,1258;2,08645;2,09042;530
05.01.2009 11:00:00;2,09053;2,09661;2,08777;2,09633;537
05.01.2009 12:00:00;2,097;2,10003;2,09171;2,09347;528
05.01.2009 13:00:00;2,09408;2,09748;2,08884;2,0921;535
05.01.2009 14:00:00;2,09184;2,09389;2,08586;2,08662;535
05.01.2009 15:00:00;2,08616;2,09324;2,08344;2,08371;536
05.01.2009 16:00:00;2,08605;2,09402;2,08343;2,09139;520
05.01.2009 17:00:00;2,09188;2,09205;2,08423;2,09123;525
05.01.2009 18:00:00;2,0902;2,09302;2,07927;2,08118;520
05.01.2009 19:00:00;2,08103;2,08493;2,07384;2,08229;539
05.01.2009 20:00:00;2,08126;2,08582;2,07641;2,08496;513
05.01.2009 21:00:00;2,08081;2,086;2,07757;2,08217;540
05.01.2009 22:00:00;2,08236;2,08236;2,07311;2,0781;527
05.01.2009 23:00:00;2,07767;2,08865;2,07487;2,08865;499
06.01.2009 00:00:00;2,08783;2,08912;2,08224;2,08784;511
06.01.2009 01:00:00;2,08701;2,08935;2,08097;2,08868;560
06.01.2009 02:00:00;2,08462;2,08629;2,07541;2,07959;507
06.01.2009 03:00:00;2,08047;2,08047;2,07246;2,0782;514
06.01.2009 04:00:00;2,07841;2,09095;2,07436;2,07946;511
06.01.2009 05:00:00;2,08624;2,09087;2,07633;2,07822;604
06.01.2009 06:00:00;2,08141;2,08963;2,0686;2,07517;539
06.01.2009 07:00:00;2,07536;2,07536;2,06372;2,07;881
06.01.2009 08:00:00;2,06957;2,07551;2,06601;2,07317;626
06.01.2009 09:00:00;2,07147;2,07794;2,05388;2,05856;504
06.01.2009 10:00:00;2,05599;2,05754;2,04698;2,05221;530
06.01.2009 11:00:00;2,05231;2,05841;2,04577;2,04975;537
06.01.2009 12:00:00;2,04945;2,04952;2,03643;2,03938;528
06.01.2009 13:00:00;2,03901;2,03953;2,02247;2,02411;535
06.01.2009 14:00:00;2,0234;2,02707;2,02074;2,02457;535
06.01.2009 15:00:00;2,02461;2,03613;2,02221;2,0318;536
06.01.2009 16:00:00;2,03167;2,03895;2,02694;2,03044;520
06.01.2009 17:00:00;2,03027;2,03464;2,02588;2,02927;525
06.01.2009 18:00:00;2,02954;2,04024;2,02954;2,03788;520
06.01.2009 19:00:00;2,03758;2,0425;2,03327;2,04005;539
06.01.2009 20:00:00;2,03932;2,04359;2,03102;2,03331;513
06.01.2009 21:00:00;2,03283;2,0451;2,03153;2,04124;539
06.01.2009 22:00:00;2,04422;2,04552;2,03681;2,04161;526
06.01.2009 23:00:00;2,04163;2,04699;2,03659;2,04632;503
07.01.2009 00:00:00;2,04806;2,04806;2,03853;2,03948;562
07.01.2009 01:00:00;2,04263;2,04517;2,03889;2,04268;567
07.01.2009 02:00:00;2,03861;2,0442;2,03538;2,03794;512
07.01.2009 03:00:00;2,03918;2,03925;2,02933;2,03889;523
07.01.2009 04:00:00;2,03998;2,04099;2,03499;2,03937;516
07.01.2009 05:00:00;2,04;2,04753;2,03665;2,04648;708
07.01.2009 06:00:00;2,04717;2,04751;2,04181;2,04394;540
07.01.2009 07:00:00;2,04542;2,04606;2,03788;2,04068;882
07.01.2009 08:00:00;2,04257;2,04411;2,03457;2,03808;626
07.01.2009 09:00:00;2,03961;2,05012;2,03388;2,04537;504
07.01.2009 10:00:00;2,04476;2,06127;2,04475;2,05959;530
07.01.2009 11:00:00;2,05906;2,06394;2,05687;2,06118;537
07.01.2009 12:00:00;2,06095;2,0691;2,0605;2,0691;528
07.01.2009 13:00:00;2,06842;2,07365;2,06634;2,06883;535
07.01.2009 14:00:00;2,06906;2,07571;2,06771;2,07104;535
07.01.2009 15:00:00;2,0711;2,09672;2,06731;2,09218;536
07.01.2009 16:00:00;2,09196;2,09647;2,08694;2,08856;520
07.01.2009 17:00:00;2,08926;2,10164;2,08731;2,09642;525
07.01.2009 18:00:00;2,09645;2,10455;2,09438;2,10237;520
07.01.2009 19:00:00;2,10113;2,10736;2,0969;2,09692;537
07.01.2009 20:00:00;2,10164;2,11544;2,09649;2,11337;513
07.01.2009 21:00:00;2,11078;2,12315;2,10076;2,11463;542
07.01.2009 22:00:00;2,11321;2,12667;2,10824;2,11848;524
07.01.2009 23:00:00;2,11449;2,12614;2,11299;2,11798;484
08.01.2009 00:00:00;2,12076;2,12617;2,11762;2,12398;557
08.01.2009 01:00:00;2,12321;2,12453;2,10869;2,11082;565
08.01.2009 02:00:00;2,1116;2,11185;2,10168;2,10558;512
08.01.2009 03:00:00;2,10744;2,11157;2,10374;2,10483;517
08.01.2009 04:00:00;2,1059;2,1098;2,10405;2,10758;513
08.01.2009 05:00:00;2,10909;2,11088;2,10497;2,10837;688
08.01.2009 06:00:00;2,10985;2,11323;2,10651;2,11187;536
08.01.2009 07:00:00;2,1096;2,11368;2,10577;2,10639;887
08.01.2009 08:00:00;2,10693;2,13221;2,10119;2,12582;626
08.01.2009 09:00:00;2,12629;2,12629;2,1019;2,10468;504
08.01.2009 10:00:00;2,10322;2,11362;2,09655;2,09801;530
08.01.2009 11:00:00;2,09583;2,10315;2,09457;2,10051;537
08.01.2009 12:00:00;2,09703;2,10851;2,09645;2,10656;528
08.01.2009 13:00:00;2,10542;2,10996;2,10245;2,10996;535
08.01.2009 14:00:00;2,10773;2,12724;2,09969;2,12362;535
08.01.2009 15:00:00;2,1207;2,14424;2,11796;2,14177;536
08.01.2009 16:00:00;2,13868;2,15596;2,13583;2,13815;520
08.01.2009 17:00:00;2,14053;2,14407;2,12779;2,13144;525
08.01.2009 18:00:00;2,13126;2,13944;2,12784;2,13039;520
08.01.2009 19:00:00;2,13009;2,13827;2,12664;2,12671;538
08.01.2009 20:00:00;2,13141;2,14772;2,12636;2,14289;513
08.01.2009 21:00:00;2,1462;2,14943;2,13725;2,14121;537
08.01.2009 22:00:00;2,14661;2,14668;2,13188;2,14139;522
08.01.2009 23:00:00;2,14056;2,14949;2,13454;2,1383;508
09.01.2009 00:00:00;2,13978;2,14289;2,13092;2,1314;466
09.01.2009 01:00:00;2,1337;2,13474;2,12939;2,13121;495
09.01.2009 02:00:00;2,13012;2,13306;2,12428;2,12615;503
09.01.2009 03:00:00;2,12952;2,13026;2,12414;2,12569;495
09.01.2009 04:00:00;2,129;2,13066;2,12439;2,12565;488
09.01.2009 05:00:00;2,12879;2,12879;2,12134;2,1235;681
09.01.2009 06:00:00;2,1262;2,1282;2,12005;2,12277;537
09.01.2009 07:00:00;2,12537;2,13279;2,11911;2,11987;858
09.01.2009 08:00:00;2,12367;2,12555;2,11301;2,11794;626
09.01.2009 09:00:00;2,12075;2,13442;2,11792;2,13096;504
09.01.2009 10:00:00;2,13261;2,14085;2,12688;2,12807;530
09.01.2009 11:00:00;2,12716;2,13332;2,12269;2,1279;537
09.01.2009 12:00:00;2,1284;2,13606;2,12824;2,13497;528
09.01.2009 13:00:00;2,13359;2,13513;2,12299;2,12957;535
09.01.2009 14:00:00;2,13093;2,13093;2,11669;2,12173;535
09.01.2009 15:00:00;2,12017;2,1249;2,09727;2,09727;536
09.01.2009 16:00:00;2,09754;2,10102;2,08648;2,09838;520
09.01.2009 17:00:00;2,09839;2,10738;2,09591;2,1058;525
09.01.2009 18:00:00;2,10711;2,11266;2,09912;2,10447;520
09.01.2009 19:00:00;2,10404;2,10595;2,0967;2,09841;537
09.01.2009 20:00:00;2,10061;2,10276;2,09186;2,09412;513
09.01.2009 21:00:00;2,0975;2,09929;2,08694;2,09137;539
09.01.2009 22:00:00;2,09149;2,09589;2,08871;2,09089;503
09.01.2009 23:00:00;2,09454;2,10006;2,09058;2,09664;503
12.01.2009 00:00:00;2,10302;2,10302;2,09622;2,097;470
12.01.2009 01:00:00;2,09721;2,09874;2,08818;2,08926;561
12.01.2009 02:00:00;2,09039;2,09221;2,08439;2,08817;504
12.01.2009 03:00:00;2,0885;2,09472;2,08656;2,09181;503
12.01.2009 04:00:00;2,0967;2,0967;2,08985;2,09074;471
12.01.2009 05:00:00;2,09564;2,09572;2,08458;2,08592;701
12.01.2009 06:00:00;2,08723;2,08988;2,08267;2,08577;534
12.01.2009 07:00:00;2,08931;2,09316;2,08345;2,08862;841
