Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 02:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 03:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 04:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 05:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 06:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 07:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 08:00:00;2,077;2,077;2,077;2,077;0
01.01.2009 09:00:00;2,07927;2,0793;2,0774;2,07775;237,9
01.01.2009 10:00:00;2,07777;2,0793;2,07752;2,0791;324,7
01.01.2009 11:00:00;2,0792;2,07958;2,07882;2,07905;309,8
01.01.2009 12:00:00;2,07905;2,08;2,0788;2,07913;315,9
01.01.2009 13:00:00;2,07913;2,0794;2,07872;2,0792;703,8
01.01.2009 14:00:00;2,0793;2,0794;2,07887;2,07918;1274,4
01.01.2009 15:00:00;2,0792;2,0792;2,07792;2,07915;666,3
01.01.2009 16:00:00;2,07915;2,07915;2,07915;2,07915;0
01.01.2009 17:00:00;2,07915;2,07915;2,07915;2,07915;0
01.01.2009 18:00:00;2,07845;2,07848;2,07755;2,07768;564,3
01.01.2009 19:00:00;2,07768;2,0777;2,07753;2,07768;616
01.01.2009 20:00:00;2,07768;2,07768;2,07768;2,07768;0
01.01.2009 21:00:00;2,07768;2,07768;2,07768;2,07768;0
01.01.2009 22:00:00;2,07837;2,08375;2,07561;2,08029;544,4
01.01.2009 23:00:00;2,07856;2,08067;2,0685;2,079;592,5
02.01.2009 00:00:00;2,07963;2,09471;2,07136;2,08549;791,4
02.01.2009 01:00:00;2,08757;2,09101;2,08564;2,08859;909,5
02.01.2009 02:00:00;2,08692;2,09885;2,08681;2,09428;646,5
02.01.2009 03:00:00;2,09571;2,10196;2,09179;2,09711;648,1
02.01.2009 04:00:00;2,09885;2,10297;2,09366;2,09977;630,9
02.01.2009 05:00:00;2,09996;2,10901;2,09996;2,1039;643,9
02.01.2009 06:00:00;2,10293;2,10838;2,09837;2,09898;644,2
02.01.2009 07:00:00;2,09807;2,11037;2,09586;2,11023;667
02.01.2009 08:00:00;2,11072;2,11072;2,09831;2,09831;652,7
02.01.2009 09:00:00;2,09548;2,10564;2,09495;2,10057;628,9
02.01.2009 10:00:00;2,10024;2,1017;2,08818;2,09479;666
02.01.2009 11:00:00;2,09478;2,10018;2,087;2,09282;643,3
02.01.2009 12:00:00;2,09198;2,09566;2,08326;2,0854;638,7
02.01.2009 13:00:00;2,08525;2,08652;2,07548;2,08376;1454,2
02.01.2009 14:00:00;2,08248;2,08541;2,06833;2,0685;2587,6
02.01.2009 15:00:00;2,06792;2,07516;2,06548;2,06614;3203,6
02.01.2009 16:00:00;2,0658;2,07539;2,06495;2,06745;3753,5
02.01.2009 17:00:00;2,06798;2,07188;2,05328;2,05328;3741,1
02.01.2009 18:00:00;2,05344;2,05658;2,04844;2,04892;4035,3
02.01.2009 19:00:00;2,04923;2,04997;2,04476;2,04737;1803,6
02.01.2009 20:00:00;2,04776;2,04997;2,04105;2,04432;993,3
02.01.2009 21:00:00;2,04474;2,05011;2,03546;2,03569;1008,4
02.01.2009 22:00:00;2,03769;2,04519;2,03574;2,04283;1001,1
02.01.2009 23:00:00;2,04285;2,04679;2,04128;2,04331;719,3
05.01.2009 00:00:00;2,0429;2,04303;2,03055;2,03503;790,8
05.01.2009 01:00:00;2,03505;2,03654;2,02848;2,02892;920,4
05.01.2009 02:00:00;2,02863;2,03237;2,02551;2,0262;919,8
05.01.2009 03:00:00;2,02624;2,03235;2,02533;2,02939;791,1
05.01.2009 04:00:00;2,02935;2,0351;2,02719;2,0338;718,7
05.01.2009 05:00:00;2,03362;2,04078;2,02898;2,03301;1001,4
05.01.2009 06:00:00;2,03333;2,03676;2,03094;2,03383;1010,5
05.01.2009 07:00:00;2,03398;2,03494;2,0262;2,02872;992,7
05.01.2009 08:00:00;2,02821;2,03935;2,02441;2,03927;1803,3
05.01.2009 09:00:00;2,03829;2,04581;2,03677;2,04287;4035,9
05.01.2009 10:00:00;2,04278;2,04847;2,03551;2,03624;3743,8
05.01.2009 11:00:00;2,0357;2,04267;2,03499;2,03952;3753,2
05.01.2009 12:00:00;2,03891;2,04924;2,03038;2,049;3203,3
05.01.2009 13:00:00;2,04898;2,05821;2,04178;2,043;2587,3
05.01.2009 14:00:00;2,04351;2,0518;2,04299;2,05061;1454,2
05.01.2009 15:00:00;2,05159;2,05159;2,04461;2,04942;639,3
05.01.2009 16:00:00;2,04985;2,05036;2,03287;2,03464;643,3
05.01.2009 17:00:00;2,03471;2,03744;2,02321;2,03461;666,9
05.01.2009 18:00:00;2,03415;2,04548;2,03305;2,04252;628,9
05.01.2009 19:00:00;2,04306;2,0525;2,04123;2,04673;652,7
05.01.2009 20:00:00;2,04751;2,05084;2,04324;2,04691;666,4
05.01.2009 21:00:00;2,04608;2,06142;2,04244;2,05787;644,5
05.01.2009 22:00:00;2,05788;2,05794;2,04995;2,05147;643,9
05.01.2009 23:00:00;2,0514;2,0514;2,0407;2,04856;620,5
06.01.2009 00:00:00;2,04776;2,05944;2,04776;2,05493;647,8
06.01.2009 01:00:00;2,05572;2,05943;2,04861;2,05943;646,2
06.01.2009 02:00:00;2,05819;2,06188;2,05741;2,05897;919,8
06.01.2009 03:00:00;2,05935;2,06057;2,05629;2,05706;780,7
06.01.2009 04:00:00;2,0566;2,05729;2,05222;2,0528;719
06.01.2009 05:00:00;2,05319;2,05383;2,0468;2,04784;1001,4
06.01.2009 06:00:00;2,04852;2,05443;2,04729;2,05233;1010,5
06.01.2009 07:00:00;2,05264;2,05371;2,04576;2,04944;993,6
06.01.2009 08:00:00;2,04945;2,052;2,04452;2,046;1802,1
06.01.2009 09:00:00;2,04494;2,06975;2,03946;2,06823;4036,8
06.01.2009 10:00:00;2,068;2,07867;2,06482;2,07356;3745
06.01.2009 11:00:00;2,07345;2,07411;2,06504;2,06512;3750,8
06.01.2009 12:00:00;2,06574;2,06802;2,05427;2,05749;3203,3
06.01.2009 13:00:00;2,05761;2,06097;2,04978;2,05202;2588,2
06.01.2009 14:00:00;2,05173;2,05501;2,04562;2,04562;1452,7
06.01.2009 15:00:00;2,04572;2,04614;2,02958;2,03591;633,9
06.01.2009 16:00:00;2,03663;2,04226;2,02686;2,02865;644,2
06.01.2009 17:00:00;2,02921;2,05902;2,02856;2,05533;665,7
06.01.2009 18:00:00;2,05518;2,0586;2,05272;2,05524;628,3
06.01.2009 19:00:00;2,05567;2,06892;2,05385;2,06806;653,3
06.01.2009 20:00:00;2,06873;2,07168;2,05994;2,06136;666,7
06.01.2009 21:00:00;2,06104;2,06632;2,05754;2,05987;629,6
06.01.2009 22:00:00;2,05995;2,06745;2,05759;2,06629;643,9
06.01.2009 23:00:00;2,06757;2,06828;2,06081;2,06138;620,2
07.01.2009 00:00:00;2,06197;2,06966;2,06167;2,0685;648,1
07.01.2009 01:00:00;2,06872;2,07117;2,06618;2,06936;647,1
07.01.2009 02:00:00;2,06938;2,07156;2,06139;2,06341;918,6
07.01.2009 03:00:00;2,06346;2,0659;2,06148;2,06171;790,8
07.01.2009 04:00:00;2,0615;2,06408;2,05731;2,05733;729,4
07.01.2009 05:00:00;2,05775;2,06689;2,05706;2,06524;1000,2
07.01.2009 06:00:00;2,06524;2,06663;2,05897;2,06096;1009,9
07.01.2009 07:00:00;2,06096;2,06746;2,06096;2,06314;993,9
07.01.2009 08:00:00;2,063;2,0756;2,06147;2,07348;1801,5
07.01.2009 09:00:00;2,07343;2,07658;2,06134;2,06473;4034,7
07.01.2009 10:00:00;2,06489;2,06867;2,05757;2,06351;3741,7
07.01.2009 11:00:00;2,06315;2,0665;2,05419;2,05437;3752,9
07.01.2009 12:00:00;2,0538;2,0712;2,05113;2,07008;3203,9
07.01.2009 13:00:00;2,07018;2,07577;2,06682;2,07459;2587
07.01.2009 14:00:00;2,07393;2,08715;2,07333;2,08492;1454,5
07.01.2009 15:00:00;2,08499;2,08814;2,0783;2,0828;634,5
07.01.2009 16:00:00;2,08304;2,09765;2,0804;2,09765;643,9
07.01.2009 17:00:00;2,09736;2,11879;2,09653;2,11692;666
07.01.2009 18:00:00;2,11732;2,12082;2,10868;2,11384;628
07.01.2009 19:00:00;2,11446;2,11948;2,11021;2,11317;652,1
07.01.2009 20:00:00;2,11263;2,12363;2,10851;2,12363;666,7
07.01.2009 21:00:00;2,12393;2,12445;2,11727;2,12314;631,2
07.01.2009 22:00:00;2,12339;2,13014;2,11967;2,12361;643,6
07.01.2009 23:00:00;2,12325;2,12486;2,11647;2,1178;626,4
08.01.2009 00:00:00;2,11724;2,12156;2,11609;2,11866;647,2
08.01.2009 01:00:00;2,11857;2,12709;2,11844;2,12138;637,4
08.01.2009 02:00:00;2,12006;2,1279;2,11706;2,12578;919,5
08.01.2009 03:00:00;2,12598;2,12874;2,12282;2,12502;789,6
08.01.2009 04:00:00;2,1249;2,1298;2,12349;2,12845;719,6
08.01.2009 05:00:00;2,12837;2,13907;2,12811;2,13377;1000,8
08.01.2009 06:00:00;2,13314;2,13787;2,13174;2,13591;1010,2
