Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,78382;1,78382;1,78382;1,78382;0
01.01.2009 02:00:00;1,77833;1,77834;1,77829;1,77831;6,93486
01.01.2009 03:00:00;1,77831;1,77831;1,77831;1,77831;0
01.01.2009 04:00:00;1,77831;1,77836;1,77782;1,77835;213,12962
01.01.2009 05:00:00;1,77832;1,77836;1,7779;1,77829;247,76529
01.01.2009 06:00:00;1,77823;1,77835;1,77785;1,77829;212,58655
01.01.2009 07:00:00;1,77829;1,77835;1,77687;1,7783;298,5902
01.01.2009 08:00:00;1,77822;1,77835;1,77791;1,77833;274,33432
01.01.2009 09:00:00;1,77833;1,77835;1,77792;1,7782;179,18454
01.01.2009 10:00:00;1,7783;1,77835;1,77792;1,77823;632,5873
01.01.2009 11:00:00;1,77829;1,77835;1,77791;1,77829;217,86562
01.01.2009 12:00:00;1,77834;1,77835;1,77686;1,77833;315,93817
01.01.2009 13:00:00;1,77829;1,77835;1,77687;1,77829;260,98077
01.01.2009 14:00:00;1,77817;1,77835;1,77812;1,7783;328,0447
01.01.2009 15:00:00;1,7783;1,77832;1,77827;1,77832;7,34067
01.01.2009 16:00:00;1,77832;1,77834;1,77812;1,77832;197,91469
01.01.2009 17:00:00;1,77825;1,77832;1,77817;1,77829;6,36442
01.01.2009 18:00:00;1,77827;1,77835;1,77684;1,77829;155,89494
01.01.2009 19:00:00;1,7783;1,77835;1,77819;1,77827;20,90788
01.01.2009 20:00:00;1,77829;1,77835;1,77816;1,77832;129,22127
01.01.2009 21:00:00;1,77832;1,77835;1,77792;1,77827;405,35596
01.01.2009 22:00:00;1,77834;1,77834;1,77785;1,77824;330,02316
01.01.2009 23:00:00;1,77834;1,77835;1,77779;1,7782;348,71475
02.01.2009 00:00:00;1,77823;1,77835;1,77779;1,77821;625,9375
02.01.2009 01:00:00;1,77832;1,77835;1,77785;1,77828;496,13156
02.01.2009 02:00:00;1,79834;1,80561;1,79832;1,80032;581,08734
