Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,56208;1,56357;1,56127;1,56244;4207,8
01.01.2009 02:00:00;1,56277;1,56344;1,56201;1,5626;2220,4
01.01.2009 03:00:00;1,56254;1,56365;1,56198;1,56319;1377,6
01.01.2009 04:00:00;1,56285;1,56362;1,56232;1,56309;2407,2
01.01.2009 05:00:00;1,56299;1,56377;1,56221;1,56322;4650,2
01.01.2009 06:00:00;1,56313;1,56356;1,56257;1,56295;4203,2
01.01.2009 07:00:00;1,56315;1,56334;1,56072;1,56171;4624,1
01.01.2009 08:00:00;1,56157;1,56195;1,56098;1,56178;6153,1
01.01.2009 09:00:00;1,56175;1,56203;1,56025;1,56148;10206,2
01.01.2009 10:00:00;1,5615;1,56208;1,5607;1,56108;11220,2
01.01.2009 11:00:00;1,56095;1,56194;1,56068;1,56098;9315,6
01.01.2009 12:00:00;1,56143;1,5619;1,5605;1,56085;12726
01.01.2009 13:00:00;1,5605;1,56198;1,56045;1,56128;9653,5
01.01.2009 14:00:00;1,56128;1,562;1,5606;1,56108;8544,7
01.01.2009 15:00:00;1,56099;1,56228;1,56088;1,56108;9754,5
01.01.2009 16:00:00;1,56128;1,56197;1,56084;1,561;12354,9
01.01.2009 17:00:00;1,56103;1,56186;1,56075;1,5613;9404,7
01.01.2009 18:00:00;1,5613;1,56206;1,56022;1,56165;7720
01.01.2009 19:00:00;1,56143;1,56198;1,55745;1,5587;3641,1
01.01.2009 20:00:00;1,55892;1,56095;1,5562;1,56082;1482,1
01.01.2009 21:00:00;1,5606;1,5606;1,55597;1,55634;1439,6
01.01.2009 22:00:00;1,55497;1,55791;1,55381;1,5567;1620,6
01.01.2009 23:00:00;1,55765;1,56075;1,55617;1,55681;2156
02.01.2009 00:00:00;1,55761;1,5742;1,55731;1,5705;1557,8
02.01.2009 01:00:00;1,5705;1,5718;1,5656;1,56825;1061,6
02.01.2009 02:00:00;1,5667;1,57025;1,5651;1,56685;4457,2
02.01.2009 03:00:00;1,56685;1,56935;1,56555;1,567;3691,2
02.01.2009 04:00:00;1,567;1,5696;1,5574;1,5661;1898,8
02.01.2009 05:00:00;1,5661;1,5733;1,564;1,5705;2956,4
02.01.2009 06:00:00;1,5705;1,57315;1,56705;1,5713;1841,6
02.01.2009 07:00:00;1,5715;1,5794;1,5712;1,577;2277,2
02.01.2009 08:00:00;1,577;1,577;1,5705;1,5705;2513,7
02.01.2009 09:00:00;1,5704;1,5743;1,5549;1,5586;8476,2
02.01.2009 10:00:00;1,5586;1,55915;1,54725;1,55085;13165,3
02.01.2009 11:00:00;1,55085;1,55455;1,54788;1,5534;15829
02.01.2009 12:00:00;1,5534;1,55385;1,54225;1,54325;7736,6
02.01.2009 13:00:00;1,54325;1,5438;1,53615;1,54245;6359,7
02.01.2009 14:00:00;1,54245;1,54595;1,5365;1,54245;6998,1
02.01.2009 15:00:00;1,5421;1,5503;1,541;1,5491;11533,5
02.01.2009 16:00:00;1,5491;1,5587;1,5491;1,5583;10723,2
02.01.2009 17:00:00;1,5585;1,5587;1,54745;1,5524;17722,6
02.01.2009 18:00:00;1,55245;1,55415;1,5478;1,55115;7303,4
02.01.2009 19:00:00;1,55135;1,5524;1,54875;1,55135;3363,6
02.01.2009 20:00:00;1,5513;1,56075;1,5497;1,5602;3432,2
02.01.2009 21:00:00;1,5602;1,56215;1,5573;1,5619;2551,2
02.01.2009 22:00:00;1,5619;1,57065;1,5618;1,56995;2533,2
02.01.2009 23:00:00;1,5702;1,57435;1,5697;1,5724;2648,1
05.01.2009 00:00:00;1,56875;1,5719;1,56685;1,57185;1869,2
05.01.2009 01:00:00;1,5719;1,5719;1,5555;1,5564;6169,7
05.01.2009 02:00:00;1,55495;1,5604;1,551;1,55425;5509,1
05.01.2009 03:00:00;1,55425;1,5579;1,55365;1,55735;4285,8
05.01.2009 04:00:00;1,55695;1,56095;1,5531;1,5601;5919
05.01.2009 05:00:00;1,56;1,5618;1,55805;1,561;3571
05.01.2009 06:00:00;1,56095;1,56505;1,5599;1,562;4599,2
05.01.2009 07:00:00;1,562;1,563;1,5598;1,5618;3007,8
05.01.2009 08:00:00;1,5618;1,5678;1,56102;1,56705;3167,6
05.01.2009 09:00:00;1,56685;1,56875;1,5624;1,56425;12668,6
05.01.2009 10:00:00;1,56415;1,59485;1,5617;1,5939;19171,9
05.01.2009 11:00:00;1,594;1,60085;1,59365;1,5955;16643
05.01.2009 12:00:00;1,59545;1,604;1,58965;1,6036;15266,9
05.01.2009 13:00:00;1,60375;1,6045;1,599;1,6012;10098,5
05.01.2009 14:00:00;1,6012;1,6143;1,6008;1,6092;20414,9
05.01.2009 15:00:00;1,60915;1,61005;1,5996;1,6064;16211,4
05.01.2009 16:00:00;1,6066;1,6085;1,5984;1,6003;12379,4
05.01.2009 17:00:00;1,59975;1,6059;1,5992;1,6047;12111,4
05.01.2009 18:00:00;1,60465;1,619;1,6026;1,6174;14391
05.01.2009 19:00:00;1,61725;1,62435;1,6152;1,61915;8394,6
05.01.2009 20:00:00;1,6194;1,62385;1,6188;1,62385;7045,8
05.01.2009 21:00:00;1,6234;1,63325;1,6222;1,6318;6985,6
05.01.2009 22:00:00;1,63205;1,6326;1,6285;1,62905;4397,5
05.01.2009 23:00:00;1,6291;1,63335;1,6279;1,62955;5135,1
06.01.2009 00:00:00;1,6296;1,63415;1,6285;1,6314;2597,4
06.01.2009 01:00:00;1,6315;1,6315;1,62735;1,6309;2822
06.01.2009 02:00:00;1,6309;1,63115;1,62545;1,629;3765,7
06.01.2009 03:00:00;1,6288;1,6299;1,62649;1,6277;2369,8
06.01.2009 04:00:00;1,6277;1,6281;1,62494;1,6265;1896,7
06.01.2009 05:00:00;1,6265;1,62685;1,6246;1,6253;2648,2
06.01.2009 06:00:00;1,6253;1,62685;1,622;1,6256;3898
06.01.2009 07:00:00;1,6255;1,6287;1,62335;1,6281;3061,4
06.01.2009 08:00:00;1,6281;1,62895;1,6227;1,623;3249,8
06.01.2009 09:00:00;1,623;1,6344;1,61895;1,63235;14929,7
06.01.2009 10:00:00;1,6324;1,6455;1,63095;1,6431;16486,8
06.01.2009 11:00:00;1,6431;1,64645;1,6393;1,6397;17077,3
06.01.2009 12:00:00;1,6397;1,6486;1,63915;1,6403;14342,1
06.01.2009 13:00:00;1,6403;1,64255;1,6366;1,64085;13977,7
06.01.2009 14:00:00;1,64085;1,6453;1,6395;1,6408;12993
06.01.2009 15:00:00;1,64085;1,64105;1,6331;1,6365;15687,3
06.01.2009 16:00:00;1,6366;1,64545;1,6313;1,6422;11908,3
06.01.2009 17:00:00;1,6422;1,65425;1,6395;1,65405;16308,6
06.01.2009 18:00:00;1,6536;1,66125;1,6517;1,6564;13732,2
06.01.2009 19:00:00;1,65655;1,6715;1,65555;1,67045;11197,5
06.01.2009 20:00:00;1,6703;1,67345;1,66135;1,663;9650,7
06.01.2009 21:00:00;1,66305;1,67205;1,66185;1,6692;12017,2
06.01.2009 22:00:00;1,66915;1,67515;1,6645;1,6662;11717,9
06.01.2009 23:00:00;1,66605;1,66875;1,66095;1,6612;4927,8
07.01.2009 00:00:00;1,6612;1,66495;1,66115;1,663;2133,6
07.01.2009 01:00:00;1,66305;1,66585;1,66175;1,66345;4414,2
