Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,52562;2,52562;2,52562;2,52562;0
01.01.2009 02:00:00;2,52562;2,52562;2,52562;2,52562;0
01.01.2009 03:00:00;2,52562;2,52562;2,52562;2,52562;0
01.01.2009 04:00:00;2,50905;2,50908;2,5063;2,50773;100,8
01.01.2009 05:00:00;2,5075;2,50865;2,50588;2,50625;242
01.01.2009 06:00:00;2,50613;2,50628;2,50395;2,50622;238,2
01.01.2009 07:00:00;2,50622;2,50627;2,50025;2,50095;267,6
01.01.2009 08:00:00;2,50093;2,50225;2,49865;2,50052;246,8
01.01.2009 09:00:00;2,50052;2,50052;2,50005;2,50033;236,6
01.01.2009 10:00:00;2,50035;2,50035;2,49797;2,49828;245,8
01.01.2009 11:00:00;2,49823;2,49838;2,4979;2,49833;257,2
01.01.2009 12:00:00;2,49823;2,49873;2,49688;2,49833;244,6
01.01.2009 13:00:00;2,49822;2,49838;2,49803;2,49835;481,2
01.01.2009 14:00:00;2,49835;2,49875;2,4968;2,49833;730,6
01.01.2009 15:00:00;2,49833;2,49835;2,49602;2,49833;954,8
01.01.2009 16:00:00;2,49835;2,49875;2,4968;2,49833;1129,2
01.01.2009 17:00:00;2,49833;2,49838;2,49808;2,49833;1137,6
01.01.2009 18:00:00;2,49833;2,49838;2,49657;2,49833;1127,6
01.01.2009 19:00:00;2,49833;2,49838;2,494;2,49413;429,4
01.01.2009 20:00:00;2,49413;2,49413;2,49413;2,49413;0
01.01.2009 21:00:00;2,49413;2,49413;2,49413;2,49413;0
01.01.2009 22:00:00;2,49413;2,49413;2,49413;2,49413;0
01.01.2009 23:00:00;2,49413;2,49413;2,49413;2,49413;0
02.01.2009 00:00:00;2,47671;2,5361;2,47671;2,52561;503,6
02.01.2009 01:00:00;2,52716;2,53242;2,52145;2,52147;560,6
02.01.2009 02:00:00;2,52146;2,53511;2,52146;2,531;479,4
02.01.2009 03:00:00;2,53397;2,53468;2,52416;2,53225;492
02.01.2009 04:00:00;2,53357;2,53777;2,5251;2,52981;480,2
02.01.2009 05:00:00;2,52839;2,53465;2,52235;2,52786;483,6
02.01.2009 06:00:00;2,52701;2,531;2,52459;2,52962;496,4
02.01.2009 07:00:00;2,52627;2,54003;2,52345;2,53866;498,6
02.01.2009 08:00:00;2,53919;2,53919;2,52819;2,52819;498,8
02.01.2009 09:00:00;2,52541;2,53132;2,51692;2,52411;487
02.01.2009 10:00:00;2,52359;2,52475;2,50907;2,51855;501,6
02.01.2009 11:00:00;2,5187;2,52184;2,50253;2,50719;496
02.01.2009 12:00:00;2,50638;2,5111;2,49977;2,50114;489,6
02.01.2009 13:00:00;2,50094;2,50219;2,48852;2,49778;1030,2
02.01.2009 14:00:00;2,49853;2,50233;2,48312;2,48387;1588,6
02.01.2009 15:00:00;2,48354;2,49971;2,48354;2,48778;1905,6
02.01.2009 16:00:00;2,4874;2,49619;2,48453;2,48894;2296,6
02.01.2009 17:00:00;2,48999;2,4952;2,47644;2,47679;2375
02.01.2009 18:00:00;2,47627;2,48955;2,47471;2,48058;2378,2
02.01.2009 19:00:00;2,48118;2,48163;2,47167;2,47245;1091,2
02.01.2009 20:00:00;2,472;2,47629;2,46636;2,46935;589,4
02.01.2009 21:00:00;2,46922;2,47444;2,46333;2,46531;632,2
02.01.2009 22:00:00;2,46784;2,47472;2,46675;2,47472;584,4
02.01.2009 23:00:00;2,47483;2,48094;2,47388;2,47755;526,6
05.01.2009 00:00:00;2,4703;2,47706;2,46194;2,46732;496,4
05.01.2009 01:00:00;2,46711;2,4683;2,4573;2,45755;560,8
05.01.2009 02:00:00;2,45721;2,46095;2,45014;2,45037;560,2
05.01.2009 03:00:00;2,45026;2,45377;2,44854;2,45264;522,2
05.01.2009 04:00:00;2,45355;2,45691;2,44674;2,45475;526,8
05.01.2009 05:00:00;2,45439;2,45984;2,45056;2,45292;584,2
05.01.2009 06:00:00;2,45278;2,45864;2,45058;2,45233;632,8
05.01.2009 07:00:00;2,45238;2,45578;2,44818;2,44957;577,4
05.01.2009 08:00:00;2,44921;2,46619;2,44887;2,46505;1090
05.01.2009 09:00:00;2,46573;2,4907;2,46508;2,49011;2379,2
05.01.2009 10:00:00;2,48954;2,48954;2,46717;2,46915;2376,8
05.01.2009 11:00:00;2,4685;2,48482;2,46827;2,48176;2298,2
05.01.2009 12:00:00;2,48163;2,49106;2,47086;2,49015;1905,8
05.01.2009 13:00:00;2,48996;2,50197;2,48366;2,48802;1588,6
05.01.2009 14:00:00;2,48822;2,49659;2,48664;2,49078;1029,6
05.01.2009 15:00:00;2,49192;2,49223;2,48163;2,4869;490
05.01.2009 16:00:00;2,48785;2,48867;2,4577;2,46257;496,4
05.01.2009 17:00:00;2,4625;2,46687;2,4537;2,46568;500,6
05.01.2009 18:00:00;2,46436;2,48701;2,46262;2,48381;486,2
05.01.2009 19:00:00;2,48405;2,4961;2,48093;2,48308;505,6
05.01.2009 20:00:00;2,48376;2,49065;2,48146;2,48596;512
05.01.2009 21:00:00;2,48586;2,50145;2,48255;2,4982;491,6
05.01.2009 22:00:00;2,4981;2,49828;2,48875;2,4923;483,8
05.01.2009 23:00:00;2,49235;2,49259;2,48418;2,48857;476,8
06.01.2009 00:00:00;2,4893;2,49582;2,48709;2,48979;505,4
06.01.2009 01:00:00;2,4906;2,49785;2,48644;2,49785;503,4
06.01.2009 02:00:00;2,49785;2,49785;2,48978;2,49438;559
06.01.2009 03:00:00;2,49422;2,49466;2,4883;2,48956;511,8
06.01.2009 04:00:00;2,48857;2,49226;2,48645;2,48812;527
06.01.2009 05:00:00;2,48809;2,4923;2,48759;2,49153;585,4
06.01.2009 06:00:00;2,49191;2,4996;2,49191;2,49895;632
06.01.2009 07:00:00;2,49871;2,49871;2,48706;2,48978;588,4
06.01.2009 08:00:00;2,48953;2,4926;2,48461;2,49068;1091,2
06.01.2009 09:00:00;2,48943;2,50736;2,48535;2,50731;2378,6
06.01.2009 10:00:00;2,50724;2,518;2,50168;2,51018;2377
06.01.2009 11:00:00;2,50962;2,51448;2,50347;2,50435;2297,2
06.01.2009 12:00:00;2,50489;2,50838;2,4918;2,49543;1906,2
06.01.2009 13:00:00;2,49465;2,49827;2,48363;2,48639;1589,6
06.01.2009 14:00:00;2,48554;2,48963;2,47795;2,47865;1028,6
06.01.2009 15:00:00;2,4785;2,4786;2,45683;2,46649;489,6
06.01.2009 16:00:00;2,46694;2,46833;2,45215;2,45345;496,4
06.01.2009 17:00:00;2,45351;2,48695;2,45257;2,48241;501,2
06.01.2009 18:00:00;2,48305;2,48958;2,48041;2,4849;486,4
06.01.2009 19:00:00;2,48465;2,50648;2,48265;2,50648;505,6
06.01.2009 20:00:00;2,50675;2,50727;2,49461;2,49809;509,8
06.01.2009 21:00:00;2,49838;2,50584;2,49197;2,49533;492
06.01.2009 22:00:00;2,4962;2,50323;2,49239;2,50236;483,4
06.01.2009 23:00:00;2,50342;2,5046;2,48756;2,48979;479,4
07.01.2009 00:00:00;2,49008;2,49392;2,48565;2,49132;522,6
07.01.2009 01:00:00;2,49152;2,49979;2,48995;2,49837;503,2
07.01.2009 02:00:00;2,49806;2,50071;2,48944;2,49332;561,8
07.01.2009 03:00:00;2,49306;2,49306;2,48777;2,48954;520,8
07.01.2009 04:00:00;2,49064;2,49351;2,48784;2,48801;526,6
07.01.2009 05:00:00;2,48788;2,49669;2,48724;2,49654;584,6
07.01.2009 06:00:00;2,49558;2,49863;2,49038;2,49038;633,2
07.01.2009 07:00:00;2,49028;2,50585;2,49028;2,50141;588,8
07.01.2009 08:00:00;2,50135;2,51139;2,49505;2,50871;1091,2
07.01.2009 09:00:00;2,50849;2,5122;2,49574;2,50283;2379
07.01.2009 10:00:00;2,50199;2,50219;2,49125;2,49211;2374,8
07.01.2009 11:00:00;2,49157;2,49603;2,48001;2,48354;2298,4
07.01.2009 12:00:00;2,48296;2,50145;2,47851;2,50078;1905,2
07.01.2009 13:00:00;2,50088;2,50783;2,49477;2,50407;1590,4
07.01.2009 14:00:00;2,50302;2,51887;2,50265;2,51592;1028,8
07.01.2009 15:00:00;2,51612;2,51854;2,50301;2,50755;489
07.01.2009 16:00:00;2,50835;2,51757;2,50378;2,51757;497
07.01.2009 17:00:00;2,51692;2,54224;2,51605;2,5413;501,2
07.01.2009 18:00:00;2,54066;2,54543;2,53462;2,53819;486,6
07.01.2009 19:00:00;2,53872;2,54552;2,5315;2,53449;505
07.01.2009 20:00:00;2,53522;2,55151;2,53045;2,55151;511,6
07.01.2009 21:00:00;2,55134;2,55456;2,54442;2,5536;494,2
07.01.2009 22:00:00;2,55348;2,56199;2,54963;2,55771;484
07.01.2009 23:00:00;2,55681;2,55839;2,55061;2,55061;476,4
08.01.2009 00:00:00;2,55097;2,55675;2,55016;2,55372;522,4
08.01.2009 01:00:00;2,55381;2,56498;2,55317;2,55855;503
08.01.2009 02:00:00;2,5579;2,56404;2,55216;2,5639;557,6
08.01.2009 03:00:00;2,56399;2,56739;2,56084;2,56233;520,8
08.01.2009 04:00:00;2,56214;2,57085;2,56056;2,56642;526,8
08.01.2009 05:00:00;2,56649;2,57479;2,56383;2,56982;584,4
08.01.2009 06:00:00;2,56922;2,57106;2,5646;2,56927;632
08.01.2009 07:00:00;2,56926;2,56991;2,55944;2,56373;588
08.01.2009 08:00:00;2,56311;2,56934;2,55826;2,56412;1090,8
08.01.2009 09:00:00;2,56439;2,57193;2,55687;2,57061;2379
08.01.2009 10:00:00;2,56983;2,57908;2,56505;2,57295;2374,8
08.01.2009 11:00:00;2,57252;2,57612;2,55574;2,5586;2298,6
08.01.2009 12:00:00;2,55831;2,55958;2,55152;2,55858;1905,2
08.01.2009 13:00:00;2,55794;2,5668;2,55481;2,55592;1590,2
08.01.2009 14:00:00;2,55813;2,58708;2,55326;2,58346;1031
08.01.2009 15:00:00;2,58449;2,59886;2,5755;2,57927;488,8
08.01.2009 16:00:00;2,58039;2,59155;2,56784;2,57198;496,6
08.01.2009 17:00:00;2,57064;2,57487;2,54989;2,55553;501,2
08.01.2009 18:00:00;2,55696;2,56404;2,55319;2,56172;486,2
08.01.2009 19:00:00;2,56275;2,56369;2,55011;2,55458;505,2
08.01.2009 20:00:00;2,55419;2,5611;2,55122;2,55601;509,4
08.01.2009 21:00:00;2,55617;2,55948;2,5515;2,5586;493,8
08.01.2009 22:00:00;2,55895;2,5639;2,55336;2,55336;483,8
08.01.2009 23:00:00;2,55383;2,55586;2,54945;2,54967;477
09.01.2009 00:00:00;2,54898;2,56167;2,54743;2,56066;515,2
09.01.2009 01:00:00;2,56066;2,56257;2,55486;2,55934;496,6
09.01.2009 02:00:00;2,55937;2,56071;2,55214;2,55764;557
09.01.2009 03:00:00;2,55791;2,56866;2,55791;2,56603;520,8
09.01.2009 04:00:00;2,56633;2,56665;2,5564;2,55975;526,8
09.01.2009 05:00:00;2,5595;2,56558;2,55761;2,56235;584,2
09.01.2009 06:00:00;2,56229;2,56337;2,55786;2,56254;612,4
09.01.2009 07:00:00;2,56331;2,56335;2,55822;2,55966;588,2
09.01.2009 08:00:00;2,56005;2,56943;2,55909;2,56408;1090,8
09.01.2009 09:00:00;2,56479;2,5689;2,56279;2,5658;2377,8
09.01.2009 10:00:00;2,56646;2,57265;2,55676;2,55973;2376,2
09.01.2009 11:00:00;2,55983;2,57011;2,55194;2,56585;2297,4
09.01.2009 12:00:00;2,56575;2,58109;2,56532;2,57485;1905
