Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,71238;0,71238;0,71238;0,71238;0
01.01.2009 02:00:00;0,71237;0,71237;0,71233;0,71237;14,4
01.01.2009 03:00:00;0,71237;0,71237;0,71237;0,71237;0
01.01.2009 04:00:00;0,7099;0,71199;0,70912;0,7096;208
01.01.2009 05:00:00;0,70958;0,71;0,70918;0,7099;251
01.01.2009 06:00:00;0,71;0,7124;0,70902;0,71;279,6
01.01.2009 07:00:00;0,70995;0,71;0,7091;0,70978;263,8
01.01.2009 08:00:00;0,7097;0,7124;0,70962;0,71007;320,8
01.01.2009 09:00:00;0,71003;0,7101;0,7099;0,71008;867,8
01.01.2009 10:00:00;0,70997;0,71216;0,7099;0,71057;800
01.01.2009 11:00:00;0,71058;0,7108;0,7104;0,71047;823,4
01.01.2009 12:00:00;0,71057;0,71214;0,70964;0,71039;692,4
01.01.2009 13:00:00;0,71055;0,7107;0,7104;0,7106;516
01.01.2009 14:00:00;0,71068;0,7124;0,7104;0,7117;338
01.01.2009 15:00:00;0,7117;0,7117;0,7117;0,7117;0
01.01.2009 16:00:00;0,71237;0,7124;0,71147;0,71167;132,2
01.01.2009 17:00:00;0,71162;0,7117;0,71155;0,71167;16
01.01.2009 18:00:00;0,71087;0,71238;0,71077;0,7116;265,8
01.01.2009 19:00:00;0,71167;0,7139;0,7084;0,70877;115,2
01.01.2009 20:00:00;0,70877;0,71171;0,7061;0,70615;209,2
01.01.2009 21:00:00;0,70618;0,70668;0,70522;0,70578;247,8
01.01.2009 22:00:00;0,7058;0,71238;0,7057;0,70707;262,4
01.01.2009 23:00:00;0,70757;0,71;0,70755;0,71;192
02.01.2009 00:00:00;0,70912;0,71287;0,70785;0,70908;679,6
02.01.2009 01:00:00;0,70882;0,71231;0,70779;0,71224;638
02.01.2009 02:00:00;0,71146;0,71245;0,70967;0,70967;699
02.01.2009 03:00:00;0,70958;0,71189;0,70619;0,70678;636,6
02.01.2009 04:00:00;0,70663;0,70848;0,70415;0,70679;776,4
02.01.2009 05:00:00;0,70695;0,70838;0,704;0,70591;722
02.01.2009 06:00:00;0,70611;0,70876;0,70435;0,70534;708
02.01.2009 07:00:00;0,70614;0,70673;0,70428;0,70436;663,8
02.01.2009 08:00:00;0,70416;0,7063;0,7041;0,7047;892,4
02.01.2009 09:00:00;0,70457;0,70792;0,70306;0,70737;2094,4
02.01.2009 10:00:00;0,70712;0,70863;0,70526;0,7079;2581,4
02.01.2009 11:00:00;0,70758;0,71012;0,70629;0,70704;2573,8
02.01.2009 12:00:00;0,70681;0,70705;0,70345;0,70598;1999,8
02.01.2009 13:00:00;0,70595;0,70754;0,70522;0,70611;1534,8
02.01.2009 14:00:00;0,70582;0,7092;0,70511;0,70813;932,6
02.01.2009 15:00:00;0,70727;0,70777;0,70503;0,70697;839,4
02.01.2009 16:00:00;0,70688;0,71013;0,70602;0,7093;803,8
02.01.2009 17:00:00;0,70911;0,71063;0,70708;0,71019;814,8
02.01.2009 18:00:00;0,71031;0,71122;0,70658;0,70691;799,6
02.01.2009 19:00:00;0,70699;0,70734;0,70482;0,70576;787,8
02.01.2009 20:00:00;0,7059;0,70834;0,70427;0,70758;737,4
02.01.2009 21:00:00;0,7076;0,71086;0,70662;0,71061;765,6
02.01.2009 22:00:00;0,71042;0,71302;0,71004;0,71073;712
