Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;0,62335;0,62342;0,6231;0,62335;244,8
01.01.2009 02:00:00;0,62333;0,62477;0,62325;0,62338;251,4
01.01.2009 03:00:00;0,62338;0,62343;0,62315;0,6234;236,4
01.01.2009 04:00:00;0,62338;0,6247;0,62242;0,62293;264,4
01.01.2009 05:00:00;0,623;0,6234;0,62272;0,6234;269,6
01.01.2009 06:00:00;0,62327;0,6249;0,62313;0,6234;262,2
01.01.2009 07:00:00;0,62333;0,62343;0,6226;0,62325;278,8
01.01.2009 08:00:00;0,6233;0,6249;0,62245;0,6234;271,8
01.01.2009 09:00:00;0,6234;0,62342;0,62315;0,62338;296
01.01.2009 10:00:00;0,62338;0,62454;0,62303;0,6237;352,8
01.01.2009 11:00:00;0,62375;0,6241;0,62295;0,6239;341,2
01.01.2009 12:00:00;0,62393;0,62475;0,62282;0,62387;435,4
01.01.2009 13:00:00;0,6236;0,6242;0,6236;0,6238;572
01.01.2009 14:00:00;0,6238;0,62488;0,62352;0,6238;704
01.01.2009 15:00:00;0,6238;0,624;0,62303;0,6239;558,8
01.01.2009 16:00:00;0,6238;0,62491;0,62375;0,6238;1013,2
01.01.2009 17:00:00;0,6238;0,62393;0,62358;0,6238;892,4
01.01.2009 18:00:00;0,6238;0,6249;0,62295;0,6239;754,6
01.01.2009 19:00:00;0,6239;0,62393;0,61938;0,6195;582,8
01.01.2009 20:00:00;0,61957;0,6201;0,6162;0,61718;378
01.01.2009 21:00:00;0,61923;0,61923;0,61627;0,61752;447,8
01.01.2009 22:00:00;0,61689;0,6186;0,61642;0,6184;461
01.01.2009 23:00:00;0,6185;0,6201;0,61733;0,61828;244,8
02.01.2009 00:00:00;0,61648;0,62334;0,61588;0,61949;744,6
02.01.2009 01:00:00;0,61928;0,62077;0,61824;0,6198;873,2
02.01.2009 02:00:00;0,61981;0,61993;0,61723;0,61859;762
02.01.2009 03:00:00;0,61764;0,6206;0,61669;0,61775;778,8
02.01.2009 04:00:00;0,61756;0,61986;0,61539;0,61834;780,6
02.01.2009 05:00:00;0,61854;0,62153;0,61758;0,61974;805,6
02.01.2009 06:00:00;0,61961;0,62096;0,61871;0,62034;788,6
02.01.2009 07:00:00;0,62107;0,62209;0,61999;0,61999;783,4
02.01.2009 08:00:00;0,61991;0,62121;0,61857;0,62078;787,8
02.01.2009 09:00:00;0,62074;0,62074;0,61582;0,61621;814
02.01.2009 10:00:00;0,61625;0,61838;0,61446;0,61494;791,6
02.01.2009 11:00:00;0,61488;0,61868;0,61393;0,61806;809,8
02.01.2009 12:00:00;0,6181;0,61851;0,61435;0,61621;816
02.01.2009 13:00:00;0,61629;0,61719;0,61337;0,61663;1172
02.01.2009 14:00:00;0,61607;0,62058;0,61578;0,62058;1884,6
02.01.2009 15:00:00;0,62001;0,62176;0,61832;0,62164;1989,2
02.01.2009 16:00:00;0,62181;0,62502;0,62103;0,62492;2608,6
02.01.2009 17:00:00;0,62481;0,62559;0,62198;0,62559;2624,6
02.01.2009 18:00:00;0,62602;0,62627;0,622;0,62418;2277,6
02.01.2009 19:00:00;0,62367;0,62677;0,62367;0,62677;1444,8
02.01.2009 20:00:00;0,62657;0,63064;0,62516;0,63032;873
02.01.2009 21:00:00;0,6298;0,63269;0,62884;0,63192;851,6
