Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;63,248;63,248;63,248;63,248;0
01.01.2009 02:00:00;63,248;63,248;63,248;63,248;0
01.01.2009 03:00:00;63,248;63,248;63,248;63,248;0
01.01.2009 04:00:00;63,248;63,248;63,248;63,248;0
01.01.2009 05:00:00;63,248;63,248;63,248;63,248;0
01.01.2009 06:00:00;63,136;63,139;63,127;63,131;714,87
01.01.2009 07:00:00;63,18;63,349;63,18;63,34;655,87
01.01.2009 08:00:00;63,34;63,34;63,34;63,34;0
01.01.2009 09:00:00;63,34;63,34;63,34;63,34;0
01.01.2009 10:00:00;63,342;63,498;63,268;63,426;1679,99
01.01.2009 11:00:00;63,452;63,768;63,447;63,679;1673,61
01.01.2009 12:00:00;63,753;63,759;63,461;63,531;830,21
01.01.2009 13:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 14:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 15:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 16:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 17:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 18:00:00;63,531;63,531;63,531;63,531;0
01.01.2009 19:00:00;63,481;63,481;63,176;63,36;318,49
01.01.2009 20:00:00;63,365;63,408;62,854;62,947;2560,68
01.01.2009 21:00:00;62,994;63,327;62,831;63,06;3470,08
01.01.2009 22:00:00;63,053;63,193;62,742;63,078;2826,28
01.01.2009 23:00:00;63,075;63,245;63,06;63,218;1151,96
02.01.2009 00:00:00;63,213;63,397;63,122;63,306;4302,71
02.01.2009 01:00:00;63,308;63,308;63,008;63,082;3604,98
02.01.2009 02:00:00;63,071;63,087;62,867;62,966;3473,1
02.01.2009 03:00:00;62,995;62,995;62,768;62,804;3717,25
02.01.2009 04:00:00;62,829;62,829;62,494;62,57;4399,25
02.01.2009 05:00:00;62,586;62,633;62,463;62,61;4157,6
02.01.2009 06:00:00;62,663;62,698;62,532;62,56;4054,01
02.01.2009 07:00:00;62,592;62,694;62,41;62,623;2893,79
02.01.2009 08:00:00;62,608;62,703;62,585;62,686;732,87
02.01.2009 09:00:00;62,676;62,775;62,639;62,711;2132,97
02.01.2009 10:00:00;62,732;62,842;62,667;62,749;5418,94
02.01.2009 11:00:00;62,775;62,783;62,653;62,735;5167,17
02.01.2009 12:00:00;62,763;62,907;62,624;62,66;3788,75
02.01.2009 13:00:00;62,698;62,714;62,491;62,577;4461,77
02.01.2009 14:00:00;62,601;62,662;62,487;62,487;4598,37
02.01.2009 15:00:00;62,519;62,544;62,354;62,385;4983,06
02.01.2009 16:00:00;62,392;62,524;62,381;62,492;4194,36
02.01.2009 17:00:00;62,518;62,657;62,232;62,639;4413,23
02.01.2009 18:00:00;62,601;62,761;62,526;62,716;4494,07
02.01.2009 19:00:00;62,711;62,89;62,686;62,794;4402,57
02.01.2009 20:00:00;62,804;62,991;62,637;62,958;4997,46
02.01.2009 21:00:00;62,986;63,341;62,92;63,132;5328,23
02.01.2009 22:00:00;63,149;63,193;63,014;63,074;4814,02
02.01.2009 23:00:00;63,11;63,136;62,814;62,922;3555,89
05.01.2009 00:00:00;63,209;63,358;63,145;63,312;4088
05.01.2009 01:00:00;63,337;63,381;63,119;63,261;4189,32
05.01.2009 02:00:00;63,231;63,44;63,226;63,412;4519,55
05.01.2009 03:00:00;63,436;63,438;62,977;63,061;4526,19
05.01.2009 04:00:00;63,073;63,08;62,827;62,899;3639,99
05.01.2009 05:00:00;62,919;62,963;62,873;62,947;4914,79
05.01.2009 06:00:00;62,956;62,998;62,687;62,839;5589,71
05.01.2009 07:00:00;62,858;62,86;62,739;62,792;4930,32
05.01.2009 08:00:00;62,802;62,894;62,721;62,798;4336,23
05.01.2009 09:00:00;62,817;62,911;62,701;62,887;4428,98
05.01.2009 10:00:00;62,891;63,214;62,811;63,145;4303,46
05.01.2009 11:00:00;63,17;63,483;63,082;63,198;4269,62
05.01.2009 12:00:00;63,217;63,338;63,171;63,314;4970,34
05.01.2009 13:00:00;63,318;63,409;63,254;63,357;4563,5
05.01.2009 14:00:00;63,367;63,479;63,265;63,421;4504,26
