Time (EET);Open;High;Low;Close;Volume 
27.06.2012 00:00:00;6,36206;6,36237;6,3616;6,36186;886
27.06.2012 01:00:00;6,36186;6,36237;6,36162;6,36226;583
27.06.2012 02:00:00;6,36225;6,36247;6,36191;6,36225;970
27.06.2012 03:00:00;6,36228;6,36318;6,36224;6,36224;0,83
27.06.2012 04:00:00;6,35951;6,36089;6,34654;6,36089;1,29
27.06.2012 05:00:00;6,36052;6,36241;6,36015;6,36241;0,88
27.06.2012 06:00:00;6,36251;6,36251;6,35986;6,36206;1,11
27.06.2012 07:00:00;6,36229;6,36291;6,36218;6,36218;1,85
27.06.2012 08:00:00;6,3622;6,36238;6,36033;6,36226;1,06
27.06.2012 09:00:00;6,36222;6,36332;6,36145;6,36332;0,64
27.06.2012 10:00:00;6,36338;6,36338;6,35942;6,36248;4,2
27.06.2012 11:00:00;6,3623;6,3628;6,35863;6,36076;6,06
27.06.2012 12:00:00;6,36107;6,36157;6,35882;6,36148;8,98
27.06.2012 13:00:00;6,36189;6,36189;6,36022;6,36022;4,01
27.06.2012 14:00:00;6,36081;6,36081;6,35931;6,36047;2,88
27.06.2012 15:00:00;6,36002;6,36103;6,36002;6,36064;0,9
27.06.2012 16:00:00;6,36122;6,36129;6,36045;6,36097;1,03
27.06.2012 17:00:00;6,36129;6,36129;6,36023;6,36083;0,82
27.06.2012 18:00:00;6,36133;6,36157;6,36083;6,36127;0,77
27.06.2012 19:00:00;6,36141;6,36174;6,36081;6,3614;0,83
27.06.2012 20:00:00;6,3607;6,3618;6,3607;6,3616;0,78
27.06.2012 21:00:00;6,36105;6,36172;6,36075;6,36137;0,91
27.06.2012 22:00:00;6,36073;6,36141;6,3602;6,36103;0,9
27.06.2012 23:00:00;6,36091;6,36115;6,36028;6,36028;0,79
28.06.2012 00:00:00;6,36061;6,36076;6,35964;6,36033;0,89
28.06.2012 01:00:00;6,36051;6,36071;6,36015;6,36029;0,79
28.06.2012 02:00:00;6,36022;6,36072;6,36016;6,36042;0,75
28.06.2012 03:00:00;6,35956;6,36017;6,35866;6,35866;0,88
28.06.2012 04:00:00;6,35832;6,35943;6,358;6,35855;1,32
28.06.2012 05:00:00;6,35424;6,35937;6,34911;6,35937;0,83
28.06.2012 06:00:00;6,35984;6,35989;6,35694;6,35861;1,14
28.06.2012 07:00:00;6,35881;6,35913;6,35856;6,35873;1,86
28.06.2012 08:00:00;6,35861;6,35932;6,35717;6,35905;1,12
28.06.2012 09:00:00;6,35846;6,35887;6,35707;6,35853;0,61
28.06.2012 10:00:00;6,35801;6,35879;6,35436;6,35769;4,07
28.06.2012 11:00:00;6,35788;6,35987;6,35609;6,35973;6,05
28.06.2012 12:00:00;6,36024;6,3617;6,35897;6,3617;8,97
28.06.2012 13:00:00;6,36233;6,36239;6,36115;6,36115;4,07
28.06.2012 14:00:00;6,36167;6,36167;6,36014;6,36112;2,9
28.06.2012 15:00:00;6,36021;6,36167;6,36021;6,3614;0,83
28.06.2012 16:00:00;6,36169;6,36169;6,36049;6,36142;1
28.06.2012 17:00:00;6,3618;6,36181;6,36098;6,36151;0,9
28.06.2012 18:00:00;6,3617;6,36201;6,36124;6,36201;0,85
28.06.2012 19:00:00;6,36209;6,36214;6,36128;6,36161;0,98
28.06.2012 20:00:00;6,36014;6,36172;6,35969;6,36172;0,7
28.06.2012 21:00:00;6,36156;6,36177;6,36057;6,36166;0,9
28.06.2012 22:00:00;6,3611;6,3617;6,36089;6,36115;0,93
28.06.2012 23:00:00;6,3607;6,36084;6,35766;6,35766;0,94
29.06.2012 00:00:00;6,35317;6,35317;6,35012;6,35057;0,85
29.06.2012 01:00:00;6,35097;6,35101;6,35042;6,35066;0,82
29.06.2012 02:00:00;6,35073;6,3531;6,35073;6,3531;0,88
29.06.2012 03:00:00;6,35756;6,35971;6,35756;6,35948;0,7
29.06.2012 04:00:00;6,35974;6,36033;6,35773;6,36005;1,41
29.06.2012 05:00:00;6,35916;6,35916;6,35783;6,35895;0,84
29.06.2012 06:00:00;6,35838;6,35857;6,35517;6,35765;1,11
29.06.2012 07:00:00;6,35709;6,35727;6,35543;6,35727;1,78
29.06.2012 08:00:00;6,35782;6,35845;6,35782;6,35798;1,1
29.06.2012 09:00:00;6,3583;6,3583;6,35574;6,35702;0,66
29.06.2012 10:00:00;6,35768;6,35807;6,35602;6,35807;4,11
29.06.2012 11:00:00;6,35812;6,35883;6,35606;6,35783;6,1
29.06.2012 12:00:00;6,35771;6,35771;6,35528;6,35736;9,28
29.06.2012 13:00:00;6,35781;6,35781;6,3555;6,3555;4,07
29.06.2012 14:00:00;6,35614;6,35623;6,35509;6,35576;2,8
29.06.2012 15:00:00;6,35458;6,35532;6,3545;6,3545;0,74
29.06.2012 16:00:00;6,35481;6,35483;6,35392;6,35425;0,9
29.06.2012 17:00:00;6,35448;6,35448;6,35336;6,35398;0,78
29.06.2012 18:00:00;6,3543;6,3543;6,35178;6,35189;0,86
29.06.2012 19:00:00;6,35183;6,35251;6,35155;6,35226;0,92
29.06.2012 20:00:00;6,35165;6,35252;6,35039;6,35189;0,79
29.06.2012 21:00:00;6,35172;6,35541;6,35172;6,35228;0,86
29.06.2012 22:00:00;6,35137;6,35197;6,35099;6,35159;1
29.06.2012 23:00:00;6,35143;6,35143;6,35033;6,35033;0,99
02.07.2012 00:00:00;6,3478;6,3478;6,34609;6,3473;0,97
02.07.2012 01:00:00;6,3488;6,3492;6,34862;6,34877;0,8
02.07.2012 02:00:00;6,34878;6,34919;6,34877;6,34906;0,81
02.07.2012 03:00:00;6,35321;6,35326;6,35;6,35;0,76
02.07.2012 04:00:00;6,34451;6,34801;6,34244;6,34801;0,88
02.07.2012 05:00:00;6,34835;6,34895;6,34795;6,34851;0,89
