Time (EET);Open;High;Low;Close;Volume 
04.01.2016 00:00:00;24,8487;24,8596;24,8439;24,8505;214,75
04.01.2016 01:00:00;24,8492;24,8531;24,8205;24,8312;357,89
04.01.2016 02:00:00;24,8325;24,8436;24,7705;24,7906;574,49
04.01.2016 03:00:00;24,7917;24,8193;24,7792;24,8093;433,19
04.01.2016 04:00:00;24,8106;24,8266;24,7437;24,762;2421,99
04.01.2016 05:00:00;24,7619;24,7662;24,6849;24,7367;5084,89
04.01.2016 06:00:00;24,7368;24,7615;24,7226;24,7254;3138,41
04.01.2016 07:00:00;24,7253;24,7745;24,7107;24,7735;2893,35
04.01.2016 08:00:00;24,7727;24,7927;24,7488;24,7502;2772,33
04.01.2016 09:00:00;24,7508;24,7951;24,7297;24,7728;2653,59
04.01.2016 10:00:00;24,7741;24,9109;24,7741;24,8894;4766,2
04.01.2016 11:00:00;24,8885;24,9383;24,8697;24,9328;4531,08
04.01.2016 12:00:00;24,9328;25,0136;24,9065;25,013;5980,97
04.01.2016 13:00:00;25,013;25,0593;24,9868;25,0085;5032,75
04.01.2016 14:00:00;25,0097;25,0145;24,9615;24,9735;1551,09
04.01.2016 15:00:00;24,9725;24,9855;24,9575;24,9635;1109,23
04.01.2016 16:00:00;24,9625;24,9805;24,9515;24,9525;1050,97
04.01.2016 17:00:00;24,9535;24,9565;24,9295;24,9495;1455,86
04.01.2016 18:00:00;24,9505;24,9505;24,9285;24,9285;557,41
04.01.2016 19:00:00;24,899;24,9507;24,899;24,9447;538,4
04.01.2016 20:00:00;24,9477;24,9577;24,9465;24,9577;116,12
04.01.2016 21:00:00;24,952;24,9694;24,9311;24,939;226,96
04.01.2016 22:00:00;24,9378;24,9604;24,9221;24,9546;507,09
04.01.2016 23:00:00;24,9543;24,9749;24,9454;24,973;207,9
05.01.2016 00:00:00;24,9714;24,9763;24,962;24,9668;109,28
05.01.2016 01:00:00;24,9653;24,967;24,9435;24,9593;145,9
05.01.2016 02:00:00;24,9606;24,9622;24,9316;24,9378;233,7
05.01.2016 03:00:00;24,9397;24,9541;24,9277;24,9471;234,14
05.01.2016 04:00:00;24,9485;25,0044;24,9442;24,9967;1361,74
05.01.2016 05:00:00;24,9984;25,0503;24,9736;25,0411;2891,02
05.01.2016 06:00:00;25,0405;25,0806;25,0196;25,0775;3517,22
05.01.2016 07:00:00;25,077;25,0985;25,0519;25,0907;3629,19
05.01.2016 08:00:00;25,0919;25,1266;25,0892;25,1185;2635,18
05.01.2016 09:00:00;25,118;25,1318;25,098;25,1301;3405,29
05.01.2016 10:00:00;25,13;25,1593;25,1196;25,1519;3168,07
05.01.2016 11:00:00;25,1525;25,1614;25,1161;25,1585;3668,99
05.01.2016 12:00:00;25,1595;25,2258;25,1511;25,2014;4207,28
