Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;5,31975;5,31988;5,31889;5,31909;787
01.01.2009 02:00:00;5,31899;5,32005;5,31892;5,31978;823
01.01.2009 03:00:00;5,31955;5,32;5,3195;5,31964;798
01.01.2009 04:00:00;5,31985;5,32018;5,31961;5,32004;768
01.01.2009 05:00:00;5,32011;5,32018;5,3197;5,31988;829
01.01.2009 06:00:00;5,31973;5,32013;5,31961;5,3198;829
01.01.2009 07:00:00;5,31981;5,32051;5,31963;5,32035;800
01.01.2009 08:00:00;5,31995;5,32967;5,31952;5,31986;778
01.01.2009 09:00:00;5,31987;5,32945;5,3195;5,31968;855
01.01.2009 10:00:00;5,31971;5,33023;5,31385;5,31414;756
01.01.2009 11:00:00;5,31403;5,31432;5,31381;5,31408;782
01.01.2009 12:00:00;5,31402;5,31436;5,31382;5,31399;758
01.01.2009 13:00:00;5,31407;5,31431;5,31378;5,31414;796
01.01.2009 14:00:00;5,31421;5,32108;5,31382;5,31748;768
01.01.2009 15:00:00;5,31747;5,3177;5,31721;5,31757;815
01.01.2009 16:00:00;5,31758;5,31772;5,31722;5,3175;771
01.01.2009 17:00:00;5,31741;5,31771;5,31721;5,3175;795
01.01.2009 18:00:00;5,3173;5,32135;5,31718;5,32069;802
01.01.2009 19:00:00;5,32078;5,33105;5,31445;5,31465;817
01.01.2009 20:00:00;5,32272;5,32906;5,31515;5,32849;802
01.01.2009 21:00:00;5,32928;5,32935;5,31816;5,32223;786
01.01.2009 22:00:00;5,31879;5,32136;5,3157;5,31724;792
01.01.2009 23:00:00;5,3172;5,32625;5,29776;5,29776;822
02.01.2009 00:00:00;5,29836;5,31305;5,29189;5,31209;780
02.01.2009 01:00:00;5,3129;5,32579;5,31184;5,31372;787
02.01.2009 02:00:00;5,3135;5,31522;5,30319;5,30688;823
02.01.2009 03:00:00;5,30505;5,3343;5,30505;5,33034;798
02.01.2009 04:00:00;5,33009;5,3479;5,32446;5,34564;768
02.01.2009 05:00:00;5,34655;5,36677;5,34609;5,35542;829
02.01.2009 06:00:00;5,3563;5,36809;5,3553;5,36432;829
02.01.2009 07:00:00;5,36364;5,37331;5,35731;5,36549;800
02.01.2009 08:00:00;5,36452;5,3763;5,35884;5,37598;778
02.01.2009 09:00:00;5,37533;5,37655;5,35092;5,35327;855
02.01.2009 10:00:00;5,35434;5,36014;5,32725;5,32725;756
02.01.2009 11:00:00;5,329;5,33954;5,32651;5,33553;782
