Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;7,75031;7,75031;7,74985;7,75004;19,61886
01.01.2009 02:00:00;7,7504;7,7504;7,75035;7,75038;68,16133
01.01.2009 03:00:00;7,75035;7,7504;7,75035;7,75038;73,41585
01.01.2009 04:00:00;7,75035;7,7504;7,75025;7,75035;65,31695
01.01.2009 05:00:00;7,7504;7,7504;7,75035;7,75038;15,29056
01.01.2009 06:00:00;7,75035;7,7504;7,75035;7,7504;41,09354
01.01.2009 07:00:00;7,75035;7,7504;7,75035;7,75038;8,52829
01.01.2009 08:00:00;7,7504;7,75043;7,75035;7,75035;35,27733
01.01.2009 09:00:00;7,75035;7,7504;7,75034;7,7504;129,85158
01.01.2009 10:00:00;7,7504;7,75043;7,75025;7,75035;172,4222
01.01.2009 11:00:00;7,7504;7,7504;7,75025;7,75035;131,54677
01.01.2009 12:00:00;7,75035;7,7504;7,75034;7,75035;247,61902
01.01.2009 13:00:00;7,75035;7,7504;7,7503;7,75035;102,48096
01.01.2009 14:00:00;7,75035;7,7504;7,75025;7,75038;158,6311
01.01.2009 15:00:00;7,75035;7,7504;7,75025;7,75035;24,46001
01.01.2009 16:00:00;7,75035;7,7504;7,75035;7,75035;19,1201
01.01.2009 17:00:00;7,75035;7,75035;7,75035;7,75035;0
01.01.2009 18:00:00;7,75035;7,7504;7,75035;7,75038;43,20442
01.01.2009 19:00:00;7,75035;7,7504;7,75033;7,75035;150,828
01.01.2009 20:00:00;7,75035;7,7504;7,75035;7,75038;198,08324
01.01.2009 21:00:00;7,7504;7,7504;7,75035;7,75038;63,08577
01.01.2009 22:00:00;7,7504;7,7504;7,75035;7,75038;110,27028
01.01.2009 23:00:00;7,7504;7,7504;7,75035;7,7504;83,96543
02.01.2009 00:00:00;7,75035;7,7504;7,75035;7,75038;63,35973
02.01.2009 01:00:00;7,7504;7,7504;7,75025;7,75038;190,23906
02.01.2009 02:00:00;7,75048;7,7511;7,74975;7,7502;496,8839
02.01.2009 03:00:00;7,75015;7,75105;7,74985;7,75;485,64792
02.01.2009 04:00:00;7,75007;7,75083;7,74985;7,75035;530,8198
02.01.2009 05:00:00;7,75045;7,75135;7,75015;7,7505;631,10455
02.01.2009 06:00:00;7,75052;7,7512;7,74995;7,75025;615,9639
02.01.2009 07:00:00;7,75032;7,75108;7,74935;7,7502;298,65146
02.01.2009 08:00:00;7,75015;7,75145;7,74995;7,75085;671,02594
02.01.2009 09:00:00;7,751;7,75143;7,75025;7,75075;843,4337
02.01.2009 10:00:00;7,75045;7,7512;7,75015;7,75055;848,5702
02.01.2009 11:00:00;7,7507;7,75122;7,75015;7,75035;1042,9786
02.01.2009 12:00:00;7,75065;7,75105;7,74975;7,75005;1023,2973
02.01.2009 13:00:00;7,75025;7,751;7,74995;7,75065;1097,5806
02.01.2009 14:00:00;7,75075;7,75085;7,74955;7,7502;1107,6896
02.01.2009 15:00:00;7,75005;7,75095;7,74955;7,75;1014,8623
02.01.2009 16:00:00;7,75025;7,75075;7,74955;7,74955;940,09186
02.01.2009 17:00:00;7,74962;7,7508;7,74962;7,75015;804,0279
