Time (EET);Open;High;Low;Close;Volume 
15.12.2016 08:00:00;3,82086;3,8342;3,81921;3,83222;792,906
15.12.2016 09:00:00;3,83095;3,84499;3,82722;3,83803;1345,768
15.12.2016 10:00:00;3,83819;3,84352;3,83423;3,83599;725,48
15.12.2016 11:00:00;3,83557;3,84015;3,83541;3,83673;1748,06
15.12.2016 12:00:00;3,83713;3,83844;3,83373;3,83623;981,333
15.12.2016 13:00:00;3,83656;3,84785;3,83469;3,84349;1121,414
15.12.2016 14:00:00;3,84311;3,84628;3,83953;3,84455;724,015
15.12.2016 15:00:00;3,84429;3,84663;3,83828;3,84237;1264,826
15.12.2016 16:00:00;3,84293;3,84504;3,83965;3,84381;1092,291
15.12.2016 17:00:00;3,84321;3,85257;3,84109;3,85037;918,671
15.12.2016 18:00:00;3,85108;3,86274;3,8458;3,85759;982,871
15.12.2016 19:00:00;3,85656;3,85843;3,84771;3,8499;976,486
15.12.2016 20:00:00;3,84973;3,85074;3,84456;3,84777;177,4359
15.12.2016 21:00:00;3,84743;3,8491;3,84538;3,84662;420,819
15.12.2016 22:00:00;3,84801;3,85261;3,84578;3,85133;432,685
15.12.2016 23:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 00:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 01:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 02:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 03:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 04:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 05:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 06:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 07:00:00;3,85133;3,85133;3,85133;3,85133;0
16.12.2016 08:00:00;3,84405;3,84759;3,83522;3,84215;583,004
16.12.2016 09:00:00;3,84403;3,84936;3,83911;3,84727;576,068
16.12.2016 10:00:00;3,84658;3,85459;3,84544;3,85386;684,594
16.12.2016 11:00:00;3,85341;3,85673;3,85038;3,8521;584,79
16.12.2016 12:00:00;3,8523;3,86851;3,85206;3,86652;382,736
16.12.2016 13:00:00;3,86612;3,87241;3,86479;3,87057;413,399
16.12.2016 14:00:00;3,8709;3,87208;3,86856;3,86931;590,238
16.12.2016 15:00:00;3,86953;3,87294;3,86363;3,8681;514,738
16.12.2016 16:00:00;3,86681;3,87926;3,8666;3,87853;433,031
16.12.2016 17:00:00;3,87923;3,87999;3,87411;3,87616;682,359
16.12.2016 18:00:00;3,87499;3,88067;3,86953;3,87567;298,818
16.12.2016 19:00:00;3,87417;3,87606;3,86918;3,87152;354,309
16.12.2016 20:00:00;3,87204;3,87328;3,86726;3,86847;205,597
16.12.2016 21:00:00;3,86893;3,87251;3,86658;3,86753;221,723
16.12.2016 22:00:00;3,86681;3,87248;3,86262;3,86721;199,971
16.12.2016 23:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 00:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 01:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 02:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 03:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 04:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 05:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 06:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 07:00:00;3,86721;3,86721;3,86721;3,86721;0
19.12.2016 08:00:00;3,868;3,87104;3,85883;3,86398;693,26
19.12.2016 09:00:00;3,86445;3,86753;3,86252;3,86614;1398,56
19.12.2016 10:00:00;3,8667;3,87059;3,86383;3,86543;768,189
19.12.2016 11:00:00;3,86496;3,86773;3,8613;3,86752;882,978
19.12.2016 12:00:00;3,86743;3,8678;3,86388;3,86474;1299,92
19.12.2016 13:00:00;3,86474;3,86552;3,85936;3,8642;816,975
19.12.2016 14:00:00;3,86467;3,866;3,86135;3,86403;994,892
19.12.2016 15:00:00;3,86419;3,86783;3,86219;3,86493;957,08
19.12.2016 16:00:00;3,86434;3,86616;3,85771;3,86;1135,896
19.12.2016 17:00:00;3,86052;3,86086;3,85581;3,85866;1100,38
