Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;6,9475;6,95812;6,93264;6,9376;4733,4
01.01.2009 02:00:00;6,94598;6,96009;6,93822;6,94542;1721,2
01.01.2009 03:00:00;6,94676;6,96086;6,9428;6,95312;1869
01.01.2009 04:00:00;6,95362;6,9606;6,94981;6,95604;1566,8
01.01.2009 05:00:00;6,95675;6,95795;6,94973;6,95083;4640,8
01.01.2009 06:00:00;6,95183;6,96073;6,9515;6,95617;3744,4
01.01.2009 07:00:00;6,95606;6,9591;6,94204;6,94648;5134,8
01.01.2009 08:00:00;6,9572;6,95824;6,94425;6,95603;5211
01.01.2009 09:00:00;6,95642;6,95989;6,95001;6,95778;7112,2
01.01.2009 10:00:00;6,9548;6,96437;6,9526;6,95825;6963,8
01.01.2009 11:00:00;6,95914;6,96487;6,95025;6,9592;3971,6
01.01.2009 12:00:00;6,95879;6,96393;6,95236;6,95898;5956,2
01.01.2009 13:00:00;6,9593;6,96303;6,95559;6,95954;4839,2
01.01.2009 14:00:00;6,95981;6,9639;6,95489;6,95823;4852,8
01.01.2009 15:00:00;6,9582;6,96258;6,9297;6,9329;5291,6
01.01.2009 16:00:00;6,93275;6,93561;6,92857;6,9337;5324,4
01.01.2009 17:00:00;6,93326;6,93765;6,92876;6,93618;4889,4
01.01.2009 18:00:00;6,92806;6,9367;6,92806;6,93317;4887,6
01.01.2009 19:00:00;6,9332;6,96323;6,90301;6,96284;3241,4
01.01.2009 20:00:00;6,9626;6,96768;6,92124;6,96642;1540
01.01.2009 21:00:00;6,9662;6,9662;6,93774;6,95292;940,6
01.01.2009 22:00:00;6,94601;6,95162;6,93053;6,94508;919,8
01.01.2009 23:00:00;6,94484;6,95493;6,90623;6,91666;1727,8
02.01.2009 00:00:00;6,9095;6,91751;6,86649;6,9015;968,2
02.01.2009 01:00:00;6,90125;6,9398;6,8956;6,9337;1497,6
02.01.2009 02:00:00;6,9324;6,935;6,89685;6,9253;1232,2
02.01.2009 03:00:00;6,91914;6,9606;6,90015;6,9561;1880,6
02.01.2009 04:00:00;6,9556;6,9803;6,89775;6,9767;2060,6
02.01.2009 05:00:00;6,9771;7,0042;6,9265;6,9896;4377,4
02.01.2009 06:00:00;6,98905;7,0118;6,98845;7,008;1654
02.01.2009 07:00:00;7,0082;7,0185;6,9909;7,0084;1789,6
02.01.2009 08:00:00;7,0079;7,0202;6,9982;7,0186;1487
02.01.2009 09:00:00;7,0186;7,0199;6,9823;6,9856;2463,2
02.01.2009 10:00:00;6,9859;6,99485;6,96395;6,9661;3187,8
02.01.2009 11:00:00;6,9658;6,9777;6,964;6,97305;4624,8
02.01.2009 12:00:00;6,97305;6,9831;6,9643;6,9772;2512,2
02.01.2009 13:00:00;6,9772;6,9776;6,95745;6,9622;2679,2
02.01.2009 14:00:00;6,96195;7,00455;6,9572;7,0044;5637,8
02.01.2009 15:00:00;7,0043;7,0087;6,9584;6,9711;5437,6
02.01.2009 16:00:00;6,9701;6,973;6,88615;6,89255;4529,4
02.01.2009 17:00:00;6,89205;6,8976;6,8541;6,86385;7547,2
02.01.2009 18:00:00;6,86385;6,8893;6,86385;6,8807;5221,4
02.01.2009 19:00:00;6,8801;6,9089;6,8733;6,908;3282
02.01.2009 20:00:00;6,9081;6,9203;6,89135;6,9148;3087,6
02.01.2009 21:00:00;6,9142;6,9275;6,9066;6,9095;1911
02.01.2009 22:00:00;6,9095;6,9178;6,89734;6,9142;1959,4
02.01.2009 23:00:00;6,9143;6,9148;6,86165;6,8798;2554,4
05.01.2009 00:00:00;6,87645;6,8937;6,86031;6,8718;1482,8
05.01.2009 01:00:00;6,8871;6,8871;6,84402;6,8525;2659,4
05.01.2009 02:00:00;6,8525;6,8645;6,8484;6,8592;3310,2
05.01.2009 03:00:00;6,86;6,8716;6,8545;6,8636;2036,6
05.01.2009 04:00:00;6,8645;6,9091;6,8639;6,9011;5852,6
05.01.2009 05:00:00;6,9007;6,9101;6,8876;6,8933;2468,2
05.01.2009 06:00:00;6,8934;6,9042;6,8815;6,8897;2525,6
05.01.2009 07:00:00;6,8897;6,89409;6,8784;6,8897;1954,6
05.01.2009 08:00:00;6,8897;6,8897;6,86355;6,8689;4656
05.01.2009 09:00:00;6,8689;6,8717;6,83425;6,8517;3367,6
05.01.2009 10:00:00;6,8517;6,9582;6,8469;6,9096;7511
05.01.2009 11:00:00;6,9118;6,923;6,88915;6,8905;6533,6
05.01.2009 12:00:00;6,8905;6,8962;6,8714;6,8901;5565
05.01.2009 13:00:00;6,8904;6,9327;6,87625;6,9232;4870,8
05.01.2009 14:00:00;6,9227;6,9526;6,9208;6,9422;5411
05.01.2009 15:00:00;6,9422;6,9422;6,9062;6,9368;6024,8
05.01.2009 16:00:00;6,93305;6,9455;6,90055;6,91165;5799,6
05.01.2009 17:00:00;6,9115;6,9645;6,90495;6,9475;5379
05.01.2009 18:00:00;6,9475;6,9863;6,9466;6,9722;5702,6
05.01.2009 19:00:00;6,9718;6,9933;6,9607;6,9738;4729,8
05.01.2009 20:00:00;6,972;6,9763;6,9509;6,95235;2875,6
05.01.2009 21:00:00;6,95235;6,9559;6,9361;6,952;4011
05.01.2009 22:00:00;6,952;6,971;6,9519;6,9628;2338,8
05.01.2009 23:00:00;6,9628;6,972;6,9353;6,9368;2925,6
06.01.2009 00:00:00;6,9367;6,9546;6,91956;6,9335;1726
06.01.2009 01:00:00;6,9335;6,9369;6,9133;6,9289;1901,6
06.01.2009 02:00:00;6,9293;6,9562;6,9273;6,9523;2839,5
06.01.2009 03:00:00;6,9518;6,9699;6,9508;6,9648;3208,8
06.01.2009 04:00:00;6,9654;6,9668;6,9482;6,9587;3222,8
06.01.2009 05:00:00;6,9587;6,9601;6,9486;6,9531;1640,6
06.01.2009 06:00:00;6,9534;6,9901;6,9463;6,9732;4644,4
06.01.2009 07:00:00;6,9736;6,9827;6,95935;6,9741;4018
06.01.2009 08:00:00;6,9743;6,9768;6,9547;6,9605;5813,2
06.01.2009 09:00:00;6,96115;6,9964;6,9394;6,9859;5559,2
06.01.2009 10:00:00;6,9859;7,0385;6,98435;7,02095;7133
06.01.2009 11:00:00;7,021;7,0375;6,9982;7,0112;5918,2
06.01.2009 12:00:00;7,0114;7,049;7,0114;7,0378;4999,2
06.01.2009 13:00:00;7,0376;7,0568;7,0156;7,03895;5725,2
06.01.2009 14:00:00;7,0401;7,0511;7,01895;7,03495;5386
06.01.2009 15:00:00;7,0347;7,0429;7,0013;7,0133;5165,8
06.01.2009 16:00:00;7,0133;7,01535;6,9893;6,9934;6446,3
06.01.2009 17:00:00;6,9937;7,049;6,97443;7,0426;8453,1
06.01.2009 18:00:00;7,0394;7,0423;6,98715;6,9914;6214
06.01.2009 19:00:00;6,991;6,9962;6,9587;6,966;6445,2
06.01.2009 20:00:00;6,9648;6,9965;6,9624;6,9838;4984,4
06.01.2009 21:00:00;6,9845;6,9856;6,9471;6,9491;7316,2
06.01.2009 22:00:00;6,9501;6,9639;6,9399;6,95255;3461,2
06.01.2009 23:00:00;6,95255;6,9611;6,94275;6,9453;3696,8
07.01.2009 00:00:00;6,94555;6,9793;6,9438;6,973;1144,2
07.01.2009 01:00:00;6,973;6,973;6,94598;6,973;1886
07.01.2009 02:00:00;6,973;6,9898;6,973;6,986;2784,8
07.01.2009 03:00:00;6,9859;7,0156;6,9819;7,00125;3705
07.01.2009 04:00:00;7,00125;7,00125;6,9848;6,9921;2734,2
07.01.2009 05:00:00;6,992;6,9945;6,96585;6,9669;3681,8
07.01.2009 06:00:00;6,9667;6,9787;6,96585;6,9772;2617,6
07.01.2009 07:00:00;6,9772;6,9837;6,95755;6,96175;2866
07.01.2009 08:00:00;6,962;6,9884;6,9468;6,9722;3555,8
07.01.2009 09:00:00;6,9722;7,0015;6,9343;6,9452;6479,4
