Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 02:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 03:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 04:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 05:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 06:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 07:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 08:00:00;2,96375;2,96375;2,96375;2,96375;0
01.01.2009 09:00:00;2,94608;2,94608;2,94072;2,94551;9,25
01.01.2009 10:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 11:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 12:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 13:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 14:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 15:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 16:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 17:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 18:00:00;2,94551;2,94551;2,94551;2,94551;0
01.01.2009 19:00:00;2,94561;2,96068;2,94082;2,96068;341,96
01.01.2009 20:00:00;2,94618;2,96426;2,94208;2,9483;351,78
01.01.2009 21:00:00;2,94846;2,96172;2,94022;2,94047;373,46
01.01.2009 22:00:00;2,95818;2,95832;2,93723;2,94229;363,42
01.01.2009 23:00:00;2,93922;2,9583;2,93515;2,94718;375,45
02.01.2009 00:00:00;2,94581;2,95428;2,92618;2,95317;505,33
02.01.2009 01:00:00;2,95363;2,96132;2,9401;2,95237;483,43
02.01.2009 02:00:00;2,95261;2,95518;2,93663;2,94183;457,19
02.01.2009 03:00:00;2,94677;2,96095;2,93904;2,95904;483,36
02.01.2009 04:00:00;2,95669;2,96915;2,95078;2,96745;440,81
02.01.2009 05:00:00;2,96846;2,98091;2,95987;2,97369;579,87
02.01.2009 06:00:00;2,96871;2,98038;2,96835;2,97713;445,19
02.01.2009 07:00:00;2,97818;2,98264;2,97074;2,97873;579,32
02.01.2009 08:00:00;2,97939;2,98163;2,96653;2,97532;575,06
02.01.2009 09:00:00;2,97561;2,97954;2,96584;2,97059;569,34
02.01.2009 10:00:00;2,9704;2,99265;2,96476;2,97615;503,6
02.01.2009 11:00:00;2,97773;2,98784;2,96051;2,98204;537,96
02.01.2009 12:00:00;2,98454;3,00796;2,9805;2,99394;537,94
02.01.2009 13:00:00;2,99532;3,00005;2,97833;2,98619;549,45
02.01.2009 14:00:00;2,98302;2,99727;2,98174;2,99727;557,19
02.01.2009 15:00:00;2,9952;3,00217;2,98674;2,99685;565,61
02.01.2009 16:00:00;2,99698;2,99815;2,97678;2,99026;566,34
02.01.2009 17:00:00;2,99011;2,99376;2,97324;2,98958;552,72
02.01.2009 18:00:00;2,98919;2,99384;2,97809;2,98498;529,95
02.01.2009 19:00:00;2,9831;3,0012;2,97896;3,00085;569,04
02.01.2009 20:00:00;2,99781;3,00832;2,98836;3,006;568,08
02.01.2009 21:00:00;3,00515;3,0082;2,99281;2,99873;565,48
02.01.2009 22:00:00;3,00408;3,00775;2,99673;3,0045;547,8
