Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;7,80314;7,81928;7,79073;7,79563;7601,4
01.01.2009 02:00:00;7,80725;7,81257;7,80292;7,80593;1682,8
01.01.2009 03:00:00;7,80532;7,81437;7,80091;7,80981;1133,6
01.01.2009 04:00:00;7,81015;7,81555;7,80412;7,80825;1113,2
01.01.2009 05:00:00;7,80858;7,81348;7,80401;7,80752;2124,8
01.01.2009 06:00:00;7,82362;7,82425;7,80395;7,80871;1547,8
01.01.2009 07:00:00;7,80869;7,82735;7,8065;7,81424;1902,2
01.01.2009 08:00:00;7,81414;7,82488;7,80735;7,8225;2249
01.01.2009 09:00:00;7,8225;7,82923;7,81621;7,82673;3514,1
01.01.2009 10:00:00;7,82645;7,83014;7,81165;7,81835;4467,7
01.01.2009 11:00:00;7,81787;7,8236;7,80179;7,80957;4657
01.01.2009 12:00:00;7,80443;7,81505;7,79409;7,79932;6915,6
01.01.2009 13:00:00;7,79766;7,80642;7,78477;7,78735;5486,3
01.01.2009 14:00:00;7,78925;7,79575;7,77651;7,77814;5962,1
01.01.2009 15:00:00;7,7779;7,78285;7,77462;7,77853;5954
01.01.2009 16:00:00;7,77784;7,78457;7,77402;7,77762;5285,6
01.01.2009 17:00:00;7,77917;7,7844;7,77252;7,77819;4612,8
01.01.2009 18:00:00;7,77789;7,78253;7,77304;7,7771;4498,2
01.01.2009 19:00:00;7,77763;7,78182;7,73852;7,77748;3275
01.01.2009 20:00:00;7,7775;7,79328;7,75276;7,7877;1568,8
01.01.2009 21:00:00;7,78257;7,7932;7,74225;7,7662;2052,6
01.01.2009 22:00:00;7,7683;7,77674;7,73993;7,77064;2933,8
01.01.2009 23:00:00;7,77078;7,77213;7,73414;7,75294;3939
02.01.2009 00:00:00;7,75011;7,79005;7,73768;7,7887;1218,8
02.01.2009 01:00:00;7,7884;7,80955;7,76432;7,7743;1870,3
02.01.2009 02:00:00;7,77245;7,78158;7,76443;7,7701;1793,2
02.01.2009 03:00:00;7,77582;7,811;7,77;7,8057;1550,2
02.01.2009 04:00:00;7,8054;7,83505;7,79051;7,8286;1624,2
02.01.2009 05:00:00;7,83;7,86015;7,825;7,839;2461,2
02.01.2009 06:00:00;7,8391;7,8594;7,8352;7,8454;1497,2
02.01.2009 07:00:00;7,8454;7,8566;7,83484;7,8454;2269
02.01.2009 08:00:00;7,8455;7,859;7,8307;7,8473;2315
02.01.2009 09:00:00;7,8473;7,8473;7,7961;7,7979;5810,2
02.01.2009 10:00:00;7,7979;7,8069;7,7499;7,7526;3496,1
02.01.2009 11:00:00;7,7526;7,78275;7,7504;7,77285;2238,8
02.01.2009 12:00:00;7,7746;7,7812;7,76276;7,7763;2507,2
02.01.2009 13:00:00;7,7763;7,783;7,76103;7,7722;2889,2
02.01.2009 14:00:00;7,7722;7,8116;7,7588;7,8113;4095,2
02.01.2009 15:00:00;7,8108;7,8292;7,7944;7,8148;4787,4
02.01.2009 16:00:00;7,8148;7,8339;7,7876;7,7915;4681,8
02.01.2009 17:00:00;7,7926;7,8125;7,76055;7,7921;6761
02.01.2009 18:00:00;7,7921;7,80605;7,7662;7,78705;4222,1
02.01.2009 19:00:00;7,78035;7,81075;7,7328;7,7472;5839,4
02.01.2009 20:00:00;7,74745;7,7775;7,73785;7,7633;5766
02.01.2009 21:00:00;7,7633;7,7675;7,74255;7,74325;4388,2
02.01.2009 22:00:00;7,74355;7,754;7,73077;7,7431;1617
02.01.2009 23:00:00;7,7431;7,7431;7,6843;7,6843;4652,8
05.01.2009 00:00:00;7,70365;7,7229;7,68971;7,70146;1736,4
05.01.2009 01:00:00;7,70385;7,7166;7,6714;7,6861;4274,4
05.01.2009 02:00:00;7,6861;7,6994;7,66745;7,6739;3895,6
05.01.2009 03:00:00;7,67305;7,698;7,67165;7,6805;2390,4
05.01.2009 04:00:00;7,68045;7,74075;7,68025;7,73795;6475
05.01.2009 05:00:00;7,7374;7,7447;7,73;7,73235;3443,6
05.01.2009 06:00:00;7,73235;7,7385;7,70765;7,7233;3010
05.01.2009 07:00:00;7,7233;7,7305;7,7166;7,7233;2204,2
05.01.2009 08:00:00;7,724;7,7259;7,7021;7,7128;2354,2
05.01.2009 09:00:00;7,7128;7,7287;7,70345;7,7117;4793
05.01.2009 10:00:00;7,7117;7,8392;7,7117;7,8055;8407
05.01.2009 11:00:00;7,804;7,817;7,7793;7,8128;6930,8
05.01.2009 12:00:00;7,8129;7,82445;7,7949;7,8196;5884
05.01.2009 13:00:00;7,81925;7,8628;7,8057;7,8501;7121,6
05.01.2009 14:00:00;7,85;7,9053;7,8459;7,8835;6430,3
05.01.2009 15:00:00;7,8846;7,9011;7,8661;7,9011;6283,6
05.01.2009 16:00:00;7,8962;7,9074;7,8678;7,8809;5679,3
05.01.2009 17:00:00;7,8809;7,9095;7,8737;7,88405;5290,4
05.01.2009 18:00:00;7,8848;7,9433;7,88105;7,9243;6292,4
05.01.2009 19:00:00;7,92395;7,9311;7,9013;7,9021;6980,4
05.01.2009 20:00:00;7,9007;7,9183;7,8901;7,8959;4592,4
05.01.2009 21:00:00;7,8964;7,8988;7,86135;7,8708;7214,8
