Time (EET);Open;High;Low;Close;Volume 
13.02.2017 08:00:00;35,0603;35,0825;35,0397;35,0439;1212,96
13.02.2017 09:00:00;35,0499;35,0917;35,036;35,0512;2651,64
13.02.2017 10:00:00;35,0498;35,079;35,0298;35,0751;2516,36
13.02.2017 11:00:00;35,0738;35,0831;35,0267;35,0467;3030,51
13.02.2017 12:00:00;35,0589;35,0822;35,013;35,0389;2871,86
13.02.2017 13:00:00;35,0486;35,0625;35,016;35,0485;1476,3
13.02.2017 14:00:00;35,0479;35,0722;35,017;35,0557;1307,04
13.02.2017 15:00:00;35,0488;35,0908;35,0371;35,0722;1374,08
13.02.2017 16:00:00;35,0722;35,1124;35,0497;35,102;1748,39
13.02.2017 17:00:00;35,0995;35,1222;35,0454;35,0797;1133,75
13.02.2017 18:00:00;35,0889;35,1222;35,059;35,0863;1244,28
13.02.2017 19:00:00;35,094;35,1319;35,0371;35,0771;678,54
13.02.2017 20:00:00;35,0771;35,0771;35,0771;35,0771;0
13.02.2017 21:00:00;35,0771;35,0771;35,0771;35,0771;0
13.02.2017 22:00:00;35,0771;35,0771;35,0771;35,0771;0
13.02.2017 23:00:00;35,0771;35,0771;35,0771;35,0771;0
14.02.2017 00:00:00;35,0465;35,1024;35,0166;35,061;374,04
14.02.2017 01:00:00;35,0524;35,0922;35,0261;35,0685;586,29
14.02.2017 02:00:00;35,0688;35,0812;35,0291;35,0668;1906,52
14.02.2017 03:00:00;35,0582;35,0768;35,0122;35,0568;3737,71
14.02.2017 04:00:00;35,0573;35,0778;35,027;35,0365;3355,34
14.02.2017 05:00:00;35,0501;35,0584;34,9894;35,002;4216,25
14.02.2017 06:00:00;34,998;35,0131;34,9569;34,9922;2907,73
14.02.2017 07:00:00;34,9895;35,0183;34,9575;34,9729;3372,89
14.02.2017 08:00:00;34,9893;35,003;34,9106;34,942;3104,81
14.02.2017 09:00:00;34,9403;35,0123;34,9362;34,9821;4494,71
14.02.2017 10:00:00;34,9769;35,0028;34,9476;34,9741;3541,2
14.02.2017 11:00:00;34,9801;35,0114;34,9562;34,9717;3757,71
14.02.2017 12:00:00;34,9729;35,0023;34,9444;34,968;3150,6
14.02.2017 13:00:00;34,9639;34,9933;34,9426;34,9616;1838,81
14.02.2017 14:00:00;34,9682;34,9833;34,943;34,9609;1283,42
14.02.2017 15:00:00;34,9644;34,993;34,9421;34,9757;1986,09
14.02.2017 16:00:00;34,972;35,0094;34,9537;34,9919;2201,67
14.02.2017 17:00:00;34,9917;35,0741;34,9842;35,0724;3165,52
14.02.2017 18:00:00;35,0699;35,0811;34,995;35,0339;2209,72
14.02.2017 19:00:00;35,0424;35,0632;35,0107;35,0233;1311,59
14.02.2017 20:00:00;35,0329;35,0515;34,9837;35,0182;953,41
14.02.2017 21:00:00;35,0093;35,0286;34,9765;35,0005;709,64
14.02.2017 22:00:00;35,0011;35,0309;34,9569;35,0054;1103,34
14.02.2017 23:00:00;35,0082;35,0313;34,9777;34,9911;1009,7
15.02.2017 00:00:00;34,9966;35,0484;34,9402;35,023;539,21
15.02.2017 01:00:00;34,9776;35,0427;34,8775;34,993;989,28
15.02.2017 02:00:00;34,94;35,0625;34,9171;35,0426;3697,61
15.02.2017 03:00:00;35,0506;35,0608;34,9374;35,0131;4021,65
15.02.2017 04:00:00;35,0111;35,0325;34,9781;34,9865;4305,42
15.02.2017 05:00:00;34,987;35,0125;34,9378;34,9991;3943,68
15.02.2017 06:00:00;34,9979;35,0231;34,9842;35,01;3356,66
15.02.2017 07:00:00;35,0175;35,033;34,987;35,0096;2262,84
15.02.2017 08:00:00;35,0193;35,0347;34,9836;34,9922;3404,25
15.02.2017 09:00:00;34,9942;35,0316;34,9771;35,0097;3851,97
15.02.2017 10:00:00;35,0132;35,0382;34,9865;35,0051;3839,16
15.02.2017 11:00:00;35,0038;35,0233;34,9862;35,0019;4575,5
15.02.2017 12:00:00;35,0072;35,0233;34,9837;35,0026;3775,69
15.02.2017 13:00:00;34,9995;35,0232;34,9822;35,0157;2642,1
15.02.2017 14:00:00;35,0145;35,0306;34,9838;35,0193;2428,37
15.02.2017 15:00:00;35,012;35,0732;34,9865;35,06;4222,95
15.02.2017 16:00:00;35,0618;35,0723;35,0088;35,043;3433,07
15.02.2017 17:00:00;35,0465;35,0724;35,0106;35,0403;2289,88
15.02.2017 18:00:00;35,0438;35,0664;34,9914;35,0168;2391,78
15.02.2017 19:00:00;35,0227;35,0479;34,9817;35,0223;911,62
15.02.2017 20:00:00;35,0166;35,0393;34,993;35,0115;905,15
15.02.2017 21:00:00;35,0101;35,0411;34,9943;35,0225;625,01
15.02.2017 22:00:00;35,0218;35,0324;34,9747;35,0028;835,18
15.02.2017 23:00:00;35,0116;35,0609;34,9846;35,0103;973,81
16.02.2017 00:00:00;35,0128;35,0428;34,9698;35,0226;566,28
16.02.2017 01:00:00;34,995;35,0329;34,9837;35,0083;1368,44
16.02.2017 02:00:00;35,0052;35,0233;34,9647;35,0125;2513,98
16.02.2017 03:00:00;35,0039;35,032;34,9795;34,9899;3339,11
16.02.2017 04:00:00;34,9906;35,0189;34,9651;34,9789;3695,8
16.02.2017 05:00:00;34,9813;35,0124;34,9551;34,9905;3684,57
16.02.2017 06:00:00;34,988;35,0032;34,9455;34,985;2506,4
16.02.2017 07:00:00;34,9856;35,0032;34,9567;34,9879;1765,07
16.02.2017 08:00:00;34,9894;35,0122;34,9651;34,981;2454,2
16.02.2017 09:00:00;34,9772;35,0125;34,9628;34,9867;2866,5
16.02.2017 10:00:00;34,9887;35,0032;34,9659;34,9778;3593,21
16.02.2017 11:00:00;34,9829;35,0007;34,952;34,9821;2996,47
16.02.2017 12:00:00;34,9888;35,0033;34,9519;34,978;3269,87
16.02.2017 13:00:00;34,991;35,0032;34,9527;34,9834;3146,65
16.02.2017 14:00:00;34,9881;35,0099;34,9451;34,9899;2782,24
16.02.2017 15:00:00;34,9904;35,022;34,9654;35,0128;2536,97
16.02.2017 16:00:00;35,01;35,0233;34,9826;34,9949;2359,38
16.02.2017 17:00:00;34,9938;35,0073;34,9376;34,9881;2607,88
16.02.2017 18:00:00;34,9869;35,0107;34,9635;34,9999;2117,24
16.02.2017 19:00:00;34,9973;35,0133;34,968;35,0011;1068,14
16.02.2017 20:00:00;34,9905;35,003;34,9523;34,9798;1087,55
16.02.2017 21:00:00;34,9785;34,9997;34,958;34,9805;762,15
16.02.2017 22:00:00;34,9803;35,0232;34,9473;34,9803;1073,55
16.02.2017 23:00:00;34,9818;35,0129;34,9472;34,983;960,43
17.02.2017 00:00:00;34,9823;35,0221;34,9439;34,977;644,78
17.02.2017 01:00:00;34,9789;35,0115;34,9579;34,9799;947,46
17.02.2017 02:00:00;34,983;35,0231;34,9569;34,9853;2754,46
17.02.2017 03:00:00;34,9884;35,0108;34,8917;34,9883;3442,43
17.02.2017 04:00:00;34,9872;35,0122;34,9666;34,9821;2002,7
17.02.2017 05:00:00;34,9821;35,003;34,9573;34,9918;2554,07
17.02.2017 06:00:00;34,9922;34,9985;34,9446;34,989;2052,07
17.02.2017 07:00:00;34,9781;35,0031;34,9653;34,9811;2139
17.02.2017 08:00:00;34,9874;35,0032;34,9658;34,9757;2082,16
17.02.2017 09:00:00;34,9783;35,0026;34,9473;34,9873;1494,48
17.02.2017 10:00:00;34,9897;35,0108;34,9579;34,979;2188,14
17.02.2017 11:00:00;34,9801;35,0032;34,946;34,9792;4822,08
17.02.2017 12:00:00;34,9812;35,0101;34,9494;34,9806;3702,82
17.02.2017 13:00:00;34,9817;35,0116;34,9645;34,9917;2197,51
17.02.2017 14:00:00;34,9836;35,0023;34,9549;34,9926;2533,12
17.02.2017 15:00:00;34,9898;35,0224;34,9712;35,0128;2991,63
17.02.2017 16:00:00;35,0131;35,0282;34,9765;35,0068;2137,86
17.02.2017 17:00:00;35,0085;35,0182;34,9559;34,9808;2684,86
17.02.2017 18:00:00;34,9795;35,0032;34,9572;34,9909;2124,87
17.02.2017 19:00:00;34,9932;35,0029;34,9528;34,9856;832,62
17.02.2017 20:00:00;34,9882;35,0034;34,9659;34,9701;772,47
17.02.2017 21:00:00;34,9818;35,012;34,952;34,9911;579,74
17.02.2017 22:00:00;34,9877;35,003;34,9468;34,9778;767,62
17.02.2017 23:00:00;34,9774;34,995;34,8748;34,9726;398,45
20.02.2017 00:00:00;34,9777;34,9911;34,9341;34,951;642,9
