Time (EET);Open;High;Low;Close;Volume 
01.01.2009 01:00:00;1,54005;1,54075;1,54005;1,54075;51,40947
01.01.2009 02:00:00;1,54075;1,54075;1,54005;1,54005;59,97023
01.01.2009 03:00:00;1,54075;1,54075;1,54005;1,54005;49,23348
01.01.2009 04:00:00;1,54075;1,54075;1,54005;1,54005;62,07017
01.01.2009 05:00:00;1,54075;1,54075;1,54005;1,54005;77,65203
01.01.2009 06:00:00;1,54075;1,54075;1,54005;1,54005;161,00804
01.01.2009 07:00:00;1,54075;1,54075;1,54005;1,54075;187,98158
01.01.2009 08:00:00;1,54075;1,54075;1,54005;1,54005;176,58464
01.01.2009 09:00:00;1,54005;1,5408;1,54005;1,54005;161,51393
01.01.2009 10:00:00;1,54075;1,54075;1,54005;1,54005;214,12527
01.01.2009 11:00:00;1,54005;1,5408;1,54005;1,54005;200,9422
01.01.2009 12:00:00;1,54075;1,54075;1,54005;1,54005;139,62173
01.01.2009 13:00:00;1,54075;1,54075;1,54005;1,54005;104,8656
01.01.2009 14:00:00;1,54075;1,54075;1,54005;1,54075;242,12196
01.01.2009 15:00:00;1,54075;1,5408;1,54005;1,54065;124,92214
01.01.2009 16:00:00;1,54075;1,54075;1,54005;1,54005;115,925
01.01.2009 17:00:00;1,54075;1,54075;1,54005;1,54005;123,88922
01.01.2009 18:00:00;1,54075;1,54075;1,54005;1,54005;69,27889
01.01.2009 19:00:00;1,54075;1,54075;1,54005;1,54005;50,34832
01.01.2009 20:00:00;1,54075;1,54075;1,54005;1,54005;102,16143
01.01.2009 21:00:00;1,54075;1,54075;1,54005;1,54005;50,19348
01.01.2009 22:00:00;1,54075;1,54075;1,54005;1,54005;59,6111
01.01.2009 23:00:00;1,54075;1,54075;1,54005;1,54005;60,48077
02.01.2009 00:00:00;1,54075;1,54075;1,54005;1,54005;67,22374
02.01.2009 01:00:00;1,54075;1,54075;1,54005;1,54005;107,33649
02.01.2009 02:00:00;1,52915;1,53168;1,52732;1,52813;105,8884
02.01.2009 03:00:00;1,5284;1,53073;1,5284;1,52882;69,9898
02.01.2009 04:00:00;1,52979;1,53249;1,52936;1,53222;82,77409
02.01.2009 05:00:00;1,53179;1,53675;1,52855;1,53605;119,19283
02.01.2009 06:00:00;1,53605;1,53675;1,53605;1,53675;157,65186
02.01.2009 07:00:00;1,53675;1,53675;1,53227;1,53445;127,36845
