Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00123;0.00008;12.30000
2009.01.02;4;0.10268;0.01925;5.33403
2009.01.05;0;0.11139;0.01985;5.61159
2009.01.06;1;0.09572;0.01661;5.76279
2009.01.07;2;0.08365;0.00728;11.49038
2009.01.08;3;0.09187;0.01474;6.23270
2009.01.09;4;0.08479;0.01220;6.95000
2009.01.12;0;0.09301;0.01478;6.29296
2009.01.13;1;0.08744;0.02073;4.21804
2009.01.14;2;0.08808;0.01289;6.83320
2009.01.15;3;0.11275;0.01797;6.27435
2009.01.16;4;0.10101;0.01220;8.27951
2009.01.19;0;0.08412;0.01209;6.95782
2009.01.20;1;0.09893;0.01900;5.20684
2009.01.21;2;0.10900;0.01978;5.51062
2009.01.22;3;0.09936;0.01316;7.55015
2009.01.23;4;0.08512;0.01887;4.51086
2009.01.26;0;0.08237;0.01061;7.76343
2009.01.27;1;0.08946;0.01204;7.43023
2009.01.28;2;0.09646;0.01787;5.39787
2009.01.29;3;0.07607;0.01424;5.34199
2009.01.30;4;0.08421;0.02230;3.77623
2009.02.02;0;0.07182;0.01505;4.77209
2009.02.03;1;0.08539;0.02260;3.77832
2009.02.04;2;0.09121;0.01669;5.46495
2009.02.05;3;0.09900;0.01840;5.38043
2009.02.06;4;0.10474;0.03608;2.90299
2009.02.09;0;0.09539;0.02203;4.33000
2009.02.10;1;0.10571;0.01953;5.41270
2009.02.11;2;0.09105;0.01370;6.64599
2009.02.12;3;0.09442;0.01663;5.67769
2009.02.13;4;0.08805;0.01314;6.70091
2009.02.16;0;0.05958;0.00761;7.82917
2009.02.17;1;0.07366;0.01166;6.31732
2009.02.18;2;0.06649;0.01086;6.12247
2009.02.19;3;0.06504;0.01343;4.84289
2009.02.20;4;0.07919;0.01145;6.91616
2009.02.23;0;0.07621;0.01270;6.00079
2009.02.24;1;0.07235;0.01241;5.82998
2009.02.25;2;0.06898;0.00875;7.88343
2009.02.26;3;0.06059;0.00659;9.19423
2009.02.27;4;0.07608;0.01595;4.76991
2009.03.02;0;0.07990;0.01193;6.69740
2009.03.03;1;0.07740;0.02340;3.30769
2009.03.04;2;0.07716;0.01704;4.52817
2009.03.05;3;0.06519;0.00726;8.97934
2009.03.06;4;0.07099;0.00815;8.71043
2009.03.08;6;0.00290;0.00290;1.00000
2009.03.09;0;0.06045;0.00910;6.64286
2009.03.10;1;0.05787;0.00990;5.84545
2009.03.11;2;0.06363;0.01513;4.20555
2009.03.12;3;0.07285;0.01189;6.12700
2009.03.13;4;0.08276;0.01331;6.21788
2009.03.15;6;0.00281;0.00281;1.00000
2009.03.16;0;0.05331;0.00908;5.87115
2009.03.17;1;0.04702;0.00513;9.16569
2009.03.18;2;0.06661;0.01378;4.83382
2009.03.19;3;0.06838;0.01314;5.20396
2009.03.20;4;0.05959;0.00743;8.02019
2009.03.22;6;0.00329;0.00329;1.00000
2009.03.23;0;0.06243;0.00992;6.29335
2009.03.24;1;0.07418;0.01133;6.54722
2009.03.25;2;0.06505;0.01015;6.40887
2009.03.26;3;0.05576;0.00756;7.37566
2009.03.27;4;0.05764;0.00962;5.99168
2009.03.30;0;0.06690;0.01364;4.90469
2009.03.31;1;0.06915;0.02266;3.05163
2009.04.01;2;0.06253;0.01333;4.69092
2009.04.02;3;0.06794;0.01508;4.50531
2009.04.03;4;0.07878;0.01824;4.31908
2009.04.06;0;0.05037;0.00761;6.61892
2009.04.07;1;0.06910;0.00938;7.36674
2009.04.08;2;0.05795;0.00730;7.93836
2009.04.09;3;0.05685;0.00716;7.93994
2009.04.10;4;0.04110;0.00446;9.21525
2009.04.13;0;0.05184;0.00944;5.49153
2009.04.14;1;0.05722;0.01589;3.60101
2009.04.15;2;0.07235;0.01042;6.94338
2009.04.16;3;0.06064;0.01211;5.00743
2009.04.17;4;0.05559;0.00916;6.06878
2009.04.20;0;0.06308;0.01858;3.39505
2009.04.21;1;0.06652;0.01804;3.68736
2009.04.22;2;0.06018;0.00915;6.57705
2009.04.23;3;0.05690;0.01014;5.61144
