Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.01228;0.00112;10.96429
2009.01.02;4;0.09468;0.03205;2.95413
2009.01.05;0;0.11153;0.03492;3.19387
2009.01.06;1;0.10009;0.02375;4.21432
2009.01.07;2;0.09900;0.02490;3.97590
2009.01.08;3;0.08915;0.01597;5.58234
2009.01.09;4;0.08656;0.02196;3.94171
2009.01.12;0;0.09278;0.02394;3.87552
2009.01.13;1;0.08891;0.02261;3.93233
2009.01.14;2;0.09185;0.02303;3.98828
2009.01.15;3;0.10875;0.01732;6.27887
2009.01.16;4;0.09592;0.01919;4.99844
2009.01.19;0;0.07775;0.01008;7.71329
2009.01.20;1;0.08925;0.02118;4.21388
2009.01.21;2;0.11500;0.02851;4.03367
2009.01.22;3;0.09696;0.01409;6.88148
2009.01.23;4;0.08016;0.01557;5.14836
2009.01.26;0;0.08264;0.01765;4.68215
2009.01.27;1;0.07960;0.01304;6.10429
2009.01.28;2;0.08210;0.01680;4.88690
2009.01.29;3;0.07271;0.01986;3.66113
2009.01.30;4;0.08304;0.01739;4.77516
2009.02.02;0;0.07346;0.01263;5.81631
2009.02.03;1;0.08317;0.01728;4.81308
2009.02.04;2;0.09671;0.02442;3.96028
2009.02.05;3;0.07793;0.02458;3.17046
2009.02.06;4;0.08318;0.03241;2.56649
2009.02.09;0;0.09413;0.02272;4.14305
2009.02.10;1;0.12137;0.04031;3.01092
2009.02.11;2;0.08386;0.01077;7.78644
2009.02.12;3;0.09443;0.01482;6.37179
2009.02.13;4;0.07929;0.01333;5.94824
2009.02.16;0;0.05661;0.00891;6.35354
2009.02.17;1;0.06799;0.01757;3.86966
2009.02.18;2;0.07174;0.01531;4.68583
2009.02.19;3;0.07053;0.01622;4.34834
2009.02.20;4;0.08688;0.02034;4.27139
2009.02.23;0;0.06974;0.01366;5.10542
2009.02.24;1;0.06993;0.01011;6.91691
2009.02.25;2;0.06915;0.00853;8.10668
2009.02.26;3;0.05808;0.01015;5.72217
2009.02.27;4;0.06458;0.01082;5.96858
2009.03.02;0;0.06923;0.01071;6.46405
2009.03.03;1;0.07486;0.01857;4.03123
2009.03.04;2;0.07557;0.02166;3.48892
2009.03.05;3;0.07149;0.01483;4.82063
2009.03.06;4;0.08180;0.01445;5.66090
2009.03.08;6;0.00223;0.00223;1.00000
2009.03.09;0;0.06541;0.01444;4.52978
2009.03.10;1;0.07233;0.01887;3.83307
2009.03.11;2;0.06286;0.00868;7.24194
2009.03.12;3;0.09335;0.03672;2.54221
2009.03.13;4;0.06018;0.01135;5.30220
2009.03.15;6;0.00253;0.00253;1.00000
2009.03.16;0;0.05581;0.00892;6.25673
2009.03.17;1;0.04796;0.00636;7.54088
2009.03.18;2;0.06304;0.01578;3.99493
2009.03.19;3;0.07005;0.00948;7.38924
2009.03.20;4;0.05620;0.00959;5.86027
2009.03.22;6;0.00214;0.00214;1.00000
2009.03.23;0;0.06354;0.01840;3.45326
2009.03.24;1;0.07871;0.01144;6.88024
2009.03.25;2;0.07096;0.01455;4.87698
2009.03.26;3;0.05756;0.01120;5.13929
2009.03.27;4;0.06088;0.01140;5.34035
2009.03.30;0;0.06678;0.01518;4.39921
2009.03.31;1;0.06614;0.01409;4.69411
2009.04.01;2;0.06365;0.01852;3.43683
2009.04.02;3;0.06938;0.01644;4.22019
2009.04.03;4;0.08195;0.01770;4.62994
2009.04.06;0;0.06023;0.00979;6.15220
2009.04.07;1;0.08123;0.01774;4.57892
2009.04.08;2;0.06373;0.00818;7.79095
2009.04.09;3;0.06467;0.02063;3.13476
2009.04.10;4;0.04591;0.00617;7.44084
2009.04.13;0;0.06093;0.01481;4.11411
2009.04.14;1;0.06943;0.01183;5.86898
2009.04.15;2;0.07638;0.01893;4.03487
2009.04.16;3;0.06772;0.01278;5.29890
2009.04.17;4;0.05810;0.01804;3.22062
2009.04.20;0;0.06744;0.03184;2.11809
2009.04.21;1;0.07613;0.01854;4.10626
2009.04.22;2;0.07596;0.01267;5.99526
2009.04.23;3;0.06607;0.00850;7.77294
2009.04.24;4;0.05762;0.00886;6.50339
2009.04.27;0;0.06788;0.01335;5.08464
2009.04.28;1;0.06017;0.01456;4.13255
2009.04.29;2;0.06541;0.02387;2.74026
2009.04.30;3;0.07803;0.01768;4.41346
2009.05.01;4;0.06118;0.00860;7.11395
2009.05.04;0;0.05534;0.00938;5.89979
2009.05.05;1;0.06346;0.01237;5.13015
2009.05.06;2;0.05528;0.01473;3.75289
2009.05.07;3;0.07747;0.01979;3.91460
2009.05.08;4;0.06074;0.00887;6.84780
2009.05.11;0;0.06642;0.01191;5.57683
2009.05.12;1;0.05644;0.00877;6.43558
2009.05.13;2;0.06478;0.01715;3.77726
2009.05.14;3;0.06149;0.01074;5.72533
2009.05.15;4;0.05861;0.00906;6.46909
2009.05.18;0;0.06022;0.01615;3.72879
2009.05.19;1;0.05678;0.01322;4.29501
2009.05.20;2;0.05898;0.00794;7.42821
2009.05.21;3;0.06593;0.00987;6.67984
2009.05.22;4;0.05946;0.00714;8.32773
2009.05.25;0;0.04575;0.00599;7.63773
2009.05.26;1;0.05531;0.01333;4.14929
2009.05.27;2;0.05774;0.01154;5.00347
2009.05.28;3;0.06011;0.00752;7.99335
2009.05.29;4;0.05857;0.00897;6.52954
2009.06.01;0;0.05676;0.01475;3.84814
2009.06.02;1;0.05458;0.01016;5.37205
2009.06.03;2;0.07101;0.02676;2.65359
2009.06.04;3;0.07713;0.01236;6.24029
2009.06.05;4;0.06197;0.01546;4.00841
2009.06.08;0;0.05628;0.00978;5.75460
2009.06.09;1;0.05077;0.00730;6.95479
2009.06.10;2;0.05570;0.01100;5.06364
2009.06.11;3;0.06487;0.01522;4.26216
2009.06.12;4;0.05815;0.00839;6.93087
2009.06.15;0;0.05780;0.01022;5.65558
2009.06.16;1;0.06046;0.01189;5.08495
2009.06.17;2;0.07540;0.01306;5.77335
2009.06.18;3;0.07178;0.01827;3.92885
2009.06.19;4;0.05168;0.01048;4.93130
2009.06.22;0;0.05431;0.01702;3.19095
2009.06.23;1;0.06532;0.01268;5.15142
2009.06.24;2;0.08406;0.03672;2.28922
2009.06.25;3;0.07203;0.00664;10.84789
2009.06.26;4;0.05388;0.00922;5.84382
2009.06.29;0;0.04799;0.00699;6.86552
2009.06.30;1;0.05607;0.00733;7.64939
2009.07.01;2;0.04658;0.00993;4.69084
2009.07.02;3;0.05104;0.01092;4.67399
2009.07.03;4;0.04692;0.00945;4.96508
2009.07.06;0;0.05128;0.00577;8.88735
2009.07.07;1;0.05055;0.01127;4.48536
2009.07.08;2;0.06635;0.01583;4.19141
2009.07.09;3;0.05805;0.00972;5.97222
2009.07.10;4;0.05263;0.00739;7.12179
2009.07.13;0;0.06072;0.01227;4.94866
2009.07.14;1;0.05357;0.01842;2.90825
2009.07.15;2;0.05170;0.00693;7.46032
2009.07.16;3;0.04911;0.00820;5.98902
2009.07.17;4;0.04491;0.00688;6.52762
2009.07.20;0;0.04749;0.01091;4.35289
2009.07.21;1;0.04867;0.00789;6.16857
2009.07.22;2;0.04819;0.00540;8.92407
2009.07.23;3;0.04447;0.00916;4.85480
2009.07.24;4;0.03705;0.00501;7.39521
2009.07.27;0;0.04149;0.00699;5.93562
2009.07.28;1;0.05574;0.01368;4.07456
2009.07.29;2;0.05747;0.00976;5.88832
2009.07.30;3;0.04751;0.01607;2.95644
2009.07.31;4;0.05215;0.01229;4.24329
2009.08.03;0;0.05051;0.00979;5.15935
2009.08.04;1;0.05349;0.00716;7.47067
2009.08.05;2;0.04362;0.00643;6.78383
2009.08.06;3;0.04896;0.00684;7.15789
2009.08.07;4;0.05969;0.01824;3.27248
2009.08.10;0;0.04738;0.01000;4.73800
2009.08.11;1;0.05027;0.01447;3.47408
2009.08.12;2;0.05981;0.01572;3.80471
2009.08.13;3;0.05764;0.01129;5.10540
2009.08.14;4;0.05896;0.01824;3.23246
2009.08.17;0;0.06018;0.01210;4.97355
2009.08.18;1;0.04220;0.00623;6.77368
2009.08.19;2;0.05947;0.01323;4.49509
2009.08.20;3;0.04478;0.00610;7.34098
2009.08.21;4;0.05968;0.01164;5.12715
2009.08.24;0;0.04672;0.01038;4.50096
2009.08.25;1;0.04728;0.00695;6.80288
2009.08.26;2;0.04778;0.00776;6.15722
2009.08.27;3;0.05516;0.01213;4.54740
2009.08.28;4;0.04961;0.00735;6.74966
2009.08.31;0;0.05155;0.00956;5.39226
2009.09.01;1;0.05532;0.01605;3.44673
2009.09.02;2;0.05764;0.00922;6.25163
2009.09.03;3;0.04435;0.00976;4.54406
2009.09.04;4;0.04707;0.01331;3.53644
2009.09.07;0;0.03970;0.00898;4.42094
2009.09.08;1;0.04270;0.00787;5.42567
2009.09.09;2;0.04615;0.00876;5.26826
2009.09.10;3;0.04694;0.00854;5.49649
2009.09.11;4;0.03652;0.00430;8.49302
2009.09.14;0;0.04505;0.00627;7.18501
2009.09.15;1;0.04400;0.00564;7.80142
2009.09.16;2;0.04214;0.01094;3.85192
2009.09.17;3;0.04223;0.00889;4.75028
2009.09.18;4;0.04495;0.00645;6.96899
2009.09.21;0;0.04009;0.00504;7.95437
2009.09.22;1;0.03723;0.00714;5.21429
2009.09.23;2;0.04017;0.00550;7.30364
2009.09.24;3;0.05086;0.00798;6.37343
2009.09.25;4;0.05071;0.00739;6.86198
2009.09.28;0;0.05434;0.01421;3.82407
