Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;4.77900;1.19400;4.00251
2009.01.02;4;8.79300;2.49000;3.53133
2009.01.05;0;9.26500;2.15500;4.29930
2009.01.06;1;10.53500;2.38500;4.41719
2009.01.07;2;9.64700;2.40500;4.01123
2009.01.08;3;10.90000;2.19500;4.96583
2009.01.09;4;9.70000;1.87000;5.18717
2009.01.12;0;9.77200;2.71000;3.60590
2009.01.13;1;10.13500;2.39500;4.23173
2009.01.14;2;11.17000;2.61500;4.27151
2009.01.15;3;12.98000;1.96500;6.60560
2009.01.16;4;10.88000;2.13000;5.10798
2009.01.19;0;8.48000;1.92000;4.41667
2009.01.20;1;10.25000;2.59000;3.95753
2009.01.21;2;14.37500;3.24000;4.43673
2009.01.22;3;12.53000;1.93500;6.47545
2009.01.23;4;10.58500;2.16500;4.88915
2009.01.26;0;10.16600;1.87000;5.43636
2009.01.27;1;10.95500;2.12500;5.15529
2009.01.28;2;10.51400;2.09900;5.00905
2009.01.29;3;9.09000;1.94500;4.67352
2009.01.30;4;8.55500;1.91500;4.46736
2009.02.02;0;7.99000;1.73500;4.60519
2009.02.03;1;9.91000;2.21500;4.47404
2009.02.04;2;11.04000;1.93500;5.70543
2009.02.05;3;10.72000;3.54000;3.02825
2009.02.06;4;10.69400;3.79000;2.82164
2009.02.09;0;11.48600;2.49500;4.60361
2009.02.10;1;15.17000;3.73000;4.06702
2009.02.11;2;10.25100;1.19000;8.61429
2009.02.12;3;11.65500;1.58500;7.35331
2009.02.13;4;10.08500;1.89000;5.33598
2009.02.16;0;6.07700;0.63000;9.64603
2009.02.17;1;7.95500;1.41500;5.62191
2009.02.18;2;7.70500;1.63000;4.72699
2009.02.19;3;7.96000;1.88500;4.22281
2009.02.20;4;8.85500;1.42500;6.21404
2009.02.23;0;9.41100;2.06000;4.56845
2009.02.24;1;9.82500;2.99500;3.28047
2009.02.25;2;9.86000;1.13500;8.68722
2009.02.26;3;7.70500;1.65000;4.66970
2009.02.27;4;9.96500;2.43500;4.09240
2009.03.02;0;10.07500;1.42500;7.07018
2009.03.03;1;9.42000;2.39000;3.94142
2009.03.04;2;8.62100;2.99000;2.88328
2009.03.05;3;8.96500;2.19000;4.09361
2009.03.06;4;10.30500;1.82500;5.64658
2009.03.08;6;0.28700;0.28700;1.00000
2009.03.09;0;7.94500;1.12500;7.06222
2009.03.10;1;6.87000;1.55500;4.41801
2009.03.11;2;7.74500;1.32500;5.84528
2009.03.12;3;9.49000;2.79500;3.39535
2009.03.13;4;7.81500;1.44000;5.42708
2009.03.15;6;0.14500;0.14500;1.00000
2009.03.16;0;6.80500;1.60500;4.23988
2009.03.17;1;5.33600;0.77500;6.88516
2009.03.18;2;7.14000;1.55500;4.59164
2009.03.19;3;9.42000;1.38500;6.80144
2009.03.20;4;6.15700;1.45000;4.24621
2009.03.22;6;0.18000;0.18000;1.00000
2009.03.23;0;8.04500;2.68000;3.00187
2009.03.24;1;10.78000;1.84000;5.85870
2009.03.25;2;9.76500;1.51000;6.46689
2009.03.26;3;7.02500;1.46000;4.81164
2009.03.27;4;7.97500;2.23000;3.57623
2009.03.30;0;9.94500;3.06000;3.25000
2009.03.31;1;9.82500;2.97000;3.30808
2009.04.01;2;9.77000;1.42000;6.88028
2009.04.02;3;9.36000;2.89500;3.23316
