Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.09883;0.01622;6.09309
2009.01.02;4;0.16073;0.01849;8.69281
2009.01.05;0;0.15663;0.01753;8.93497
2009.01.06;1;0.13549;0.01385;9.78267
2009.01.07;2;0.11342;0.01534;7.39374
2009.01.08;3;0.11953;0.02040;5.85931
2009.01.09;4;0.11440;0.01365;8.38095
2009.01.12;0;0.12125;0.01455;8.33333
2009.01.13;1;0.13380;0.02855;4.68651
2009.01.14;2;0.12010;0.02960;4.05743
2009.01.15;3;0.16245;0.02580;6.29651
2009.01.16;4;0.13685;0.01500;9.12333
2009.01.19;0;0.11205;0.01505;7.44518
2009.01.20;1;0.12494;0.01340;9.32388
2009.01.21;2;0.14117;0.01655;8.52991
2009.01.22;3;0.13205;0.01100;12.00455
2009.01.23;4;0.14295;0.01775;8.05352
2009.01.26;0;0.13605;0.02375;5.72842
2009.01.27;1;0.12535;0.01235;10.14980
2009.01.28;2;0.14915;0.02595;5.74759
2009.01.29;3;0.13320;0.01805;7.37950
2009.01.30;4;0.12235;0.02775;4.40901
2009.02.02;0;0.11785;0.01555;7.57878
2009.02.03;1;0.13050;0.02585;5.04836
2009.02.04;2;0.12340;0.01275;9.67843
2009.02.05;3;0.13580;0.01920;7.07292
2009.02.06;4;0.11725;0.01565;7.49201
2009.02.09;0;0.12160;0.02090;5.81818
2009.02.10;1;0.12565;0.02270;5.53524
2009.02.11;2;0.09895;0.01235;8.01215
2009.02.12;3;0.14080;0.01635;8.61162
2009.02.13;4;0.10316;0.00835;12.35449
2009.02.16;0;0.09923;0.01160;8.55431
2009.02.17;1;0.09695;0.01365;7.10256
2009.02.18;2;0.09005;0.00940;9.57979
2009.02.19;3;0.08620;0.01760;4.89773
2009.02.20;4;0.12430;0.01760;7.06250
2009.02.23;0;0.10155;0.01105;9.19005
2009.02.24;1;0.08840;0.00845;10.46154
2009.02.25;2;0.08778;0.01205;7.28465
2009.02.26;3;0.09090;0.01280;7.10156
2009.02.27;4;0.10100;0.01090;9.26606
2009.03.02;0;0.09765;0.01180;8.27542
2009.03.03;1;0.09653;0.01775;5.43831
2009.03.04;2;0.09187;0.01505;6.10432
2009.03.05;3;0.08325;0.01220;6.82377
2009.03.06;4;0.09238;0.01555;5.94084
2009.03.08;6;0.00000;0.00000;0.00000
2009.03.09;0;0.08180;0.01220;6.70492
2009.03.10;1;0.09408;0.00855;11.00351
2009.03.11;2;0.10262;0.02175;4.71816
2009.03.12;3;0.09870;0.01935;5.10078
2009.03.13;4;0.09255;0.01130;8.19027
2009.03.15;6;0.00430;0.00430;1.00000
2009.03.16;0;0.08502;0.01675;5.07582
2009.03.17;1;0.07645;0.00835;9.15569
2009.03.18;2;0.09497;0.01855;5.11968
2009.03.19;3;0.09780;0.01735;5.63689
2009.03.20;4;0.08512;0.01220;6.97705
2009.03.22;6;0.00265;0.00265;1.00000
2009.03.23;0;0.09075;0.00945;9.60317
2009.03.24;1;0.09530;0.01190;8.00840
2009.03.25;2;0.10635;0.02105;5.05226
2009.03.26;3;0.11583;0.02380;4.86681
2009.03.27;4;0.09355;0.01155;8.09957
2009.03.30;0;0.09345;0.01320;7.07955
2009.03.31;1;0.10305;0.03135;3.28708
2009.04.01;2;0.11480;0.01725;6.65507
2009.04.02;3;0.09485;0.01145;8.28384
2009.04.03;4;0.11965;0.02250;5.31778
2009.04.06;0;0.10466;0.01700;6.15647
2009.04.07;1;0.11650;0.02810;4.14591
2009.04.08;2;0.08863;0.01355;6.54096
2009.04.09;3;0.09345;0.01680;5.56250
2009.04.10;4;0.06820;0.00635;10.74016
2009.04.13;0;0.10274;0.01630;6.30307
2009.04.14;1;0.08660;0.01485;5.83165
2009.04.15;2;0.09975;0.01905;5.23622
2009.04.16;3;0.12620;0.01810;6.97238
2009.04.17;4;0.08087;0.02225;3.63461
2009.04.20;0;0.10965;0.01800;6.09167
2009.04.21;1;0.09420;0.01040;9.05769
2009.04.22;2;0.09420;0.01600;5.88750
2009.04.23;3;0.08361;0.01085;7.70599
2009.04.24;4;0.08805;0.01425;6.17895
2009.04.27;0;0.09720;0.02350;4.13617
2009.04.28;1;0.10140;0.01680;6.03571
2009.04.29;2;0.10630;0.01345;7.90335
2009.04.30;3;0.11270;0.02545;4.42829
2009.05.01;4;0.11170;0.01405;7.95018
2009.05.04;0;0.08453;0.01175;7.19404
2009.05.05;1;0.10130;0.01320;7.67424
2009.05.06;2;0.09225;0.01305;7.06897
2009.05.07;3;0.11995;0.01570;7.64013
2009.05.08;4;0.09565;0.01110;8.61712
2009.05.11;0;0.09245;0.02070;4.46618
2009.05.12;1;0.09465;0.01080;8.76389
2009.05.13;2;0.10470;0.01720;6.08721
2009.05.14;3;0.09370;0.01290;7.26357
2009.05.15;4;0.10055;0.01280;7.85547
2009.05.18;0;0.08095;0.01455;5.56357
2009.05.19;1;0.08470;0.01070;7.91589
2009.05.20;2;0.10118;0.01685;6.00475
2009.05.21;3;0.09385;0.01215;7.72428
2009.05.22;4;0.09045;0.01590;5.68868
2009.05.25;0;0.07850;0.01325;5.92453
2009.05.26;1;0.07995;0.01130;7.07522
2009.05.27;2;0.08830;0.01225;7.20816
2009.05.28;3;0.10870;0.02420;4.49174
2009.05.29;4;0.09143;0.01250;7.31440
2009.06.01;0;0.09220;0.01625;5.67385
2009.06.02;1;0.08360;0.00960;8.70833
2009.06.03;2;0.10640;0.02070;5.14010
2009.06.04;3;0.11177;0.01440;7.76181
2009.06.05;4;0.09585;0.00820;11.68902
2009.06.08;0;0.08851;0.01045;8.46986
