Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00019;0.00328;0.05793
2009.01.02;4;0.14675;0.03613;4.06172
2009.01.05;0;0.13522;0.02754;4.90995
2009.01.06;1;0.13717;0.02776;4.94128
2009.01.07;2;0.13405;0.02286;5.86395
2009.01.08;3;0.15044;0.02120;7.09623
2009.01.09;4;0.12440;0.01684;7.38717
2009.01.12;0;0.12871;0.02976;4.32493
2009.01.13;1;0.13387;0.03628;3.68991
2009.01.14;2;0.13980;0.02983;4.68656
2009.01.15;3;0.16812;0.02183;7.70133
2009.01.16;4;0.12990;0.01892;6.86575
2009.01.19;0;0.10735;0.02017;5.32226
2009.01.20;1;0.13160;0.03019;4.35906
2009.01.21;2;0.16292;0.02498;6.52202
2009.01.22;3;0.13293;0.02031;6.54505
2009.01.23;4;0.12461;0.02233;5.58039
2009.01.26;0;0.11992;0.01482;8.09177
2009.01.27;1;0.11838;0.01581;7.48767
2009.01.28;2;0.12005;0.01777;6.75577
2009.01.29;3;0.11299;0.02048;5.51709
2009.01.30;4;0.10718;0.02592;4.13503
2009.02.02;0;0.10516;0.01708;6.15691
2009.02.03;1;0.12690;0.03285;3.86301
2009.02.04;2;0.14410;0.02487;5.79413
2009.02.05;3;0.12151;0.02372;5.12268
2009.02.06;4;0.12567;0.04216;2.98079
2009.02.09;0;0.13181;0.02865;4.60070
2009.02.10;1;0.16631;0.03807;4.36853
2009.02.11;2;0.12736;0.01706;7.46542
2009.02.12;3;0.14782;0.02377;6.21876
2009.02.13;4;0.11347;0.01586;7.15448
2009.02.16;0;0.07967;0.00854;9.32904
2009.02.17;1;0.10254;0.01913;5.36017
2009.02.18;2;0.09634;0.01331;7.23817
2009.02.19;3;0.09045;0.01916;4.72077
2009.02.20;4;0.11291;0.01678;6.72884
2009.02.23;0;0.10320;0.01592;6.48241
2009.02.24;1;0.09862;0.01294;7.62133
2009.02.25;2;0.09821;0.01383;7.10123
2009.02.26;3;0.09220;0.01783;5.17106
2009.02.27;4;0.10440;0.01802;5.79356
2009.03.02;0;0.11533;0.01594;7.23526
2009.03.03;1;0.11086;0.02391;4.63655
2009.03.04;2;0.10489;0.02796;3.75143
2009.03.05;3;0.09840;0.01644;5.98540
2009.03.06;4;0.11000;0.01339;8.21509
2009.03.08;6;0.00295;0.00295;1.00000
2009.03.09;0;0.09603;0.01867;5.14355
2009.03.10;1;0.08945;0.01701;5.25867
2009.03.11;2;0.09348;0.01268;7.37224
2009.03.12;3;0.09997;0.02170;4.60691
2009.03.13;4;0.09692;0.02175;4.45609
2009.03.15;6;0.00277;0.00277;1.00000
2009.03.16;0;0.07819;0.01039;7.52551
2009.03.17;1;0.06712;0.00707;9.49364
2009.03.18;2;0.09733;0.02733;3.56129
2009.03.19;3;0.11087;0.02502;4.43125
2009.03.20;4;0.09191;0.01487;6.18090
2009.03.22;6;0.00227;0.00227;1.00000
2009.03.23;0;0.09221;0.02094;4.40353
2009.03.24;1;0.10835;0.01817;5.96313
2009.03.25;2;0.10423;0.01623;6.42206
2009.03.26;3;0.07940;0.00953;8.33158
2009.03.27;4;0.08716;0.01899;4.58978
2009.03.30;0;0.09321;0.02132;4.37195
2009.03.31;1;0.09808;0.02608;3.76074
2009.04.01;2;0.09014;0.01703;5.29301
2009.04.02;3;0.09998;0.01935;5.16693
2009.04.03;4;0.11746;0.01854;6.33549
2009.04.06;0;0.07937;0.01370;5.79343
2009.04.07;1;0.12115;0.02059;5.88392
