Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00916;0.00068;13.47059
2009.01.02;4;0.07823;0.01984;3.94304
2009.01.05;0;0.08642;0.01410;6.12908
2009.01.06;1;0.09908;0.02350;4.21617
2009.01.07;2;0.08882;0.01765;5.03229
2009.01.08;3;0.10207;0.01825;5.59288
2009.01.09;4;0.08027;0.01050;7.64476
2009.01.12;0;0.08601;0.02154;3.99304
2009.01.13;1;0.09213;0.02445;3.76810
2009.01.14;2;0.09822;0.02307;4.25748
2009.01.15;3;0.11831;0.01625;7.28062
2009.01.16;4;0.09670;0.01706;5.66823
2009.01.19;0;0.07498;0.01770;4.23616
2009.01.20;1;0.09048;0.02143;4.22212
2009.01.21;2;0.11547;0.02025;5.70222
2009.01.22;3;0.09184;0.01482;6.19703
2009.01.23;4;0.08382;0.01681;4.98632
2009.01.26;0;0.08046;0.01495;5.38194
2009.01.27;1;0.08288;0.01467;5.64963
2009.01.28;2;0.08828;0.01370;6.44380
2009.01.29;3;0.07690;0.01650;4.66061
2009.01.30;4;0.07383;0.01786;4.13382
2009.02.02;0;0.06917;0.01244;5.56029
2009.02.03;1;0.08888;0.02520;3.52698
2009.02.04;2;0.10019;0.01810;5.53536
2009.02.05;3;0.08669;0.01800;4.81611
2009.02.06;4;0.08461;0.03265;2.59142
2009.02.09;0;0.09242;0.02215;4.17246
2009.02.10;1;0.12399;0.03135;3.95502
2009.02.11;2;0.08917;0.01205;7.40000
2009.02.12;3;0.10547;0.01845;5.71653
2009.02.13;4;0.08252;0.01206;6.84245
2009.02.16;0;0.05133;0.00640;8.02031
2009.02.17;1;0.07137;0.01895;3.76623
2009.02.18;2;0.06700;0.00985;6.80203
2009.02.19;3;0.06540;0.01590;4.11321
2009.02.20;4;0.08085;0.01442;5.60680
2009.02.23;0;0.07371;0.01465;5.03140
2009.02.24;1;0.06999;0.01365;5.12747
2009.02.25;2;0.06617;0.01005;6.58408
2009.02.26;3;0.06052;0.00910;6.65055
2009.02.27;4;0.06983;0.01412;4.94547
2009.03.02;0;0.07639;0.01114;6.85727
2009.03.03;1;0.07777;0.01780;4.36910
2009.03.04;2;0.07475;0.02400;3.11458
2009.03.05;3;0.06735;0.01400;4.81071
2009.03.06;4;0.07186;0.01030;6.97670
2009.03.08;6;0.00000;0.00000;0.00000
2009.03.09;0;0.06557;0.01450;4.52207
2009.03.10;1;0.06150;0.01795;3.42618
2009.03.11;2;0.06717;0.01250;5.37360
2009.03.12;3;0.07291;0.01640;4.44573
2009.03.13;4;0.05533;0.00935;5.91765
2009.03.15;6;0.00000;0.00000;0.00000
2009.03.16;0;0.05114;0.01135;4.50573
2009.03.17;1;0.04887;0.00570;8.57368
2009.03.18;2;0.07043;0.02500;2.81720
2009.03.19;3;0.08254;0.02200;3.75182
2009.03.20;4;0.06560;0.00815;8.04908
2009.03.22;6;0.00000;0.00000;0.00000
2009.03.23;0;0.06622;0.01614;4.10285
2009.03.24;1;0.08051;0.01623;4.96057
2009.03.25;2;0.07601;0.01460;5.20616
2009.03.26;3;0.05230;0.00670;7.80597
2009.03.27;4;0.05791;0.01645;3.52036
2009.03.30;0;0.06210;0.01675;3.70746
2009.03.31;1;0.06596;0.01820;3.62418
2009.04.01;2;0.06275;0.01370;4.58029
2009.04.02;3;0.07129;0.02242;3.17975
2009.04.03;4;0.08391;0.01719;4.88133
2009.04.06;0;0.05566;0.01310;4.24885
2009.04.07;1;0.08201;0.01061;7.72950
2009.04.08;2;0.06904;0.00949;7.27503
2009.04.09;3;0.06277;0.01568;4.00319
2009.04.10;4;0.02309;0.00375;6.15733
2009.04.13;0;0.05036;0.01368;3.68129
2009.04.14;1;0.06800;0.01164;5.84192
2009.04.15;2;0.07937;0.01674;4.74134
2009.04.16;3;0.08081;0.01782;4.53479
2009.04.17;4;0.04262;0.00622;6.85209
2009.04.20;0;0.06398;0.02552;2.50705
2009.04.21;1;0.07602;0.01538;4.94278
2009.04.22;2;0.07646;0.01146;6.67190
2009.04.23;3;0.06383;0.01265;5.04585
2009.04.24;4;0.04898;0.01288;3.80280
2009.04.27;0;0.06124;0.01791;3.41932
2009.04.28;1;0.06222;0.01274;4.88383
2009.04.29;2;0.07398;0.02081;3.55502
2009.04.30;3;0.08978;0.01484;6.04987
2009.05.01;4;0.05114;0.00978;5.22904
2009.05.04;0;0.05928;0.01260;4.70476
2009.05.05;1;0.07009;0.01071;6.54435
2009.05.06;2;0.07165;0.01668;4.29556
2009.05.07;3;0.07784;0.01590;4.89560
2009.05.08;4;0.05447;0.02006;2.71535
2009.05.11;0;0.06322;0.01320;4.78939
2009.05.12;1;0.07103;0.01419;5.00564
2009.05.13;2;0.08014;0.01959;4.09086
2009.05.14;3;0.06988;0.01513;4.61864
2009.05.15;4;0.05545;0.01254;4.42185
2009.05.18;0;0.06231;0.02081;2.99423
2009.05.19;1;0.06813;0.01550;4.39548
2009.05.20;2;0.06880;0.01232;5.58442
2009.05.21;3;0.08253;0.01451;5.68780
2009.05.22;4;0.05425;0.00957;5.66876
2009.05.25;0;0.04042;0.00665;6.07820
2009.05.26;1;0.07103;0.01843;3.85404
2009.05.27;2;0.07265;0.01484;4.89555
2009.05.28;3;0.07496;0.01116;6.71685
2009.05.29;4;0.06085;0.01656;3.67452
2009.06.01;0;0.06961;0.01462;4.76129
2009.06.02;1;0.06872;0.01806;3.80509
2009.06.03;2;0.09793;0.03316;2.95326
2009.06.04;3;0.10902;0.02143;5.08726
2009.06.05;4;0.06366;0.02065;3.08281
2009.06.08;0;0.07161;0.01583;4.52369
2009.06.09;1;0.07271;0.01914;3.79885
2009.06.10;2;0.08130;0.01672;4.86244
2009.06.11;3;0.08292;0.02010;4.12537
2009.06.12;4;0.06008;0.01280;4.69375
2009.06.15;0;0.07262;0.02295;3.16427
2009.06.16;1;0.08545;0.02084;4.10029
2009.06.17;2;0.09064;0.01472;6.15761
2009.06.18;3;0.08051;0.01425;5.64982
2009.06.19;4;0.05554;0.01288;4.31211
2009.06.22;0;0.06342;0.02454;2.58435
2009.06.23;1;0.08339;0.01900;4.38895
2009.06.24;2;0.07779;0.01265;6.14941
2009.06.25;3;0.08206;0.01036;7.92085
2009.06.26;4;0.05607;0.00665;8.43158
2009.06.29;0;0.05146;0.01135;4.53392
2009.06.30;1;0.06390;0.01165;5.48498
2009.07.01;2;0.05668;0.00848;6.68396
2009.07.02;3;0.06013;0.01787;3.36486
2009.07.03;4;0.03512;0.00714;4.91877
2009.07.06;0;0.06059;0.01015;5.96946
2009.07.07;1;0.06957;0.01852;3.75648
2009.07.08;2;0.08193;0.01680;4.87679
2009.07.09;3;0.06357;0.00830;7.65904
2009.07.10;4;0.05100;0.00997;5.11535
2009.07.13;0;0.06531;0.01450;4.50414
2009.07.14;1;0.06804;0.01352;5.03254
2009.07.15;2;0.05506;0.01323;4.16175
2009.07.16;3;0.06250;0.01120;5.58036
2009.07.17;4;0.04242;0.00660;6.42727
2009.07.20;0;0.05617;0.01637;3.43128
2009.07.21;1;0.05855;0.01038;5.64066
2009.07.22;2;0.05648;0.01150;4.91130
2009.07.23;3;0.05386;0.01150;4.68348
2009.07.24;4;0.03647;0.00657;5.55099
2009.07.27;0;0.04779;0.00918;5.20588
2009.07.28;1;0.06994;0.01378;5.07547
2009.07.29;2;0.07303;0.01530;4.77320
2009.07.30;3;0.05773;0.01306;4.42037
2009.07.31;4;0.04993;0.01253;3.98484
2009.08.03;0;0.04952;0.00928;5.33621
2009.08.04;1;0.06606;0.00855;7.72632
2009.08.05;2;0.05185;0.00888;5.83896
2009.08.06;3;0.05968;0.00915;6.52240
2009.08.07;4;0.05145;0.00975;5.27692
2009.08.10;0;0.04714;0.00990;4.76162
2009.08.11;1;0.05278;0.01136;4.64613
2009.08.12;2;0.07102;0.01905;3.72808
2009.08.13;3;0.06839;0.01377;4.96659
2009.08.14;4;0.05665;0.02029;2.79202
2009.08.17;0;0.06567;0.01456;4.51030
2009.08.18;1;0.05676;0.01097;5.17411
2009.08.19;2;0.06725;0.01392;4.83118
2009.08.20;3;0.05437;0.00638;8.52194
2009.08.21;4;0.05717;0.01810;3.15856
2009.08.24;0;0.04452;0.00965;4.61347
2009.08.25;1;0.05792;0.00975;5.94051
2009.08.26;2;0.05804;0.01365;4.25201
2009.08.27;3;0.06306;0.01787;3.52882
2009.08.28;4;0.04526;0.00917;4.93566
2009.08.31;0;0.05458;0.01195;4.56736
2009.09.01;1;0.08439;0.02100;4.01857
2009.09.02;2;0.06926;0.01204;5.75249
2009.09.03;3;0.05377;0.01130;4.75841
2009.09.04;4;0.04568;0.01572;2.90585
2009.09.07;0;0.02867;0.00695;4.12518
2009.09.08;1;0.05917;0.01304;4.53758
2009.09.09;2;0.05680;0.01037;5.47734
2009.09.10;3;0.05828;0.00993;5.86908
2009.09.11;4;0.04196;0.00695;6.03741
2009.09.14;0;0.04854;0.00955;5.08272
2009.09.15;1;0.05464;0.00952;5.73950
2009.09.16;2;0.05046;0.01138;4.43409
2009.09.17;3;0.05105;0.00885;5.76836
2009.09.18;4;0.04560;0.00648;7.03704
2009.09.21;0;0.04896;0.00931;5.25886
2009.09.22;1;0.04782;0.01350;3.54222
2009.09.23;2;0.05869;0.01025;5.72585
2009.09.24;3;0.06661;0.01495;4.45552
2009.09.25;4;0.06596;0.01060;6.22264
2009.09.28;0;0.06936;0.01701;4.07760
2009.09.29;1;0.05154;0.00867;5.94464
2009.09.30;2;0.05955;0.01460;4.07877
2009.10.01;3;0.06005;0.01827;3.28681
2009.10.02;4;0.06941;0.01445;4.80346
2009.10.05;0;0.05220;0.01620;3.22222
2009.10.06;1;0.05213;0.01658;3.14415
2009.10.07;2;0.05106;0.00839;6.08582
2009.10.08;3;0.05817;0.01895;3.06966
2009.10.09;4;0.04955;0.00713;6.94951
2009.10.12;0;0.04389;0.00993;4.41994
2009.10.13;1;0.05650;0.00941;6.00425
2009.10.14;2;0.05274;0.01046;5.04207
2009.10.15;3;0.05374;0.00821;6.54568
2009.10.16;4;0.06414;0.01472;4.35734
2009.10.19;0;0.05699;0.01806;3.15559
2009.10.20;1;0.06008;0.01291;4.65376
2009.10.21;2;0.07507;0.01361;5.51580
2009.10.22;3;0.06594;0.01134;5.81481
2009.10.23;4;0.05927;0.00965;6.14197
2009.10.25;6;0.00000;0.00000;0.00000
2009.10.26;0;0.06158;0.01516;4.06201
2009.10.27;1;0.06006;0.00965;6.22383
2009.10.28;2;0.07711;0.02445;3.15378
2009.10.29;3;0.07116;0.02386;2.98240
2009.10.30;4;0.08226;0.01965;4.18626
2009.11.02;0;0.08335;0.02167;3.84633
2009.11.03;1;0.08138;0.01753;4.64233
2009.11.04;2;0.07039;0.01943;3.62275
2009.11.05;3;0.06216;0.00995;6.24724
2009.11.06;4;0.05281;0.01072;4.92631
2009.11.09;0;0.05129;0.01128;4.54699
2009.11.10;1;0.05257;0.00681;7.71953
2009.11.11;2;0.04829;0.00725;6.66069
2009.11.12;3;0.06257;0.01590;3.93522
2009.11.13;4;0.04733;0.01193;3.96731
2009.11.16;0;0.04941;0.00901;5.48391
2009.11.17;1;0.05791;0.01392;4.16020
2009.11.18;2;0.05089;0.00714;7.12745
2009.11.19;3;0.06616;0.01700;3.89176
2009.11.20;4;0.06445;0.01548;4.16344
2009.11.23;0;0.05654;0.01654;3.41838
2009.11.24;1;0.06015;0.01245;4.83133
2009.11.25;2;0.05304;0.01362;3.89427
2009.11.26;3;0.07164;0.02271;3.15456
2009.11.27;4;0.09169;0.01870;4.90321
2009.11.30;0;0.06901;0.00987;6.99189
2009.12.01;1;0.06497;0.01658;3.91858
2009.12.02;2;0.04944;0.00640;7.72500
2009.12.03;3;0.05062;0.00908;5.57489
2009.12.04;4;0.06830;0.01851;3.68990
2009.12.07;0;0.07462;0.01358;5.49485
2009.12.08;1;0.06426;0.01442;4.45631
2009.12.09;2;0.06557;0.00986;6.65010
2009.12.10;3;0.05809;0.01101;5.27611
2009.12.11;4;0.04648;0.01023;4.54350
2009.12.14;0;0.05485;0.01208;4.54056
2009.12.15;1;0.05043;0.01397;3.60988
2009.12.16;2;0.06159;0.01152;5.34635
2009.12.17;3;0.05961;0.01656;3.59964
2009.12.18;4;0.06184;0.01027;6.02142
2009.12.21;0;0.05285;0.01041;5.07685
2009.12.22;1;0.05523;0.00840;6.57500
2009.12.23;2;0.04502;0.00846;5.32151
2009.12.24;3;0.03008;0.00788;3.81726
2009.12.25;4;0.00000;0.00000;0.00000
2009.12.28;0;0.02921;0.00647;4.51468
2009.12.29;1;0.04207;0.01365;3.08205
2009.12.30;2;0.03860;0.00576;6.70139
2009.12.31;3;0.04756;0.00813;5.84994
2010.01.01;4;0.00373;0.00341;1.09384
2010.01.04;0;0.05139;0.01987;2.58631
2010.01.05;1;0.05605;0.00821;6.82704
2010.01.06;2;0.04614;0.01192;3.87081
2010.01.07;3;0.05641;0.01074;5.25233
2010.01.08;4;0.05576;0.01310;4.25649
2010.01.11;0;0.04230;0.00509;8.31041
2010.01.12;1;0.06374;0.01355;4.70406
2010.01.13;2;0.05219;0.00785;6.64841
2010.01.14;3;0.04776;0.01214;3.93410
2010.01.15;4;0.04853;0.01030;4.71165
2010.01.18;0;0.03847;0.01048;3.67080
2010.01.19;1;0.05353;0.00987;5.42351
2010.01.20;2;0.06455;0.01698;3.80153
2010.01.21;3;0.07463;0.01498;4.98198
2010.01.22;4;0.06760;0.01107;6.10659
2010.01.25;0;0.05535;0.00807;6.85874
2010.01.26;1;0.06700;0.01464;4.57650
2010.01.27;2;0.07116;0.01357;5.24392
2010.01.28;3;0.06543;0.01194;5.47990
2010.01.29;4;0.06306;0.01212;5.20297
2010.02.01;0;0.06647;0.01309;5.07792
2010.02.02;1;0.06428;0.01463;4.39371
2010.02.03;2;0.05499;0.01023;5.37537
2010.02.04;3;0.06882;0.02205;3.12109
2010.02.05;4;0.08369;0.01400;5.97786
2010.02.08;0;0.05667;0.00688;8.23692
2010.02.09;1;0.07009;0.01847;3.79480
2010.02.10;2;0.05649;0.00871;6.48565
2010.02.11;3;0.06115;0.01718;3.55937
2010.02.12;4;0.06375;0.01300;4.90385
2010.02.15;0;0.03557;0.00610;5.83115
2010.02.16;1;0.04737;0.01505;3.14751
2010.02.17;2;0.04142;0.00682;6.07331
2010.02.18;3;0.06660;0.01035;6.43478
2010.02.19;4;0.05953;0.01110;5.36306
2010.02.22;0;0.04367;0.00510;8.56275
2010.02.23;1;0.05993;0.01928;3.10840
2010.02.24;2;0.05568;0.00923;6.03250
2010.02.25;3;0.06245;0.01510;4.13576
2010.02.26;4;0.05494;0.01166;4.71184
2010.03.01;0;0.05247;0.00800;6.55875
2010.03.02;1;0.05834;0.01061;5.49859
2010.03.03;2;0.04761;0.00780;6.10385
2010.03.04;3;0.05018;0.00845;5.93846
2010.03.05;4;0.03865;0.01083;3.56879
2010.03.08;0;0.04264;0.00573;7.44154
2010.03.09;1;0.04495;0.00918;4.89651
2010.03.10;2;0.04812;0.00669;7.19283
2010.03.11;3;0.04548;0.00599;7.59265
2010.03.12;4;0.03653;0.00541;6.75231
2010.03.14;6;0.00000;0.00000;0.00000
2010.03.15;0;0.03994;0.00830;4.81205
2010.03.16;1;0.04154;0.00879;4.72582
2010.03.17;2;0.03573;0.00785;4.55159
2010.03.18;3;0.04256;0.00625;6.80960
2010.03.19;4;0.03955;0.00955;4.14136
2010.03.21;6;0.00000;0.00000;0.00000
2010.03.22;0;0.04702;0.01013;4.64166
2010.03.23;1;0.03884;0.00620;6.26452
2010.03.24;2;0.04968;0.01315;3.77795
2010.03.25;3;0.04603;0.00747;6.16198
2010.03.26;4;0.05003;0.01161;4.30922
2010.03.29;0;0.03665;0.01455;2.51890
2010.03.30;1;0.03357;0.00563;5.96270
2010.03.31;2;0.04593;0.00753;6.09960
2010.04.01;3;0.04085;0.00671;6.08793
2010.04.02;4;0.02406;0.00336;7.16071
2010.04.05;0;0.02516;0.00347;7.25072
2010.04.06;1;0.04793;0.01234;3.88412
2010.04.07;2;0.03745;0.00488;7.67418
2010.04.08;3;0.03903;0.00669;5.83408
2010.04.09;4;0.03018;0.00765;3.94510
2010.04.12;0;0.04156;0.01305;3.18467
2010.04.13;1;0.04385;0.00704;6.22869
2010.04.14;2;0.03507;0.00881;3.98070
2010.04.15;3;0.03549;0.00538;6.59665
2010.04.16;4;0.04937;0.01230;4.01382
2010.04.19;0;0.05152;0.00942;5.46921
2010.04.20;1;0.04179;0.00867;4.82007
2010.04.21;2;0.04198;0.00797;5.26725
2010.04.22;3;0.04827;0.00770;6.26883
2010.04.23;4;0.05067;0.01064;4.76222
2010.04.26;0;0.03515;0.00562;6.25445
2010.04.27;1;0.05300;0.01510;3.50993
2010.04.28;2;0.06263;0.01303;4.80660
2010.04.29;3;0.03201;0.00714;4.48319
2010.04.30;4;0.04922;0.00784;6.27806
2010.05.03;0;0.03784;0.00639;5.92175
2010.05.04;1;0.05659;0.01895;2.98628
2010.05.05;2;0.06335;0.00980;6.46429
2010.05.06;3;0.11161;0.03868;2.88547
2010.05.07;4;0.11351;0.01350;8.40815
2010.05.10;0;0.07551;0.02163;3.49098
2010.05.11;1;0.06171;0.01023;6.03226
2010.05.12;2;0.05757;0.00919;6.26442
2010.05.13;3;0.05954;0.00958;6.21503
2010.05.14;4;0.05537;0.01235;4.48340
2010.05.17;0;0.08476;0.01763;4.80771
2010.05.18;1;0.07616;0.01640;4.64390
2010.05.19;2;0.13214;0.02807;4.70752
2010.05.20;3;0.15389;0.03476;4.42722
2010.05.21;4;0.15417;0.02944;5.23675
2010.05.24;0;0.09487;0.01726;5.49652
2010.05.25;1;0.10014;0.02114;4.73699
2010.05.26;2;0.09872;0.02023;4.87988
2010.05.27;3;0.09236;0.03274;2.82101
2010.05.28;4;0.08366;0.01229;6.80716
2010.05.31;0;0.06246;0.01331;4.69271
2010.06.01;1;0.09309;0.01941;4.79598
2010.06.02;2;0.09094;0.01484;6.12803
2010.06.03;3;0.07193;0.01587;4.53245
2010.06.04;4;0.07333;0.02641;2.77660
2010.06.07;0;0.09814;0.01321;7.42922
2010.06.08;1;0.10025;0.02037;4.92145
2010.06.09;2;0.06834;0.01639;4.16962
2010.06.10;3;0.08464;0.02472;3.42395
2010.06.11;4;0.06707;0.00809;8.29048
2010.06.14;0;0.05716;0.01653;3.45796
2010.06.15;1;0.06624;0.01554;4.26255
2010.06.16;2;0.05955;0.00927;6.42395
2010.06.17;3;0.06334;0.01037;6.10800
2010.06.18;4;0.04313;0.00613;7.03589
2010.06.21;0;0.06159;0.01566;3.93295
2010.06.22;1;0.06887;0.01189;5.79226
2010.06.23;2;0.07188;0.01195;6.01506
2010.06.24;3;0.07162;0.01301;5.50500
