Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00972;0.00366;2.65574
2009.01.02;4;0.09561;0.02791;3.42565
2009.01.05;0;0.12782;0.04976;2.56873
2009.01.06;1;0.11195;0.02779;4.02843
2009.01.07;2;0.09606;0.02597;3.69888
2009.01.08;3;0.08532;0.01528;5.58377
2009.01.09;4;0.08688;0.02351;3.69545
2009.01.12;0;0.09094;0.02583;3.52071
2009.01.13;1;0.07632;0.01139;6.70061
2009.01.14;2;0.08448;0.02640;3.20000
2009.01.15;3;0.08608;0.01534;5.61147
2009.01.16;4;0.09119;0.01857;4.91061
2009.01.19;0;0.06912;0.01026;6.73684
2009.01.20;1;0.09281;0.01223;7.58872
2009.01.21;2;0.10965;0.02268;4.83466
2009.01.22;3;0.08287;0.01540;5.38117
2009.01.23;4;0.08063;0.02196;3.67168
2009.01.26;0;0.08827;0.02484;3.55354
2009.01.27;1;0.07907;0.01042;7.58829
2009.01.28;2;0.10624;0.02586;4.10828
2009.01.29;3;0.07356;0.01694;4.34238
2009.01.30;4;0.08561;0.01408;6.08026
2009.02.02;0;0.07188;0.01777;4.04502
2009.02.03;1;0.06609;0.01390;4.75468
2009.02.04;2;0.07959;0.02150;3.70186
2009.02.05;3;0.07930;0.01670;4.74850
2009.02.06;4;0.07694;0.01828;4.20897
2009.02.09;0;0.07985;0.01680;4.75298
2009.02.10;1;0.10392;0.03437;3.02357
2009.02.11;2;0.08489;0.01270;6.68425
2009.02.12;3;0.07129;0.01190;5.99076
2009.02.13;4;0.08597;0.01579;5.44459
2009.02.16;0;0.05882;0.01076;5.46654
2009.02.17;1;0.07563;0.01720;4.39709
2009.02.18;2;0.06706;0.01657;4.04707
2009.02.19;3;0.05940;0.01293;4.59397
2009.02.20;4;0.08248;0.02718;3.03458
2009.02.23;0;0.08235;0.01526;5.39646
2009.02.24;1;0.07070;0.01758;4.02162
2009.02.25;2;0.07657;0.01188;6.44529
2009.02.26;3;0.05981;0.01196;5.00084
2009.02.27;4;0.06992;0.01922;3.63788
2009.03.02;0;0.07704;0.01242;6.20290
2009.03.03;1;0.07198;0.01121;6.42105
2009.03.04;2;0.07144;0.01416;5.04520
2009.03.05;3;0.06420;0.01348;4.76261
2009.03.06;4;0.07163;0.01491;4.80416
2009.03.08;6;0.00239;0.00239;1.00000
2009.03.09;0;0.06026;0.01342;4.49031
2009.03.10;1;0.08284;0.01937;4.27672
2009.03.11;2;0.06516;0.01339;4.86632
2009.03.12;3;0.09268;0.03651;2.53848
2009.03.13;4;0.07705;0.01594;4.83375
2009.03.15;6;0.00133;0.00133;1.00000
2009.03.16;0;0.06675;0.00871;7.66361
2009.03.17;1;0.05055;0.00875;5.77714
2009.03.18;2;0.07371;0.02098;3.51335
2009.03.19;3;0.07936;0.01855;4.27817
2009.03.20;4;0.06905;0.00895;7.71508
2009.03.22;6;0.00181;0.00181;1.00000
2009.03.23;0;0.06527;0.01518;4.29974
2009.03.24;1;0.06616;0.00586;11.29010
2009.03.25;2;0.06800;0.01415;4.80565
2009.03.26;3;0.05994;0.00890;6.73483
2009.03.27;4;0.05793;0.01189;4.87216
2009.03.30;0;0.05941;0.01724;3.44606
2009.03.31;1;0.05801;0.01262;4.59667
2009.04.01;2;0.06054;0.01298;4.66410
2009.04.02;3;0.05711;0.00951;6.00526
2009.04.03;4;0.05363;0.00820;6.54024
2009.04.06;0;0.05268;0.00941;5.59830
2009.04.07;1;0.06189;0.01632;3.79228
2009.04.08;2;0.04846;0.00933;5.19400
2009.04.09;3;0.05797;0.01880;3.08351
2009.04.10;4;0.04415;0.00734;6.01499
2009.04.13;0;0.06148;0.01830;3.35956
2009.04.14;1;0.06433;0.01677;3.83602
2009.04.15;2;0.06258;0.01759;3.55770
2009.04.16;3;0.05165;0.00956;5.40272
2009.04.17;4;0.06151;0.01789;3.43823
2009.04.20;0;0.06190;0.02049;3.02099
2009.04.21;1;0.06032;0.01300;4.64000
2009.04.22;2;0.05352;0.00998;5.36273
2009.04.23;3;0.05247;0.00986;5.32150
2009.04.24;4;0.04947;0.00979;5.05312
2009.04.27;0;0.05789;0.01354;4.27548
2009.04.28;1;0.05852;0.01426;4.10379
2009.04.29;2;0.05851;0.01128;5.18706
2009.04.30;3;0.06585;0.01778;3.70360
2009.05.01;4;0.05635;0.00791;7.12389
2009.05.04;0;0.05564;0.00939;5.92545
2009.05.05;1;0.05578;0.00750;7.43733
2009.05.06;2;0.05982;0.01231;4.85946
2009.05.07;3;0.05889;0.01579;3.72958
2009.05.08;4;0.05479;0.01329;4.12265
2009.05.11;0;0.05560;0.01439;3.86379
2009.05.12;1;0.05870;0.00943;6.22481
2009.05.13;2;0.06964;0.01496;4.65508
2009.05.14;3;0.05092;0.00612;8.32026
2009.05.15;4;0.04882;0.01101;4.43415
2009.05.18;0;0.06008;0.01132;5.30742
2009.05.19;1;0.04871;0.00766;6.35901
2009.05.20;2;0.05985;0.01018;5.87917
2009.05.21;3;0.06518;0.00991;6.57719
2009.05.22;4;0.05541;0.01059;5.23229
2009.05.25;0;0.04670;0.00682;6.84751
2009.05.26;1;0.05348;0.01060;5.04528
2009.05.27;2;0.05489;0.00964;5.69398
2009.05.28;3;0.05056;0.00566;8.93286
2009.05.29;4;0.05888;0.00940;6.26383
2009.06.01;0;0.05454;0.01123;4.85663
2009.06.02;1;0.04836;0.00664;7.28313
2009.06.03;2;0.06283;0.02127;2.95393
2009.06.04;3;0.06615;0.01698;3.89576
2009.06.05;4;0.05347;0.00789;6.77693
2009.06.08;0;0.05464;0.00952;5.73950
2009.06.09;1;0.06132;0.01127;5.44099
2009.06.10;2;0.05682;0.01008;5.63690
2009.06.11;3;0.05848;0.01087;5.37994
2009.06.12;4;0.05533;0.01182;4.68105
2009.06.15;0;0.05673;0.00713;7.95652
2009.06.16;1;0.05599;0.00897;6.24192
2009.06.17;2;0.05669;0.01214;4.66969
2009.06.18;3;0.06402;0.01198;5.34391
2009.06.19;4;0.04814;0.01346;3.57652
2009.06.22;0;0.05192;0.01536;3.38021
2009.06.23;1;0.05187;0.01847;2.80834
2009.06.24;2;0.07252;0.03050;2.37770
2009.06.25;3;0.06329;0.00794;7.97103
2009.06.26;4;0.05955;0.01339;4.44735
2009.06.29;0;0.04657;0.00970;4.80103
2009.06.30;1;0.04497;0.00528;8.51705
2009.07.01;2;0.04433;0.00823;5.38639
2009.07.02;3;0.04969;0.01020;4.87157
2009.07.03;4;0.04463;0.00829;5.38359
2009.07.06;0;0.04737;0.00724;6.54282
2009.07.07;1;0.04911;0.00746;6.58311
2009.07.08;2;0.05321;0.00767;6.93742
2009.07.09;3;0.05151;0.01192;4.32131
2009.07.10;4;0.04986;0.01096;4.54927
2009.07.13;0;0.05231;0.01106;4.72966
2009.07.14;1;0.05850;0.02349;2.49042
2009.07.15;2;0.05464;0.01285;4.25214
2009.07.16;3;0.05126;0.00849;6.03769
2009.07.17;4;0.04386;0.00917;4.78299
2009.07.20;0;0.04746;0.00697;6.80918
2009.07.21;1;0.05060;0.01014;4.99014
2009.07.22;2;0.04749;0.00824;5.76335
2009.07.23;3;0.05331;0.02086;2.55561
2009.07.24;4;0.05383;0.01020;5.27745
2009.07.27;0;0.04481;0.00751;5.96671
2009.07.28;1;0.05290;0.00750;7.05333
2009.07.29;2;0.05809;0.01218;4.76929
2009.07.30;3;0.04965;0.01444;3.43837
2009.07.31;4;0.05546;0.01895;2.92665
2009.08.03;0;0.05006;0.00943;5.30859
2009.08.04;1;0.05047;0.01186;4.25548
2009.08.05;2;0.05031;0.00798;6.30451
2009.08.06;3;0.04891;0.00806;6.06824
2009.08.07;4;0.06803;0.02106;3.23029
2009.08.10;0;0.04745;0.00683;6.94729
2009.08.11;1;0.05597;0.01881;2.97554
2009.08.12;2;0.06073;0.01573;3.86078
2009.08.13;3;0.06162;0.01258;4.89825
2009.08.14;4;0.05298;0.01449;3.65631
2009.08.17;0;0.05024;0.00625;8.03840
2009.08.18;1;0.04419;0.00577;7.65858
2009.08.19;2;0.05322;0.01136;4.68486
2009.08.20;3;0.04935;0.00936;5.27244
2009.08.21;4;0.05919;0.01018;5.81434
2009.08.24;0;0.05041;0.01266;3.98183
2009.08.25;1;0.05650;0.01117;5.05819
2009.08.26;2;0.05372;0.00903;5.94906
2009.08.27;3;0.05764;0.00974;5.91786
2009.08.28;4;0.04633;0.00892;5.19395
2009.08.31;0;0.06000;0.01446;4.14938
2009.09.01;1;0.05660;0.00764;7.40838
2009.09.02;2;0.05034;0.01011;4.97923
2009.09.03;3;0.04397;0.00563;7.80995
2009.09.04;4;0.05328;0.01697;3.13966
2009.09.07;0;0.04363;0.01187;3.67565
2009.09.08;1;0.04745;0.01748;2.71453
2009.09.09;2;0.04606;0.00944;4.87924
2009.09.10;3;0.05131;0.00895;5.73296
2009.09.11;4;0.03977;0.00497;8.00201
2009.09.14;0;0.05033;0.01079;4.66450
2009.09.15;1;0.05033;0.01186;4.24368
2009.09.16;2;0.04132;0.00709;5.82793
2009.09.17;3;0.04460;0.00795;5.61006
2009.09.18;4;0.04714;0.00845;5.57870
2009.09.21;0;0.04852;0.01049;4.62536
2009.09.22;1;0.04521;0.00646;6.99845
2009.09.23;2;0.04508;0.00584;7.71918
2009.09.24;3;0.05918;0.01546;3.82794
2009.09.25;4;0.04707;0.00605;7.78017
2009.09.28;0;0.05288;0.01414;3.73975
2009.09.29;1;0.05524;0.00761;7.25887
2009.09.30;2;0.05619;0.01642;3.42205
2009.10.01;3;0.05147;0.01468;3.50613
2009.10.02;4;0.05496;0.01054;5.21442
2009.10.05;0;0.04571;0.00953;4.79643
2009.10.06;1;0.05148;0.01230;4.18537
2009.10.07;2;0.04288;0.00763;5.61992
2009.10.08;3;0.04744;0.00793;5.98235
2009.10.09;4;0.04830;0.01637;2.95052
2009.10.12;0;0.04922;0.00963;5.11111
2009.10.13;1;0.04584;0.00757;6.05548
2009.10.14;2;0.04576;0.00559;8.18605
2009.10.15;3;0.05404;0.01288;4.19565
2009.10.16;4;0.05146;0.00704;7.30966
2009.10.19;0;0.04991;0.00779;6.40693
2009.10.20;1;0.05692;0.02121;2.68364
2009.10.21;2;0.05531;0.01080;5.12130
2009.10.22;3;0.05428;0.00774;7.01292
2009.10.23;4;0.04706;0.00615;7.65203
2009.10.25;6;0.00247;0.00247;1.00000
2009.10.26;0;0.05368;0.00903;5.94463
2009.10.27;1;0.04554;0.01244;3.66077
2009.10.28;2;0.04468;0.01087;4.11040
2009.10.29;3;0.04866;0.00649;7.49769
2009.10.30;4;0.05500;0.01149;4.78677
2009.11.02;0;0.04898;0.00663;7.38763
2009.11.03;1;0.05097;0.01761;2.89438
2009.11.04;2;0.05322;0.01192;4.46477
2009.11.05;3;0.04659;0.00551;8.45554
2009.11.06;4;0.04410;0.01199;3.67807
2009.11.09;0;0.04959;0.01111;4.46355
2009.11.10;1;0.04453;0.01006;4.42644
2009.11.11;2;0.03905;0.00638;6.12069
2009.11.12;3;0.04746;0.00771;6.15564
2009.11.13;4;0.03991;0.00533;7.48780
2009.11.16;0;0.04157;0.00719;5.78164
2009.11.17;1;0.04671;0.01097;4.25798
2009.11.18;2;0.04200;0.01114;3.77020
2009.11.19;3;0.04124;0.00948;4.35021
2009.11.20;4;0.03576;0.00501;7.13772
2009.11.23;0;0.04431;0.00751;5.90013
2009.11.24;1;0.04206;0.00483;8.70807
2009.11.25;2;0.04513;0.00612;7.37418
2009.11.26;3;0.06062;0.00916;6.61790
2009.11.27;4;0.05687;0.00842;6.75416
2009.11.30;0;0.05324;0.00872;6.10550
2009.12.01;1;0.04468;0.00909;4.91529
2009.12.02;2;0.03730;0.00452;8.25221
2009.12.03;3;0.03873;0.00883;4.38618
2009.12.04;4;0.05195;0.02065;2.51574
2009.12.07;0;0.05376;0.01053;5.10541
2009.12.08;1;0.04272;0.00716;5.96648
2009.12.09;2;0.04268;0.01209;3.53019
2009.12.10;3;0.04462;0.00702;6.35613
2009.12.11;4;0.04078;0.00893;4.56663
2009.12.14;0;0.05004;0.00886;5.64786
2009.12.15;1;0.04559;0.00906;5.03201
2009.12.16;2;0.04353;0.00517;8.41973
2009.12.17;3;0.05287;0.00598;8.84114
2009.12.18;4;0.04854;0.00743;6.53297
2009.12.21;0;0.05842;0.01593;3.66729
2009.12.22;1;0.05617;0.01163;4.82975
2009.12.23;2;0.05327;0.00817;6.52020
2009.12.24;3;0.04643;0.00552;8.41123
2009.12.25;4;0.01488;0.00315;4.72381
2009.12.28;0;0.04932;0.00865;5.70173
2009.12.29;1;0.04933;0.00949;5.19810
2009.12.30;2;0.05884;0.01282;4.58970
