Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.06440;0.03898;1.65213
2009.01.02;4;0.63720;0.12410;5.13457
2009.01.05;0;0.80382;0.19394;4.14468
2009.01.06;1;0.71988;0.13254;5.43142
2009.01.07;2;0.65559;0.12242;5.35525
2009.01.08;3;0.72821;0.16981;4.28838
2009.01.09;4;0.61813;0.09554;6.46986
2009.01.12;0;0.59725;0.17580;3.39733
2009.01.13;1;0.56583;0.09082;6.23024
2009.01.14;2;0.70459;0.19721;3.57279
2009.01.15;3;0.61494;0.12717;4.83557
2009.01.16;4;0.68624;0.12788;5.36628
2009.01.19;0;0.56017;0.10391;5.39092
2009.01.20;1;0.58449;0.07985;7.31985
2009.01.21;2;0.66514;0.10601;6.27431
2009.01.22;3;0.61039;0.10987;5.55557
2009.01.23;4;0.64744;0.19076;3.39400
2009.01.26;0;0.53671;0.12789;4.19665
2009.01.27;1;0.52014;0.08998;5.78062
2009.01.28;2;0.58935;0.14694;4.01082
2009.01.29;3;0.51081;0.09191;5.55772
2009.01.30;4;0.63079;0.10573;5.96605
2009.02.02;0;0.45466;0.10500;4.33010
2009.02.03;1;0.58608;0.11736;4.99387
2009.02.04;2;0.58022;0.10809;5.36793
2009.02.05;3;0.57167;0.08285;6.90006
2009.02.06;4;0.60568;0.17452;3.47055
2009.02.09;0;0.57332;0.09304;6.16208
2009.02.10;1;0.74792;0.17515;4.27017
2009.02.11;2;0.59556;0.07457;7.98659
2009.02.12;3;0.54890;0.08074;6.79837
2009.02.13;4;0.57444;0.09169;6.26502
2009.02.16;0;0.40311;0.05696;7.07707
2009.02.17;1;0.48107;0.13114;3.66837
2009.02.18;2;0.45163;0.06452;6.99985
2009.02.19;3;0.50041;0.07363;6.79628
2009.02.20;4;0.53962;0.11197;4.81933
2009.02.23;0;0.55436;0.10534;5.26258
2009.02.24;1;0.49310;0.07576;6.50871
2009.02.25;2;0.59007;0.10536;5.60051
2009.02.26;3;0.49540;0.09656;5.13049
2009.02.27;4;0.48215;0.11647;4.13969
2009.03.02;0;0.52641;0.09557;5.50811
2009.03.03;1;0.53678;0.07786;6.89417
2009.03.04;2;0.46593;0.12467;3.73731
2009.03.05;3;0.41625;0.08921;4.66596
2009.03.06;4;0.44452;0.06488;6.85142
2009.03.08;6;0.00705;0.00705;1.00000
2009.03.09;0;0.47301;0.11687;4.04732
2009.03.10;1;0.50414;0.13125;3.84107
2009.03.11;2;0.44871;0.06978;6.43035
2009.03.12;3;0.45920;0.08768;5.23723
2009.03.13;4;0.49932;0.10376;4.81226
2009.03.15;6;0.01068;0.01068;1.00000
2009.03.16;0;0.45113;0.07156;6.30422
2009.03.17;1;0.36774;0.04414;8.33122
2009.03.18;2;0.53939;0.15210;3.54629
2009.03.19;3;0.56017;0.16227;3.45209
2009.03.20;4;0.54207;0.07945;6.82278
2009.03.22;6;0.00942;0.00942;1.00000
2009.03.23;0;0.48519;0.10067;4.81961
2009.03.24;1;0.44985;0.06289;7.15297
2009.03.25;2;0.50701;0.07054;7.18755
2009.03.26;3;0.43333;0.04916;8.81469
2009.03.27;4;0.43894;0.08997;4.87874
2009.03.30;0;0.44114;0.13109;3.36517
2009.03.31;1;0.44643;0.07469;5.97711
2009.04.01;2;0.49281;0.06873;7.17023
2009.04.02;3;0.47560;0.13373;3.55642
2009.04.03;4;0.47256;0.08289;5.70105
2009.04.06;0;0.43544;0.11315;3.84834
2009.04.07;1;0.48231;0.07884;6.11758
2009.04.08;2;0.43883;0.07640;5.74385
2009.04.09;3;0.42785;0.10047;4.25849
2009.04.10;4;0.21702;0.03302;6.57238
2009.04.13;0;0.33698;0.06760;4.98491
2009.04.14;1;0.42826;0.09689;4.42006
2009.04.15;2;0.44586;0.09291;4.79884
2009.04.16;3;0.50863;0.09143;5.56305
2009.04.17;4;0.46181;0.06047;7.63701
2009.04.20;0;0.48209;0.15806;3.05004
2009.04.21;1;0.51435;0.09090;5.65842
2009.04.22;2;0.52910;0.07786;6.79553
2009.04.23;3;0.46974;0.10386;4.52282
2009.04.24;4;0.47360;0.10802;4.38437
2009.04.27;0;0.47613;0.07465;6.37816
2009.04.28;1;0.52069;0.05614;9.27485
2009.04.29;2;0.51629;0.11986;4.30744
2009.04.30;3;0.59089;0.10131;5.83249
2009.05.01;4;0.40338;0.06484;6.22116
2009.05.04;0;0.47156;0.10260;4.59610
2009.05.05;1;0.47462;0.06137;7.73375
2009.05.06;2;0.51607;0.10188;5.06547
2009.05.07;3;0.51922;0.07467;6.95353
2009.05.08;4;0.49705;0.14579;3.40936
2009.05.11;0;0.43743;0.11281;3.87758
2009.05.12;1;0.54559;0.09255;5.89508
2009.05.13;2;0.59312;0.12623;4.69872
