Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;6.40600;0.88400;7.24661
2009.01.02;4;7.59300;2.13000;3.56479
2009.01.05;0;10.34100;2.98500;3.46432
2009.01.06;1;10.47700;2.65000;3.95358
2009.01.07;2;8.94600;2.38000;3.75882
2009.01.08;3;10.18700;1.83500;5.55150
2009.01.09;4;9.30500;2.03500;4.57248
2009.01.12;0;8.42300;2.77800;3.03204
2009.01.13;1;8.70800;1.32500;6.57208
2009.01.14;2;11.22300;2.98000;3.76611
2009.01.15;3;9.91000;1.46500;6.76451
2009.01.16;4;10.22500;2.07500;4.92771
2009.01.19;0;8.01400;1.97500;4.05772
2009.01.20;1;9.12900;1.76500;5.17224
2009.01.21;2;12.38100;3.11500;3.97464
2009.01.22;3;11.65000;2.02000;5.76733
2009.01.23;4;10.86900;2.82500;3.84743
2009.01.26;0;10.68100;2.52200;4.23513
2009.01.27;1;10.69700;1.99500;5.36190
2009.01.28;2;10.23600;2.62000;3.90687
2009.01.29;3;8.26600;1.50500;5.49236
2009.01.30;4;8.84600;1.38000;6.41014
2009.02.02;0;7.04000;1.66000;4.24096
2009.02.03;1;8.43300;1.28000;6.58828
2009.02.04;2;8.81800;1.66500;5.29610
2009.02.05;3;9.86300;2.89500;3.40691
2009.02.06;4;9.57800;2.70000;3.54741
2009.02.09;0;9.46200;1.66500;5.68288
2009.02.10;1;12.86000;3.07500;4.18211
2009.02.11;2;8.73700;1.07000;8.16542
2009.02.12;3;8.50200;1.24500;6.82892
2009.02.13;4;9.14200;1.89500;4.82427
2009.02.16;0;5.61700;0.73500;7.64218
2009.02.17;1;7.85800;1.77000;4.43955
2009.02.18;2;7.27900;1.83000;3.97760
2009.02.19;3;7.88000;1.41500;5.56890
2009.02.20;4;7.50800;1.37500;5.46036
2009.02.23;0;9.72100;2.24000;4.33973
2009.02.24;1;9.44800;2.88000;3.28056
2009.02.25;2;10.96600;1.36500;8.03370
2009.02.26;3;7.30400;1.97500;3.69823
2009.02.27;4;9.29200;2.39000;3.88787
2009.03.02;0;9.24400;1.50000;6.16267
2009.03.03;1;8.23400;1.38000;5.96667
2009.03.04;2;7.88400;2.33500;3.37645
2009.03.05;3;7.98700;2.26500;3.52627
2009.03.06;4;9.29400;1.62500;5.71938
2009.03.08;6;0.21300;0.21300;1.00000
2009.03.09;0;7.62500;1.08500;7.02765
2009.03.10;1;7.23800;1.32500;5.46264
2009.03.11;2;7.75400;1.87000;4.14652
2009.03.12;3;9.86000;2.63500;3.74194
2009.03.13;4;9.10500;1.96000;4.64541
2009.03.15;6;0.16700;0.16700;1.00000
2009.03.16;0;7.63800;1.62000;4.71481
2009.03.17;1;5.24200;0.64700;8.10201
2009.03.18;2;7.54600;1.68000;4.49167
2009.03.19;3;9.69500;1.88000;5.15691
2009.03.20;4;7.14100;1.70500;4.18827
2009.03.22;6;0.24100;0.24100;1.00000
2009.03.23;0;8.42000;2.54500;3.30845
2009.03.24;1;8.78500;1.61000;5.45652
2009.03.25;2;9.53000;1.42000;6.71127
2009.03.26;3;6.89500;1.27000;5.42913
2009.03.27;4;8.17300;2.06000;3.96748
2009.03.30;0;9.31000;2.78000;3.34892
2009.03.31;1;9.04500;1.95500;4.62660
2009.04.01;2;9.69200;1.42000;6.82535
2009.04.02;3;8.35200;2.46500;3.38824
2009.04.03;4;8.99600;1.60500;5.60498
2009.04.06;0;8.44700;2.01500;4.19206
2009.04.07;1;9.59000;1.70500;5.62463
2009.04.08;2;8.79000;1.53500;5.72638
2009.04.09;3;7.05800;1.66500;4.23904
2009.04.10;4;4.19500;0.63500;6.60630
2009.04.13;0;5.70000;0.82000;6.95122
2009.04.14;1;8.19100;1.20500;6.79751
2009.04.15;2;8.56000;2.12500;4.02824
2009.04.16;3;8.97500;1.38000;6.50362
2009.04.17;4;7.10600;1.34500;5.28327
2009.04.20;0;7.37000;2.96000;2.48986
2009.04.21;1;9.21500;1.81500;5.07713
2009.04.22;2;9.01000;1.59300;5.65599
2009.04.23;3;7.87500;1.56000;5.04808
2009.04.24;4;7.48200;1.58500;4.72050
2009.04.27;0;7.02900;0.86000;8.17326
2009.04.28;1;7.59300;1.36500;5.56264
2009.04.29;2;8.17300;2.57800;3.17029
2009.04.30;3;9.08200;2.12000;4.28396
2009.05.01;4;8.18300;1.56200;5.23880
2009.05.04;0;6.97000;1.13100;6.16269
2009.05.05;1;6.38100;0.84000;7.59643
2009.05.06;2;8.44300;1.51000;5.59139
2009.05.07;3;7.52000;1.24000;6.06452
2009.05.08;4;6.70600;1.39500;4.80717
2009.05.11;0;7.61200;2.50000;3.04480
2009.05.12;1;8.58000;1.98000;4.33333
2009.05.13;2;10.06500;2.66000;3.78383
2009.05.14;3;8.57200;1.16500;7.35794
2009.05.15;4;8.94500;1.72000;5.20058
2009.05.18;0;8.66500;2.88700;3.00139
2009.05.19;1;8.63700;1.15000;7.51043
2009.05.20;2;8.52500;1.29500;6.58301
2009.05.21;3;8.92800;1.12000;7.97143
2009.05.22;4;7.21600;2.11500;3.41182
2009.05.25;0;5.21900;0.86000;6.06860
2009.05.26;1;7.64400;1.65000;4.63273
2009.05.27;2;7.08100;0.96000;7.37604
2009.05.28;3;7.69500;2.58000;2.98256
2009.05.29;4;7.76500;1.14000;6.81140
2009.06.01;0;8.32300;2.28000;3.65044
2009.06.02;1;8.30800;1.35500;6.13137
2009.06.03;2;9.58100;2.98500;3.20972
2009.06.04;3;10.05100;2.34500;4.28614
2009.06.05;4;8.98400;1.68000;5.34762
2009.06.08;0;7.56500;1.17000;6.46581
2009.06.09;1;8.06200;1.77000;4.55480
2009.06.10;2;8.30400;1.43500;5.78676
2009.06.11;3;7.26500;0.99500;7.30151
2009.06.12;4;6.45700;1.44000;4.48403
2009.06.15;0;8.20100;2.07300;3.95610
2009.06.16;1;10.51700;1.77900;5.91175
2009.06.17;2;10.14200;2.09300;4.84568
2009.06.18;3;9.30300;1.52700;6.09234
2009.06.19;4;6.60600;1.42500;4.63579
2009.06.22;0;6.83800;1.98000;3.45354
2009.06.23;1;8.71500;1.44500;6.03114
2009.06.24;2;7.74600;0.94500;8.19683
2009.06.25;3;7.61300;1.18500;6.42447
2009.06.26;4;6.72600;1.16500;5.77339
2009.06.29;0;5.44800;0.92500;5.88973
2009.06.30;1;6.00100;0.78500;7.64459
2009.07.01;2;5.40900;1.69500;3.19115
2009.07.02;3;5.67400;1.88500;3.01008
2009.07.03;4;4.74500;0.76500;6.20261
2009.07.06;0;7.04700;1.40200;5.02639
2009.07.07;1;6.94800;1.36500;5.09011
2009.07.08;2;9.78000;2.83500;3.44974
2009.07.09;3;8.49000;1.45500;5.83505
2009.07.10;4;7.50400;1.45500;5.15739
2009.07.13;0;9.36600;2.01000;4.65970
2009.07.14;1;8.51300;2.23000;3.81749
2009.07.15;2;7.17500;2.61000;2.74904
2009.07.16;3;7.77000;1.44000;5.39583
2009.07.17;4;6.31900;1.10500;5.71855
2009.07.20;0;6.12000;1.70200;3.59577
2009.07.21;1;7.71500;1.95000;3.95641
2009.07.22;2;7.38000;1.47000;5.02041
2009.07.23;3;7.30100;2.85500;2.55727
2009.07.24;4;5.45800;1.20500;4.52946
2009.07.27;0;6.29700;1.34500;4.68178
2009.07.28;1;7.95300;2.22500;3.57438
2009.07.29;2;8.33200;1.27500;6.53490
2009.07.30;3;6.92500;1.65000;4.19697
2009.07.31;4;6.70800;1.48500;4.51717
2009.08.03;0;5.55800;1.80500;3.07922
2009.08.04;1;7.99500;1.34000;5.96642
2009.08.05;2;6.77300;1.15500;5.86407
2009.08.06;3;7.04500;1.26500;5.56917
2009.08.07;4;8.36000;2.61000;3.20307
2009.08.10;0;6.29000;1.40500;4.47687
2009.08.11;1;7.18000;2.52000;2.84921
2009.08.12;2;8.75500;2.78500;3.14363
2009.08.13;3;8.91400;1.90000;4.69158
2009.08.14;4;7.85600;1.93500;4.05995
2009.08.17;0;6.77000;1.48000;4.57432
2009.08.18;1;6.97500;1.17000;5.96154
2009.08.19;2;8.02000;1.86000;4.31183
2009.08.20;3;6.92500;1.25500;5.51793
2009.08.21;4;8.61700;2.21500;3.89029
2009.08.24;0;6.44800;1.20000;5.37333
2009.08.25;1;7.48500;1.63000;4.59202
2009.08.26;2;7.20800;1.35000;5.33926
2009.08.27;3;7.51300;1.43000;5.25385
2009.08.28;4;6.36700;1.39000;4.58058
2009.08.31;0;8.13000;1.88000;4.32447
2009.09.01;1;7.99300;1.78000;4.49045
2009.09.02;2;7.71500;1.36500;5.65201
2009.09.03;3;6.15000;1.09000;5.64220
2009.09.04;4;6.95000;2.00000;3.47500
2009.09.07;0;4.57600;1.19000;3.84538
2009.09.08;1;6.06200;1.15500;5.24848
2009.09.09;2;5.33700;1.01500;5.25813
2009.09.10;3;5.52700;1.09500;5.04749
2009.09.11;4;5.33000;1.40000;3.80714
2009.09.14;0;6.05500;0.95500;6.34031
2009.09.15;1;5.34300;1.23000;4.34390
2009.09.16;2;5.73500;1.11000;5.16667
2009.09.17;3;5.92000;0.92500;6.40000
2009.09.18;4;5.81200;0.91000;6.38681
2009.09.21;0;5.45800;0.87500;6.23771
2009.09.22;1;4.64400;0.80000;5.80500
2009.09.23;2;5.46700;0.83500;6.54731
2009.09.24;3;6.20200;1.61000;3.85217
2009.09.25;4;6.99300;1.85000;3.78000
2009.09.28;0;7.82600;1.99000;3.93266
2009.09.29;1;6.31900;0.92000;6.86848
2009.09.30;2;6.23200;1.19000;5.23697
2009.10.01;3;5.73500;1.54500;3.71197
2009.10.02;4;0.95900;0.22900;4.18777
2009.10.05;0;2.13100;0.91500;2.32896
2009.10.06;1;2.29100;0.76700;2.98696
2009.10.07;2;4.39200;0.99400;4.41851
2009.10.08;3;4.04000;0.86500;4.67052
2009.10.09;4;6.48500;2.26500;2.86313
2009.10.12;0;1.23700;0.69300;1.78499
2009.10.13;1;0.55000;0.57600;0.95486
2009.10.14;2;5.41300;0.92500;5.85189
2009.10.15;3;6.76000;1.12000;6.03571
2009.10.16;4;1.49500;0.73000;2.04795
2009.10.19;0;1.32000;0.35500;3.71831
2009.10.20;1;0.59500;0.70400;0.84517
2009.10.21;2;0.54200;1.68600;0.32147
2009.10.22;3;0.69800;0.54600;1.27839
2009.10.23;4;0.67800;0.45600;1.48684
2009.10.25;6;0.19000;0.19000;1.00000
2009.10.26;0;1.09700;0.33500;3.27463
2009.10.27;1;0.53100;1.25400;0.42344
2009.10.28;2;0.66200;0.19400;3.41237
2009.10.29;3;0.57500;2.32800;0.24699
2009.10.30;4;7.54000;2.77500;2.71712
2009.11.02;0;1.62500;0.83000;1.95783
2009.11.03;1;0.56100;1.10600;0.50723
2009.11.04;2;0.66900;0.95400;0.70126
2009.11.05;3;0.57200;0.55900;1.02326
2009.11.06;4;0.63400;0.12000;5.28333
2009.11.09;0;0.95400;0.36000;2.65000
2009.11.10;1;0.54100;1.54000;0.35130
2009.11.11;2;0.52800;0.32900;1.60486
2009.11.12;3;0.59200;0.73600;0.80435
2009.11.13;4;0.60100;0.56500;1.06372
2009.11.16;0;5.52200;0.89500;6.16983
2009.11.17;1;5.42500;1.07500;5.04651
2009.11.18;2;5.06200;0.71500;7.07972
2009.11.19;3;6.21400;1.77000;3.51073
2009.11.20;4;5.07900;0.98500;5.15635
2009.11.23;0;5.12400;1.63700;3.13012
2009.11.24;1;5.56000;1.04000;5.34615
2009.11.25;2;5.68500;0.75500;7.52980
2009.11.26;3;6.85400;2.16500;3.16582
2009.11.27;4;11.10100;1.92300;5.77275
2009.11.30;0;8.85600;1.06000;8.35472
2009.12.01;1;7.20000;1.73000;4.16185
2009.12.02;2;6.18000;1.01000;6.11881
2009.12.03;3;5.97300;0.97800;6.10736
2009.12.04;4;7.51100;2.60000;2.88885
2009.12.07;0;7.05000;1.02000;6.91176
2009.12.08;1;6.80800;2.36000;2.88475
2009.12.09;2;7.70000;1.19000;6.47059
2009.12.10;3;6.92500;1.20500;5.74689
2009.12.11;4;5.98700;1.37500;4.35418
2009.12.14;0;7.14300;1.39500;5.12043
2009.12.15;1;5.44000;1.14000;4.77193
2009.12.16;2;4.88500;0.66000;7.40152
2009.12.17;3;5.79800;1.06500;5.44413
2009.12.18;4;8.01000;2.00500;3.99501
2009.12.21;0;5.80600;1.61300;3.59950
2009.12.22;1;4.95000;1.48000;3.34459
2009.12.23;2;4.44600;0.86000;5.16977
2009.12.24;3;4.40400;0.68500;6.42920
2009.12.25;4;3.73300;0.50300;7.42147
2009.12.28;0;4.01200;0.87500;4.58514
2009.12.29;1;4.01100;0.76000;5.27763
2009.12.30;2;5.76500;0.90000;6.40556
2009.12.31;3;5.69000;1.61000;3.53416
2010.01.01;4;1.34100;0.16600;8.07831
2010.01.04;0;5.98200;1.20700;4.95609
2010.01.05;1;6.33800;1.07500;5.89581
2010.01.06;2;5.47000;1.72500;3.17101
2010.01.07;3;6.07500;1.43500;4.23345
2010.01.08;4;6.54000;1.23000;5.31707
2010.01.11;0;4.81000;1.18500;4.05907
2010.01.12;1;6.55200;2.00500;3.26783
2010.01.13;2;6.18500;1.46500;4.22184
2010.01.14;3;5.98000;0.87500;6.83429
2010.01.15;4;5.95000;1.09500;5.43379
2010.01.18;0;4.32000;0.60500;7.14050
2010.01.19;1;5.46100;0.65000;8.40154
2010.01.20;2;5.52500;1.66500;3.31832
2010.01.21;3;7.38000;2.07000;3.56522
2010.01.22;4;8.31000;1.63500;5.08257
2010.01.25;0;5.74000;0.84500;6.79290
2010.01.26;1;8.54000;2.09000;4.08612
2010.01.27;2;7.19500;0.94500;7.61376
2010.01.28;3;7.03500;1.51000;4.65894
2010.01.29;4;7.94000;1.54500;5.13916
2010.02.01;0;6.36300;1.53000;4.15882
