Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;5.91200;0.97100;6.08857
2009.01.02;4;9.19600;1.33500;6.88839
2009.01.05;0;9.83500;2.08500;4.71703
2009.01.06;1;7.95500;0.89200;8.91816
2009.01.07;2;10.30000;1.81500;5.67493
2009.01.08;3;7.94000;1.25500;6.32669
2009.01.09;4;8.07200;2.70000;2.98963
2009.01.12;0;6.96400;1.35500;5.13948
2009.01.13;1;7.94800;0.91000;8.73407
2009.01.14;2;7.96100;1.41000;5.64610
2009.01.15;3;10.29000;1.23500;8.33198
2009.01.16;4;8.06500;1.60500;5.02492
2009.01.19;0;8.45000;2.47500;3.41414
2009.01.20;1;8.81500;2.11000;4.17773
2009.01.21;2;11.83100;3.07500;3.84748
2009.01.22;3;10.78000;1.49500;7.21070
2009.01.23;4;9.12500;1.93500;4.71576
2009.01.26;0;9.78500;2.66500;3.67167
2009.01.27;1;10.73500;1.96000;5.47704
2009.01.28;2;8.50500;0.95500;8.90576
2009.01.29;3;8.39000;1.07000;7.84112
2009.01.30;4;8.09200;1.30700;6.19128
2009.02.02;0;7.37500;1.50500;4.90033
2009.02.03;1;8.57000;1.69500;5.05605
2009.02.04;2;8.28500;1.93000;4.29275
2009.02.05;3;8.92000;2.52500;3.53267
2009.02.06;4;9.19100;2.16000;4.25509
2009.02.09;0;8.56500;1.68000;5.09821
2009.02.10;1;11.07000;2.00000;5.53500
2009.02.11;2;8.06500;0.73500;10.97279
2009.02.12;3;8.16000;1.27500;6.40000
2009.02.13;4;7.52500;1.57500;4.77778
2009.02.16;0;5.95400;0.95500;6.23455
2009.02.17;1;7.26000;1.13500;6.39648
2009.02.18;2;6.28000;1.14500;5.48472
2009.02.19;3;6.82000;1.34500;5.07063
2009.02.20;4;7.93700;2.20000;3.60773
2009.02.23;0;8.58500;1.41500;6.06714
2009.02.24;1;9.41500;3.18500;2.95604
2009.02.25;2;9.30500;1.01000;9.21287
2009.02.26;3;6.98500;1.63500;4.27217
2009.02.27;4;9.22000;2.19500;4.20046
2009.03.02;0;8.98000;1.49000;6.02685
2009.03.03;1;7.39000;1.55000;4.76774
2009.03.04;2;6.82500;1.91000;3.57330
2009.03.05;3;8.49500;1.77000;4.79944
2009.03.06;4;9.52000;1.62000;5.87654
2009.03.08;6;0.35200;0.35200;1.00000
2009.03.09;0;7.35600;0.96000;7.66250
2009.03.10;1;7.14500;1.09000;6.55505
2009.03.11;2;7.33000;1.45000;5.05517
2009.03.12;3;10.46500;3.15000;3.32222
2009.03.13;4;7.63000;1.32000;5.78030
2009.03.15;6;0.15500;0.15500;1.00000
2009.03.16;0;6.75000;1.46500;4.60751
2009.03.17;1;5.30500;0.89000;5.96067
2009.03.18;2;7.42300;1.33700;5.55198
2009.03.19;3;8.89400;1.41000;6.30780
2009.03.20;4;6.19300;1.55000;3.99548
2009.03.22;6;0.25500;0.25500;1.00000
2009.03.23;0;7.31000;1.53000;4.77778
2009.03.24;1;9.30000;1.56000;5.96154
2009.03.25;2;8.01000;1.20500;6.64730
2009.03.26;3;6.80700;0.85500;7.96140
