Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04513;0.01390;3.24676
2009.01.02;4;0.14919;0.02425;6.15216
2009.01.05;0;0.16858;0.03920;4.30051
2009.01.06;1;0.12420;0.02043;6.07930
2009.01.07;2;0.15631;0.03559;4.39196
2009.01.08;3;0.13473;0.02514;5.35919
2009.01.09;4;0.11297;0.03005;3.75940
2009.01.12;0;0.10717;0.01751;6.12050
2009.01.13;1;0.09730;0.01533;6.34703
2009.01.14;2;0.10294;0.01517;6.78576
2009.01.15;3;0.10833;0.01791;6.04858
2009.01.16;4;0.10921;0.01433;7.62107
2009.01.19;0;0.10543;0.01970;5.35178
2009.01.20;1;0.11665;0.01749;6.66953
2009.01.21;2;0.13117;0.02616;5.01414
2009.01.22;3;0.10518;0.01257;8.36754
2009.01.23;4;0.10512;0.01604;6.55362
2009.01.26;0;0.11287;0.03019;3.73866
2009.01.27;1;0.11251;0.01263;8.90816
2009.01.28;2;0.11678;0.02507;4.65816
2009.01.29;3;0.10032;0.02078;4.82772
2009.01.30;4;0.11018;0.01499;7.35023
2009.02.02;0;0.09690;0.01061;9.13289
2009.02.03;1;0.10579;0.02337;4.52674
2009.02.04;2;0.10560;0.02336;4.52055
2009.02.05;3;0.09825;0.02097;4.68526
2009.02.06;4;0.08689;0.01196;7.26505
2009.02.09;0;0.09012;0.01390;6.48345
2009.02.10;1;0.10415;0.03055;3.40917
2009.02.11;2;0.09567;0.01303;7.34229
2009.02.12;3;0.09650;0.01284;7.51558
2009.02.13;4;0.08773;0.01165;7.53047
2009.02.16;0;0.08326;0.01450;5.74207
2009.02.17;1;0.09457;0.01434;6.59484
2009.02.18;2;0.08806;0.01667;5.28254
2009.02.19;3;0.07880;0.01112;7.08633
2009.02.20;4;0.11990;0.04174;2.87254
2009.02.23;0;0.10949;0.02238;4.89231
2009.02.24;1;0.09511;0.01725;5.51362
2009.02.25;2;0.09862;0.01890;5.21799
2009.02.26;3;0.09179;0.01830;5.01585
2009.02.27;4;0.10297;0.01707;6.03222
2009.03.02;0;0.09283;0.01068;8.69195
2009.03.03;1;0.09395;0.01004;9.35757
2009.03.04;2;0.09142;0.01365;6.69744
2009.03.05;3;0.09213;0.01254;7.34689
2009.03.06;4;0.10792;0.02204;4.89655
2009.03.08;6;0.00354;0.00354;1.00000
2009.03.09;0;0.09762;0.01249;7.81585
2009.03.10;1;0.11276;0.02174;5.18675
2009.03.11;2;0.09541;0.00868;10.99194
