Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.14873;0.03003;4.95271
2009.01.02;4;0.23683;0.06090;3.88883
2009.01.05;0;0.24620;0.07060;3.48725
2009.01.06;1;0.22351;0.05170;4.32321
2009.01.07;2;0.22455;0.05535;4.05691
2009.01.08;3;0.23155;0.03475;6.66331
2009.01.09;4;0.22684;0.04925;4.60589
2009.01.12;0;0.22660;0.05605;4.04282
2009.01.13;1;0.23795;0.04495;5.29366
2009.01.14;2;0.23250;0.04620;5.03247
2009.01.15;3;0.26640;0.03975;6.70189
2009.01.16;4;0.23685;0.04315;5.48899
2009.01.19;0;0.19215;0.02560;7.50586
2009.01.20;1;0.23595;0.04950;4.76667
2009.01.21;2;0.25150;0.03970;6.33501
2009.01.22;3;0.23370;0.03270;7.14679
2009.01.23;4;0.21485;0.03615;5.94329
2009.01.26;0;0.20607;0.03805;5.41577
2009.01.27;1;0.20917;0.02510;8.33347
2009.01.28;2;0.22165;0.03465;6.39683
2009.01.29;3;0.18398;0.02945;6.24720
2009.01.30;4;0.20350;0.03605;5.64494
2009.02.02;0;0.20305;0.03685;5.51018
2009.02.03;1;0.20585;0.04585;4.48964
2009.02.04;2;0.25835;0.06520;3.96242
2009.02.05;3;0.20313;0.05105;3.97904
2009.02.06;4;0.21487;0.07220;2.97604
2009.02.09;0;0.21335;0.03755;5.68176
2009.02.10;1;0.27015;0.07300;3.70068
2009.02.11;2;0.21380;0.03215;6.65008
2009.02.12;3;0.22465;0.03400;6.60735
2009.02.13;4;0.19205;0.03230;5.94582
2009.02.16;0;0.14400;0.01895;7.59894
2009.02.17;1;0.18125;0.03020;6.00166
2009.02.18;2;0.17070;0.02375;7.18737
2009.02.19;3;0.15150;0.02075;7.30120
2009.02.20;4;0.21090;0.04350;4.84828
2009.02.23;0;0.17379;0.02485;6.99356
2009.02.24;1;0.15885;0.02250;7.06000
2009.02.25;2;0.16105;0.01970;8.17513
2009.02.26;3;0.13905;0.02030;6.84975
2009.02.27;4;0.18800;0.02820;6.66667
