Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.02462;0.01381;1.78277
2009.01.02;4;0.17540;0.04050;4.33086
2009.01.05;0;0.23758;0.07835;3.03229
2009.01.06;1;0.18260;0.04995;3.65566
2009.01.07;2;0.18105;0.04060;4.45936
2009.01.08;3;0.16425;0.02925;5.61538
2009.01.09;4;0.15895;0.04065;3.91021
2009.01.12;0;0.15647;0.03765;4.15591
2009.01.13;1;0.14978;0.02205;6.79274
2009.01.14;2;0.16240;0.03825;4.24575
2009.01.15;3;0.16635;0.02405;6.91684
2009.01.16;4;0.17810;0.02995;5.94658
2009.01.19;0;0.13945;0.02085;6.68825
2009.01.20;1;0.17310;0.01985;8.72040
2009.01.21;2;0.18465;0.02040;9.05147
2009.01.22;3;0.15180;0.02435;6.23409
2009.01.23;4;0.17191;0.04015;4.28169
2009.01.26;0;0.17344;0.03810;4.55223
2009.01.27;1;0.15600;0.01720;9.06977
2009.01.28;2;0.17847;0.03760;4.74654
2009.01.29;3;0.13413;0.02410;5.56556
2009.01.30;4;0.15125;0.02920;5.17979
2009.02.02;0;0.13207;0.03965;3.33090
2009.02.03;1;0.12292;0.01720;7.14651
2009.02.04;2;0.13571;0.03607;3.76241
2009.02.05;3;0.14925;0.01980;7.53788
2009.02.06;4;0.14527;0.03573;4.06577
2009.02.09;0;0.12820;0.02535;5.05720
2009.02.10;1;0.16178;0.04025;4.01938
2009.02.11;2;0.15038;0.02805;5.36114
2009.02.12;3;0.12837;0.02190;5.86164
2009.02.13;4;0.14731;0.02330;6.32232
2009.02.16;0;0.11083;0.01420;7.80493
2009.02.17;1;0.13634;0.02230;6.11390
2009.02.18;2;0.11123;0.01840;6.04511
2009.02.19;3;0.10595;0.02041;5.19108
2009.02.20;4;0.12831;0.03115;4.11910
2009.02.23;0;0.14805;0.02755;5.37387
2009.02.24;1;0.12165;0.02145;5.67133
2009.02.25;2;0.13068;0.01390;9.40144
2009.02.26;3;0.11549;0.01865;6.19249
2009.02.27;4;0.12780;0.02885;4.42981
2009.03.02;0;0.12542;0.02500;5.01680
2009.03.03;1;0.12991;0.01820;7.13791
2009.03.04;2;0.11911;0.01845;6.45583
2009.03.05;3;0.10487;0.01755;5.97550
2009.03.06;4;0.12290;0.02065;5.95157
2009.03.08;6;0.00424;0.00424;1.00000
2009.03.09;0;0.10883;0.02045;5.32176
2009.03.10;1;0.12450;0.02320;5.36638
2009.03.11;2;0.11920;0.02985;3.99330
2009.03.12;3;0.12964;0.01495;8.67157
2009.03.13;4;0.12981;0.02230;5.82108
2009.03.15;6;0.00365;0.00365;1.00000
