Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.05431;0.01526;3.55898
2009.01.02;4;0.09660;0.02444;3.95254
2009.01.05;0;0.10772;0.02165;4.97552
2009.01.06;1;0.08792;0.01650;5.32848
2009.01.07;2;0.09655;0.01660;5.81627
2009.01.08;3;0.07528;0.01095;6.87489
2009.01.09;4;0.07035;0.01355;5.19188
2009.01.12;0;0.07844;0.01805;4.34571
2009.01.13;1;0.06904;0.01670;4.13413
2009.01.14;2;0.07895;0.01815;4.34986
2009.01.15;3;0.09919;0.01385;7.16173
2009.01.16;4;0.08423;0.01430;5.89021
2009.01.19;0;0.07822;0.01255;6.23267
2009.01.20;1;0.08005;0.01025;7.80976
2009.01.21;2;0.11261;0.03180;3.54119
2009.01.22;3;0.11076;0.01825;6.06904
2009.01.23;4;0.09147;0.01420;6.44155
2009.01.26;0;0.09323;0.01610;5.79068
2009.01.27;1;0.08485;0.01245;6.81526
2009.01.28;2;0.08275;0.01645;5.03040
2009.01.29;3;0.08246;0.02770;2.97690
2009.01.30;4;0.10394;0.01695;6.13215
2009.02.02;0;0.07043;0.01300;5.41769
2009.02.03;1;0.07658;0.01495;5.12241
2009.02.04;2;0.07225;0.00800;9.03125
2009.02.05;3;0.06880;0.01310;5.25191
2009.02.06;4;0.06741;0.01275;5.28706
2009.02.09;0;0.06918;0.01635;4.23119
2009.02.10;1;0.10005;0.02420;4.13430
2009.02.11;2;0.06579;0.00975;6.74769
2009.02.12;3;0.07550;0.01015;7.43842
2009.02.13;4;0.06490;0.00805;8.06211
2009.02.16;0;0.05715;0.01000;5.71500
2009.02.17;1;0.07088;0.01585;4.47192
2009.02.18;2;0.06750;0.01445;4.67128
2009.02.19;3;0.06535;0.01925;3.39481
2009.02.20;4;0.08945;0.02305;3.88069
2009.02.23;0;0.07828;0.01380;5.67246
2009.02.24;1;0.07292;0.01475;4.94373
2009.02.25;2;0.07452;0.01240;6.00968
2009.02.26;3;0.06137;0.00900;6.81889
2009.02.27;4;0.07198;0.01155;6.23203
2009.03.02;0;0.06085;0.00784;7.76148
2009.03.03;1;0.06128;0.01275;4.80627
2009.03.04;2;0.05836;0.01085;5.37880
2009.03.05;3;0.06240;0.01250;4.99200
2009.03.06;4;0.08378;0.01200;6.98167
2009.03.08;6;0.00243;0.00243;1.00000
2009.03.09;0;0.07595;0.01205;6.30290
2009.03.10;1;0.08259;0.01465;5.63754
2009.03.11;2;0.06573;0.01178;5.57980
2009.03.12;3;0.12296;0.05840;2.10548
2009.03.13;4;0.09010;0.01370;6.57664
2009.03.15;6;0.00235;0.00235;1.00000
2009.03.16;0;0.06968;0.01610;4.32795
2009.03.17;1;0.06344;0.01275;4.97569
2009.03.18;2;0.07757;0.01505;5.15415
2009.03.19;3;0.08355;0.01060;7.88208
2009.03.20;4;0.06612;0.01346;4.91233
2009.03.22;6;0.00150;0.00150;1.00000
2009.03.23;0;0.06411;0.00895;7.16313
2009.03.24;1;0.06442;0.01525;4.22426
2009.03.25;2;0.05987;0.00700;8.55286
2009.03.26;3;0.06020;0.00935;6.43850
2009.03.27;4;0.06058;0.01280;4.73281
2009.03.30;0;0.06427;0.00835;7.69701
2009.03.31;1;0.06168;0.01040;5.93077
2009.04.01;2;0.06502;0.01265;5.13992
2009.04.02;3;0.05917;0.01215;4.86996
2009.04.03;4;0.05602;0.00750;7.46933
2009.04.06;0;0.05263;0.00845;6.22840
2009.04.07;1;0.05910;0.00917;6.44493
2009.04.08;2;0.05394;0.01280;4.21406
2009.04.09;3;0.05482;0.00640;8.56562
2009.04.10;4;0.03633;0.00382;9.51047
2009.04.13;0;0.04638;0.01075;4.31442
2009.04.14;1;0.05216;0.01022;5.10372
2009.04.15;2;0.05217;0.00787;6.62897
2009.04.16;3;0.05098;0.00730;6.98356
2009.04.17;4;0.05460;0.01435;3.80488
2009.04.20;0;0.04207;0.01220;3.44836
2009.04.21;1;0.04562;0.00670;6.80896
2009.04.22;2;0.04789;0.00740;6.47162
2009.04.23;3;0.05170;0.01185;4.36287
2009.04.24;4;0.04860;0.00700;6.94286
2009.04.27;0;0.05523;0.00640;8.62969
2009.04.28;1;0.04590;0.00533;8.61163
2009.04.29;2;0.05349;0.00992;5.39214
2009.04.30;3;0.05526;0.00786;7.03053
2009.05.01;4;0.04812;0.00665;7.23609
2009.05.04;0;0.04617;0.00555;8.31892
2009.05.05;1;0.04696;0.00785;5.98217
2009.05.06;2;0.04840;0.00535;9.04673
2009.05.07;3;0.04783;0.00991;4.82644
2009.05.08;4;0.04950;0.00980;5.05102
2009.05.11;0;0.04095;0.00554;7.39170
2009.05.12;1;0.03416;0.00386;8.84974
2009.05.13;2;0.03562;0.00520;6.85000
2009.05.14;3;0.04029;0.00515;7.82330
2009.05.15;4;0.04694;0.01370;3.42628
2009.05.18;0;0.04075;0.00585;6.96581
2009.05.19;1;0.03511;0.00669;5.24813
2009.05.20;2;0.03762;0.00805;4.67329
2009.05.21;3;0.04819;0.00845;5.70296
2009.05.22;4;0.04352;0.00549;7.92714
2009.05.25;0;0.03875;0.00553;7.00723
2009.05.26;1;0.03384;0.00565;5.98938
2009.05.27;2;0.03260;0.00676;4.82249
2009.05.28;3;0.03944;0.00490;8.04898
2009.05.29;4;0.04346;0.00835;5.20479
2009.06.01;0;0.04189;0.01200;3.49083
2009.06.02;1;0.04266;0.00770;5.54026
2009.06.03;2;0.03889;0.00865;4.49595
2009.06.04;3;0.04285;0.00695;6.16547
2009.06.05;4;0.04591;0.00849;5.40754
2009.06.08;0;0.03812;0.00580;6.57241
2009.06.09;1;0.03034;0.00365;8.31233
2009.06.10;2;0.03431;0.00735;4.66803
2009.06.11;3;0.03183;0.00510;6.24118
2009.06.12;4;0.03303;0.00450;7.34000
2009.06.15;0;0.04223;0.00776;5.44201
2009.06.16;1;0.03673;0.00362;10.14641
2009.06.17;2;0.03743;0.00686;5.45627
2009.06.18;3;0.07291;0.01428;5.10574
2009.06.19;4;0.03158;0.00674;4.68546
2009.06.22;0;0.02981;0.00280;10.64643
2009.06.23;1;0.02779;0.00465;5.97634
2009.06.24;2;0.08528;0.03723;2.29063
2009.06.25;3;0.06550;0.01248;5.24840
2009.06.26;4;0.05440;0.01149;4.73455
2009.06.29;0;0.04291;0.00700;6.13000
2009.06.30;1;0.03485;0.00440;7.92045
2009.07.01;2;0.03122;0.00595;5.24706
2009.07.02;3;0.03363;0.00705;4.77021
2009.07.03;4;0.03658;0.00773;4.73221
2009.07.06;0;0.02771;0.00575;4.81913
2009.07.07;1;0.03122;0.00485;6.43711
2009.07.08;2;0.03105;0.00485;6.40206
2009.07.09;3;0.03583;0.00660;5.42879
2009.07.10;4;0.03704;0.00520;7.12308
2009.07.13;0;0.02922;0.00350;8.34857
2009.07.14;1;0.03205;0.00917;3.49509
2009.07.15;2;0.03253;0.00690;4.71449
2009.07.16;3;0.02723;0.00420;6.48333
2009.07.17;4;0.03032;0.00540;5.61481
2009.07.20;0;0.03444;0.00420;8.20000
2009.07.21;1;0.02720;0.00590;4.61017
2009.07.22;2;0.02379;0.00342;6.95614
2009.07.23;3;0.03708;0.00985;3.76447
2009.07.24;4;0.03190;0.00490;6.51020
2009.07.27;0;0.02560;0.00413;6.19855
2009.07.28;1;0.02669;0.00480;5.56042
2009.07.29;2;0.03379;0.00620;5.45000
2009.07.30;3;0.02944;0.00771;3.81842
2009.07.31;4;0.04098;0.01335;3.06966
2009.08.03;0;0.04106;0.00575;7.14087
2009.08.04;1;0.03595;0.00635;5.66142
2009.08.05;2;0.02927;0.00590;4.96102
2009.08.06;3;0.02642;0.00430;6.14419
2009.08.07;4;0.04239;0.01217;3.48316
2009.08.10;0;0.02734;0.00332;8.23494
2009.08.11;1;0.02811;0.00695;4.04460
2009.08.12;2;0.03308;0.00470;7.03830
2009.08.13;3;0.03216;0.00635;5.06457
2009.08.14;4;0.02968;0.00848;3.50000
2009.08.17;0;0.03424;0.00640;5.35000
2009.08.18;1;0.02683;0.00490;5.47551
2009.08.19;2;0.03055;0.00760;4.01974
2009.08.20;3;0.02572;0.00436;5.89908
2009.08.21;4;0.03299;0.00540;6.10926
2009.08.24;0;0.02897;0.00596;4.86074
2009.08.25;1;0.02668;0.00440;6.06364
2009.08.26;2;0.02867;0.00663;4.32428
2009.08.27;3;0.03096;0.00845;3.66391
2009.08.28;4;0.02614;0.00670;3.90149
2009.08.31;0;0.02292;0.00401;5.71571
2009.09.01;1;0.02565;0.00350;7.32857
2009.09.02;2;0.02891;0.00630;4.58889
2009.09.03;3;0.02517;0.00320;7.86563
2009.09.04;4;0.02955;0.00478;6.18201
2009.09.07;0;0.02626;0.00405;6.48395
2009.09.08;1;0.02851;0.00540;5.27963
2009.09.09;2;0.01931;0.00257;7.51362
2009.09.10;3;0.02668;0.00625;4.26880
2009.09.11;4;0.01889;0.00291;6.49141
2009.09.14;0;0.02489;0.00322;7.72981
2009.09.15;1;0.02406;0.00570;4.22105
2009.09.16;2;0.02385;0.00375;6.36000
2009.09.17;3;0.02954;0.00875;3.37600
2009.09.18;4;0.02135;0.00355;6.01408
2009.09.21;0;0.02678;0.00573;4.67365
2009.09.22;1;0.02058;0.00235;8.75745
2009.09.23;2;0.02300;0.00305;7.54098
2009.09.24;3;0.02993;0.00515;5.81165
2009.09.25;4;0.03138;0.00535;5.86542
2009.09.28;0;0.02971;0.00400;7.42750
2009.09.29;1;0.02265;0.00410;5.52439
2009.09.30;2;0.04399;0.01640;2.68232
2009.10.01;3;0.02712;0.00625;4.33920
2009.10.02;4;0.02284;0.00585;3.90427
2009.10.05;0;0.02258;0.00473;4.77378
2009.10.06;1;0.02160;0.00305;7.08197
2009.10.07;2;0.02380;0.00696;3.41954
2009.10.08;3;0.02299;0.00325;7.07385
2009.10.09;4;0.02064;0.00252;8.19048
2009.10.12;0;0.02234;0.00440;5.07727
2009.10.13;1;0.01816;0.00290;6.26207
2009.10.14;2;0.01896;0.00435;4.35862
2009.10.15;3;0.02155;0.00475;4.53684
2009.10.16;4;0.02254;0.00340;6.62941
2009.10.19;0;0.02342;0.00501;4.67465
2009.10.20;1;0.01886;0.00280;6.73571
2009.10.21;2;0.02199;0.00305;7.20984
2009.10.22;3;0.02354;0.00470;5.00851
2009.10.23;4;0.02448;0.00541;4.52495
2009.10.25;6;0.00152;0.00152;1.00000
2009.10.26;0;0.02450;0.00321;7.63240
2009.10.27;1;0.02140;0.00415;5.15663
2009.10.28;2;0.01580;0.00306;5.16340
2009.10.29;3;0.01724;0.00164;10.51220
2009.10.30;4;0.03131;0.00920;3.40326
2009.11.02;0;0.01800;0.00230;7.82609
2009.11.03;1;0.02048;0.00401;5.10723
2009.11.04;2;0.01790;0.00285;6.28070
2009.11.05;3;0.01875;0.00320;5.85937
2009.11.06;4;0.01790;0.00335;5.34328
2009.11.09;0;0.01568;0.00247;6.34818
2009.11.10;1;0.01368;0.00200;6.84000
2009.11.11;2;0.01219;0.00125;9.75200
2009.11.12;3;0.01522;0.00182;8.36264
2009.11.13;4;0.01352;0.00300;4.50667
2009.11.16;0;0.01613;0.00251;6.42629
2009.11.17;1;0.01778;0.00415;4.28434
2009.11.18;2;0.01560;0.00178;8.76404
2009.11.19;3;0.01665;0.00420;3.96429
2009.11.20;4;0.01772;0.00274;6.46715
2009.11.23;0;0.01462;0.00270;5.41481
2009.11.24;1;0.01296;0.00215;6.02791
2009.11.25;2;0.01602;0.00240;6.67500
2009.11.26;3;0.04589;0.01215;3.77695
2009.11.27;4;0.04052;0.00605;6.69752
2009.11.30;0;0.02815;0.00440;6.39773
2009.12.01;1;0.02226;0.00260;8.56154
2009.12.02;2;0.01504;0.00175;8.59429
2009.12.03;3;0.01665;0.00245;6.79592
2009.12.04;4;0.02324;0.00545;4.26422
2009.12.07;0;0.02033;0.00340;5.97941
2009.12.08;1;0.01876;0.00267;7.02622
2009.12.09;2;0.01465;0.00250;5.86000
2009.12.10;3;0.01824;0.00250;7.29600
2009.12.11;4;0.01918;0.00282;6.80142
2009.12.14;0;0.01876;0.00300;6.25333
2009.12.15;1;0.01680;0.00220;7.63636
2009.12.16;2;0.02184;0.00550;3.97091
2009.12.17;3;0.02820;0.00880;3.20455
2009.12.18;4;0.04805;0.01185;4.05485
2009.12.21;0;0.04535;0.00975;4.65128
2009.12.22;1;0.03242;0.00635;5.10551
2009.12.23;2;0.03343;0.00835;4.00359
2009.12.24;3;0.03247;0.00435;7.46437
2009.12.25;4;0.04025;0.00670;6.00746
2009.12.28;0;0.03298;0.00456;7.23246
2009.12.29;1;0.03307;0.00505;6.54851
2009.12.30;2;0.02817;0.00365;7.71781
2009.12.31;3;0.03302;0.00600;5.50333
2010.01.01;4;0.04502;0.00386;11.66321
2010.01.04;0;0.03974;0.00815;4.87607
2010.01.05;1;0.02991;0.00495;6.04242
2010.01.06;2;0.03303;0.00650;5.08154
2010.01.07;3;0.04020;0.00755;5.32450
2010.01.08;4;0.03033;0.00855;3.54737
2010.01.11;0;0.03831;0.00725;5.28414
2010.01.12;1;0.02669;0.00345;7.73623
2010.01.13;2;0.02622;0.00565;4.64071
2010.01.14;3;0.02442;0.00540;4.52222
2010.01.15;4;0.02886;0.00395;7.30633
2010.01.18;0;0.02436;0.00405;6.01481
2010.01.19;1;0.02752;0.00462;5.95671
2010.01.20;2;0.02544;0.00470;5.41277
2010.01.21;3;0.02910;0.00660;4.40909
2010.01.22;4;0.04018;0.00720;5.58056
2010.01.25;0;0.02485;0.00388;6.40464
2010.01.26;1;0.02592;0.00360;7.20000
2010.01.27;2;0.02770;0.00300;9.23333
2010.01.28;3;0.03068;0.00480;6.39167
2010.01.29;4;0.04570;0.01290;3.54264
2010.02.01;0;0.02975;0.00400;7.43750
2010.02.02;1;0.02678;0.00380;7.04737
2010.02.03;2;0.02238;0.00420;5.32857
2010.02.04;3;0.02333;0.00830;2.81084
2010.02.05;4;0.07960;0.02545;3.12770
2010.02.08;0;0.03390;0.00460;7.36957
2010.02.09;1;0.03500;0.00475;7.36842
2010.02.10;2;0.02535;0.00385;6.58442
2010.02.11;3;0.01960;0.00220;8.90909
2010.02.12;4;0.03554;0.00665;5.34436
2010.02.15;0;0.02176;0.00307;7.08795
2010.02.16;1;0.02221;0.00386;5.75389
2010.02.17;2;0.02291;0.00296;7.73986
2010.02.18;3;0.02951;0.00430;6.86279
2010.02.19;4;0.03160;0.00360;8.77778
2010.02.22;0;0.01925;0.00345;5.57971
2010.02.23;1;0.03167;0.00670;4.72687
2010.02.24;2;0.01741;0.00255;6.82745
2010.02.25;3;0.02137;0.00215;9.93953
2010.02.26;4;0.01704;0.00187;9.11230
2010.03.01;0;0.01670;0.00270;6.18519
2010.03.02;1;0.01713;0.00320;5.35313
2010.03.03;2;0.01364;0.00163;8.36810
2010.03.04;3;0.01177;0.00157;7.49682
2010.03.05;4;0.00963;0.00097;9.92784
2010.03.08;0;0.01081;0.00130;8.31538
2010.03.09;1;0.01269;0.00199;6.37688
2010.03.10;2;0.01594;0.00218;7.31193
2010.03.11;3;0.01773;0.00280;6.33214
2010.03.12;4;0.02220;0.00640;3.46875
2010.03.14;6;0.00108;0.00108;1.00000
2010.03.15;0;0.02204;0.00710;3.10423
2010.03.16;1;0.02225;0.00225;9.88889
2010.03.17;2;0.02347;0.00595;3.94454
2010.03.18;3;0.03570;0.01320;2.70455
2010.03.19;4;0.03422;0.00870;3.93333
2010.03.21;6;0.00174;0.00174;1.00000
2010.03.22;0;0.03732;0.00630;5.92381
2010.03.23;1;0.03640;0.01100;3.30909
2010.03.24;2;0.03993;0.00755;5.28874
2010.03.25;3;0.03308;0.00445;7.43371
2010.03.26;4;0.03304;0.00600;5.50667
2010.03.29;0;0.03292;0.00965;3.41140
2010.03.30;1;0.02467;0.00380;6.49211
2010.03.31;2;0.03370;0.01135;2.96916
2010.04.01;3;0.06467;0.02660;2.43120
2010.04.02;4;0.03131;0.00400;7.82750
2010.04.05;0;0.02338;0.00255;9.16863
2010.04.06;1;0.01020;0.00125;8.16000
2010.04.07;2;0.01362;0.00365;3.73151
2010.04.08;3;0.01508;0.00213;7.07981
2010.04.09;4;0.02666;0.00690;3.86377
2010.04.12;0;0.04600;0.00875;5.25714
2010.04.13;1;0.03339;0.00815;4.09693
2010.04.14;2;0.02808;0.00485;5.78969
2010.04.15;3;0.02615;0.00400;6.53750
2010.04.16;4;0.01613;0.00217;7.43318
2010.04.19;0;0.02174;0.00411;5.28954
2010.04.20;1;0.02111;0.00320;6.59688
2010.04.21;2;0.02277;0.00680;3.34853
2010.04.22;3;0.01486;0.00242;6.14050
2010.04.23;4;0.02183;0.00437;4.99542
2010.04.26;0;0.02310;0.00280;8.25000
2010.04.27;1;0.02857;0.00411;6.95134
2010.04.28;2;0.01698;0.00264;6.43182
2010.04.29;3;0.01961;0.00225;8.71556
2010.04.30;4;0.01779;0.00325;5.47385
2010.05.03;0;0.01454;0.00232;6.26724
2010.05.04;1;0.00984;0.00296;3.32432
2010.05.05;2;0.00840;0.00195;4.30769
2010.05.06;3;0.07544;0.03420;2.20585
2010.05.07;4;0.09280;0.01380;6.72464
2010.05.10;0;0.08555;0.01580;5.41456
2010.05.11;1;0.06740;0.01645;4.09726
2010.05.12;2;0.05060;0.01005;5.03483
2010.05.13;3;0.03883;0.00740;5.24730
2010.05.14;4;0.02477;0.00312;7.93910
