Date;Day of week;SumHL;DayHL;SumHL / DayHL
2017.01.02;0;1.29760;0.14630;8.86945
2017.01.03;1;0.78610;0.11430;6.87752
2017.01.04;2;0.57610;0.04460;12.91704
2017.01.05;3;0.58390;0.06280;9.29777
2017.01.06;4;0.56270;0.04430;12.70203
2017.01.09;0;0.60650;0.09270;6.54261
2017.01.10;1;0.54020;0.04300;12.56279
2017.01.11;2;0.63620;0.06020;10.56811
2017.01.12;3;0.60720;0.06390;9.50235
2017.01.13;4;0.59840;0.04400;13.60000
2017.01.16;0;0.94470;0.16170;5.84230
2017.01.17;1;0.71750;0.14990;4.78652
2017.01.18;2;0.70350;0.06060;11.60891
2017.01.19;3;0.65560;0.08890;7.37458
2017.01.20;4;0.64390;0.08080;7.96906
2017.01.23;0;0.74550;0.18480;4.03409
2017.01.24;1;0.53950;0.04430;12.17833
2017.01.25;2;0.59870;0.04100;14.60244
2017.01.26;3;0.57470;0.04060;14.15517
2017.01.27;4;0.64890;0.05140;12.62451
2017.01.30;0;1.19630;0.14390;8.31341
2017.01.31;1;0.60780;0.04130;14.71671
2017.02.01;2;0.64220;0.04920;13.05285
2017.02.02;3;0.60740;0.04540;13.37885
2017.02.03;4;0.64210;0.06570;9.77321
2017.02.06;0;0.65520;0.07240;9.04972
2017.02.07;1;0.59790;0.04630;12.91361
2017.02.08;2;0.61070;0.04330;14.10393
2017.02.09;3;0.64830;0.05750;11.27478
2017.02.10;4;0.68500;0.09130;7.50274
2017.02.13;0;0.85150;0.07920;10.75126
2017.02.14;1;0.75350;0.15160;4.97032
2017.02.15;2;0.67480;0.06230;10.83146
2017.02.16;3;0.66200;0.05340;12.39700
2017.02.17;4;1.00960;0.18180;5.55336
2017.02.20;0;0.69470;0.07810;8.89501
2017.02.21;1;0.80900;0.14490;5.58316
2017.02.22;2;0.83060;0.08670;9.58016
2017.02.23;3;0.91420;0.14170;6.45166
2017.02.24;4;0.73170;0.13980;5.23391
2017.02.27;0;0.57480;0.09020;6.37251
2017.02.28;1;0.54480;0.04990;10.91784
2017.03.01;2;0.07500;0.03840;1.95313
2017.03.02;3;0.00000;0.00000;0.00000
2017.03.03;4;0.00000;0.00000;0.00000
2017.03.06;0;0.31240;0.05610;5.56863
2017.03.07;1;0.23380;0.02990;7.81940
2017.03.08;2;0.31590;0.07760;4.07088
2017.03.09;3;0.33570;0.04600;7.29783
2017.03.10;4;0.53080;0.04210;12.60808
2017.03.12;6;0.08940;0.08940;1.00000
2017.03.13;0;0.32780;0.05120;6.40234
2017.03.14;1;0.31340;0.02550;12.29020
2017.03.15;2;0.41960;0.08830;4.75198
2017.03.16;3;0.62740;0.06090;10.30213
2017.03.17;4;0.59650;0.05520;10.80616
2017.03.19;6;0.06000;0.06000;1.00000
2017.03.20;0;0.31010;0.04930;6.29006
2017.03.21;1;0.25010;0.03280;7.62500
2017.03.22;2;0.26800;0.03570;7.50700
2017.03.23;3;0.25150;0.02800;8.98214
2017.03.24;4;0.30200;0.05950;5.07563
2017.03.27;0;0.19450;0.04670;4.16488
2017.03.28;1;0.23370;0.02290;10.20524
2017.03.29;2;0.29520;0.04810;6.13721
2017.03.30;3;0.89870;0.25320;3.54937
2017.03.31;4;0.88770;0.28120;3.15683
2017.04.03;0;0.52350;0.07700;6.79870
2017.04.04;1;0.72310;0.10170;7.11013
2017.04.05;2;0.54590;0.07470;7.30790
2017.04.06;3;1.89260;0.61580;3.07340
2017.04.07;4;1.28600;0.22100;5.81900
2017.04.10;0;1.11750;0.21890;5.10507
2017.04.11;1;1.44680;0.20040;7.21956
2017.04.12;2;1.00210;0.12010;8.34388
2017.04.13;3;0.80690;0.09860;8.18357
2017.04.14;4;0.92670;0.12440;7.44936
2017.04.17;0;1.01190;0.10020;10.09880
2017.04.18;1;1.28810;0.28040;4.59379
2017.04.19;2;0.89600;0.16220;5.52404
2017.04.20;3;1.19160;0.21910;5.43861
2017.04.21;4;1.15360;0.17580;6.56200
2017.04.24;0;1.42600;0.18470;7.72063
2017.04.25;1;1.27350;0.13580;9.37776
2017.04.26;2;1.12090;0.18340;6.11178
2017.04.27;3;1.03110;0.20990;4.91234
2017.04.28;4;1.28430;0.23470;5.47209
2017.05.01;0;0.87900;0.10940;8.03473
2017.05.02;1;0.93210;0.23430;3.97823
2017.05.03;2;1.14410;0.22250;5.14202
2017.05.04;3;1.01580;0.21000;4.83714
2017.05.05;4;0.97740;0.15660;6.24138
2017.05.08;0;1.05230;0.16400;6.41646
2017.05.09;1;0.79360;0.10260;7.73489
2017.05.10;2;1.00710;0.16870;5.96977
2017.05.11;3;0.99620;0.15850;6.28517
2017.05.12;4;0.76640;0.10360;7.39768
2017.05.15;0;0.84280;0.17180;4.90570
2017.05.16;1;1.25070;0.17150;7.29271
2017.05.17;2;1.18250;0.21740;5.43928
2017.05.18;3;1.63800;0.30930;5.29583
2017.05.19;4;1.18780;0.14500;8.19172
2017.05.22;0;1.13760;0.16310;6.97486
2017.05.23;1;1.05350;0.14280;7.37745
2017.05.24;2;0.98690;0.17480;5.64588
2017.05.25;3;0.87950;0.10580;8.31285
2017.05.26;4;0.79440;0.08380;9.47971
2017.05.29;0;0.90660;0.13250;6.84226
2017.05.30;1;0.88840;0.10420;8.52591
2017.05.31;2;1.04550;0.17490;5.97770
