Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.12545;0.02727;4.60029
2009.01.02;4;0.12172;0.01668;7.29736
2009.01.05;0;0.09519;0.01218;7.81527
2009.01.06;1;0.09999;0.01214;8.23641
2009.01.07;2;0.09664;0.01184;8.16216
2009.01.08;3;0.11069;0.01266;8.74329
2009.01.09;4;0.14206;0.02024;7.01877
2009.01.12;0;0.09972;0.01426;6.99299
2009.01.13;1;0.09185;0.00929;9.88698
2009.01.14;2;0.09989;0.00998;10.00902
2009.01.15;3;0.10618;0.01445;7.34810
2009.01.16;4;0.10042;0.01028;9.76848
2009.01.19;0;0.08524;0.00777;10.97040
2009.01.20;1;0.09250;0.00950;9.73684
2009.01.21;2;0.12217;0.02277;5.36539
2009.01.22;3;0.11231;0.01272;8.82940
2009.01.23;4;0.10641;0.01335;7.97079
2009.01.26;0;0.09832;0.00878;11.19818
2009.01.27;1;0.10380;0.01286;8.07154
2009.01.28;2;0.07445;0.00817;9.11261
2009.01.29;3;0.08786;0.00968;9.07645
2009.01.30;4;0.10982;0.01932;5.68427
2009.02.02;0;0.08513;0.00785;10.84459
2009.02.03;1;0.08014;0.00880;9.10682
2009.02.04;2;0.08000;0.00668;11.97605
2009.02.05;3;0.07839;0.00766;10.23368
2009.02.06;4;0.09412;0.01593;5.90835
2009.02.09;0;0.07615;0.00726;10.48898
2009.02.10;1;0.08865;0.01613;5.49597
2009.02.11;2;0.09063;0.00799;11.34293
2009.02.12;3;0.07818;0.00642;12.17757
2009.02.13;4;0.09507;0.01285;7.39844
2009.02.16;0;0.09575;0.00746;12.83512
2009.02.17;1;0.08648;0.01240;6.97419
2009.02.18;2;0.08317;0.00908;9.15969
2009.02.19;3;0.07997;0.00890;8.98539
2009.02.20;4;0.09547;0.00844;11.31161
2009.02.23;0;0.08981;0.01041;8.62728
2009.02.24;1;0.07673;0.00915;8.38579
2009.02.25;2;0.08755;0.01268;6.90457
2009.02.26;3;0.09126;0.00897;10.17391
2009.02.27;4;0.09088;0.00858;10.59207
2009.03.02;0;0.08972;0.01510;5.94172
2009.03.03;1;0.08824;0.01009;8.74529
2009.03.04;2;0.07705;0.00885;8.70621
2009.03.05;3;0.08971;0.00943;9.51326
2009.03.06;4;0.09522;0.01504;6.33112
2009.03.08;6;0.00441;0.00441;1.00000
2009.03.09;0;0.08391;0.00762;11.01181
2009.03.10;1;0.08573;0.01192;7.19211
2009.03.11;2;0.08262;0.00558;14.80645
2009.03.12;3;0.08423;0.01227;6.86471
2009.03.13;4;0.07937;0.00894;8.87808
2009.03.15;6;0.00438;0.00438;1.00000
2009.03.16;0;0.08133;0.00898;9.05679
2009.03.17;1;0.09372;0.01402;6.68474
2009.03.18;2;0.10821;0.02241;4.82865
2009.03.19;3;0.08650;0.00815;10.61350
2009.03.20;4;0.09910;0.00929;10.66738
2009.03.22;6;0.00194;0.00194;1.00000
2009.03.23;0;0.07876;0.00684;11.51462
2009.03.24;1;0.07091;0.00622;11.40032
2009.03.25;2;0.08036;0.00822;9.77616
2009.03.26;3;0.07835;0.00738;10.61653
2009.03.27;4;0.08536;0.00903;9.45293
2009.03.30;0;0.07827;0.00849;9.21908
2009.03.31;1;0.07908;0.00783;10.09962
2009.04.01;2;0.07934;0.00832;9.53606
2009.04.02;3;0.08588;0.01068;8.04120
2009.04.03;4;0.07917;0.00798;9.92105
2009.04.06;0;0.07156;0.00722;9.91136
2009.04.07;1;0.06887;0.00591;11.65313
2009.04.08;2;0.07089;0.00571;12.41506
2009.04.09;3;0.08846;0.00704;12.56534
2009.04.10;4;0.08763;0.00611;14.34206
2009.04.13;0;0.07272;0.00840;8.65714
2009.04.14;1;0.08172;0.00748;10.92513
2009.04.15;2;0.07531;0.00757;9.94848
2009.04.16;3;0.07089;0.00620;11.43387
2009.04.17;4;0.07309;0.00621;11.76973
2009.04.20;0;0.07704;0.00735;10.48163
2009.04.21;1;0.07670;0.00596;12.86913
2009.04.22;2;0.08485;0.00601;14.11814
2009.04.23;3;0.07052;0.00505;13.96436
2009.04.24;4;0.09354;0.01062;8.80791
2009.04.27;0;0.07342;0.00768;9.55990
2009.04.28;1;0.08133;0.00592;13.73818
2009.04.29;2;0.08587;0.01049;8.18589
2009.04.30;3;0.08183;0.00669;12.23169
2009.05.01;4;0.07971;0.00561;14.20856
2009.05.04;0;0.09675;0.01158;8.35492
2009.05.05;1;0.07866;0.00619;12.70759
