Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04921;0.01032;4.76841
2009.01.02;4;0.10299;0.02130;4.83521
2009.01.05;0;0.10426;0.04030;2.58710
2009.01.06;1;0.10005;0.02770;3.61191
2009.01.07;2;0.09730;0.02140;4.54673
2009.01.08;3;0.08660;0.01700;5.09412
2009.01.09;4;0.07265;0.02085;3.48441
2009.01.12;0;0.08025;0.01695;4.73451
2009.01.13;1;0.07468;0.01395;5.35341
2009.01.14;2;0.07685;0.01500;5.12333
2009.01.15;3;0.07155;0.01095;6.53425
2009.01.16;4;0.07535;0.02005;3.75810
2009.01.19;0;0.07415;0.01290;5.74806
2009.01.20;1;0.10312;0.02670;3.86217
2009.01.21;2;0.09895;0.01680;5.88988
2009.01.22;3;0.08290;0.01530;5.41830
2009.01.23;4;0.09071;0.01365;6.64542
2009.01.26;0;0.09929;0.01810;5.48564
2009.01.27;1;0.07575;0.01730;4.37861
2009.01.28;2;0.07876;0.01445;5.45052
2009.01.29;3;0.07495;0.02455;3.05295
2009.01.30;4;0.08272;0.02810;2.94377
2009.02.02;0;0.08848;0.02685;3.29534
2009.02.03;1;0.06580;0.00945;6.96296
2009.02.04;2;0.06745;0.02310;2.91991
2009.02.05;3;0.07380;0.01980;3.72727
2009.02.06;4;0.06960;0.01305;5.33333
2009.02.09;0;0.06431;0.00990;6.49596
2009.02.10;1;0.07620;0.02625;2.90286
2009.02.11;2;0.08347;0.01720;4.85291
2009.02.12;3;0.06791;0.01275;5.32627
2009.02.13;4;0.07670;0.01960;3.91327
2009.02.16;0;0.05917;0.00855;6.92047
2009.02.17;1;0.06101;0.01470;4.15034
2009.02.18;2;0.05496;0.01205;4.56100
2009.02.19;3;0.05575;0.01160;4.80603
2009.02.20;4;0.06340;0.01230;5.15447
2009.02.23;0;0.06804;0.01790;3.80112
2009.02.24;1;0.05980;0.01565;3.82109
2009.02.25;2;0.05985;0.01655;3.61631
2009.02.26;3;0.05509;0.01130;4.87522
