Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.03590;0.01695;2.11799
2009.01.02;4;0.91532;0.14955;6.12049
2009.01.05;0;1.09752;0.32174;3.41120
2009.01.06;1;1.06307;0.26825;3.96298
2009.01.07;2;1.10182;0.24525;4.49264
2009.01.08;3;1.07758;0.20335;5.29914
2009.01.09;4;0.92055;0.24665;3.73221
2009.01.12;0;0.89421;0.14630;6.11217
2009.01.13;1;0.88580;0.17990;4.92385
2009.01.14;2;0.91134;0.18915;4.81808
2009.01.15;3;1.08233;0.16625;6.51026
2009.01.16;4;0.91720;0.17975;5.10264
2009.01.19;0;0.77753;0.24801;3.13508
2009.01.20;1;0.90361;0.19210;4.70385
2009.01.21;2;1.10860;0.20426;5.42740
2009.01.22;3;0.95625;0.13607;7.02763
2009.01.23;4;1.00381;0.20575;4.87878
2009.01.26;0;0.93554;0.27195;3.44012
2009.01.27;1;1.02448;0.15780;6.49227
2009.01.28;2;1.00676;0.16595;6.06665
2009.01.29;3;0.88221;0.19142;4.60877
2009.01.30;4;0.86204;0.15670;5.50121
2009.02.02;0;0.76175;0.15080;5.05139
2009.02.03;1;0.95797;0.19300;4.96358
2009.02.04;2;0.88081;0.20100;4.38214
2009.02.05;3;0.82652;0.11390;7.25654
2009.02.06;4;0.75743;0.19065;3.97288
2009.02.09;0;0.70055;0.16790;4.17242
2009.02.10;1;1.09476;0.20445;5.35466
2009.02.11;2;0.80517;0.12755;6.31258
2009.02.12;3;0.96945;0.17365;5.58278
2009.02.13;4;0.76417;0.09830;7.77386
2009.02.16;0;0.61534;0.07630;8.06474
2009.02.17;1;0.72929;0.18895;3.85970
2009.02.18;2;0.61861;0.09835;6.28988
2009.02.19;3;0.63542;0.17830;3.56377
2009.02.20;4;0.83818;0.24845;3.37364
2009.02.23;0;0.93668;0.23170;4.04264
2009.02.24;1;0.78110;0.16655;4.68988
2009.02.25;2;0.83180;0.16225;5.12666
2009.02.26;3;0.67240;0.10180;6.60511
2009.02.27;4;0.79252;0.11300;7.01345
2009.03.02;0;0.62119;0.07000;8.87414
2009.03.03;1;0.69907;0.12235;5.71369
2009.03.04;2;0.68523;0.16060;4.26669
2009.03.05;3;0.68107;0.14570;4.67447
2009.03.06;4;0.73138;0.17045;4.29088
2009.03.08;6;0.02224;0.02224;1.00000
2009.03.09;0;0.64380;0.13545;4.75305
2009.03.10;1;0.79657;0.19100;4.17052
