Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.32300;2.50300;0.12905
2009.01.02;4;26.51300;3.96400;6.68845
2009.01.05;0;27.57500;3.63600;7.58388
2009.01.06;1;25.06400;3.71500;6.74670
2009.01.07;2;28.37700;6.93800;4.09008
2009.01.08;3;35.69100;8.16700;4.37015
2009.01.09;4;36.53200;6.47000;5.64637
2009.01.12;0;36.53000;7.37900;4.95054
2009.01.13;1;48.90100;11.32600;4.31759
2009.01.14;2;52.58900;9.07000;5.79813
2009.01.15;3;48.99400;5.75000;8.52070
2009.01.16;4;46.79100;8.18000;5.72017
2009.01.19;0;33.66700;8.63600;3.89845
2009.01.20;1;41.46400;6.28100;6.60150
2009.01.21;2;34.42200;5.04300;6.82570
2009.01.22;3;38.58300;6.94700;5.55391
2009.01.23;4;37.67200;8.42400;4.47198
2009.01.26;0;40.84000;6.63500;6.15524
2009.01.27;1;37.51200;5.90200;6.35581
2009.01.28;2;31.65600;4.60400;6.87576
2009.01.29;3;33.12200;6.95700;4.76096
2009.01.30;4;41.57600;9.42600;4.41078
2009.02.02;0;38.15000;5.15300;7.40345
2009.02.03;1;43.33100;9.12000;4.75121
2009.02.04;2;48.00100;10.97800;4.37247
2009.02.05;3;35.75100;8.64000;4.13785
2009.02.06;4;40.72200;6.43300;6.33017
2009.02.09;0;34.49800;6.56000;5.25884
2009.02.10;1;44.76000;7.28000;6.14835
2009.02.11;2;35.11100;5.14600;6.82297
2009.02.12;3;38.12100;6.29000;6.06057
2009.02.13;4;43.46900;7.65100;5.68148
2009.02.16;0;47.41700;7.61100;6.23006
2009.02.17;1;48.41000;6.33500;7.64167
2009.02.18;2;57.82500;8.48800;6.81256
2009.02.19;3;39.13300;6.76200;5.78719
2009.02.20;4;43.08700;4.59300;9.38101
2009.02.23;0;61.86000;12.90900;4.79201
2009.02.24;1;45.82900;8.23700;5.56380
2009.02.25;2;46.25500;8.04000;5.75311
2009.02.26;3;36.80000;5.03700;7.30594
2009.02.27;4;43.82200;7.42000;5.90593
2009.03.02;0;50.12000;10.63200;4.71407
2009.03.03;1;44.57300;5.83300;7.64152
2009.03.04;2;44.33100;6.61900;6.69754
2009.03.05;3;43.90200;11.17800;3.92754
2009.03.06;4;42.61900;5.24300;8.12874
2009.03.08;6;6.53000;6.53000;1.00000
2009.03.09;0;46.29500;6.84100;6.76729
2009.03.10;1;34.59700;7.63700;4.53018
2009.03.11;2;39.96800;7.38000;5.41572
2009.03.12;3;51.69900;15.51700;3.33177
2009.03.13;4;41.17500;7.05500;5.83629
2009.03.15;6;2.29600;2.29600;1.00000
2009.03.16;0;41.33200;5.40000;7.65407
2009.03.17;1;39.78800;7.85300;5.06660
2009.03.18;2;44.59900;7.06800;6.30999
2009.03.19;3;39.60000;7.26900;5.44779
2009.03.20;4;39.00500;7.18300;5.43018
2009.03.22;6;3.83000;3.83000;1.00000
2009.03.23;0;54.51200;7.98900;6.82338
2009.03.24;1;34.61300;4.48900;7.71063
2009.03.25;2;36.59700;5.11800;7.15064
2009.03.26;3;30.98100;4.78900;6.46920
2009.03.27;4;30.05400;4.90400;6.12847
2009.03.30;0;49.48300;8.43000;5.86987
2009.03.31;1;33.10300;4.66400;7.09756
2009.04.01;2;54.20900;8.84600;6.12808
2009.04.02;3;56.87600;14.17300;4.01298
2009.04.03;4;37.15700;5.21500;7.12502
2009.04.06;0;32.97000;5.36200;6.14883
2009.04.07;1;39.52500;5.39300;7.32894
2009.04.08;2;39.15100;7.86200;4.97978
2009.04.09;3;40.78200;7.13600;5.71497
2009.04.10;4;25.66300;4.54600;5.64518
2009.04.13;0;19.97600;2.53200;7.88942
2009.04.14;1;39.29500;5.64400;6.96226
2009.04.15;2;35.61800;3.64800;9.76371
2009.04.16;3;33.18600;5.37000;6.17989
2009.04.17;4;30.69900;6.56800;4.67403
2009.04.20;0;32.16500;5.45400;5.89751
2009.04.21;1;35.89300;6.01800;5.96427
2009.04.22;2;33.90200;3.74500;9.05260
2009.04.23;3;31.38400;4.58700;6.84194
2009.04.24;4;35.21800;7.67500;4.58866
2009.04.27;0;49.56600;5.53600;8.95340
2009.04.28;1;44.83800;6.24800;7.17638
2009.04.29;2;48.52600;6.80800;7.12779
2009.04.30;3;43.01300;4.86000;8.85041
2009.05.01;4;35.68500;4.09700;8.71003
2009.05.04;0;48.21600;5.15300;9.35688
2009.05.05;1;47.16700;5.62800;8.38077
2009.05.06;2;45.47300;4.83800;9.39913
2009.05.07;3;53.64400;8.93000;6.00717
2009.05.08;4;50.87400;4.80600;10.58552
2009.05.11;0;49.56500;7.07000;7.01061
2009.05.12;1;50.75100;5.42600;9.35330
2009.05.13;2;44.03100;9.20100;4.78546
2009.05.14;3;53.03900;6.69500;7.92218
2009.05.15;4;46.34400;5.03000;9.21352
2009.05.18;0;42.59400;10.38500;4.10149
2009.05.19;1;50.16700;6.68500;7.50441
2009.05.20;2;44.15200;4.00200;11.03248
2009.05.21;3;45.13300;6.85300;6.58587
2009.05.22;4;45.93300;7.37300;6.22989
2009.05.25;0;42.71700;4.13500;10.33059
2009.05.26;1;39.91100;4.96400;8.04009
2009.05.27;2;40.89300;4.66800;8.76028
2009.05.28;3;47.74600;6.60500;7.22877
2009.05.29;4;41.75100;5.93200;7.03827
2009.06.01;0;41.74300;10.79000;3.86867
2009.06.02;1;37.37200;5.41400;6.90284
2009.06.03;2;44.04500;10.12200;4.35141
2009.06.04;3;38.55300;3.66000;10.53361
2009.06.05;4;40.83400;5.13200;7.95674
2009.06.08;0;36.74600;5.38700;6.82124
2009.06.09;1;40.23700;7.56800;5.31673
2009.06.10;2;40.98500;5.19400;7.89084
2009.06.11;3;35.35200;5.93400;5.95753
2009.06.12;4;31.89300;3.74300;8.52071
2009.06.15;0;36.71400;6.83300;5.37304
2009.06.16;1;38.59500;5.14500;7.50146
2009.06.17;2;33.83200;3.96900;8.52406
2009.06.18;3;33.26500;4.83500;6.88004
2009.06.19;4;32.18900;4.86400;6.61780
2009.06.22;0;33.81600;5.61100;6.02673
2009.06.23;1;33.56300;3.15400;10.64141
2009.06.24;2;34.23200;5.53700;6.18241
2009.06.25;3;32.84000;4.13800;7.93620
2009.06.26;4;36.04200;3.66600;9.83142
2009.06.29;0;32.20400;4.02900;7.99305
2009.06.30;1;35.78000;5.35900;6.67662
2009.07.01;2;31.31900;5.01800;6.24133
2009.07.02;3;36.24200;5.18600;6.98843
2009.07.03;4;34.09000;4.94300;6.89662
2009.07.06;0;32.59300;4.39300;7.41930
2009.07.07;1;33.68200;5.14200;6.55037
2009.07.08;2;35.77900;4.78700;7.47420
2009.07.09;3;34.52900;5.34600;6.45885
2009.07.10;4;32.98100;4.94200;6.67361
2009.07.13;0;38.07300;4.20400;9.05637
2009.07.14;1;34.02600;3.33500;10.20270
2009.07.15;2;33.30300;3.81300;8.73407
2009.07.16;3;33.91900;3.22300;10.52405
2009.07.17;4;31.36200;3.61600;8.67312
2009.07.20;0;33.92400;4.95500;6.84642
2009.07.21;1;33.12400;3.41200;9.70809
2009.07.22;2;34.04300;3.31300;10.27558
2009.07.23;3;33.70600;5.14200;6.55504
2009.07.24;4;33.19800;4.75900;6.97584
2009.07.27;0;35.45700;4.18500;8.47240
2009.07.28;1;35.11100;5.01800;6.99701
2009.07.29;2;34.68000;3.52600;9.83551
2009.07.30;3;34.65200;4.26100;8.13236
2009.07.31;4;38.15300;4.26000;8.95610
2009.08.03;0;32.56400;3.38500;9.62009
2009.08.04;1;33.65700;4.41700;7.61988
2009.08.05;2;34.23500;4.38700;7.80374
2009.08.06;3;34.51000;4.55700;7.57296
2009.08.07;4;37.92100;5.95300;6.37007
2009.08.10;0;31.91400;3.91000;8.16215
2009.08.11;1;32.61800;4.62000;7.06017
2009.08.12;2;36.42200;7.09800;5.13130
2009.08.13;3;37.86400;4.19400;9.02814
2009.08.14;4;31.07100;4.52100;6.87259
2009.08.17;0;33.39300;4.02300;8.30052
2009.08.18;1;28.86300;3.74900;7.69885
2009.08.19;2;35.97500;5.32600;6.75460
2009.08.20;3;32.43700;3.24300;10.00216
2009.08.21;4;30.41000;4.39600;6.91765
2009.08.24;0;27.77400;2.25900;12.29482
2009.08.25;1;31.80800;4.28300;7.42657
2009.08.26;2;32.67300;3.81000;8.57559
2009.08.27;3;31.93800;3.88800;8.21451
2009.08.28;4;32.05200;4.28800;7.47481
2009.08.31;0;29.19400;2.62200;11.13425
2009.09.01;1;37.54100;6.90400;5.43757
2009.09.02;2;31.95100;2.85000;11.21088
2009.09.03;3;33.32900;3.72900;8.93778
2009.09.04;4;29.38100;3.41100;8.61360
2009.09.07;0;8.02800;1.49100;5.38431
2009.09.08;1;24.80100;4.09900;6.05050
2009.09.09;2;31.12000;2.79800;11.12223
2009.09.10;3;36.60200;3.99700;9.15737
2009.09.11;4;32.93200;3.47500;9.47683
2009.09.14;0;32.57500;3.93300;8.28248
2009.09.15;1;31.82800;4.04700;7.86459
2009.09.16;2;32.06800;3.77600;8.49258
2009.09.17;3;32.16900;3.60000;8.93583
2009.09.18;4;31.65200;2.53700;12.47615
2009.09.21;0;33.99900;4.65000;7.31161
2009.09.22;1;29.83400;2.30600;12.93755
2009.09.23;2;29.88200;2.05600;14.53405
2009.09.24;3;31.19600;2.75700;11.31520
2009.09.25;4;30.13400;3.47500;8.67165
2009.09.28;0;30.28700;2.38800;12.68300
2009.09.29;1;30.37700;2.53700;11.97359
2009.09.30;2;31.12600;2.72000;11.44338
2009.10.01;3;32.62900;3.50900;9.29866
2009.10.02;4;36.65500;5.64100;6.49796
2009.10.05;0;34.13700;3.22600;10.58184
2009.10.06;1;30.87000;2.04800;15.07324
2009.10.07;2;33.54900;5.00600;6.70176
2009.10.08;3;36.16700;3.88100;9.31899
2009.10.09;4;32.20600;2.90600;11.08259
2009.10.12;0;33.78400;4.99900;6.75815
2009.10.13;1;30.37100;3.01800;10.06329
2009.10.14;2;30.28500;3.56800;8.48795
2009.10.15;3;29.34500;2.45300;11.96290
2009.10.16;4;29.24400;2.24000;13.05536
2009.10.19;0;30.53600;4.43200;6.88989
2009.10.20;1;33.54800;2.47400;13.56023
2009.10.21;2;32.76200;3.45600;9.47975
2009.10.22;3;31.52900;3.46200;9.10716
2009.10.23;4;30.43500;3.78000;8.05159
2009.10.25;6;1.38900;1.38900;1.00000
2009.10.26;0;30.86500;4.21600;7.32092
2009.10.27;1;31.96900;3.13100;10.21048
2009.10.28;2;37.52200;6.84000;5.48567
2009.10.29;3;34.42100;5.17400;6.65269
2009.10.30;4;32.27800;5.20300;6.20373
2009.11.02;0;42.27400;9.93100;4.25677
2009.11.03;1;38.93000;4.77700;8.14947
2009.11.04;2;38.72600;4.50000;8.60578
2009.11.05;3;32.34000;2.77700;11.64566
2009.11.06;4;33.95400;3.39100;10.01298
2009.11.09;0;33.28900;5.25000;6.34076
2009.11.10;1;32.70900;3.05500;10.70671
2009.11.11;2;32.72600;3.70500;8.83293
2009.11.12;3;33.79200;3.28000;10.30244
2009.11.13;4;32.51200;3.77300;8.61702
2009.11.16;0;32.42300;5.82500;5.56618
2009.11.17;1;31.40700;2.72900;11.50861
2009.11.18;2;33.30100;3.11100;10.70428
2009.11.19;3;34.74400;3.17700;10.93610
2009.11.20;4;36.08600;4.32900;8.33587
2009.11.23;0;32.63500;3.18300;10.25291
2009.11.24;1;31.63700;2.42100;13.06774
2009.11.25;2;31.29500;2.35200;13.30570
2009.11.26;3;38.75100;6.75000;5.74089
2009.11.27;4;37.73500;4.58200;8.23549
2009.11.30;0;38.54300;4.65900;8.27281
2009.12.01;1;33.88800;4.73200;7.16145
