Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;9.16200;2.58900;3.53882
2009.01.02;4;10.82500;2.00000;5.41250
2009.01.05;0;12.58500;2.17500;5.78621
2009.01.06;1;13.17500;2.17500;6.05747
2009.01.07;2;14.36000;2.00500;7.16209
2009.01.08;3;12.88500;2.39500;5.37996
2009.01.09;4;12.75500;4.12500;3.09212
2009.01.12;0;11.96500;2.76000;4.33514
2009.01.13;1;13.37500;2.44500;5.47035
2009.01.14;2;14.13000;3.18500;4.43642
2009.01.15;3;16.99000;2.42500;7.00619
2009.01.16;4;13.32500;2.99000;4.45652
2009.01.19;0;12.57400;3.71000;3.38922
2009.01.20;1;13.78000;3.30000;4.17576
2009.01.21;2;20.08000;5.14000;3.90661
2009.01.22;3;18.86000;2.83000;6.66431
2009.01.23;4;16.46500;3.52500;4.67092
2009.01.26;0;16.41100;4.26000;3.85235
2009.01.27;1;17.65500;3.34500;5.27803
2009.01.28;2;14.71000;2.56500;5.73489
2009.01.29;3;13.89000;3.32000;4.18373
2009.01.30;4;12.86500;2.05500;6.26034
2009.02.02;0;12.39500;2.86500;4.32635
2009.02.03;1;14.42000;2.28500;6.31072
2009.02.04;2;13.12500;2.81000;4.67082
2009.02.05;3;14.74000;4.54500;3.24312
2009.02.06;4;14.42000;4.02000;3.58706
2009.02.09;0;13.95000;2.94000;4.74490
2009.02.10;1;19.44000;3.93000;4.94656
2009.02.11;2;12.78000;1.37000;9.32847
2009.02.12;3;14.60000;2.25500;6.47450
2009.02.13;4;12.79500;2.26500;5.64901
2009.02.16;0;8.51500;1.20000;7.09583
2009.02.17;1;11.33500;1.80500;6.27978
2009.02.18;2;10.31000;2.11000;4.88626
2009.02.19;3;11.31500;3.05000;3.70984
2009.02.20;4;11.16500;2.09500;5.32936
2009.02.23;0;14.22500;2.87500;4.94783
2009.02.24;1;15.00000;5.38500;2.78552
2009.02.25;2;16.01000;2.06000;7.77184
2009.02.26;3;11.01000;2.27500;4.83956
2009.02.27;4;14.97500;3.45500;4.33430
2009.03.02;0;13.36500;1.59500;8.37931
2009.03.03;1;12.73500;2.51000;5.07371
2009.03.04;2;10.53500;3.27500;3.21679
2009.03.05;3;11.91500;3.05000;3.90656
2009.03.06;4;14.15500;2.61500;5.41300
2009.03.08;6;0.35500;0.35500;1.00000
2009.03.09;0;10.83000;1.49500;7.24415
2009.03.10;1;10.14500;1.74000;5.83046
2009.03.11;2;12.13500;1.72000;7.05523
2009.03.12;3;14.83000;4.29000;3.45688
2009.03.13;4;12.46000;2.23500;5.57494
2009.03.15;6;0.14500;0.14500;1.00000
2009.03.16;0;11.51000;3.22500;3.56899
2009.03.17;1;7.89400;1.26500;6.24032
