Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.78083;0.17240;4.52918
2009.01.02;4;1.16755;0.21233;5.49875
2009.01.05;0;0.98885;0.20963;4.71712
2009.01.06;1;0.80751;0.12040;6.70689
2009.01.07;2;0.86384;0.12466;6.92957
2009.01.08;3;1.05743;0.25647;4.12302
2009.01.09;4;0.93247;0.23876;3.90547
2009.01.12;0;0.92836;0.13430;6.91258
2009.01.13;1;0.93717;0.13636;6.87276
2009.01.14;2;0.92147;0.16975;5.42839
2009.01.15;3;0.99085;0.25935;3.82051
2009.01.16;4;0.99337;0.21700;4.57774
2009.01.19;0;0.94348;0.16042;5.88131
2009.01.20;1;0.92746;0.13409;6.91670
2009.01.21;2;1.12215;0.30524;3.67629
2009.01.22;3;0.83736;0.15990;5.23677
2009.01.23;4;0.93125;0.14285;6.51908
2009.01.26;0;0.97987;0.17878;5.48087
2009.01.27;1;0.72346;0.12113;5.97259
2009.01.28;2;0.89967;0.10965;8.20492
2009.01.29;3;0.76116;0.12459;6.10932
2009.01.30;4;0.87628;0.10303;8.50510
2009.02.02;0;0.82439;0.25538;3.22809
2009.02.03;1;0.83861;0.09765;8.58792
2009.02.04;2;0.77224;0.16532;4.67118
2009.02.05;3;0.64788;0.14708;4.40495
2009.02.06;4;0.63814;0.08662;7.36712
2009.02.09;0;0.79234;0.14872;5.32773
2009.02.10;1;0.76423;0.11695;6.53467
2009.02.11;2;0.84377;0.07459;11.31211
2009.02.12;3;0.78156;0.15085;5.18104
2009.02.13;4;0.94364;0.14116;6.68490
2009.02.16;0;0.83796;0.14809;5.65845
2009.02.17;1;1.01206;0.14235;7.10966
2009.02.18;2;0.84977;0.09796;8.67466
2009.02.19;3;0.92182;0.17770;5.18751
2009.02.20;4;0.97628;0.11590;8.42347
2009.02.23;0;0.83368;0.11062;7.53643
2009.02.24;1;0.77878;0.10055;7.74520
2009.02.25;2;0.97740;0.11349;8.61221
2009.02.26;3;0.81035;0.15730;5.15162
2009.02.27;4;0.95865;0.19836;4.83288
2009.03.02;0;1.01279;0.21655;4.67693
2009.03.03;1;1.02051;0.16435;6.20937
2009.03.04;2;0.94777;0.20903;4.53413
2009.03.05;3;1.05741;0.12182;8.68010
2009.03.06;4;0.83227;0.10371;8.02497
2009.03.08;6;0.03275;0.03275;1.00000
2009.03.09;0;0.80004;0.14002;5.71376
2009.03.10;1;0.88900;0.16869;5.27002
2009.03.11;2;0.80088;0.07380;10.85203
2009.03.12;3;0.89986;0.12915;6.96756
2009.03.13;4;0.71908;0.07780;9.24267
2009.03.15;6;0.06505;0.06505;1.00000
2009.03.16;0;1.06331;0.18970;5.60522
2009.03.17;1;0.91003;0.15235;5.97329
2009.03.18;2;0.96929;0.12220;7.93200
2009.03.19;3;1.01556;0.21457;4.73300
2009.03.20;4;0.77652;0.07917;9.80826
2009.03.22;6;0.07062;0.07062;1.00000
2009.03.23;0;0.81007;0.17295;4.68384
2009.03.24;1;0.78613;0.11724;6.70531
2009.03.25;2;1.13966;0.32624;3.49332
2009.03.26;3;0.75069;0.11750;6.38885
2009.03.27;4;0.73626;0.09361;7.86519
2009.03.30;0;0.97514;0.27466;3.55035
2009.03.31;1;0.90637;0.11485;7.89177
2009.04.01;2;0.79392;0.09489;8.36674
2009.04.02;3;0.84757;0.12039;7.04020
2009.04.03;4;0.88773;0.10351;8.57627
2009.04.06;0;0.71009;0.10700;6.63636
2009.04.07;1;0.67567;0.11156;6.05656
2009.04.08;2;0.76839;0.10430;7.36711
2009.04.09;3;0.76633;0.17264;4.43889
2009.04.10;4;0.91935;0.12597;7.29817
2009.04.13;0;0.91279;0.10149;8.99389
2009.04.14;1;0.90494;0.08538;10.59897
2009.04.15;2;0.81192;0.13424;6.04827
2009.04.16;3;0.87405;0.10047;8.69961
2009.04.17;4;0.82725;0.11669;7.08930
