Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.05861;0.02887;2.03014
2009.01.02;4;0.26084;0.05632;4.63139
2009.01.05;0;0.30994;0.08481;3.65452
2009.01.06;1;0.24254;0.07122;3.40550
2009.01.07;2;0.25835;0.06092;4.24081
2009.01.08;3;0.23266;0.04008;5.80489
2009.01.09;4;0.24239;0.05895;4.11179
2009.01.12;0;0.24096;0.05584;4.31519
2009.01.13;1;0.30149;0.09148;3.29569
2009.01.14;2;0.27185;0.06410;4.24103
2009.01.15;3;0.33978;0.05550;6.12216
2009.01.16;4;0.32872;0.05300;6.20226
2009.01.19;0;0.22191;0.02905;7.63890
2009.01.20;1;0.27356;0.06137;4.45755
2009.01.21;2;0.30582;0.05539;5.52121
2009.01.22;3;0.31187;0.03916;7.96399
2009.01.23;4;0.29132;0.05590;5.21145
2009.01.26;0;0.29082;0.07834;3.71228
2009.01.27;1;0.24846;0.02964;8.38259
2009.01.28;2;0.31453;0.06550;4.80198
2009.01.29;3;0.25934;0.04488;5.77852
2009.01.30;4;0.25840;0.02931;8.81610
2009.02.02;0;0.25671;0.06380;4.02367
2009.02.03;1;0.25904;0.04278;6.05517
2009.02.04;2;0.31087;0.07153;4.34601
2009.02.05;3;0.27593;0.07056;3.91057
2009.02.06;4;0.26498;0.08309;3.18907
2009.02.09;0;0.27588;0.06683;4.12809
2009.02.10;1;0.33161;0.08268;4.01076
2009.02.11;2;0.22980;0.04009;5.73210
2009.02.12;3;0.29282;0.05251;5.57646
2009.02.13;4;0.22304;0.04344;5.13444
2009.02.16;0;0.18765;0.03161;5.93641
2009.02.17;1;0.23399;0.03987;5.86882
2009.02.18;2;0.20074;0.03167;6.33849
2009.02.19;3;0.19507;0.03878;5.03017
2009.02.20;4;0.23012;0.03067;7.50310
2009.02.23;0;0.23140;0.03773;6.13305
2009.02.24;1;0.20235;0.03025;6.68926
2009.02.25;2;0.20663;0.03320;6.22380
2009.02.26;3;0.16739;0.01948;8.59292
2009.02.27;4;0.20763;0.03325;6.24451
2009.03.02;0;0.23798;0.03809;6.24783
2009.03.03;1;0.19221;0.02984;6.44135
2009.03.04;2;0.20458;0.05899;3.46805
2009.03.05;3;0.21212;0.03828;5.54127
2009.03.06;4;0.21837;0.03417;6.39069
2009.03.08;6;0.01039;0.01039;1.00000
2009.03.09;0;0.20562;0.05690;3.61371
2009.03.10;1;0.19632;0.04987;3.93664
2009.03.11;2;0.23978;0.04196;5.71449
2009.03.12;3;0.22940;0.04608;4.97830
2009.03.13;4;0.20267;0.03354;6.04264
2009.03.15;6;0.01104;0.01104;1.00000
2009.03.16;0;0.16115;0.03260;4.94325
2009.03.17;1;0.15213;0.02454;6.19927
2009.03.18;2;0.19749;0.05190;3.80520
2009.03.19;3;0.21226;0.04330;4.90208
2009.03.20;4;0.17629;0.04190;4.20740
2009.03.22;6;0.00775;0.00775;1.00000
2009.03.23;0;0.17134;0.06011;2.85044
2009.03.24;1;0.21688;0.02659;8.15645
2009.03.25;2;0.23404;0.04335;5.39885
2009.03.26;3;0.21483;0.05807;3.69950
2009.03.27;4;0.19465;0.04239;4.59188
2009.03.30;0;0.19265;0.04815;4.00104
2009.03.31;1;0.21262;0.04995;4.25666
