Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.01212;0.01344;0.90179
2009.01.02;4;0.45945;0.08078;5.68767
2009.01.05;0;0.52775;0.09569;5.51521
2009.01.06;1;0.66295;0.18273;3.62803
2009.01.07;2;0.76297;0.16333;4.67134
2009.01.08;3;0.71579;0.09446;7.57770
2009.01.09;4;0.55305;0.07286;7.59058
2009.01.12;0;0.64562;0.14645;4.40847
2009.01.13;1;0.66414;0.08376;7.92908
2009.01.14;2;0.61505;0.08481;7.25209
2009.01.15;3;0.65768;0.08514;7.72469
2009.01.16;4;0.80483;0.18264;4.40665
2009.01.19;0;0.64665;0.11639;5.55589
2009.01.20;1;0.60204;0.09294;6.47773
2009.01.21;2;0.61327;0.07820;7.84233
2009.01.22;3;0.60315;0.10699;5.63744
2009.01.23;4;0.62099;0.11349;5.47176
2009.01.26;0;0.61549;0.11779;5.22532
2009.01.27;1;0.71562;0.12497;5.72633
2009.01.28;2;0.66315;0.08993;7.37407
2009.01.29;3;0.55156;0.08695;6.34342
2009.01.30;4;0.62000;0.09702;6.39043
2009.02.02;0;0.65003;0.09723;6.68549
2009.02.03;1;0.67620;0.21226;3.18572
2009.02.04;2;0.77403;0.11784;6.56848
2009.02.05;3;0.61251;0.09001;6.80491
2009.02.06;4;0.68027;0.11584;5.87250
2009.02.09;0;0.69453;0.18920;3.67088
2009.02.10;1;0.76584;0.15823;4.84004
2009.02.11;2;0.73739;0.09356;7.88147
2009.02.12;3;0.61991;0.13690;4.52820
2009.02.13;4;0.60965;0.08202;7.43294
2009.02.16;0;0.72302;0.23331;3.09897
2009.02.17;1;0.84608;0.11110;7.61548
2009.02.18;2;0.83906;0.16949;4.95050
2009.02.19;3;0.78290;0.17504;4.47269
2009.02.20;4;0.89523;0.13219;6.77230
2009.02.23;0;0.82513;0.20272;4.07029
2009.02.24;1;0.70038;0.09898;7.07597
2009.02.25;2;0.86888;0.18938;4.58802
2009.02.26;3;0.70263;0.09768;7.19318
2009.02.27;4;0.76131;0.11733;6.48862
2009.03.02;0;0.68878;0.17319;3.97702
2009.03.03;1;0.67746;0.09265;7.31203
2009.03.04;2;0.69393;0.13905;4.99051
2009.03.05;3;0.61099;0.10979;5.56508
2009.03.06;4;0.64148;0.09560;6.71004
2009.03.08;6;0.01445;0.01445;1.00000
2009.03.09;0;0.65735;0.11189;5.87497
2009.03.10;1;0.55457;0.13169;4.21118
2009.03.11;2;0.68335;0.11738;5.82169
2009.03.12;3;0.76848;0.17941;4.28337
2009.03.13;4;0.72750;0.10298;7.06448
2009.03.15;6;0.02662;0.02662;1.00000
2009.03.16;0;0.69946;0.09585;7.29744
2009.03.17;1;0.60314;0.11452;5.26668
2009.03.18;2;0.64103;0.10883;5.89020
2009.03.19;3;0.68337;0.16616;4.11272
2009.03.20;4;0.63227;0.13797;4.58266
2009.03.22;6;0.02903;0.02903;1.00000
2009.03.23;0;0.54878;0.07348;7.46843
2009.03.24;1;0.55207;0.07741;7.13177
2009.03.25;2;0.59180;0.07970;7.42535
2009.03.26;3;0.51358;0.04540;11.31233
2009.03.27;4;0.61484;0.14476;4.24731
2009.03.30;0;0.61708;0.08733;7.06607
2009.03.31;1;0.62480;0.12777;4.89004
2009.04.01;2;0.73294;0.20702;3.54043
