Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.00000;0.00000;0.00000
2009.01.02;4;0.72850;0.60200;1.21013
2009.01.05;0;2.60950;1.34950;1.93368
2009.01.06;1;1.12900;1.78600;0.63214
2009.01.07;2;1.69550;0.70050;2.42041
2009.01.08;3;2.26650;1.56300;1.45010
2009.01.09;4;1.23450;1.17400;1.05153
2009.01.12;0;3.52450;2.60950;1.35064
2009.01.13;1;2.25300;0.45750;4.92459
2009.01.14;2;2.76200;0.82950;3.32972
2009.01.15;3;3.25700;0.83650;3.89360
2009.01.16;4;2.88300;1.03750;2.77880
2009.01.19;0;1.91000;0.68050;2.80676
2009.01.20;1;3.36550;1.23600;2.72290
2009.01.21;2;4.15850;1.03150;4.03151
2009.01.22;3;3.01950;0.69150;4.36659
2009.01.23;4;1.66750;0.55150;3.02357
2009.01.26;0;3.11350;1.04450;2.98085
2009.01.27;1;3.02700;0.83050;3.64479
2009.01.28;2;3.89750;1.44250;2.70191
2009.01.29;3;3.36500;1.49750;2.24708
2009.01.30;4;3.84900;0.81750;4.70826
2009.02.02;0;3.05950;0.93350;3.27745
2009.02.03;1;2.60550;0.71550;3.64151
2009.02.04;2;2.21850;0.51350;4.32035
2009.02.05;3;1.07050;0.39050;2.74136
2009.02.06;4;2.28550;0.70250;3.25338
2009.02.09;0;2.34872;0.40950;5.73558
2009.02.10;1;2.93247;0.71300;4.11286
2009.02.11;2;2.24645;1.24450;1.80510
2009.02.12;3;3.50717;1.25550;2.79344
2009.02.13;4;2.15750;0.54650;3.94785
2009.02.16;0;2.03900;1.18050;1.72723
2009.02.17;1;2.52176;1.18950;2.12002
2009.02.18;2;2.50888;0.76450;3.28173
2009.02.19;3;3.18815;0.59250;5.38084
2009.02.20;4;2.95081;0.97450;3.02802
2009.02.23;0;2.07982;0.79650;2.61120
2009.02.24;1;2.12213;0.43150;4.91803
2009.02.25;2;2.12000;0.82350;2.57438
2009.02.26;3;2.19012;0.37689;5.81103
2009.02.27;4;2.15637;0.44250;4.87315
2009.03.02;0;1.50300;0.79950;1.87992
2009.03.03;1;2.30856;0.51750;4.46099
2009.03.04;2;1.91571;0.45250;4.23361
2009.03.05;3;2.33179;0.83245;2.80112
2009.03.06;4;1.65517;0.57150;2.89619
2009.03.08;6;0.00000;0.00000;0.00000
2009.03.09;0;2.11044;0.65350;3.22944
2009.03.10;1;3.25100;0.97650;3.32924
2009.03.11;2;2.11621;0.73950;2.86168
2009.03.12;3;2.60308;0.74450;3.49641
2009.03.13;4;2.27746;0.61663;3.69340
2009.03.15;6;0.00000;0.00000;0.00000
2009.03.16;0;2.14134;0.85150;2.51479
2009.03.17;1;1.86970;0.37550;4.97923
2009.03.18;2;2.38065;1.35150;1.76149
2009.03.19;3;2.46701;0.63300;3.89733
2009.03.20;4;2.34500;0.58650;3.99829
2009.03.22;6;0.00000;0.00000;0.00000
2009.03.23;0;2.54564;0.78750;3.23256
2009.03.24;1;2.73600;0.52650;5.19658
2009.03.25;2;2.85751;0.81078;3.52440
2009.03.26;3;1.99156;0.67150;2.96584
2009.03.27;4;2.29705;0.72741;3.15785
2009.03.30;0;2.15450;0.42512;5.06798
2009.03.31;1;1.95288;0.43350;4.50491
2009.04.01;2;1.86476;0.44037;4.23453
2009.04.02;3;2.28616;0.47450;4.81804
2009.04.03;4;1.81799;0.38721;4.69510
2009.04.06;0;1.87634;0.70350;2.66715
2009.04.07;1;1.79904;0.34090;5.27732
2009.04.08;2;2.47933;0.51050;4.85667
2009.04.09;3;1.72514;0.50450;3.41950
2009.04.10;4;1.11536;0.21537;5.17881
2009.04.13;0;1.16332;0.39850;2.91925
2009.04.14;1;1.66430;0.53914;3.08695
2009.04.15;2;1.78781;0.39150;4.56656
2009.04.16;3;1.42479;0.43350;3.28671
2009.04.17;4;1.27400;0.36150;3.52420
2009.04.20;0;2.37487;0.65050;3.65084
2009.04.21;1;1.32943;0.52550;2.52984
2009.04.22;2;1.87616;0.40450;4.63822
2009.04.23;3;1.50168;0.41550;3.61415
2009.04.24;4;1.69710;0.34050;4.98414
2009.04.27;0;1.92234;0.48850;3.93519
2009.04.28;1;2.04552;0.36950;5.53591
2009.04.29;2;2.69083;0.45350;5.93347
2009.04.30;3;2.24830;0.38570;5.82914
2009.05.01;4;1.57470;0.20350;7.73808
2009.05.04;0;1.36545;0.37250;3.66564
2009.05.05;1;1.81167;0.33350;5.43229
2009.05.06;2;2.08669;0.30850;6.76399
2009.05.07;3;2.23700;0.33150;6.74811
2009.05.08;4;2.13905;0.51050;4.19011
2009.05.11;0;1.66715;0.47250;3.52836
2009.05.12;1;1.90016;0.49150;3.86604
2009.05.13;2;2.01246;0.48250;4.17090
2009.05.14;3;1.61020;0.53450;3.01254
2009.05.15;4;1.68517;0.64150;2.62692
2009.05.18;0;1.31500;0.46050;2.85559
