Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;1.23543;0.19059;6.48213
2009.01.02;4;1.43500;0.25659;5.59258
2009.01.05;0;1.00758;0.14750;6.83105
2009.01.06;1;0.91817;0.20596;4.45800
2009.01.07;2;0.95609;0.12100;7.90157
2009.01.08;3;0.88516;0.16183;5.46969
2009.01.09;4;0.94476;0.14597;6.47229
2009.01.12;0;0.83791;0.23125;3.62339
2009.01.13;1;1.04465;0.22924;4.55701
2009.01.14;2;1.12297;0.28045;4.00417
2009.01.15;3;1.35639;0.36984;3.66750
2009.01.16;4;1.20311;0.19635;6.12737
2009.01.19;0;1.20887;0.20640;5.85693
2009.01.20;1;0.84925;0.12470;6.81034
2009.01.21;2;1.15266;0.27304;4.22158
2009.01.22;3;1.08267;0.21340;5.07343
2009.01.23;4;1.15254;0.20007;5.76068
2009.01.26;0;1.03793;0.15270;6.79718
2009.01.27;1;1.15058;0.26860;4.28362
2009.01.28;2;1.12549;0.13844;8.12980
2009.01.29;3;0.91141;0.11606;7.85292
2009.01.30;4;1.00974;0.17004;5.93825
2009.02.02;0;1.05446;0.13950;7.55885
2009.02.03;1;0.99049;0.13590;7.28837
2009.02.04;2;0.80565;0.11941;6.74692
2009.02.05;3;0.72393;0.12470;5.80537
2009.02.06;4;0.83336;0.15249;5.46501
2009.02.09;0;0.69226;0.12847;5.38850
2009.02.10;1;0.99201;0.24260;4.08908
2009.02.11;2;0.97360;0.24816;3.92328
2009.02.12;3;0.89739;0.09923;9.04354
2009.02.13;4;0.85101;0.08895;9.56728
2009.02.16;0;0.96018;0.20693;4.64012
2009.02.17;1;1.08220;0.23509;4.60334
2009.02.18;2;1.22950;0.22519;5.45983
2009.02.19;3;1.13820;0.22792;4.99386
2009.02.20;4;1.17064;0.22324;5.24386
2009.02.23;0;1.08577;0.16820;6.45523
2009.02.24;1;1.09994;0.22399;4.91067
2009.02.25;2;1.17247;0.18281;6.41360
2009.02.26;3;0.90262;0.18690;4.82943
2009.02.27;4;1.05670;0.13981;7.55811
2009.03.02;0;1.12543;0.23690;4.75065
2009.03.03;1;1.20287;0.19900;6.04457
2009.03.04;2;0.90966;0.22572;4.03004
2009.03.05;3;0.96578;0.31934;3.02430
2009.03.06;4;1.03432;0.19464;5.31402
2009.03.08;6;0.05610;0.05610;1.00000
2009.03.09;0;1.20499;0.16849;7.15170
2009.03.10;1;1.25539;0.42056;2.98504
2009.03.11;2;1.12621;0.11070;10.17353
2009.03.12;3;1.11513;0.24033;4.64000
2009.03.13;4;0.89847;0.12900;6.96488
2009.03.15;6;0.06812;0.06812;1.00000
2009.03.16;0;1.12469;0.24321;4.62436
2009.03.17;1;0.98971;0.14642;6.75939
2009.03.18;2;1.03814;0.16460;6.30705
2009.03.19;3;0.99208;0.13036;7.61031
2009.03.20;4;1.12895;0.31340;3.60227
2009.03.22;6;0.07806;0.07806;1.00000
2009.03.23;0;1.02273;0.25377;4.03015
2009.03.24;1;0.81276;0.15983;5.08515
2009.03.25;2;1.08779;0.14425;7.54101
2009.03.26;3;0.78641;0.15392;5.10921
2009.03.27;4;0.86825;0.16973;5.11548
2009.03.30;0;0.94802;0.12417;7.63486
2009.03.31;1;0.83667;0.12652;6.61295
2009.04.01;2;0.90083;0.17919;5.02723
2009.04.02;3;0.86445;0.12705;6.80401
2009.04.03;4;0.83739;0.15122;5.53756
2009.04.06;0;0.77000;0.11755;6.55040
2009.04.07;1;0.91496;0.19416;4.71240
2009.04.08;2;0.99633;0.16675;5.97499
2009.04.09;3;1.27919;0.15924;8.03309
2009.04.10;4;1.17148;0.11077;10.57579
2009.04.13;0;0.88918;0.10088;8.81423
2009.04.14;1;0.87784;0.14787;5.93657
2009.04.15;2;0.89984;0.15941;5.64482
2009.04.16;3;0.86635;0.11750;7.37319
2009.04.17;4;0.99110;0.20004;4.95451
2009.04.20;0;0.92996;0.28126;3.30641
2009.04.21;1;0.92699;0.25190;3.67999
2009.04.22;2;0.82383;0.20052;4.10847
2009.04.23;3;0.88052;0.18090;4.86744
2009.04.24;4;0.88505;0.18049;4.90360
2009.04.27;0;0.89968;0.18163;4.95337
2009.04.28;1;0.77833;0.15238;5.10782
2009.04.29;2;0.76122;0.12636;6.02422
2009.04.30;3;0.90306;0.16935;5.33251
2009.05.01;4;0.79915;0.10841;7.37155
2009.05.04;0;0.74522;0.15150;4.91894
2009.05.05;1;0.68771;0.09775;7.03540
2009.05.06;2;0.75820;0.14913;5.08415
2009.05.07;3;0.84268;0.14380;5.86008
2009.05.08;4;0.79872;0.15365;5.19831
2009.05.11;0;0.72884;0.23343;3.12231
2009.05.12;1;0.81924;0.09303;8.80619
2009.05.13;2;0.84216;0.21660;3.88809
2009.05.14;3;0.88656;0.15401;5.75651
2009.05.15;4;0.87680;0.14394;6.09143
2009.05.18;0;0.78315;0.27247;2.87426
2009.05.19;1;0.79165;0.13965;5.66881
2009.05.20;2;0.88093;0.12300;7.16203
2009.05.21;3;0.85589;0.11647;7.34859
2009.05.22;4;0.70605;0.12415;5.68707
2009.05.25;0;0.65454;0.09296;7.04109
2009.05.26;1;0.64155;0.15979;4.01496
2009.05.27;2;0.87322;0.19473;4.48426
2009.05.28;3;0.99055;0.18637;5.31496
2009.05.29;4;0.85827;0.13038;6.58283
2009.06.01;0;0.90632;0.26440;3.42784
2009.06.02;1;0.95272;0.27525;3.46129
2009.06.03;2;1.10502;0.25895;4.26731
2009.06.04;3;1.16416;0.21475;5.42100
2009.06.05;4;0.93701;0.16612;5.64056
2009.06.08;0;0.90004;0.13950;6.45190
2009.06.09;1;0.80413;0.16138;4.98284
2009.06.10;2;0.87330;0.10540;8.28558
2009.06.11;3;0.86112;0.10413;8.26966
2009.06.12;4;0.74360;0.10138;7.33478
2009.06.15;0;0.91097;0.17654;5.16013
2009.06.16;1;0.75466;0.08303;9.08900
2009.06.17;2;0.82448;0.20950;3.93547
2009.06.18;3;0.82363;0.11356;7.25282
2009.06.19;4;0.84689;0.11262;7.51989
2009.06.22;0;0.72111;0.12241;5.89094
2009.06.23;1;0.73808;0.08314;8.87756
2009.06.24;2;0.78404;0.17227;4.55123
2009.06.25;3;0.81535;0.14440;5.64647
2009.06.26;4;0.78385;0.16461;4.76186
2009.06.29;0;0.80468;0.20669;3.89317
2009.06.30;1;0.68056;0.11601;5.86639
2009.07.01;2;0.70831;0.14475;4.89333
2009.07.02;3;0.72949;0.20437;3.56946
2009.07.03;4;0.67267;0.11547;5.82550
