Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.11148;0.02285;4.87877
2009.01.02;4;0.21223;0.02984;7.11227
2009.01.05;0;0.22074;0.04310;5.12158
2009.01.06;1;0.18867;0.04381;4.30655
2009.01.07;2;0.20984;0.03719;5.64238
2009.01.08;3;0.20886;0.03188;6.55144
2009.01.09;4;0.18973;0.04190;4.52816
2009.01.12;0;0.18609;0.02715;6.85414
2009.01.13;1;0.17135;0.03481;4.92244
2009.01.14;2;0.17715;0.02388;7.41834
2009.01.15;3;0.20158;0.03017;6.68147
2009.01.16;4;0.16095;0.02342;6.87233
2009.01.19;0;0.16673;0.03425;4.86803
2009.01.20;1;0.18602;0.03393;5.48246
2009.01.21;2;0.20295;0.02755;7.36661
2009.01.22;3;0.17640;0.01859;9.48897
2009.01.23;4;0.20478;0.03463;5.91337
2009.01.26;0;0.19997;0.04736;4.22234
2009.01.27;1;0.20102;0.02515;7.99284
2009.01.28;2;0.19466;0.02986;6.51909
2009.01.29;3;0.17769;0.03408;5.21391
2009.01.30;4;0.17277;0.02660;6.49511
2009.02.02;0;0.16026;0.02688;5.96205
2009.02.03;1;0.17150;0.02781;6.16685
2009.02.04;2;0.17468;0.03711;4.70709
2009.02.05;3;0.16149;0.01964;8.22251
2009.02.06;4;0.15084;0.02536;5.94795
2009.02.09;0;0.14117;0.02552;5.53174
2009.02.10;1;0.18005;0.03507;5.13402
2009.02.11;2;0.15107;0.02645;5.71153
2009.02.12;3;0.17697;0.02785;6.35440
2009.02.13;4;0.13960;0.02002;6.97303
2009.02.16;0;0.12855;0.01567;8.20357
2009.02.17;1;0.14564;0.02074;7.02218
2009.02.18;2;0.12862;0.01703;7.55255
2009.02.19;3;0.12665;0.02711;4.67171
2009.02.20;4;0.15634;0.04280;3.65280
2009.02.23;0;0.17247;0.03369;5.11932
2009.02.24;1;0.13729;0.02048;6.70361
2009.02.25;2;0.18231;0.02919;6.24563
2009.02.26;3;0.14444;0.02436;5.92939
2009.02.27;4;0.15766;0.01721;9.16095
2009.03.02;0;0.15346;0.01837;8.35384
2009.03.03;1;0.13979;0.02003;6.97903
2009.03.04;2;0.13206;0.01941;6.80371
2009.03.05;3;0.13927;0.01962;7.09837
2009.03.06;4;0.14499;0.02299;6.30666
2009.03.08;6;0.00525;0.00525;1.00000
2009.03.09;0;0.12483;0.01984;6.29183
2009.03.10;1;0.15161;0.02781;5.45164
2009.03.11;2;0.14949;0.02144;6.97248
2009.03.12;3;0.15116;0.02970;5.08956
2009.03.13;4;0.14617;0.02727;5.36010
2009.03.15;6;0.00370;0.00370;1.00000
2009.03.16;0;0.13490;0.02046;6.59335
2009.03.17;1;0.11814;0.01587;7.44423
2009.03.18;2;0.17890;0.06026;2.96880
2009.03.19;3;0.16718;0.03633;4.60171
2009.03.20;4;0.14902;0.02067;7.20948
2009.03.22;6;0.00322;0.00322;1.00000
2009.03.23;0;0.15948;0.02952;5.40244
2009.03.24;1;0.15888;0.02633;6.03418
2009.03.25;2;0.16353;0.02488;6.57275
2009.03.26;3;0.14575;0.02193;6.64615
2009.03.27;4;0.13514;0.04270;3.16487
2009.03.30;0;0.15953;0.01995;7.99649
2009.03.31;1;0.13512;0.02105;6.41900
2009.04.01;2;0.13339;0.01631;8.17842
2009.04.02;3;0.15564;0.02503;6.21814
2009.04.03;4;0.13852;0.01791;7.73423
2009.04.06;0;0.13301;0.02703;4.92083
2009.04.07;1;0.12796;0.02160;5.92407
2009.04.08;2;0.13039;0.02113;6.17085
2009.04.09;3;0.13357;0.02891;4.62020
2009.04.10;4;0.10575;0.01935;5.46512
2009.04.13;0;0.14865;0.03856;3.85503
2009.04.14;1;0.15350;0.04582;3.35007
2009.04.15;2;0.12461;0.02021;6.16576
2009.04.16;3;0.12252;0.02001;6.12294
2009.04.17;4;0.12195;0.02298;5.30679
2009.04.20;0;0.11385;0.01767;6.44312
2009.04.21;1;0.11228;0.01096;10.24453
2009.04.22;2;0.10861;0.01947;5.57833
2009.04.23;3;0.10995;0.01908;5.76258
2009.04.24;4;0.13457;0.01957;6.87634
2009.04.27;0;0.15279;0.03166;4.82596
2009.04.28;1;0.21592;0.02377;9.08372
2009.04.29;2;0.14036;0.02018;6.95540
2009.04.30;3;0.14921;0.02667;5.59468
2009.05.01;4;0.12036;0.01619;7.43422
2009.05.04;0;0.11389;0.02103;5.41560
2009.05.05;1;0.12904;0.02030;6.35665
2009.05.06;2;0.11838;0.01543;7.67207
2009.05.07;3;0.15064;0.02621;5.74742
2009.05.08;4;0.12082;0.03133;3.85637
2009.05.11;0;0.10769;0.01858;5.79602
2009.05.12;1;0.11479;0.01108;10.36011
2009.05.13;2;0.12210;0.01444;8.45568
