Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.15839;0.02885;5.49012
2009.01.02;4;0.25211;0.04225;5.96710
2009.01.05;0;0.28227;0.07099;3.97619
2009.01.06;1;0.29106;0.07021;4.14556
2009.01.07;2;0.28541;0.09734;2.93209
2009.01.08;3;0.34607;0.06139;5.63724
2009.01.09;4;0.27195;0.05641;4.82095
2009.01.12;0;0.28667;0.06494;4.41438
2009.01.13;1;0.27123;0.04626;5.86316
2009.01.14;2;0.25451;0.06042;4.21235
2009.01.15;3;0.25974;0.03785;6.86235
2009.01.16;4;0.30175;0.06703;4.50172
2009.01.19;0;0.25783;0.03128;8.24265
2009.01.20;1;0.27691;0.04026;6.87804
2009.01.21;2;0.29351;0.04555;6.44369
2009.01.22;3;0.26489;0.02526;10.48654
2009.01.23;4;0.27372;0.06015;4.55062
2009.01.26;0;0.31413;0.04230;7.42624
2009.01.27;1;0.28634;0.03066;9.33920
2009.01.28;2;0.26129;0.04461;5.85721
2009.01.29;3;0.24886;0.03447;7.21961
2009.01.30;4;0.22888;0.02597;8.81325
2009.02.02;0;0.22708;0.04006;5.66850
2009.02.03;1;0.28664;0.05430;5.27882
2009.02.04;2;0.21619;0.04407;4.90560
2009.02.05;3;0.19668;0.03833;5.13123
2009.02.06;4;0.19455;0.02552;7.62343
2009.02.09;0;0.19121;0.02573;7.43140
2009.02.10;1;0.23283;0.05407;4.30608
2009.02.11;2;0.19303;0.02705;7.13604
2009.02.12;3;0.21796;0.02934;7.42877
2009.02.13;4;0.28773;0.03332;8.63535
2009.02.16;0;0.22294;0.03914;5.69596
2009.02.17;1;0.23387;0.04409;5.30438
2009.02.18;2;0.29960;0.03798;7.88836
2009.02.19;3;0.20876;0.03460;6.03353
2009.02.20;4;0.24873;0.06709;3.70741
2009.02.23;0;0.36016;0.05772;6.23978
2009.02.24;1;0.19068;0.03119;6.11350
2009.02.25;2;0.20002;0.02744;7.28936
2009.02.26;3;0.18639;0.02280;8.17500
2009.02.27;4;0.21122;0.03266;6.46724
2009.03.02;0;0.26680;0.04722;5.65015
2009.03.03;1;0.20680;0.02002;10.32967
2009.03.04;2;0.21591;0.02469;8.74484
2009.03.05;3;0.28187;0.08544;3.29904
2009.03.06;4;0.24804;0.05118;4.84642
2009.03.08;6;0.00829;0.00829;1.00000
2009.03.09;0;0.23863;0.04375;5.45440
2009.03.10;1;0.26280;0.07033;3.73667
2009.03.11;2;0.26292;0.03972;6.61934
2009.03.12;3;0.30099;0.08253;3.64704
2009.03.13;4;0.24046;0.03587;6.70365
2009.03.15;6;0.00610;0.00610;1.00000
2009.03.16;0;0.21896;0.02473;8.85402
2009.03.17;1;0.20809;0.03100;6.71258
2009.03.18;2;0.24815;0.07661;3.23913
2009.03.19;3;0.29741;0.10647;2.79337
2009.03.20;4;0.27117;0.08040;3.37276
2009.03.22;6;0.00715;0.00715;1.00000
2009.03.23;0;0.28133;0.06110;4.60442
2009.03.24;1;0.25840;0.05624;4.59459
2009.03.25;2;0.21943;0.04433;4.94992
2009.03.26;3;0.20348;0.02886;7.05059
2009.03.27;4;0.21018;0.04218;4.98293
2009.03.30;0;0.27016;0.05322;5.07629
2009.03.31;1;0.23964;0.04851;4.94001
2009.04.01;2;0.28790;0.07449;3.86495
2009.04.02;3;0.25625;0.04720;5.42903
2009.04.03;4;0.22763;0.03654;6.22961
2009.04.06;0;0.20980;0.03185;6.58713
2009.04.07;1;0.20664;0.03423;6.03681
2009.04.08;2;0.24010;0.04670;5.14133
2009.04.09;3;0.19559;0.04796;4.07819
2009.04.10;4;0.22329;0.02543;8.78057
2009.04.13;0;0.19095;0.05647;3.38144
2009.04.14;1;0.23032;0.04196;5.48904
2009.04.15;2;0.18047;0.01787;10.09905
2009.04.16;3;0.20978;0.02263;9.27000
2009.04.17;4;0.21345;0.02321;9.19647
2009.04.20;0;0.22251;0.05292;4.20465
2009.04.21;1;0.18905;0.04135;4.57195
2009.04.22;2;0.18548;0.02545;7.28802
2009.04.23;3;0.17404;0.03044;5.71748
2009.04.24;4;0.20606;0.03518;5.85731
2009.04.27;0;0.21573;0.02759;7.81914
2009.04.28;1;0.20399;0.02389;8.53872
2009.04.29;2;0.19944;0.03265;6.10842
2009.04.30;3;0.19026;0.01767;10.76740
2009.05.01;4;0.15583;0.01649;9.44997
2009.05.04;0;0.17347;0.03521;4.92673
2009.05.05;1;0.22877;0.02379;9.61623
2009.05.06;2;0.19240;0.02823;6.81544
2009.05.07;3;0.24635;0.04988;4.93885
2009.05.08;4;0.19621;0.03158;6.21311
2009.05.11;0;0.24583;0.04188;5.86987
2009.05.12;1;0.26177;0.03089;8.47426
2009.05.13;2;0.27264;0.03486;7.82100
2009.05.14;3;0.23821;0.02310;10.31212
2009.05.15;4;0.21208;0.02802;7.56888
2009.05.18;0;0.21883;0.03556;6.15382
2009.05.19;1;0.23382;0.02216;10.55144
2009.05.20;2;0.21367;0.03311;6.45334
2009.05.21;3;0.17767;0.04396;4.04163
