Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.04064;0.01107;3.67118
2009.01.02;4;0.12005;0.02130;5.63615
2009.01.05;0;0.14040;0.04115;3.41191
2009.01.06;1;0.13507;0.03455;3.90941
2009.01.07;2;0.13785;0.03150;4.37619
2009.01.08;3;0.13228;0.02620;5.04885
2009.01.09;4;0.11524;0.03155;3.65261
2009.01.12;0;0.11338;0.01797;6.30940
2009.01.13;1;0.11157;0.02328;4.79253
2009.01.14;2;0.11601;0.02430;4.77407
2009.01.15;3;0.13721;0.02093;6.55566
2009.01.16;4;0.11435;0.02315;4.93952
2009.01.19;0;0.09753;0.03190;3.05737
2009.01.20;1;0.11410;0.02475;4.61010
2009.01.21;2;0.14057;0.02620;5.36527
2009.01.22;3;0.12068;0.01735;6.95562
2009.01.23;4;0.12575;0.02670;4.70974
2009.01.26;0;0.12222;0.03460;3.53237
2009.01.27;1;0.12996;0.02125;6.11576
2009.01.28;2;0.12924;0.02215;5.83476
2009.01.29;3;0.11115;0.02435;4.56468
2009.01.30;4;0.10750;0.01935;5.55556
2009.02.02;0;0.09468;0.01930;4.90570
2009.02.03;1;0.11989;0.02555;4.69237
2009.02.04;2;0.11115;0.02580;4.30814
2009.02.05;3;0.10478;0.01435;7.30174
2009.02.06;4;0.09560;0.02455;3.89409
2009.02.09;0;0.09027;0.02205;4.09388
2009.02.10;1;0.13725;0.02640;5.19886
2009.02.11;2;0.09940;0.01650;6.02424
2009.02.12;3;0.12210;0.02220;5.50000
2009.02.13;4;0.09430;0.01210;7.79339
2009.02.16;0;0.07618;0.00980;7.77347
2009.02.17;1;0.09011;0.02420;3.72355
2009.02.18;2;0.07680;0.01275;6.02353
2009.02.19;3;0.07940;0.02325;3.41505
2009.02.20;4;0.10465;0.03225;3.24496
2009.02.23;0;0.11855;0.03000;3.95167
2009.02.24;1;0.09850;0.02150;4.58140
2009.02.25;2;0.10450;0.02090;5.00000
2009.02.26;3;0.08293;0.01285;6.45370
2009.02.27;4;0.09758;0.01460;6.68356
2009.03.02;0;0.07716;0.00913;8.45126
2009.03.03;1;0.08540;0.01565;5.45687
2009.03.04;2;0.08540;0.02060;4.14563
2009.03.05;3;0.08220;0.01825;4.50411
2009.03.06;4;0.09003;0.02190;4.11096
2009.03.08;6;0.00296;0.00296;1.00000
2009.03.09;0;0.07784;0.01710;4.55205
2009.03.10;1;0.09860;0.02420;4.07438
2009.03.11;2;0.10355;0.02485;4.16700
2009.03.12;3;0.10620;0.02130;4.98592
2009.03.13;4;0.07920;0.00950;8.33684
2009.03.15;6;0.00170;0.00170;1.00000
2009.03.16;0;0.08787;0.02335;3.76317
2009.03.17;1;0.07520;0.01025;7.33659
2009.03.18;2;0.11745;0.05485;2.14129
2009.03.19;3;0.11693;0.03210;3.64268
2009.03.20;4;0.10900;0.02090;5.21531
2009.03.22;6;0.00247;0.00247;1.00000
2009.03.23;0;0.10387;0.02510;4.13825
2009.03.24;1;0.10800;0.02475;4.36364
2009.03.25;2;0.11271;0.02285;4.93260
2009.03.26;3;0.08958;0.01445;6.19931
2009.03.27;4;0.08644;0.03345;2.58416
2009.03.30;0;0.09760;0.01685;5.79228
2009.03.31;1;0.09210;0.01690;5.44970
2009.04.01;2;0.08355;0.01195;6.99163
2009.04.02;3;0.09553;0.02945;3.24380
2009.04.03;4;0.08138;0.01300;6.26000
2009.04.06;0;0.07590;0.02235;3.39597
2009.04.07;1;0.08658;0.01915;4.52115
2009.04.08;2;0.09120;0.01595;5.71787
2009.04.09;3;0.08156;0.02095;3.89308
2009.04.10;4;0.04601;0.00955;4.81780
2009.04.13;0;0.06909;0.02645;2.61210
2009.04.14;1;0.07550;0.01540;4.90260
2009.04.15;2;0.08085;0.01515;5.33663
2009.04.16;3;0.08481;0.01415;5.99364
2009.04.17;4;0.06817;0.01800;3.78722
2009.04.20;0;0.07063;0.01681;4.20167
2009.04.21;1;0.06981;0.00970;7.19691
2009.04.22;2;0.07168;0.01525;4.70033
2009.04.23;3;0.07199;0.01810;3.97735
2009.04.24;4;0.07862;0.01885;4.17082
2009.04.27;0;0.08059;0.02473;3.25879
2009.04.28;1;0.07743;0.02025;3.82370
2009.04.29;2;0.08427;0.02190;3.84795
2009.04.30;3;0.10059;0.01950;5.15846
2009.05.01;4;0.06525;0.01095;5.95890
2009.05.04;0;0.07512;0.02102;3.57374
2009.05.05;1;0.08385;0.01555;5.39228
2009.05.06;2;0.08290;0.01290;6.42636
2009.05.07;3;0.09513;0.02185;4.35378
2009.05.08;4;0.08059;0.03085;2.61232
2009.05.11;0;0.07100;0.01100;6.45455
2009.05.12;1;0.07790;0.01450;5.37241
2009.05.13;2;0.08865;0.01560;5.68269
2009.05.14;3;0.07410;0.01405;5.27402
2009.05.15;4;0.07611;0.01880;4.04840
2009.05.18;0;0.06560;0.01400;4.68571
2009.05.19;1;0.07007;0.01380;5.07754
2009.05.20;2;0.07895;0.02455;3.21589
2009.05.21;3;0.09100;0.01950;4.66667
2009.05.22;4;0.07752;0.01625;4.77046
2009.05.25;0;0.05042;0.00905;5.57127
2009.05.26;1;0.07570;0.01620;4.67284
2009.05.27;2;0.09457;0.01770;5.34294
2009.05.28;3;0.08800;0.01900;4.63158
2009.05.29;4;0.08585;0.02445;3.51125
2009.06.01;0;0.08550;0.01470;5.81633
2009.06.02;1;0.09005;0.02295;3.92375
2009.06.03;2;0.09770;0.02285;4.27571
2009.06.04;3;0.09685;0.01710;5.66374
2009.06.05;4;0.09193;0.03350;2.74418
2009.06.08;0;0.08818;0.01970;4.47614
2009.06.09;1;0.09410;0.02490;3.77912
2009.06.10;2;0.09756;0.02285;4.26958
2009.06.11;3;0.09124;0.02285;3.99300
2009.06.12;4;0.08945;0.01925;4.64675
2009.06.15;0;0.06755;0.02427;2.78327
