Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.02954;0.01525;1.93705
2009.01.02;4;0.27473;0.07526;3.65041
2009.01.05;0;0.26508;0.03821;6.93745
2009.01.06;1;0.27468;0.05181;5.30168
2009.01.07;2;0.26587;0.07901;3.36502
2009.01.08;3;0.28544;0.06313;4.52146
2009.01.09;4;0.24514;0.03497;7.01001
2009.01.12;0;0.25891;0.03510;7.37635
2009.01.13;1;0.25193;0.03046;8.27085
2009.01.14;2;0.26620;0.07003;3.80123
2009.01.15;3;0.29750;0.03977;7.48051
2009.01.16;4;0.25937;0.03841;6.75267
2009.01.19;0;0.22295;0.05165;4.31655
2009.01.20;1;0.29144;0.06817;4.27519
2009.01.21;2;0.28836;0.05245;5.49781
2009.01.22;3;0.24893;0.03558;6.99635
2009.01.23;4;0.23015;0.03857;5.96707
2009.01.26;0;0.25073;0.05142;4.87612
2009.01.27;1;0.23702;0.04446;5.33108
2009.01.28;2;0.21677;0.02229;9.72499
2009.01.29;3;0.22723;0.06496;3.49800
2009.01.30;4;0.24393;0.09550;2.55424
2009.02.02;0;0.23891;0.04630;5.16004
2009.02.03;1;0.25057;0.05601;4.47367
2009.02.04;2;0.26213;0.04848;5.40697
2009.02.05;3;0.25887;0.04346;5.95651
2009.02.06;4;0.26693;0.07551;3.53503
2009.02.09;0;0.24498;0.03821;6.41141
2009.02.10;1;0.31823;0.04951;6.42759
2009.02.11;2;0.27757;0.04127;6.72571
2009.02.12;3;0.26973;0.02835;9.51429
2009.02.13;4;0.20729;0.03113;6.65885
2009.02.16;0;0.17934;0.02600;6.89769
2009.02.17;1;0.20661;0.05781;3.57395
2009.02.18;2;0.20072;0.03997;5.02177
2009.02.19;3;0.17986;0.02547;7.06164
2009.02.20;4;0.22665;0.03929;5.76864
2009.02.23;0;0.21769;0.04233;5.14269
2009.02.24;1;0.17960;0.04216;4.25996
2009.02.25;2;0.19186;0.05083;3.77454
2009.02.26;3;0.16783;0.02327;7.21229
2009.02.27;4;0.19403;0.03594;5.39872
2009.03.02;0;0.22349;0.04389;5.09205
2009.03.03;1;0.21101;0.05316;3.96934
2009.03.04;2;0.20268;0.05558;3.64664
2009.03.05;3;0.19710;0.03591;5.48872
2009.03.06;4;0.20264;0.03882;5.21999
2009.03.08;6;0.00916;0.00916;1.00000
2009.03.09;0;0.18078;0.04011;4.50711
2009.03.10;1;0.18035;0.05922;3.04542
2009.03.11;2;0.17797;0.03211;5.54251
2009.03.12;3;0.18114;0.02967;6.10516
2009.03.13;4;0.15656;0.01681;9.31350
2009.03.15;6;0.01115;0.01115;1.00000
2009.03.16;0;0.14840;0.02705;5.48614
2009.03.17;1;0.13921;0.02264;6.14885
2009.03.18;2;0.18453;0.03770;4.89469
2009.03.19;3;0.16878;0.02169;7.78147
2009.03.20;4;0.15034;0.02440;6.16148
2009.03.22;6;0.00831;0.00831;1.00000
2009.03.23;0;0.16848;0.03424;4.92056
2009.03.24;1;0.17147;0.04951;3.46334
2009.03.25;2;0.17093;0.04592;3.72234
2009.03.26;3;0.14990;0.03418;4.38561
2009.03.27;4;0.16211;0.03320;4.88283
2009.03.30;0;0.16016;0.03981;4.02311
2009.03.31;1;0.14493;0.04045;3.58294
2009.04.01;2;0.15264;0.02428;6.28666
2009.04.02;3;0.17535;0.02641;6.63953
2009.04.03;4;0.18701;0.05404;3.46058
2009.04.06;0;0.14692;0.03006;4.88756
2009.04.07;1;0.18770;0.02415;7.77226
2009.04.08;2;0.14347;0.02024;7.08844
2009.04.09;3;0.14926;0.04391;3.39923
2009.04.10;4;0.09321;0.01050;8.87714
2009.04.13;0;0.13153;0.02990;4.39900
2009.04.14;1;0.14824;0.03558;4.16639
2009.04.15;2;0.16198;0.02778;5.83081
2009.04.16;3;0.15384;0.02726;5.64343
2009.04.17;4;0.13437;0.02779;4.83519
2009.04.20;0;0.14897;0.05051;2.94932
2009.04.21;1;0.15910;0.03057;5.20445
2009.04.22;2;0.18037;0.04357;4.13978
2009.04.23;3;0.14323;0.02872;4.98712
2009.04.24;4;0.15124;0.03706;4.08095
2009.04.27;0;0.15429;0.03433;4.49432
2009.04.28;1;0.14309;0.02711;5.27813
