Date;Day of week;SumHL;DayHL;SumHL / DayHL
2009.01.01;3;0.01173;0.00698;1.68052
2009.01.02;4;0.18702;0.06056;3.08818
2009.01.05;0;0.20302;0.04441;4.57149
2009.01.06;1;0.20048;0.05347;3.74939
2009.01.07;2;0.17279;0.06193;2.79009
2009.01.08;3;0.19627;0.04022;4.87991
2009.01.09;4;0.17290;0.02924;5.91313
2009.01.12;0;0.16981;0.02692;6.30795
2009.01.13;1;0.13441;0.03336;4.02908
2009.01.14;2;0.16193;0.05673;2.85440
2009.01.15;3;0.15546;0.03289;4.72666
2009.01.16;4;0.19100;0.02851;6.69940
2009.01.19;0;0.16350;0.04337;3.76989
2009.01.20;1;0.23460;0.05840;4.01712
2009.01.21;2;0.18293;0.03291;5.55849
2009.01.22;3;0.19832;0.02914;6.80577
2009.01.23;4;0.17882;0.04825;3.70611
2009.01.26;0;0.19053;0.03876;4.91563
2009.01.27;1;0.17069;0.03926;4.34768
2009.01.28;2;0.18559;0.03109;5.96944
2009.01.29;3;0.16092;0.03735;4.30843
2009.01.30;4;0.17601;0.04766;3.69303
2009.02.02;0;0.17385;0.03634;4.78398
2009.02.03;1;0.14409;0.02189;6.58246
2009.02.04;2;0.14052;0.02416;5.81623
2009.02.05;3;0.14994;0.03258;4.60221
2009.02.06;4;0.15288;0.03868;3.95243
2009.02.09;0;0.16005;0.03510;4.55983
2009.02.10;1;0.17007;0.03143;5.41107
2009.02.11;2;0.17988;0.02697;6.66963
2009.02.12;3;0.13688;0.02731;5.01208
2009.02.13;4;0.15420;0.02663;5.79046
2009.02.16;0;0.12658;0.02614;4.84239
2009.02.17;1;0.13661;0.03710;3.68221
2009.02.18;2;0.12780;0.01952;6.54713
2009.02.19;3;0.12315;0.01758;7.00512
2009.02.20;4;0.13655;0.02560;5.33398
2009.02.23;0;0.14686;0.02949;4.97999
2009.02.24;1;0.14063;0.03336;4.21553
2009.02.25;2;0.15503;0.03860;4.01632
2009.02.26;3;0.12351;0.01854;6.66181
2009.02.27;4;0.13910;0.04693;2.96399
2009.03.02;0;0.13946;0.02568;5.43069
2009.03.03;1;0.13827;0.01807;7.65191
2009.03.04;2;0.12418;0.02358;5.26633
2009.03.05;3;0.12158;0.01941;6.26378
2009.03.06;4;0.13630;0.02236;6.09571
2009.03.08;6;0.00670;0.00670;1.00000
2009.03.09;0;0.12248;0.03242;3.77791
2009.03.10;1;0.13370;0.03587;3.72735
2009.03.11;2;0.13101;0.02931;4.46981
2009.03.12;3;0.12672;0.02275;5.57011
2009.03.13;4;0.14989;0.02813;5.32847
2009.03.15;6;0.00428;0.00428;1.00000
2009.03.16;0;0.12764;0.02534;5.03710
2009.03.17;1;0.10514;0.01569;6.70108
2009.03.18;2;0.13360;0.02710;4.92989
2009.03.19;3;0.12897;0.03084;4.18191
2009.03.20;4;0.13053;0.02037;6.40795
2009.03.22;6;0.00546;0.00546;1.00000
2009.03.23;0;0.13217;0.02563;5.15685
2009.03.24;1;0.14618;0.02905;5.03201
2009.03.25;2;0.12041;0.02465;4.88479
2009.03.26;3;0.12558;0.02568;4.89019
2009.03.27;4;0.11882;0.02020;5.88218
2009.03.30;0;0.12041;0.03742;3.21780
2009.03.31;1;0.11068;0.02541;4.35577
2009.04.01;2;0.11821;0.02300;5.13957
2009.04.02;3;0.13457;0.02395;5.61879
2009.04.03;4;0.11585;0.02455;4.71894
2009.04.06;0;0.10246;0.01861;5.50564
2009.04.07;1;0.10664;0.01550;6.88000
2009.04.08;2;0.08826;0.01512;5.83730
2009.04.09;3;0.10699;0.03112;3.43798
2009.04.10;4;0.07801;0.00942;8.28132
2009.04.13;0;0.10185;0.02407;4.23141
2009.04.14;1;0.10453;0.01963;5.32501
2009.04.15;2;0.09817;0.02114;4.64380
2009.04.16;3;0.10425;0.01914;5.44671
2009.04.17;4;0.10411;0.01980;5.25808
2009.04.20;0;0.10529;0.02325;4.52860
2009.04.21;1;0.11657;0.02815;4.14103
2009.04.22;2;0.11976;0.02918;4.10418
2009.04.23;3;0.10685;0.01859;5.74771
2009.04.24;4;0.12184;0.03024;4.02910
2009.04.27;0;0.11073;0.02239;4.94551
2009.04.28;1;0.09947;0.02121;4.68977
2009.04.29;2;0.09254;0.01672;5.53469
2009.04.30;3;0.11650;0.02389;4.87652
2009.05.01;4;0.11212;0.01830;6.12678
2009.05.04;0;0.08420;0.01397;6.02720
2009.05.05;1;0.08856;0.01911;4.63422
2009.05.06;2;0.09108;0.01837;4.95808
2009.05.07;3;0.12041;0.01973;6.10289
2009.05.08;4;0.10444;0.01989;5.25088
2009.05.11;0;0.09735;0.02673;3.64198
2009.05.12;1;0.09570;0.02368;4.04139
2009.05.13;2;0.12313;0.03011;4.08934
2009.05.14;3;0.09258;0.01337;6.92446
2009.05.15;4;0.08437;0.01410;5.98369
2009.05.18;0;0.09663;0.01059;9.12465
2009.05.19;1;0.08911;0.01409;6.32434
2009.05.20;2;0.08837;0.02093;4.22217
2009.05.21;3;0.11604;0.03070;3.77980
2009.05.22;4;0.10420;0.02407;4.32904
2009.05.25;0;0.07896;0.01169;6.75449
2009.05.26;1;0.09436;0.01743;5.41365
2009.05.27;2;0.08700;0.01774;4.90417
2009.05.28;3;0.09384;0.01942;4.83213
2009.05.29;4;0.09345;0.01964;4.75815
2009.06.01;0;0.10871;0.03732;2.91292
2009.06.02;1;0.09609;0.01619;5.93515
2009.06.03;2;0.10618;0.02175;4.88184
2009.06.04;3;0.12720;0.04874;2.60977
2009.06.05;4;0.10745;0.02719;3.95182
2009.06.08;0;0.09545;0.02139;4.46237
2009.06.09;1;0.10169;0.02203;4.61598
2009.06.10;2;0.10597;0.02522;4.20182
2009.06.11;3;0.08643;0.02216;3.90027
2009.06.12;4;0.10658;0.02269;4.69722
2009.06.15;0;0.10511;0.01939;5.42084
2009.06.16;1;0.10433;0.02351;4.43769
2009.06.17;2;0.09827;0.01725;5.69681
2009.06.18;3;0.10156;0.02346;4.32907
2009.06.19;4;0.08752;0.02709;3.23071
2009.06.22;0;0.10300;0.02658;3.87509
2009.06.23;1;0.09975;0.02130;4.68310
2009.06.24;2;0.10108;0.01315;7.68669
2009.06.25;3;0.10090;0.01834;5.50164
2009.06.26;4;0.09545;0.02069;4.61334
2009.06.29;0;0.09148;0.01822;5.02086
2009.06.30;1;0.09625;0.02153;4.47051
2009.07.01;2;0.08896;0.02558;3.47772
2009.07.02;3;0.09573;0.02840;3.37077
2009.07.03;4;0.08485;0.01762;4.81555
2009.07.06;0;0.08787;0.01970;4.46041
2009.07.07;1;0.08294;0.01628;5.09459
2009.07.08;2;0.09187;0.01690;5.43609
2009.07.09;3;0.09912;0.03505;2.82796
2009.07.10;4;0.09591;0.01874;5.11793
2009.07.13;0;0.08954;0.01871;4.78568
2009.07.14;1;0.09039;0.02870;3.14948
2009.07.15;2;0.09265;0.03288;2.81782
2009.07.16;3;0.08734;0.01392;6.27443
2009.07.17;4;0.08129;0.02024;4.01630
2009.07.20;0;0.08384;0.01761;4.76093
2009.07.21;1;0.08876;0.02409;3.68452
2009.07.22;2;0.09716;0.01506;6.45153
2009.07.23;3;0.08798;0.02711;3.24530
2009.07.24;4;0.09735;0.02922;3.33162
2009.07.27;0;0.07049;0.00927;7.60410
2009.07.28;1;0.07632;0.01203;6.34414
2009.07.29;2;0.08952;0.01446;6.19087
2009.07.30;3;0.08756;0.01374;6.37263
2009.07.31;4;0.09028;0.02465;3.66247
2009.08.03;0;0.08591;0.01466;5.86016
2009.08.04;1;0.08983;0.01806;4.97398
2009.08.05;2;0.08332;0.01954;4.26407
2009.08.06;3;0.09267;0.02175;4.26069
2009.08.07;4;0.10349;0.01663;6.22309
2009.08.10;0;0.08645;0.02374;3.64153
2009.08.11;1;0.08255;0.02760;2.99094
2009.08.12;2;0.08309;0.02410;3.44772
2009.08.13;3;0.08643;0.01368;6.31798
2009.08.14;4;0.09363;0.02481;3.77388
2009.08.17;0;0.08105;0.01383;5.86045
2009.08.18;1;0.08501;0.02376;3.57786
2009.08.19;2;0.08597;0.01901;4.52236
2009.08.20;3;0.08767;0.02216;3.95623
2009.08.21;4;0.09613;0.01640;5.86159
2009.08.24;0;0.07417;0.02300;3.22478
2009.08.25;1;0.07816;0.01552;5.03608
2009.08.26;2;0.08626;0.01929;4.47175
2009.08.27;3;0.08794;0.01980;4.44141
2009.08.28;4;0.07956;0.01619;4.91414
2009.08.31;0;0.09956;0.02603;3.82482
